"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","sum"
"265",1104,"16B1104","Cadaval",0,0,0,0,0,0,0
"266",1108,"16B1108","Lourinhã",0,0,0,0,0,0,0
"267",1112,"16B1112","Sobral de Monte Agraço",0,0,0,0,0,0,0
"268",1113,"16B1113","Torres Vedras",0,0,0,0,0,0,0
"269",1401,"16C1401","Abrantes",0,0,0,0,0,0,0
"270",1402,"16C1402","Alcanena",0,0,0,0,0,0,0
"271",1408,"16C1408","Constância",0,0,0,0,0,0,0
"272",1410,"16C1410","Entroncamento",0,0,0,0,0,0,0
"273",1411,"16C1411","Ferreira do Zêzere",0,0,0,0,0,0,0
"274",1417,"16C1417","Sardoal",0,0,0,0,0,0,0
"275",1418,"16C1418","Tomar",0,0,0,0,0,0,0
"276",1419,"16C1419","Torres Novas",0,0,0,0,0,0,0
"277",1420,"16C1420","Vila Nova da Barquinha",0,0,0,0,0,0,0
"278",1421,"16C1421","Ourém",0,0,0,0,0,0,0
