"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","sum"
"138",1822,"1651822","Vila Nova de Paiva",168,0,5,0,0,0,173
"139",1823,"1651823","Viseu",2028,0,615,6,0,0,2650
"140",1824,"1651824","Vouzela",502,0,288,3,0,0,792
"141",1413,"1661413","Mação",22,0,7,0,0,0,29
"142",506,"1660506","Oleiros",184,0,87,0,0,0,271
"143",508,"1660508","Proença-a-Nova",113,0,47,0,0,0,159
"144",509,"1660509","Sertã",401,0,457,0,0,0,858
"145",510,"1660510","Vila de Rei",7,0,5,0,0,0,12
"146",905,"1670905","Fornos de Algodres",179,0,365,0,0,0,544
"147",906,"1670906","Gouveia",45,0,35,0,0,0,80
"148",912,"1670912","Seia",122,0,108,0,0,0,230
"149",902,"1680902","Almeida",25,0,20,0,0,0,45
"150",903,"1680903","Celorico da Beira",88,0,86,4,0,0,179
"151",904,"1680904","Figueira de Castelo Rodrigo",2,0,0,0,0,0,2
"152",907,"1680907","Guarda",167,0,108,2,0,0,277
"153",908,"1680908","Manteigas",2,0,0,0,0,0,2
"154",909,"1680909","Meda",71,0,15,0,0,0,86
"155",910,"1680910","Pinhel",28,0,134,0,0,0,162
"156",911,"1680911","Sabugal",78,0,8,0,0,0,86
"157",913,"1680913","Trancoso",97,0,287,0,0,0,384
"158",502,"1690502","Castelo Branco",66,0,43,13,254,0,376
"159",505,"1690505","Idanha-a-Nova",33,0,97,64,732,0,925
"160",507,"1690507","Penamacor",26,0,83,8,26,0,144
"161",511,"1690511","Vila Velha de Ródão",4,0,26,0,0,0,30
"162",501,"16A0501","Belmonte",38,0,64,28,0,0,129
"163",503,"16A0503","Covilhã",150,0,90,142,0,0,383
"164",504,"16A0504","Fundão",233,0,441,39,0,0,713
"165",1001,"16B1001","Alcobaça",14,0,52,10,0,0,76
"166",1101,"16B1101","Alenquer",2,0,2,6,84,0,95
"167",1102,"16B1102","Arruda dos Vinhos",0,0,7,0,0,0,7
"168",1005,"16B1005","Bombarral",0,0,2,0,0,0,2
"169",1104,"16B1104","Cadaval",0,0,0,0,0,0,0
"170",1006,"16B1006","Caldas da Rainha",7,0,9,1,0,0,17
"171",1108,"16B1108","Lourinhã",1,0,67,0,0,0,68
"172",1011,"16B1011","Nazaré",0,0,19,0,0,0,19
"173",1012,"16B1012","Óbidos",8,0,6,0,0,0,14
"174",1014,"16B1014","Peniche",0,0,15,5,0,0,19
"175",1112,"16B1112","Sobral de Monte Agraço",0,0,10,0,0,0,10
"176",1113,"16B1113","Torres Vedras",7,0,43,20,4,0,74
"177",1401,"16C1401","Abrantes",155,0,282,5,530,0,972
"178",1402,"16C1402","Alcanena",0,0,13,18,0,0,31
"179",1408,"16C1408","Constância",16,0,20,0,117,0,152
"180",1410,"16C1410","Entroncamento",5,0,43,0,0,0,48
"181",1411,"16C1411","Ferreira do Zêzere",33,0,50,0,0,0,84
"182",1421,"16C1421","Ourém",886,0,162,0,0,0,1048
"183",1417,"16C1417","Sardoal",0,0,5,0,0,0,5
"184",1418,"16C1418","Tomar",186,0,206,0,203,0,594
"185",1419,"16C1419","Torres Novas",270,0,459,45,201,0,975
"186",1420,"16C1420","Vila Nova da Barquinha",12,0,13,0,0,0,25
"187",1115,"1711115","Amadora",0,0,0,0,0,0,0
"188",1105,"1711105","Cascais",0,0,2,0,0,0,2
"189",1106,"1711106","Lisboa",0,0,0,0,0,0,0
"190",1107,"1711107","Loures",4,0,52,0,0,0,56
"191",1109,"1711109","Mafra",18,0,41,0,0,0,60
"192",1116,"1711116","Odivelas",0,0,0,0,0,0,0
"193",1110,"1711110","Oeiras",0,0,0,0,0,0,0
"194",1111,"1711111","Sintra",10,0,23,40,87,0,160
"195",1114,"1711114","Vila Franca de Xira",13,0,83,0,529,0,624
"196",1502,"1721502","Alcochete",0,0,46,0,0,0,46
"197",1503,"1721503","Almada",0,0,5,0,0,0,5
"198",1504,"1721504","Barreiro",0,0,11,0,0,0,11
"199",1506,"1721506","Moita",0,0,21,35,24,0,79
"200",1507,"1721507","Montijo",0,0,0,0,0,0,0
"201",1508,"1721508","Palmela",3,0,148,183,429,0,763
"202",1510,"1721510","Seixal",0,0,0,0,0,0,0
"203",1511,"1721511","Sesimbra",3,0,5,0,0,0,8
"204",1512,"1721512","Setúbal",0,0,1,0,0,0,1
"205",1501,"1811501","Alcácer do Sal",0,0,1,0,52,0,53
"206",1505,"1811505","Grândola",73,0,36,8,75,0,192
"207",211,"1810211","Odemira",285,0,143,294,933,0,1654
"208",1509,"1811509","Santiago do Cacém",47,0,253,7,1033,0,1340
"209",1513,"1811513","Sines",15,0,18,0,0,0,32
"210",1201,"1821201","Alter do Chão",0,0,0,0,0,0,0
"211",1202,"1821202","Arronches",0,0,0,0,30,0,30
"212",1203,"1821203","Avis",1,0,16,0,236,0,253
"213",1204,"1821204","Campo Maior",0,0,3,6,369,0,378
"214",1205,"1821205","Castelo de Vide",0,0,0,0,0,0,0
"215",1206,"1821206","Crato",0,0,44,0,0,0,44
"216",1207,"1821207","Elvas",121,0,100,27,327,0,574
"217",1208,"1821208","Fronteira",0,0,0,1,346,0,347
"218",1209,"1821209","Gavião",91,0,69,3,0,0,162
"219",1210,"1821210","Marvão",0,0,10,0,0,0,10
"220",1211,"1821211","Monforte",0,0,0,0,86,0,86
"221",707,"1820707","Mora",85,0,52,0,563,0,700
"222",1212,"1821212","Nisa",0,0,0,0,0,0,0
"223",1213,"1821213","Ponte de Sor",64,0,120,0,600,0,784
"224",1214,"1821214","Portalegre",13,0,0,0,164,0,178
"225",701,"1830701","Alandroal",0,0,11,0,370,0,381
"226",702,"1830702","Arraiolos",68,0,0,5,457,0,529
"227",703,"1830703","Borba",0,0,0,0,68,0,68
"228",704,"1830704","Estremoz",1,0,6,16,122,0,144
"229",705,"1830705","Évora",0,0,1,24,216,0,240
"230",706,"1830706","Montemor-o-Novo",0,0,35,20,160,0,215
"231",708,"1830708","Mourão",0,0,0,0,0,0,0
"232",709,"1830709","Portel",0,0,4,29,0,0,33
"233",710,"1830710","Redondo",5,0,4,0,128,0,137
"234",711,"1830711","Reguengos de Monsaraz",0,0,0,0,2,0,2
"235",1215,"1831215","Sousel",0,0,0,0,17,0,17
"236",712,"1830712","Vendas Novas",30,0,1,3,0,0,34
"237",713,"1830713","Viana do Alentejo",0,0,0,4,521,0,525
"238",714,"1830714","Vila Viçosa",0,0,0,0,0,0,0
"239",201,"1840201","Aljustrel",10,0,5,4,73,0,92
"240",202,"1840202","Almodôvar",3,0,3,0,0,0,5
"241",203,"1840203","Alvito",0,0,0,2,116,0,119
"242",204,"1840204","Barrancos",0,0,0,0,0,0,0
"243",205,"1840205","Beja",2,0,8,1,56,0,66
"244",206,"1840206","Castro Verde",2,0,0,0,0,0,2
"245",207,"1840207","Cuba",0,0,0,0,0,0,0
"246",208,"1840208","Ferreira do Alentejo",0,0,21,58,195,0,273
"247",209,"1840209","Mértola",0,0,0,0,0,0,0
"248",210,"1840210","Moura",0,0,0,0,0,0,0
"249",212,"1840212","Ourique",37,0,8,0,531,0,576
"250",213,"1840213","Serpa",0,0,0,0,6,0,6
"251",214,"1840214","Vidigueira",0,0,0,0,17,0,18
"252",1403,"1851403","Almeirim",27,0,232,0,500,0,759
"253",1404,"1851404","Alpiarça",65,0,389,0,550,0,1004
"254",1103,"1851103","Azambuja",57,0,30,0,356,0,443
"255",1405,"1851405","Benavente",66,0,73,51,1412,0,1602
"256",1406,"1851406","Cartaxo",75,0,90,0,283,0,448
"257",1407,"1851407","Chamusca",563,0,767,0,1182,0,2512
"258",1409,"1851409","Coruche",329,0,228,38,3055,0,3649
"259",1412,"1851412","Golegã",786,0,578,0,1233,0,2597
"260",1414,"1851414","Rio Maior",14,0,60,22,233,0,329
"261",1415,"1851415","Salvaterra de Magos",153,0,67,19,1131,0,1370
"262",1416,"1851416","Santarém",652,0,989,214,1371,0,3227
"263",801,"1500801","Albufeira",0,0,0,0,0,0,0
"264",802,"1500802","Alcoutim",0,0,0,0,0,0,0
"265",803,"1500803","Aljezur",204,0,9,5,0,0,217
"266",804,"1500804","Castro Marim",0,0,4,0,0,0,4
"267",805,"1500805","Faro",1,0,4,0,0,0,5
"268",806,"1500806","Lagoa",0,0,0,0,0,0,0
"269",807,"1500807","Lagos",36,0,19,0,0,0,56
"270",808,"1500808","Loulé",4,0,2,0,0,0,6
"271",809,"1500809","Monchique",40,0,26,0,0,0,65
"272",810,"1500810","Olhão",0,0,0,0,0,0,0
"273",811,"1500811","Portimão",3,0,12,0,0,0,15
"274",812,"1500812","São Brás de Alportel",0,0,4,0,0,0,4
"275",813,"1500813","Silves",12,0,38,0,0,0,50
"276",814,"1500814","Tavira",0,0,11,0,0,0,11
"277",815,"1500815","Vila do Bispo",2,0,4,0,0,0,5
"278",816,"1500816","Vila Real de Santo António",0,0,4,0,0,0,4
