"","Lat","Long","Prec..mm."
"12716",40.8,-7,117.7
"12717",40.8,-6.8,91.27
"12718",40.6,-8.8,172.84
"12719",40.6,-8.6,171.25
"12720",40.6,-8.4,160.42
"12721",40.6,-8.2,272.78
"12722",40.6,-8,311.62
"12723",40.6,-7.8,228.5
"12724",40.6,-7.6,224.88
"12725",40.6,-7.4,192.52
"12726",40.6,-7.2,181.89
"12727",40.6,-7,145.22
"12728",40.6,-6.8,106.98
"12729",40.4,-8.8,145.92
"12730",40.4,-8.6,174.83
"12731",40.4,-8.4,170.66
"12732",40.4,-8.2,177.66
"12733",40.4,-8,237.42
"12734",40.4,-7.8,198
"12735",40.4,-7.6,267.23
"12736",40.4,-7.4,254.97
"12737",40.4,-7.2,237.03
"12738",40.4,-7,205.86
"12739",40.4,-6.8,230.05
"12740",40.2,-8.8,154.08
"12741",40.2,-8.6,167.95
"12742",40.2,-8.4,203.22
"12743",40.2,-8.2,205.42
"12744",40.2,-8,223.52
"12745",40.2,-7.8,247.08
"12746",40.2,-7.6,242.98
"12747",40.2,-7.4,232.5
"12748",40.2,-7.2,232.42
"12749",40.2,-7,280.73
"12750",40,-8.8,172.56
"12751",40,-8.6,201.97
"12752",40,-8.4,211.7
"12753",40,-8.2,220.89
"12754",40,-8,244.11
"12755",40,-7.8,273.94
"12756",40,-7.6,252.41
"12757",40,-7.4,211.94
"12758",40,-7.2,195.61
"12759",40,-7,212.31
"12760",39.8,-9,149.55
"12761",39.8,-8.8,175.25
"12762",39.8,-8.6,197.28
"12763",39.8,-8.4,214.56
"12764",39.8,-8.2,234.56
"12765",39.8,-8,243.2
"12766",39.8,-7.8,260.5
"12767",39.8,-7.6,240.36
"12768",39.8,-7.4,193.28
"12769",39.8,-7.2,175.12
"12770",39.8,-7,182.19
"12771",39.6,-9,170.86
"12772",39.6,-8.8,208.91
"12773",39.6,-8.6,223.27
"12774",39.6,-8.4,198.39
"12775",39.6,-8.2,230.75
"12776",39.6,-8,239.81
"12777",39.6,-7.8,253.67
"12778",39.6,-7.6,256
"12779",39.6,-7.4,185.31
"12780",39.4,-9.4,176.05
"12781",39.4,-9.2,191.59
"12782",39.4,-9,195.08
"12783",39.4,-8.8,209.98
"12784",39.4,-8.6,230.12
"12785",39.4,-8.4,201.39
"12786",39.4,-8.2,210.41
"12787",39.4,-8,250.98
"12788",39.4,-7.8,281.59
"12789",39.4,-7.6,252.98
"12790",39.4,-7.4,308.48
"12791",39.2,-9.4,180.98
"12792",39.2,-9.2,196.06
"12793",39.2,-9,175.64
"12794",39.2,-8.8,147
"12795",39.2,-8.6,155.58
"12796",39.2,-8.4,132.12
"12797",39.2,-8.2,199.16
"12798",39.2,-8,202.92
"12799",39.2,-7.8,204.33
"12800",39.2,-7.6,202.5
"12801",39.2,-7.4,240.11
"12802",39.2,-7.2,229.94
"12803",39,-9.4,176.88
"12804",39,-9.2,207.36
"12805",39,-9,169.52
"12806",39,-8.8,154.89
"12807",39,-8.6,191.45
"12808",39,-8.4,174.66
"12809",39,-8.2,154.31
"12810",39,-8,169.75
"12811",39,-7.8,151.56
"12812",39,-7.6,195.22
"12813",39,-7.4,177.83
"12814",39,-7.2,144.27
"12815",39,-7,194.19
"12816",38.8,-9.4,141.81
"12817",38.8,-9.2,185.78
"12818",38.8,-9,178.56
"12819",38.8,-8.8,159.84
"12820",38.8,-8.6,182.67
"12821",38.8,-8.4,184.97
"12822",38.8,-8.2,183.72
"12823",38.8,-8,112.67
"12824",38.8,-7.8,148.34
"12825",38.8,-7.6,199.64
"12826",38.8,-7.4,194.12
"12827",38.8,-7.2,174.09
"12828",38.6,-9.2,165.05
"12829",38.6,-9,178.47
"12830",38.6,-8.8,170.14
"12831",38.6,-8.6,184.23
"12832",38.6,-8.4,181.22
"12833",38.6,-8.2,186.19
"12834",38.6,-8,165.25
"12835",38.6,-7.8,161
"12836",38.6,-7.6,164.03
"12837",38.6,-7.4,156.42
"12838",38.4,-9.2,154.33
"12839",38.4,-9,167.48
"12840",38.4,-8.8,153.8
"12841",38.4,-8.6,130.08
"12842",38.4,-8.4,145.28
"12843",38.4,-8.2,153.64
"12844",38.4,-8,168.94
"12845",38.4,-7.8,161.56
"12846",38.4,-7.6,145.41
"12847",38.4,-7.4,140.67
"12848",38.2,-8.8,135.59
"12849",38.2,-8.6,143.2
"12850",38.2,-8.4,129.22
"12851",38.2,-8.2,119.23
"12852",38.2,-8,140.83
"12853",38.2,-7.8,146.98
"12854",38.2,-7.6,140.77
"12855",38.2,-7.4,141.58
"12856",38.2,-7.2,164.67
"12857",38.2,-7,189.52
"12858",38,-8.8,112.66
"12859",38,-8.6,141.62
"12860",38,-8.4,151.23
"12861",38,-8.2,126.53
"12862",38,-8,126.11
"12863",38,-7.8,151.91
"12864",38,-7.6,114.7
"12865",38,-7.4,135.66
"12866",38,-7.2,174.09
"12867",37.8,-8.8,113.2
"12868",37.8,-8.6,150.95
"12869",37.8,-8.4,170.39
"12870",37.8,-8.2,147.41
"12871",37.8,-8,118.78
"12872",37.8,-7.8,106.45
"12873",37.8,-7.6,124.91
"12874",37.8,-7.4,144.81
"12875",37.6,-8.8,107.05
"12876",37.6,-8.6,159.16
"12877",37.6,-8.4,169.31
"12878",37.6,-8.2,157.94
"12879",37.6,-8,122.23
"12880",37.6,-7.8,86.25
"12881",37.6,-7.6,109.23
"12882",37.4,-8.8,128.66
"12883",37.4,-8.6,162.05
"12884",37.4,-8.4,163.16
"12885",37.4,-8.2,149.3
"12886",37.4,-8,126.48
"12887",37.4,-7.8,119.27
"12888",37.4,-7.6,118
"12889",37.2,-8.8,134.77
"12890",37.2,-8.6,167.3
"12891",37.2,-8.4,132
"12892",37.2,-8.2,125.5
"12893",37.2,-8,117.94
"12894",37.2,-7.8,127.2
"12895",37.2,-7.6,96.94
"12896",37.2,-7.4,114.38
"12897",37,-9,103.3
"12898",37,-8.8,112.86
"12899",37,-8,119.05
"12900",37,-7.8,126.14
