"","Lat","Long","Prec..mm."
"12719",40.6,-8.6,47.03
"12720",40.6,-8.4,47.33
"12721",40.6,-8.2,49.75
"12722",40.6,-8,56.03
"12723",40.6,-7.8,50.3
"12724",40.6,-7.6,39.56
"12725",40.6,-7.4,36.14
"12726",40.6,-7.2,26.84
"12727",40.6,-7,23.2
"12728",40.6,-6.8,19.36
"12729",40.4,-8.8,56.55
"12730",40.4,-8.6,47.22
"12731",40.4,-8.4,38.7
"12732",40.4,-8.2,38.08
"12733",40.4,-8,44.47
"12734",40.4,-7.8,39.72
"12735",40.4,-7.6,31.56
"12736",40.4,-7.4,24.91
"12737",40.4,-7.2,28.3
"12738",40.4,-7,27.19
"12739",40.4,-6.8,27.61
"12740",40.2,-8.8,45.16
"12741",40.2,-8.6,46.77
"12742",40.2,-8.4,30.06
"12743",40.2,-8.2,17.02
"12744",40.2,-8,34.81
"12745",40.2,-7.8,39.86
"12746",40.2,-7.6,36.05
"12747",40.2,-7.4,24.3
"12748",40.2,-7.2,23.12
"12749",40.2,-7,38.61
"12750",40,-8.8,29.48
"12751",40,-8.6,36.3
"12752",40,-8.4,31.56
"12753",40,-8.2,24
"12754",40,-8,29.53
"12755",40,-7.8,38.12
"12756",40,-7.6,38.58
"12757",40,-7.4,23.02
"12758",40,-7.2,14.42
"12759",40,-7,21.38
"12760",39.8,-9,20.86
"12761",39.8,-8.8,23.06
"12762",39.8,-8.6,29.77
"12763",39.8,-8.4,32.19
"12764",39.8,-8.2,27.88
"12765",39.8,-8,25.36
"12766",39.8,-7.8,28.17
"12767",39.8,-7.6,30.39
"12768",39.8,-7.4,16.95
"12769",39.8,-7.2,5.41
"12770",39.8,-7,12.59
"12771",39.6,-9,27.94
"12772",39.6,-8.8,36.08
"12773",39.6,-8.6,35.81
"12774",39.6,-8.4,25.91
"12775",39.6,-8.2,25.97
"12776",39.6,-8,17.28
"12777",39.6,-7.8,17.62
"12778",39.6,-7.6,22.8
"12779",39.6,-7.4,0.8
"12780",39.4,-9.4,18.84
"12781",39.4,-9.2,21.59
"12782",39.4,-9,29.17
"12783",39.4,-8.8,30.73
"12784",39.4,-8.6,24.08
"12785",39.4,-8.4,19.64
"12786",39.4,-8.2,20.56
"12787",39.4,-8,22.84
"12788",39.4,-7.8,25.31
"12789",39.4,-7.6,12.67
"12790",39.4,-7.4,13.19
"12791",39.2,-9.4,20.08
"12792",39.2,-9.2,21.19
"12793",39.2,-9,22.97
"12794",39.2,-8.8,20.7
"12795",39.2,-8.6,20.22
"12796",39.2,-8.4,16.58
"12797",39.2,-8.2,21.41
"12798",39.2,-8,17.44
"12799",39.2,-7.8,12.41
"12800",39.2,-7.6,9.03
"12801",39.2,-7.4,14.72
"12802",39.2,-7.2,11.2
"12803",39,-9.4,19.7
"12804",39,-9.2,19.8
"12805",39,-9,15.78
"12806",39,-8.8,18.3
"12807",39,-8.6,16.61
"12808",39,-8.4,14.7
"12809",39,-8.2,9.8
"12810",39,-8,8.41
"12811",39,-7.8,3.56
"12812",39,-7.6,9.05
"12813",39,-7.4,10.17
"12814",39,-7.2,8.77
"12815",39,-7,7.59
"12816",38.8,-9.4,19.62
"12817",38.8,-9.2,21.73
"12818",38.8,-9,17.42
"12819",38.8,-8.8,15.88
"12820",38.8,-8.6,12.94
"12821",38.8,-8.4,12.47
"12822",38.8,-8.2,11.23
"12823",38.8,-8,4.62
"12824",38.8,-7.8,6.12
"12825",38.8,-7.6,12.3
"12826",38.8,-7.4,9.66
"12827",38.8,-7.2,9.5
"12828",38.6,-9.2,19.41
"12829",38.6,-9,19.88
"12830",38.6,-8.8,18.38
"12831",38.6,-8.6,13.84
"12832",38.6,-8.4,13.66
"12833",38.6,-8.2,15.58
"12834",38.6,-8,11.86
"12835",38.6,-7.8,10.39
"12836",38.6,-7.6,11.09
"12837",38.6,-7.4,6.84
"12838",38.4,-9.2,16.56
"12839",38.4,-9,18.61
"12840",38.4,-8.8,14.25
"12841",38.4,-8.6,12.25
"12842",38.4,-8.4,17.02
"12843",38.4,-8.2,16.34
"12844",38.4,-8,14.64
"12845",38.4,-7.8,9.28
"12846",38.4,-7.6,8.55
"12847",38.4,-7.4,7.36
"12848",38.2,-8.8,14.78
"12849",38.2,-8.6,11.73
"12850",38.2,-8.4,9.5
"12851",38.2,-8.2,10.73
"12852",38.2,-8,12.66
"12853",38.2,-7.8,2.98
"12854",38.2,-7.6,3.88
"12855",38.2,-7.4,5.44
"12856",38.2,-7.2,7.39
"12857",38.2,-7,4
"12858",38,-8.8,9.98
"12859",38,-8.6,8.91
"12860",38,-8.4,8.03
"12861",38,-8.2,6.7
"12862",38,-8,8.86
"12863",38,-7.8,4.16
"12864",38,-7.6,4.28
"12865",38,-7.4,4.16
"12866",38,-7.2,4.5
"12867",37.8,-8.8,9.56
"12868",37.8,-8.6,8.33
"12869",37.8,-8.4,7.41
"12870",37.8,-8.2,5.69
"12871",37.8,-8,4.95
"12872",37.8,-7.8,2.64
"12873",37.8,-7.6,3.66
"12874",37.8,-7.4,2.09
"12875",37.6,-8.8,8.58
"12876",37.6,-8.6,7.89
"12877",37.6,-8.4,6.98
"12878",37.6,-8.2,6.33
"12879",37.6,-8,4.67
"12880",37.6,-7.8,5.8
"12881",37.6,-7.6,1.83
"12882",37.4,-8.8,9.08
"12883",37.4,-8.6,9.23
"12884",37.4,-8.4,5.78
"12885",37.4,-8.2,4.39
"12886",37.4,-8,5.91
"12887",37.4,-7.8,4.39
"12888",37.4,-7.6,0.94
"12889",37.2,-8.8,5.22
"12890",37.2,-8.6,4.23
"12891",37.2,-8.4,3.41
"12892",37.2,-8.2,1.53
"12893",37.2,-8,3.67
"12894",37.2,-7.8,3.53
"12895",37.2,-7.6,1.03
"12896",37.2,-7.4,0.47
"12897",37,-9,2.72
"12898",37,-8.8,1.86
"12899",37,-8,1
"12900",37,-7.8,0.19
