"","Lat","Long","Preci..mm."
"12850",38.2,-8.4,30.75
"12851",38.2,-8.2,34.34
"12852",38.2,-8,42.92
"12853",38.2,-7.8,54.09
"12854",38.2,-7.6,32.08
"12855",38.2,-7.4,30.09
"12856",38.2,-7.2,32.41
"12857",38.2,-7,42.61
"12858",38,-8.8,32.77
"12859",38,-8.6,27.02
"12860",38,-8.4,26.67
"12861",38,-8.2,23.62
"12862",38,-8,33.45
"12863",38,-7.8,52.22
"12864",38,-7.6,32.72
"12865",38,-7.4,25.25
"12866",38,-7.2,24
"12867",37.8,-8.8,26.91
"12868",37.8,-8.6,24.2
"12869",37.8,-8.4,20.11
"12870",37.8,-8.2,20.77
"12871",37.8,-8,19.34
"12872",37.8,-7.8,38.55
"12873",37.8,-7.6,17.55
"12874",37.8,-7.4,13.59
"12875",37.6,-8.8,13.06
"12876",37.6,-8.6,24.52
"12877",37.6,-8.4,25.09
"12878",37.6,-8.2,25.92
"12879",37.6,-8,18.86
"12880",37.6,-7.8,25.75
"12881",37.6,-7.6,21.66
"12882",37.4,-8.8,18.58
"12883",37.4,-8.6,25.69
"12884",37.4,-8.4,34.09
"12885",37.4,-8.2,21.03
"12886",37.4,-8,13.89
"12887",37.4,-7.8,24.47
"12888",37.4,-7.6,30.88
"12889",37.2,-8.8,15
"12890",37.2,-8.6,21.61
"12891",37.2,-8.4,18.05
"12892",37.2,-8.2,7.17
"12893",37.2,-8,11.19
"12894",37.2,-7.8,18.05
"12895",37.2,-7.6,32.77
"12896",37.2,-7.4,27.22
"12897",37,-9,7.72
"12898",37,-8.8,11.44
"12899",37,-8,10.47
"12900",37,-7.8,14.55
