"","Lat","Long","Prec..mm."
"12751",40,-8.6,103.95
"12752",40,-8.4,118.83
"12753",40,-8.2,131.11
"12754",40,-8,139.25
"12755",40,-7.8,144.45
"12756",40,-7.6,120.2
"12757",40,-7.4,71.52
"12758",40,-7.2,43.62
"12759",40,-7,73.44
"12760",39.8,-9,58.36
"12761",39.8,-8.8,84.7
"12762",39.8,-8.6,110.25
"12763",39.8,-8.4,112.69
"12764",39.8,-8.2,99.16
"12765",39.8,-8,95.64
"12766",39.8,-7.8,92.8
"12767",39.8,-7.6,74.05
"12768",39.8,-7.4,45.81
"12769",39.8,-7.2,29.39
"12770",39.8,-7,26.5
"12771",39.6,-9,71.39
"12772",39.6,-8.8,104.89
"12773",39.6,-8.6,123.55
"12774",39.6,-8.4,79.92
"12775",39.6,-8.2,69.61
"12776",39.6,-8,54.33
"12777",39.6,-7.8,57.16
"12778",39.6,-7.6,51.28
"12779",39.6,-7.4,36.3
"12780",39.4,-9.4,66.97
"12781",39.4,-9.2,70.33
"12782",39.4,-9,99.3
"12783",39.4,-8.8,106.44
"12784",39.4,-8.6,86.47
"12785",39.4,-8.4,57.58
"12786",39.4,-8.2,57.58
"12787",39.4,-8,65.19
"12788",39.4,-7.8,75.16
"12789",39.4,-7.6,60.2
"12790",39.4,-7.4,58.98
"12791",39.2,-9.4,75.92
"12792",39.2,-9.2,75.58
"12793",39.2,-9,118.55
"12794",39.2,-8.8,84.39
"12795",39.2,-8.6,68
"12796",39.2,-8.4,60.38
"12797",39.2,-8.2,59.59
"12798",39.2,-8,57.84
"12799",39.2,-7.8,53.31
"12800",39.2,-7.6,58.27
"12801",39.2,-7.4,65.33
"12802",39.2,-7.2,69.53
"12803",39,-9.4,95.88
"12804",39,-9.2,120.08
"12805",39,-9,90.47
"12806",39,-8.8,67.44
"12807",39,-8.6,57.03
"12808",39,-8.4,55.12
"12809",39,-8.2,51.72
"12810",39,-8,53.72
"12811",39,-7.8,52.38
"12812",39,-7.6,66.92
"12813",39,-7.4,64.95
"12814",39,-7.2,50.14
"12815",39,-7,52.31
"12816",38.8,-9.4,120.14
"12817",38.8,-9.2,106.66
"12818",38.8,-9,91.88
"12819",38.8,-8.8,65.42
"12820",38.8,-8.6,53.56
"12821",38.8,-8.4,56.11
"12822",38.8,-8.2,61.22
"12823",38.8,-8,42.84
"12824",38.8,-7.8,63.45
"12825",38.8,-7.6,72.8
"12826",38.8,-7.4,86.28
"12827",38.8,-7.2,51.5
"12828",38.6,-9.2,109.75
"12829",38.6,-9,107.47
"12830",38.6,-8.8,92
"12831",38.6,-8.6,63.86
"12832",38.6,-8.4,61.45
"12833",38.6,-8.2,70.42
"12834",38.6,-8,74.19
"12835",38.6,-7.8,71.27
"12836",38.6,-7.6,71.47
"12837",38.6,-7.4,83.53
"12838",38.4,-9.2,124.55
"12839",38.4,-9,104.59
"12840",38.4,-8.8,69.36
"12841",38.4,-8.6,56.12
"12842",38.4,-8.4,64.53
"12843",38.4,-8.2,66.56
"12844",38.4,-8,75.88
"12845",38.4,-7.8,76.31
"12846",38.4,-7.6,75.69
"12847",38.4,-7.4,75.92
"12848",38.2,-8.8,74.97
"12849",38.2,-8.6,75.02
"12850",38.2,-8.4,61.78
"12851",38.2,-8.2,57.89
"12852",38.2,-8,74.14
"12853",38.2,-7.8,106.58
"12854",38.2,-7.6,88.45
"12855",38.2,-7.4,78.02
"12856",38.2,-7.2,61.98
"12857",38.2,-7,52.8
"12858",38,-8.8,89.23
"12859",38,-8.6,87.84
"12860",38,-8.4,74.72
"12861",38,-8.2,50.33
"12862",38,-8,60.94
"12863",38,-7.8,103.23
"12864",38,-7.6,114.33
"12865",38,-7.4,87.2
"12866",38,-7.2,55.59
"12867",37.8,-8.8,83.72
"12868",37.8,-8.6,94.39
"12869",37.8,-8.4,97.5
"12870",37.8,-8.2,50.62
"12871",37.8,-8,67.59
"12872",37.8,-7.8,94.84
"12873",37.8,-7.6,82.69
"12874",37.8,-7.4,57.66
"12875",37.6,-8.8,73.73
"12876",37.6,-8.6,100.52
"12877",37.6,-8.4,111.7
"12878",37.6,-8.2,64.98
"12879",37.6,-8,60.98
"12880",37.6,-7.8,83.41
"12881",37.6,-7.6,66.02
"12882",37.4,-8.8,95.39
"12883",37.4,-8.6,116
"12884",37.4,-8.4,124.09
"12885",37.4,-8.2,127.33
"12886",37.4,-8,101.91
"12887",37.4,-7.8,99.92
"12888",37.4,-7.6,95.97
"12889",37.2,-8.8,99.39
"12890",37.2,-8.6,97.69
"12891",37.2,-8.4,98.5
"12892",37.2,-8.2,111.16
"12893",37.2,-8,98.36
"12894",37.2,-7.8,99.61
"12895",37.2,-7.6,83.77
"12896",37.2,-7.4,85
"12897",37,-9,84.52
"12898",37,-8.8,92.86
"12899",37,-8,83.08
"12900",37,-7.8,62.95
