"","Lat","Long","Lat.1"
"12721",40.6,-8.2,9.09
"12722",40.6,-8,5.31
"12723",40.6,-7.8,4.91
"12724",40.6,-7.6,7.47
"12725",40.6,-7.4,9.95
"12726",40.6,-7.2,23.55
"12727",40.6,-7,24.86
"12728",40.6,-6.8,28.8
"12729",40.4,-8.8,2.19
"12730",40.4,-8.6,3.61
"12731",40.4,-8.4,1.41
"12732",40.4,-8.2,3.27
"12733",40.4,-8,4.31
"12734",40.4,-7.8,3.77
"12735",40.4,-7.6,8.61
"12736",40.4,-7.4,9.19
"12737",40.4,-7.2,24.2
"12738",40.4,-7,25.81
"12739",40.4,-6.8,19.31
"12740",40.2,-8.8,3
"12741",40.2,-8.6,3.52
"12742",40.2,-8.4,2.23
"12743",40.2,-8.2,1.2
"12744",40.2,-8,5.77
"12745",40.2,-7.8,6.19
"12746",40.2,-7.6,6.2
"12747",40.2,-7.4,5.84
"12748",40.2,-7.2,16.11
"12749",40.2,-7,24.61
"12750",40,-8.8,4.91
"12751",40,-8.6,7
"12752",40,-8.4,5.17
"12753",40,-8.2,3.33
"12754",40,-8,5.56
"12755",40,-7.8,5.77
"12756",40,-7.6,4.36
"12757",40,-7.4,7.92
"12758",40,-7.2,17.23
"12759",40,-7,21.5
"12760",39.8,-9,2.27
"12761",39.8,-8.8,4.64
"12762",39.8,-8.6,5.44
"12763",39.8,-8.4,2.53
"12764",39.8,-8.2,3.16
"12765",39.8,-8,3.28
"12766",39.8,-7.8,5.05
"12767",39.8,-7.6,7.09
"12768",39.8,-7.4,8.28
"12769",39.8,-7.2,10.42
"12770",39.8,-7,9.7
"12771",39.6,-9,0.98
"12772",39.6,-8.8,1
"12773",39.6,-8.6,0.91
"12774",39.6,-8.4,0.27
"12775",39.6,-8.2,0.61
"12776",39.6,-8,2.03
"12777",39.6,-7.8,4.19
"12778",39.6,-7.6,9.39
"12779",39.6,-7.4,8.8
"12780",39.4,-9.4,0.23
"12781",39.4,-9.2,0.34
"12782",39.4,-9,0.69
"12783",39.4,-8.8,0.3
"12784",39.4,-8.6,0.09
"12785",39.4,-8.4,0.44
"12786",39.4,-8.2,0.06
"12787",39.4,-8,3.14
"12788",39.4,-7.8,5.48
"12789",39.4,-7.6,6.39
"12790",39.4,-7.4,11.88
"12791",39.2,-9.4,0.17
"12792",39.2,-9.2,0.14
"12793",39.2,-9,0.05
"12794",39.2,-8.8,0.08
"12795",39.2,-8.6,0.02
"12796",39.2,-8.4,0.2
"12797",39.2,-8.2,0.38
"12798",39.2,-8,1.7
"12799",39.2,-7.8,0.8
"12800",39.2,-7.6,3.5
"12801",39.2,-7.4,2.81
"12802",39.2,-7.2,0.66
"12803",39,-9.4,0.41
"12804",39,-9.2,0.44
"12805",39,-9,0
"12806",39,-8.8,0.02
"12807",39,-8.6,0.03
"12808",39,-8.4,1.17
"12809",39,-8.2,0.2
"12810",39,-8,1.89
"12811",39,-7.8,3.08
"12812",39,-7.6,3.34
"12813",39,-7.4,0.45
"12814",39,-7.2,0.39
"12815",39,-7,0
"12816",38.8,-9.4,0.33
"12817",38.8,-9.2,0.33
"12818",38.8,-9,0.27
"12819",38.8,-8.8,0
"12820",38.8,-8.6,0
"12821",38.8,-8.4,0.94
"12822",38.8,-8.2,0.94
"12823",38.8,-8,0.83
"12824",38.8,-7.8,1.17
"12825",38.8,-7.6,1.34
"12826",38.8,-7.4,0.69
"12827",38.8,-7.2,0
"12828",38.6,-9.2,0.27
"12829",38.6,-9,0.53
"12830",38.6,-8.8,0.27
"12831",38.6,-8.6,0
"12832",38.6,-8.4,0
"12833",38.6,-8.2,0.09
"12834",38.6,-8,0.25
"12835",38.6,-7.8,0.27
"12836",38.6,-7.6,0.39
"12837",38.6,-7.4,0.19
"12838",38.4,-9.2,0.53
"12839",38.4,-9,0.53
"12840",38.4,-8.8,0.05
"12841",38.4,-8.6,0
"12842",38.4,-8.4,0
"12843",38.4,-8.2,0.08
"12844",38.4,-8,0.47
"12845",38.4,-7.8,0.39
"12846",38.4,-7.6,0.22
"12847",38.4,-7.4,0.17
"12848",38.2,-8.8,0
"12849",38.2,-8.6,0
"12850",38.2,-8.4,0
"12851",38.2,-8.2,0.27
"12852",38.2,-8,0.58
"12853",38.2,-7.8,0.25
"12854",38.2,-7.6,0.41
"12855",38.2,-7.4,0.77
"12856",38.2,-7.2,1.09
"12857",38.2,-7,1.05
"12858",38,-8.8,0.06
"12859",38,-8.6,0
"12860",38,-8.4,0
"12861",38,-8.2,0
"12862",38,-8,0.16
"12863",38,-7.8,0.11
"12864",38,-7.6,0.09
"12865",38,-7.4,1.2
"12866",38,-7.2,2.59
"12867",37.8,-8.8,0.47
"12868",37.8,-8.6,0
"12869",37.8,-8.4,0
"12870",37.8,-8.2,0
"12871",37.8,-8,0
"12872",37.8,-7.8,0.05
"12873",37.8,-7.6,0.91
"12874",37.8,-7.4,6.59
"12875",37.6,-8.8,1.2
"12876",37.6,-8.6,0.27
"12877",37.6,-8.4,0
"12878",37.6,-8.2,0
"12879",37.6,-8,0.03
"12880",37.6,-7.8,0.02
"12881",37.6,-7.6,1.59
"12882",37.4,-8.8,0.98
"12883",37.4,-8.6,0.36
"12884",37.4,-8.4,0.02
"12885",37.4,-8.2,0
"12886",37.4,-8,0
"12887",37.4,-7.8,0.81
"12888",37.4,-7.6,6.16
"12889",37.2,-8.8,0.66
"12890",37.2,-8.6,0.12
"12891",37.2,-8.4,0.02
"12892",37.2,-8.2,0
"12893",37.2,-8,0
"12894",37.2,-7.8,0
"12895",37.2,-7.6,6.95
"12896",37.2,-7.4,3.5
"12897",37,-9,1.23
"12898",37,-8.8,0.66
"12899",37,-8,0
"12900",37,-7.8,0
