"","Lat","Long","Prec..mm."
"12811",39,-7.8,13.41
"12812",39,-7.6,18.31
"12813",39,-7.4,15.06
"12814",39,-7.2,13.05
"12815",39,-7,10.77
"12816",38.8,-9.4,44.52
"12817",38.8,-9.2,47.62
"12818",38.8,-9,50.64
"12819",38.8,-8.8,37.06
"12820",38.8,-8.6,34.39
"12821",38.8,-8.4,30.94
"12822",38.8,-8.2,26.69
"12823",38.8,-8,19.81
"12824",38.8,-7.8,18.33
"12825",38.8,-7.6,13.8
"12826",38.8,-7.4,11.42
"12827",38.8,-7.2,8.69
"12828",38.6,-9.2,42.42
"12829",38.6,-9,42.73
"12830",38.6,-8.8,41.41
"12831",38.6,-8.6,42.5
"12832",38.6,-8.4,38.31
"12833",38.6,-8.2,24.28
"12834",38.6,-8,22.55
"12835",38.6,-7.8,17.66
"12836",38.6,-7.6,13.67
"12837",38.6,-7.4,8.48
"12838",38.4,-9.2,45.33
"12839",38.4,-9,43.98
"12840",38.4,-8.8,43.78
"12841",38.4,-8.6,45.89
"12842",38.4,-8.4,42.97
"12843",38.4,-8.2,28.45
"12844",38.4,-8,23.86
"12845",38.4,-7.8,25
"12846",38.4,-7.6,20.11
"12847",38.4,-7.4,10.48
"12848",38.2,-8.8,40.89
"12849",38.2,-8.6,48.45
"12850",38.2,-8.4,46.39
"12851",38.2,-8.2,34.62
"12852",38.2,-8,23.09
"12853",38.2,-7.8,32.73
"12854",38.2,-7.6,22.83
"12855",38.2,-7.4,11.05
"12856",38.2,-7.2,3.59
"12857",38.2,-7,4
"12858",38,-8.8,41.91
"12859",38,-8.6,47.81
"12860",38,-8.4,48.34
"12861",38,-8.2,42.95
"12862",38,-8,38
"12863",38,-7.8,26.45
"12864",38,-7.6,15.56
"12865",38,-7.4,9.06
"12866",38,-7.2,3.3
"12867",37.8,-8.8,34.06
"12868",37.8,-8.6,46.84
"12869",37.8,-8.4,49.5
"12870",37.8,-8.2,48.69
"12871",37.8,-8,52.98
"12872",37.8,-7.8,31.11
"12873",37.8,-7.6,18.58
"12874",37.8,-7.4,0.91
"12875",37.6,-8.8,18
"12876",37.6,-8.6,48.22
"12877",37.6,-8.4,48.94
"12878",37.6,-8.2,52.89
"12879",37.6,-8,54.94
"12880",37.6,-7.8,58.8
"12881",37.6,-7.6,17.06
"12882",37.4,-8.8,31
"12883",37.4,-8.6,52.38
"12884",37.4,-8.4,54.8
"12885",37.4,-8.2,68.53
"12886",37.4,-8,66.48
"12887",37.4,-7.8,66.66
"12888",37.4,-7.6,42.44
"12889",37.2,-8.8,32.5
"12890",37.2,-8.6,39.58
"12891",37.2,-8.4,45.38
"12892",37.2,-8.2,68.97
"12893",37.2,-8,53.55
"12894",37.2,-7.8,37.81
"12895",37.2,-7.6,29.78
"12896",37.2,-7.4,8.09
"12897",37,-9,38.22
"12898",37,-8.8,34.39
"12899",37,-8,43.53
"12900",37,-7.8,22.47
