"Muni_ID","ID","Muni","Crop_offake","Res_burnt","Res_removed","Fodder_offtake","total_Noutputs"
1008,"1641008","Figueiró dos Vinhos",17.53,0.72,6.87,18.46,43.58
606,"1640606","Góis",25.4,0.29,12.29,42.96,80.94
607,"1640607","Lousã",21.63,0.35,9.88,29.3,61.16
609,"1640609","Miranda do Corvo",12.98,0.72,5.62,17.41,36.73
611,"1640611","Oliveira do Hospital",12.49,0.37,11.76,30.25,54.87
612,"1640612","Pampilhosa da Serra",9.11,0.68,3.03,13.4,26.22
1013,"1641013","Pedrógão Grande",17.39,0.5,6.57,16.6,41.06
614,"1640614","Penela",9.28,0.57,6.87,28.67,45.39
616,"1640616","Tábua",16.2,0.3,10.7,28.8,56
617,"1640617","Vila Nova de Poiares",25.65,0.4,13.73,21.82,61.6
901,"1650901","Aguiar da Beira",25.21,0.54,12.49,41.21,79.45
1802,"1651802","Carregal do Sal",15.02,0.64,8.37,21.89,45.92
1803,"1651803","Castro Daire",30.53,0.19,15.56,37.26,83.54
1806,"1651806","Mangualde",18.99,0.64,10.62,21.94,52.19
1808,"1651808","Mortágua",42.59,0.41,19.12,64.64,126.76
1809,"1651809","Nelas",8.4,0.98,3.65,13.54,26.57
1810,"1651810","Oliveira de Frades",58.86,0.3,27.76,74.6,161.52
1811,"1651811","Penalva do Castelo",24.15,1.02,10,13.89,49.06
1814,"1651814","Santa Comba Dão",16.28,0.35,13.19,32.89,62.71
1816,"1651816","São Pedro do Sul",36.55,0.28,18.34,45.21,100.38
1817,"1651817","Sátão",33.18,0.63,14.96,34.1,82.87
1821,"1651821","Tondela",24.56,0.78,10.41,34.86,70.61
1822,"1651822","Vila Nova de Paiva",25.2,0.21,13.55,51.47,90.43
1823,"1651823","Viseu",28.39,0.85,11.87,21.66,62.77
1824,"1651824","Vouzela",42.03,0.39,19.17,54.55,116.14
1413,"1661413","Mação",2.34,0.55,0.78,23.25,26.92
506,"1660506","Oleiros",5.93,0.58,2.6,16.2,25.31
508,"1660508","Proença-a-Nova",2.42,0.43,1.8,16.42,21.07
509,"1660509","Sertã",6.34,0.56,3.08,25,34.98
510,"1660510","Vila de Rei",4.61,0.63,1.87,16.08,23.19
905,"1670905","Fornos de Algodres",13.15,0.28,7.33,19.91,40.67
906,"1670906","Gouveia",2.78,0.46,4.29,17.56,25.09
912,"1670912","Seia",3.21,0.48,2.41,24.78,30.88
902,"1680902","Almeida",0.41,0.07,4.09,28.42,32.99
903,"1680903","Celorico da Beira",1.83,0.15,4.11,23.13,29.22
904,"1680904","Figueira de Castelo Rodrigo",1.11,0.4,2.71,15.82,20.04
907,"1680907","Guarda",2.2,0.21,6.32,26.61,35.34
908,"1680908","Manteigas",2.77,0.4,3.28,40.61,47.06
909,"1680909","Mêda",2.92,1.04,2.18,10.47,16.61
910,"1680910","Pinhel",2.11,0.55,3.36,21.69,27.71
911,"1680911","Sabugal",1.66,0.08,5.44,29.91,37.09
913,"1680913","Trancoso",3.22,0.72,4.04,23.73,31.71
502,"1690502","Castelo Branco",0.96,0.17,3.64,18.45,23.22
505,"1690505","Idanha-a-Nova",1.38,0.07,5.85,23.69,30.99
507,"1690507","Penamacor",2.55,0.2,3.97,23.8,30.52
511,"1690511","Vila Velha de Ródão",1.25,0.27,2.88,19.4,23.8
501,"16A0501","Belmonte",5.37,0.68,4.87,24.21,35.13
503,"16A0503","Covilhã",4.29,0.64,3.66,29.67,38.26
504,"16A0504","Fundão",3.09,0.42,3.36,21.75,28.62
1001,"16B1001","Alcobaça",14.04,1.56,5.88,33.67,55.15
1101,"16B1101","Alenquer",10.64,0.98,5.04,11.26,27.92
1102,"16B1102","Arruda dos Vinhos",9.32,0.79,4.9,21.04,36.05
1005,"16B1005","Bombarral",7.13,2.54,0.99,11.44,22.1
1104,"16B1104","Cadaval",6.28,2.43,0.64,15.12,24.47
1006,"16B1006","Caldas da Rainha",13.4,2.16,4.54,13.86,33.96
1108,"16B1108","Lourinhã",20.89,0.52,9.59,37.04,68.04
1011,"16B1011","Nazaré",13.87,0.69,5.68,84.74,104.98
1012,"16B1012","Óbidos",11.05,1.91,3.04,7.38,23.38
1014,"16B1014","Peniche",21.55,0.16,7.8,17,46.51
1112,"16B1112","Sobral de Monte Agraço",14.57,0.42,7.41,63.9,86.3
1113,"16B1113","Torres Vedras",14.02,0.99,6.05,31.57,52.63
1401,"16C1401","Abrantes",16.19,0.36,9.26,16.23,42.04
1402,"16C1402","Alcanena",4.96,0.35,3.85,34.96,44.12
1408,"16C1408","Constância",125.32,0.79,49.37,3.88,179.36
1410,"16C1410","Entroncamento",41.63,0.24,16.72,12.43,71.02
1411,"16C1411","Ferreira do Zêzere",6.78,0.79,2.38,16.66,26.61
1421,"16C1421","Ourém",25.77,0.7,9.37,24.74,60.58
1417,"16C1417","Sardoal",5.74,0.63,2.7,15.21,24.28
1418,"16C1418","Tomar",25.86,0.64,11.18,19,56.68
1419,"16C1419","Torres Novas",27.5,0.63,11.64,10.68,50.45
1420,"16C1420","Vila Nova da Barquinha",26.77,0.28,10.97,10.98,49
1115,"1711115","Amadora",0.64,0.08,4.67,26.38,31.77
1105,"1711105","Cascais",4.47,0.57,2.31,22.82,30.17
1106,"1711106","Lisboa",4.27,0.15,4.04,5.39,13.85
1107,"1711107","Loures",8.55,0.23,4.51,56.01,69.3
1109,"1711109","Mafra",14.82,0.71,7.79,55.11,78.43
1116,"1711116","Odivelas",0.95,0.07,4.2,41.77,46.99
1110,"1711110","Oeiras",1.89,0.67,0.65,3.34,6.55
1111,"1711111","Sintra",16.82,0.18,11,35.32,63.32
1114,"1711114","Vila Franca de Xira",41.8,5.87,21.93,24.47,94.07
1502,"1721502","Alcochete",10.18,1.38,8.44,26.99,46.99
1503,"1721503","Almada",13.93,0.11,5.9,52.94,72.88
1504,"1721504","Barreiro",9.55,0.18,8.27,90.47,108.47
1506,"1721506","Moita",9.31,0.14,6.15,241.75,257.35
1507,"1721507","Montijo",17.21,0.82,9.97,27.02,55.02
1508,"1721508","Palmela",9.99,1.05,6.79,36.08,53.91
1510,"1721510","Seixal",0.35,0.1,4.49,15.05,19.99
1511,"1721511","Sesimbra",4.26,0.4,7.95,13.34,25.95
1512,"1721512","Setúbal",4.71,1.02,3.76,25.17,34.66
1501,"1811501","Alcácer do Sal",9.51,2.42,6.86,19.87,38.66
1505,"1811505","Grândola",7.31,1.09,4.51,16.06,28.97
211,"1810211","Odemira",6.02,0.26,5.94,27.25,39.47
1509,"1811509","Santiago do Cacém",7.85,0.49,6.52,23.57,38.43
1513,"1811513","Sines",3.15,0.04,4.59,22.78,30.56
1201,"1821201","Alter do Chão",0.98,0.07,5.75,28.87,35.67
1202,"1821202","Arronches",2.2,0.06,5.29,31.45,39
1203,"1821203","Avis",4.1,0.15,5.66,20.78,30.69
1204,"1821204","Campo Maior",11.06,0.24,7.65,26.1,45.05
1205,"1821205","Castelo de Vide",0.39,0.06,5.23,23.76,29.44
1206,"1821206","Crato",0.95,0.11,5.07,31.35,37.48
1207,"1821207","Elvas",5.93,0.17,6.45,29.98,42.53
1208,"1821208","Fronteira",8.75,0.12,9.49,24.06,42.42
1209,"1821209","Gavião",1.94,0.12,5.52,11.15,18.73
1210,"1821210","Marvão",1.21,0.28,5.17,21.36,28.02
1211,"1821211","Monforte",2.13,0.05,5.91,36.59,44.68
707,"1820707","Mora",4.18,0.05,6.42,19.79,30.44
1212,"1821212","Nisa",0.67,0.1,5.31,20.75,26.83
1213,"1821213","Ponte de Sor",3.78,0.21,5.92,13.19,23.1
1214,"1821214","Portalegre",1.18,0.16,5.04,31.17,37.55
701,"1830701","Alandroal",4.95,0.19,6.62,25.28,37.04
702,"1830702","Arraiolos",3.12,0.08,5.67,26.01,34.88
703,"1830703","Borba",5.45,0.46,4.52,24.42,34.85
704,"1830704","Estremoz",4.5,0.19,4.89,21.22,30.8
705,"1830705","Évora",4.23,0.11,6.98,26.08,37.4
706,"1830706","Montemor-o-Novo",1.88,0.28,5.69,29.67,37.52
708,"1830708","Mourão",2.16,0.07,5.33,24.97,32.53
709,"1830709","Portel",2.56,0.08,5.43,24.57,32.64
710,"1830710","Redondo",4.57,0.21,5.51,26.01,36.3
711,"1830711","Reguengos de Monsaraz",4.07,0.29,5.32,19.27,28.95
1215,"1831215","Sousel",4.11,0.2,4.51,22.12,30.94
712,"1830712","Vendas Novas",3.44,0.62,6.94,19.26,30.26
713,"1830713","Viana do Alentejo",4.85,0.13,6.78,25.98,37.74
714,"1830714","Vila Viçosa",2.23,0.12,5.6,30.36,38.31
201,"1840201","Aljustrel",10.83,0.14,6.98,16.96,34.91
202,"1840202","Almodôvar",2.7,0.03,3.77,14.9,21.4
203,"1840203","Alvito",2.27,0.08,5.66,28.43,36.44
204,"1840204","Barrancos",0.14,0.03,5.29,27.85,33.31
205,"1840205","Beja",9.47,0.12,7.53,12.76,29.88
206,"1840206","Castro Verde",5.5,0.05,4.89,17.93,28.37
207,"1840207","Cuba",5.67,0.17,6.7,21.4,33.94
208,"1840208","Ferreira do Alentejo",8.57,0.36,5.8,14.67,29.4
209,"1840209","Mértola",2.92,0.05,5.81,13.74,22.52
210,"1840210","Moura",3.59,0.2,4.86,19.44,28.09
212,"1840212","Ourique",4.95,0.04,6.36,19.41,30.76
213,"1840213","Serpa",4.85,0.18,4.42,17.98,27.43
214,"1840214","Vidigueira",5.14,0.32,4.67,13.79,23.92
1403,"1851403","Almeirim",34.43,1.84,13.41,2.97,52.65
1404,"1851404","Alpiarça",56.53,0.78,22.08,6.59,85.98
1103,"1851103","Azambuja",19.25,1.81,9.88,20.79,51.73
1405,"1851405","Benavente",20.94,3.83,14.22,40.89,79.88
1406,"1851406","Cartaxo",31.18,0.79,11.91,14.78,58.66
1407,"1851407","Chamusca",25.53,0.85,14.98,16.68,58.04
1409,"1851409","Coruche",25.47,2.05,13.47,18.91,59.9
1412,"1851412","Golegã",176.47,0.6,71.62,3.05,251.74
1414,"1851414","Rio Maior",16.42,0.59,8.16,19.12,44.29
1415,"1851415","Salvaterra de Magos",53.05,2.12,23.25,22.89,101.31
1416,"1851416","Santarém",31.8,0.47,13.56,25.15,70.98
801,"1500801","Albufeira",5.07,2.58,0.87,10.26,18.78
802,"1500802","Alcoutim",0.82,0.93,1.22,7.15,10.12
803,"1500803","Aljezur",6.95,0.21,5.93,29.38,42.47
804,"1500804","Castro Marim",1.73,1.34,2.67,11.79,17.53
805,"1500805","Faro",6.61,2.56,0.59,5.99,15.75
806,"1500806","Lagoa",12.45,5.65,6.21,10.96,35.27
807,"1500807","Lagos",3.51,0.82,2.91,22.32,29.56
808,"1500808","Loulé",3.27,2,1.3,6.83,13.4
809,"1500809","Monchique",5.88,0.83,4.88,12.89,24.48
810,"1500810","Olhão",7.52,3.07,0.05,3.72,14.36
811,"1500811","Portimão",3.84,1.25,2.86,24.24,32.19
812,"1500812","São Brás de Alportel",2.06,1.18,0.52,1.38,5.14
813,"1500813","Silves",8.12,2.51,2.52,11.71,24.86
814,"1500814","Tavira",4.43,1.91,0.89,3.4,10.63
815,"1500815","Vila do Bispo",2.35,0.2,4.78,21.42,28.75
816,"1500816","Vila Real de Santo António",2.58,0.88,0.99,6.81,11.26
