"Muni_ID","ID","Muni","AtmN","BNF","SludgeN","FertN","Gross_manureN","total_Ninputs"
1702,"1181702","Boticas",81281.89,30877.2,0,0,439241.7888,551400.8788
402,"1180402","Bragança",167904.46,27202.4,4.84,1600367.3,700135.2212,2495614.2212
1703,"1181703","Chaves",89997.6,14635.7,6.27,16637.78,1098560.1244,1219837.4744
405,"1180405","Macedo de Cavaleiros",115337.87,12017.2,3.18,278720.59,565842.9436,971921.7836
406,"1180406","Miranda do Douro",92923.38,22667.9,0,0,603374.113,718965.393
407,"1180407","Mirandela",143043.84,6918.8,8.17,591725.1,512371.6142,1254067.5242
408,"1180408","Mogadouro",180711.47,22855.2,0,422499.74,902879.0974,1528945.5074
1706,"1181706","Montalegre",248898.32,135853.2,0.27,419.05,1000672.4724,1385843.3124
1707,"1181707","Murça",20766.24,1927.6,0.62,85334.68,64213.3654,172242.5054
1712,"1181712","Valpaços",130234.66,7442.8,0.98,1144269.63,345788.2682,1627736.3382
1713,"1181713","Vila Pouca de Aguiar",65074.32,23413.9,0,11485.03,591649.0054,691622.2554
411,"1180411","Vimioso",83415.25,12758.9,0.02,255725.31,262210.6878,614110.1678
412,"1180412","Vinhais",87034.64,13954.2,0.02,1127492.81,448085.519,1676567.189
101,"1610101","Águeda",10904.19,829.6,0.44,5710.23,448777.2426,466221.7026
102,"1610102","Albergaria-a-Velha",7991.4,1058.9,0,3336.87,711626.1886,724013.3586
103,"1610103","Anadia",15024.56,1392.4,0,29764.76,288142.8463,334324.5663
105,"1610105","Aveiro",9405.12,2092.2,26.89,423005.4,201056.6631,635586.2731
108,"1610108","Estarreja",12660.27,2028.9,0,120973.7,716665.3718,852328.2418
110,"1610110","Ílhavo",3246.9,128,20.02,15722.08,223195.295,242312.295
111,"1610111","Mealhada",8010.52,342.6,2.13,10599.13,312298.1687,331252.5487
112,"1610112","Murtosa",6753.9,392.9,0,89764.94,410265.4526,507177.1926
114,"1610114","Oliveira do Bairro",6689.04,621.5,0.32,46427.45,146605.3053,200343.6153
115,"1610115","Ovar",5888.96,193.9,0.43,11997.2,687449.8118,705530.3018
117,"1610117","Sever do Vouga",2546.64,921.6,0,1241.63,438080.6753,442790.5453
118,"1610118","Vagos",9140.04,1128.4,0,94448.6,381742.7294,486459.7694
602,"1620602","Cantanhede",28528.5,3214.3,0.3,126879.68,731114.2663,889737.0463
603,"1620603","Coimbra",21287.2,2858.9,34.72,817440.71,189322.8022,1030944.3322
604,"1620604","Condeixa-a-Nova",7140,2706.5,2.36,112833.8,58857.6641,181540.3241
605,"1620605","Figueira da Foz",18344.97,2652.7,21.8,104695.53,568646.6791,694361.6791
608,"1620608","Mira",3309.39,417.1,0,38102.38,313328.0012,355156.8712
610,"1620610","Montemor-o-Velho",24073.95,3976.7,0.05,1176152.24,906279.2319,2110482.1719
613,"1620613","Penacova",2490.02,1326.9,0.81,2577.78,60457.23,66852.74
615,"1620615","Soure",15673.6,3885.4,6.97,47295.94,1125384.7603,1192246.6703
1004,"1631004","Batalha",3122.08,949.1,0.11,12773.22,244342.6933,261187.2033
1009,"1631009","Leiria",12126.3,4616.2,32.16,93867.23,3114327.503,3224969.393
1010,"1631010","Marinha Grande",515.9,173.1,0,10904.96,10280.05,21874.01
1015,"1631015","Pombal",14542.32,9064.1,21.12,44464.45,914089.8111,982181.8011
1016,"1631016","Porto de Mós",9547.5,6406,0,8242,1161109.402,1185304.902
1002,"1641002","Alvaiázere",4657.25,1674.1,0,1211.99,117039.2437,124582.5837
1003,"1641003","Ansião",7695.8,4839.7,0.61,1350.27,255729.9779,269616.3579
601,"1640601","Arganil",5011.64,1975.5,0,1194.52,86445.2137,94626.8737
1007,"1641007","Castanheira de Pêra",262.8,86.7,0,0,6602.13,6951.63
1008,"1641008","Figueiró dos Vinhos",756.36,183.9,0,0,19948.91,20889.17
606,"1640606","Góis",499.8,325.1,0,310.41,40218.55,41353.86
607,"1640607","Lousã",1508.8,621,0.15,3723.63,81342.54,87196.12
609,"1640609","Miranda do Corvo",2508.33,718.8,0,3771.44,26798.6274,33797.1974
611,"1640611","Oliveira do Hospital",10702.8,4089.7,1.3,156552.72,1017384.8079,1188731.3279
612,"1640612","Pampilhosa da Serra",1586.78,177.4,0,2011.29,19045.7,22821.17
1013,"1641013","Pedrógão Grande",1854.4,205.2,0,13256.66,17454.55,32770.81
614,"1640614","Penela",4591.86,1559.9,0,27854.2,45299.0391,79304.9991
616,"1640616","Tábua",7493.85,3502.9,0,1754.5,94345.3279,107096.5779
617,"1640617","Vila Nova de Poiares",999.63,407,0,1133.69,13625.2832,16165.6032
901,"1650901","Aguiar da Beira",10406.53,5127.5,0,419.05,462122.1319,478075.2119
1802,"1651802","Carregal do Sal",4635.61,1257.1,0,2095.24,160848.9116,168836.8616
1803,"1651803","Castro Daire",11842.56,6361.4,0,1552.03,342400.6093,362156.5993
1806,"1651806","Mangualde",16042.39,4383.4,0,53022.57,180697.74,254146.1
1808,"1651808","Mortágua",3001.05,836.5,0,2172.84,406293.5171,412303.9071
1809,"1651809","Nelas",9469.98,1962,0,2716.05,185257.89,199405.92
1810,"1651810","Oliveira de Frades",8353.29,2532.7,1.39,0,1075166.6,1086053.98
1811,"1651811","Penalva do Castelo",14164.2,2722.9,0,44068.22,87679.7959,148635.1159
1814,"1651814","Santa Comba Dão",7256.48,2505,0.06,4781.67,358064.8579,372608.0679
1816,"1651816","São Pedro do Sul",22072.38,7790.1,5.77,16970.48,853857.9496,900696.6796
1817,"1651817","Sátão",13169.97,4545.3,0,4702.66,487614.0011,510031.9311
1821,"1651821","Tondela",20703.54,5537.6,8.35,18353.75,1053679.9544,1098283.1944
1822,"1651822","Vila Nova de Paiva",8042.04,2231,0,0,395720.9899,405994.0299
1823,"1651823","Viseu",30766.56,8882.7,3.6,6891.73,403019.3081,449563.8981
1824,"1651824","Vouzela",11563.14,4061.6,2.56,1257.15,734087.4945,750971.9445
1413,"1661413","Mação",8445.96,305.2,0,6879.39,66475.5279,82106.0779
506,"1660506","Oleiros",6477.99,332.2,0,0,129317.49,136127.68
508,"1660508","Proença-a-Nova",18286,2328.3,0,99324.25,110461.6679,230400.2179
509,"1660509","Sertã",12413.52,1050.7,0,310.41,220892.0371,234666.6671
510,"1660510","Vila de Rei",1203.6,112.1,0,0,31379.19,32694.89
905,"1670905","Fornos de Algodres",17196.31,3170.7,0,58219.58,102784.5612,181371.1512
906,"1670906","Gouveia",39555.6,8264.8,0,18329.5,184289.8511,250439.7511
912,"1670912","Seia",27333.02,3436.5,6.6,23733.87,168046.0674,222556.0574
902,"1680902","Almeida",102193.8,35205.7,0.13,0,605833.2199,743232.8499
903,"1680903","Celorico da Beira",42139.68,10910.9,0,25632.75,193090.8537,271774.1837
904,"1680904","Figueira de Castelo Rodrigo",118837.74,26851,0.01,528488.56,368703.0378,1042880.3478
907,"1680907","Guarda",93160.32,36883.9,7.74,4526.07,564758.5242,699336.5542
908,"1680908","Manteigas",1509.12,272.7,0.03,419.05,15072.4432,17273.3432
909,"1680909","Mêda",50891.5,5794,0,73397.49,133010.8827,263093.8727
910,"1680910","Pinhel",81046.68,21988.3,0.21,24764.4,464273.2748,592072.8648
911,"1680911","Sabugal",102574.35,39760.9,0.14,729.46,623918.4661,766983.3161
913,"1680913","Trancoso",57850,12814.1,0,222553.65,292099.3806,585317.1306
502,"1690502","Castelo Branco",228350.69,62195.4,0,604491.68,812368.2977,1707406.0677
505,"1690505","Idanha-a-Nova",412001.84,157746.6,0,768508.74,1861641.4994,3199898.6794
507,"1690507","Penamacor",57050.64,15235.9,0,270788.03,289002.8787,632077.4487
511,"1690511","Vila Velha de Ródão",29354,5300.9,0,209032.74,117664.1145,361351.7545
501,"16A0501","Belmonte",27395.3,3764.4,0.02,26787.99,123749.2472,181696.9572
503,"16A0503","Covilhã",60758.96,8251.5,0.01,23513.28,345847.2611,438371.0111
504,"16A0504","Fundão",111339.36,21330.7,2.51,63814.72,632957.668,829444.958
1001,"16B1001","Alcobaça",27622.79,8001.3,0.04,125106.4,1542856.3812,1703586.9112
1101,"16B1101","Alenquer",49316.85,6834.4,3.55,189530.19,465152.1074,710837.0974
1102,"16B1102","Arruda dos Vinhos",9743.36,2973.8,0,13265.5,150473.4807,176456.1407
1005,"16B1005","Bombarral",17079.14,835.5,0,100803.02,628220.213,746937.873
1104,"16B1104","Cadaval",20816.64,1135.8,0,5307.95,337922.2462,365182.6362
1006,"16B1006","Caldas da Rainha",16675.55,2987,19.27,77182.56,779577.4437,876441.8237
1108,"16B1108","Lourinhã",22556,7738.4,2.58,624553.25,1761411.7263,2416261.9563
1011,"16B1011","Nazaré",4102.76,560.5,1.81,116214.71,129354.4272,250234.2072
1012,"16B1012","Óbidos",12687.5,1748.1,64.84,203392.34,402792.1402,620684.9202
1014,"16B1014","Peniche",9277.35,3133.1,16.22,545849.7,179616.5532,737892.9232
1112,"16B1112","Sobral de Monte Agraço",10341.79,1668.8,0,41538.76,261427.8716,314977.2216
1113,"16B1113","Torres Vedras",67433.12,8987.2,6.15,561820.11,1790581.2853,2428827.8653
1401,"16C1401","Abrantes",51272.55,24137.2,4.41,521583.35,237663.0742,834660.5842
1402,"16C1402","Alcanena",18320.94,4731.3,0,264678.25,161378.0038,449108.4938
1408,"16C1408","Constância",2991.28,423.9,0,180287.64,2083.06,185785.88
1410,"16C1410","Entroncamento",2626.54,172.8,0,99801.44,6004.68,108605.46
1411,"16C1411","Ferreira do Zêzere",14483.2,889.3,0,3755.92,1377582.36,1396710.78
1421,"16C1421","Ourém",33137.16,3264.3,24.84,4904.42,1313972.5547,1355303.2747
1417,"16C1417","Sardoal",8580.18,542,0.14,99216.97,23467.71,131807
1418,"16C1418","Tomar",49068,4338.6,42.4,5447.63,782201.384,841098.014
1419,"16C1419","Torres Novas",58386.4,2634.7,0,54988.5,271469.7844,387479.3844
1420,"16C1420","Vila Nova da Barquinha",2841.44,197.1,0,58743.77,4862.58,66644.89
1115,"1711115","Amadora",424.56,132.3,0.130382476851588,923.97,1448.08,2929.04038247685
1105,"1711105","Cascais",1756.17,133.4,0.506567983833217,19691.29,5419.8261,27001.1926679838
1106,"1711106","Lisboa",389.76,32.7,0.123970223891673,11535.89,316.26,12274.7339702239
1107,"1711107","Loures",32402.16,4138.6,9.160972062064,360738.28,368926.7545,766214.955472062
1109,"1711109","Mafra",50608.7,11247.4,19.8480603285876,362173.08,913129.4658,1337178.49386033
1116,"1711116","Odivelas",3344,877.5,1.01527338531974,1986.6,19223.2835,25432.3987733853
1110,"1711110","Oeiras",779,29.7,0.213741765330471,8563.93,300.2,9673.04374176533
1111,"1711111","Sintra",30418.77,5407.4,11.0012886615594,263423.5,221037.3704,520298.041688662
1114,"1711114","Vila Franca de Xira",97516.32,22612.2,28.7097939191889,2576758.76,306577.9298,3003493.91959392
1502,"1721502","Alcochete",23220,7162.6,7.21378457990341,193522.89,135719.89,359632.59378458
1503,"1721503","Almada",1980.08,1252.5,0.906265085001199,83251.01,23438.6314,109923.127665085
1504,"1721504","Barreiro",921.3,237.1,0.354811330448583,3771.44,15867.39,20797.5848113304
1506,"1721506","Moita",4417.28,969.1,1.98352358226677,31490.73,211054.5203,247933.613823582
1507,"1721507","Montijo",72367.89,23564.6,32.0249286994645,230040.62,1364212.4948,1690217.6297287
1508,"1721508","Palmela",151490.91,41309,62.3890838823113,322853.72,1455365.6324,1971081.65148388
1510,"1721510","Seixal",3382.72,1420.2,1.45771883955382,419.05,10557.5774,15781.0051188396
1511,"1721511","Sesimbra",8723.2,3690.6,3.96704716453355,112885.77,25851.4522,151154.989247165
1512,"1721512","Setúbal",13581.36,3465.6,6.20278602989028,46996.34,78080.4261,142129.92888603
1501,"1811501","Alcácer do Sal",463416.22,171138.5,0,4922169.05,1985400.7846,7542124.5546
1505,"1811505","Grândola",184380.42,69182.9,0.64,38513.92,1091596.0414,1383673.9214
211,"1810211","Odemira",359244.88,125382.3,0.03,1145558.07,1945380.272,3575565.552
1509,"1811509","Santiago do Cacém",294044.24,94961.7,0,248651.35,1785353.5952,2423010.8852
1513,"1811513","Sines",39444.72,13513.8,8.73,183442.04,202907.2654,439316.5554
1201,"1821201","Alter do Chão",170920.42,70924.5,0,296712.05,951616.9356,1490173.9056
1202,"1821202","Arronches",122472.12,48184,0.21,48576.71,844727.7596,1063960.7996
1203,"1821203","Avis",243487.88,91476.9,0,779637.14,986730.7186,2101332.6386
1204,"1821204","Campo Maior",87725.07,27180.4,0,1458893.22,479491.282,2053289.972
1205,"1821205","Castelo de Vide",103644.16,48583.8,0.71,202059.26,481097.38,835385.31
1206,"1821206","Crato",137764.99,59632,0.3,931.22,886637.1358,1084965.6458
1207,"1821207","Elvas",247938.6,103188.5,4.44,614249.8,1696211.0574,2661592.3974
1208,"1821208","Fronteira",122917.08,42665.7,0,1073874.53,500468.9162,1739926.2262
1209,"1821209","Gavião",64778.35,33632,0.03,165245.98,164576.83,428233.19
1210,"1821210","Marvão",46450.8,20335.6,0.31,265711.37,179861.2754,512359.3554
1211,"1821211","Monforte",172480,84335.7,0,374697.82,1423177.045,2054690.565
707,"1820707","Mora",192606,92395.5,0,504340.09,808484.6982,1597826.2882
1212,"1821212","Nisa",132923,67563.9,1.7,400984.83,575051.8304,1176525.2604
1213,"1821213","Ponte de Sor",278482.05,118220.6,0.34,239349.42,827193.2472,1463245.6572
1214,"1821214","Portalegre",143540.8,59651.1,17.42,381110.92,857942.2766,1442262.5166
701,"1830701","Alandroal",231232.32,86933.5,0,132069.81,1132376.629,1582612.259
702,"1830702","Arraiolos",259965.44,107026.7,0,117466.72,1920461.8754,2404920.7354
703,"1830703","Borba",37408.8,9016.6,0,8582.73,245439.697,300447.827
704,"1830704","Estremoz",139969.38,51809.1,0,148670.14,872818.34,1213266.96
705,"1830705","Évora",486008.25,202445,0,1029863.27,2847714.2204,4566030.7404
706,"1830706","Montemor-o-Novo",488146.5,237329.2,0.2,94565.32,3901070.7104,4721111.9304
708,"1830708","Mourão",122074.09,42928.4,0,68643.05,555316.44,788961.98
709,"1830709","Portel",246130.82,74671.5,111.81,5356.96,1363152.1784,1689423.2684
710,"1830710","Redondo",162063.66,52810.4,0,177939.33,823979.6972,1216793.0872
711,"1830711","Reguengos de Monsaraz",187527.3,43795.4,0,295049.09,585546.1864,1111917.9764
1215,"1831215","Sousel",132366.5,32460.9,0.48,642332.28,463956.3942,1271116.5542
712,"1830712","Vendas Novas",86108,33994.8,0,21914.69,766122.77,908140.26
713,"1830713","Viana do Alentejo",238312.15,87875.4,0,2079.73,1117584.3154,1445851.5954
714,"1830714","Vila Viçosa",108168.35,30471.9,0.01,178239.13,480002.7602,796882.1502
201,"1840201","Aljustrel",227722.95,52084.2,0,3274538.75,661811.9134,4216157.8134
202,"1840202","Almodôvar",248332.56,57453.2,0,39606.68,604165.6454,949558.0854
203,"1840203","Alvito",81755.4,50293.3,0.02,307413.76,656355.8502,1095818.3302
204,"1840204","Barrancos",52685.64,31206.6,0,0,399038.18,482930.42
205,"1840205","Beja",380805.21,164587.7,0.06,6281528.9,1296536.6118,8123458.4818
206,"1840206","Castro Verde",237956.53,49524.5,12.78,1408668.44,915030.5508,2611192.8008
207,"1840207","Cuba",66238.9,23209.6,0,253039.23,494096.63,836584.36
208,"1840208","Ferreira do Alentejo",242828.18,87611.8,0,1897750.14,909791.3292,3137981.4492
209,"1840209","Mértola",330366.06,221079,0,334974.84,1235569.38,2121989.28
210,"1840210","Moura",317645.7,113558.8,4.44,2268607.09,1500632.5814,4200448.6114
212,"1840212","Ourique",197091.6,94042.1,0,67922.24,1111475.0512,1470530.9912
213,"1840213","Serpa",335798.48,161276.3,0,3657857.59,1583993.8674,5738926.2374
214,"1840214","Vidigueira",102272.26,23488,0.08,1310443.92,312437.5316,1748641.7916
1403,"1851403","Almeirim",36061.08,3142.6,0.19,1638530.76,45202.8808,1722937.5108
1404,"1851404","Alpiarça",20015.8,4064.2,0,1184108.13,34164.7186,1242352.8486
1103,"1851103","Azambuja",47987.54,10558.8,0.76,656113.4,450284.1114,1164944.6114
1405,"1851405","Benavente",117471.36,44023.1,3.94,752947.68,1980496.2584,2894942.3384
1406,"1851406","Cartaxo",35099.34,1865.7,0,837465.56,1231372.7198,2105803.3198
1407,"1851407","Chamusca",160550.22,61640.9,0.96,2537714.59,528280.8174,3288187.4874
1409,"1851409","Coruche",297600.55,98467.6,1.46,3173396.01,1197922.0784,4767387.6984
1412,"1851412","Golegã",27135.18,1417.1,0.31,2818912.26,18488.3902,2865953.2402
1414,"1851414","Rio Maior",40225.36,11273.5,0,139077.6,1391948.4868,1582524.9468
1415,"1851415","Salvaterra de Magos",31772.7,19503.2,0.01,903803.05,318320.8092,1273399.7692
1416,"1851416","Santarém",139591.65,17460.6,10.25,510417.79,1645786.1288,2313266.4188
801,"1500801","Albufeira",15472.08,977.8,42.42,512364.42,34856.91,563713.63
802,"1500802","Alcoutim",84148.48,7523.8,0,724196.19,87145.3895,903013.8595
803,"1500803","Aljezur",17114.04,6286.2,1.6,84442.28,131858.57,239702.69
804,"1500804","Castro Marim",25193.61,8770.3,0,514772.32,88797.87,637534.1
805,"1500805","Faro",20435.79,786.4,0,914372.24,26756.6985,962351.1285
806,"1500806","Lagoa",8330.94,513,3.6,16761.94,37543.04,63152.52
807,"1500807","Lagos",7989.63,2047.5,10.66,66779.41,56958.443,133785.643
808,"1500808","Loulé",79717.12,7781.2,44,1775496.75,103344.8315,1966383.9015
809,"1500809","Monchique",8333.03,2633.4,0,20929.15,112630.0595,144525.6395
810,"1500810","Olhão",9281.43,29.7,4.18,561368.81,12262.51,582946.63
811,"1500811","Portimão",9091.94,2862.7,0,31630.42,79029.7455,122614.8055
812,"1500812","São Brás de Alportel",13582.66,429.3,0,190938.28,8632.3,213582.54
813,"1500813","Silves",75292.8,9382.8,5.64,1321298.49,180113.14,1586092.87
814,"1500814","Tavira",47216.96,4828,12.1,1287913.51,49951.643,1389922.213
815,"1500815","Vila do Bispo",24467.25,7727.3,0.43,93001.14,101666.5325,226862.6525
816,"1500816","Vila Real de Santo António",7858.88,721.2,0,33573.66,9666.226,51819.966
