"Muni_ID","ID","Muni","avg_atmN_muni"
1406,"1851406","Cartaxo",5.03
1407,"1851407","Chamusca",4.98
1409,"1851409","Coruche",5.33
1412,"1851412","Golegã",4.66
1414,"1851414","Rio Maior",4.36
1415,"1851415","Salvaterra de Magos",3.87
1416,"1851416","Santarém",6.05
801,"1500801","Albufeira",4.56
802,"1500802","Alcoutim",6.76
803,"1500803","Aljezur",4.11
804,"1500804","Castro Marim",3.53
805,"1500805","Faro",5.01
806,"1500806","Lagoa",5.58
807,"1500807","Lagos",3.41
808,"1500808","Loulé",5.74
809,"1500809","Monchique",3.97
810,"1500810","Olhão",3.67
811,"1500811","Portimão",3.74
812,"1500812","São Brás de Alportel",4.42
813,"1500813","Silves",6.2
814,"1500814","Tavira",4.28
815,"1500815","Vila do Bispo",5.05
816,"1500816","Vila Real de Santo António",6.56
