"Muni_ID","ID","Muni","extensive_pasture","intensive_pasture","total"
109,"1160109","Santa Maria da Feira",261.33,360,621.33
116,"1160116","São João da Madeira",0,0,0
119,"1160119","Vale de Cambra",8820,210,9030
1701,"1171701","Alijó",5856.67,90,5946.67
1801,"1171801","Armamar",387.33,150,537.33
403,"1170403","Carrazeda de Ansiães",4596.67,210,4806.67
404,"1170404","Freixo de Espada à Cinta",10374,0,10374
1805,"1171805","Lamego",9720.67,780,10500.67
1704,"1171704","Mesão Frio",23.33,0,23.33
1807,"1171807","Moimenta da Beira",6864.67,360,7224.67
1812,"1171812","Penedono",6678,0,6678
1708,"1171708","Peso da Régua",294,0,294
1710,"1171710","Sabrosa",9902.67,90,9992.67
1711,"1171711","Santa Marta de Penaguião",3644.67,0,3644.67
1815,"1171815","São João da Pesqueira",5782,0,5782
1818,"1171818","Sernancelhe",13804,570,14374
1819,"1171819","Tabuaço",1092,90,1182
1820,"1171820","Tarouca",1792,420,2212
409,"1170409","Torre de Moncorvo",20444.67,1740,22184.67
410,"1170410","Vila Flor",7980,360,8340
914,"1170914","Vila Nova de Foz Côa",7919.33,660,8579.33
1714,"1171714","Vila Real",45126.67,7380,52506.67
401,"1180401","Alfândega da Fé",10668,10710,21378
1702,"1181702","Boticas",90617.33,0,90617.33
402,"1180402","Bragança",74694.67,13170,87864.67
1703,"1181703","Chaves",38187.33,6780,44967.33
405,"1180405","Macedo de Cavaleiros",28634.67,15150,43784.67
406,"1180406","Miranda do Douro",53970,2700,56670
407,"1180407","Mirandela",14135.33,2520,16655.33
408,"1180408","Mogadouro",39666.67,2520,42186.67
1706,"1181706","Montalegre",397945.33,1950,399895.33
1707,"1181707","Murça",4354,90,4444
1712,"1181712","Valpaços",19096,210,19306
1713,"1181713","Vila Pouca de Aguiar",66000.67,7680,73680.67
411,"1180411","Vimioso",29960,150,30110
412,"1180412","Vinhais",39237.33,5280,44517.33
101,"1610101","Águeda",886.67,150,1036.67
102,"1610102","Albergaria-a-Velha",1862,300,2162
103,"1610103","Anadia",840,150,990
105,"1610105","Aveiro",1820,2700,4520
108,"1610108","Estarreja",4368,1950,6318
110,"1610110","Ílhavo",93.33,90,183.33
111,"1610111","Mealhada",392,90,482
112,"1610112","Murtosa",1036,150,1186
114,"1610114","Oliveira do Bairro",788.67,150,938.67
115,"1610115","Ovar",312.67,420,732.67
117,"1610117","Sever do Vouga",1026.67,5130,6156.67
118,"1610118","Vagos",93.33,0,93.33
602,"1620602","Cantanhede",849.33,660,1509.33
603,"1620603","Coimbra",1530.67,1320,2850.67
604,"1620604","Condeixa-a-Nova",2398.67,1740,4138.67
605,"1620605","Figueira da Foz",2258.67,870,3128.67
608,"1620608","Mira",182,0,182
610,"1620610","Montemor-o-Velho",5301.33,4260,9561.33
613,"1620613","Penacova",102.67,1320,1422.67
615,"1620615","Soure",5105.33,1170,6275.33
1004,"1631004","Batalha",354.67,90,444.67
1009,"1631009","Leiria",2123.33,4050,6173.33
1010,"1631010","Marinha Grande",182,0,182
1015,"1631015","Pombal",2053.33,3120,5173.33
1016,"1631016","Porto de Mós",15264.67,2040,17304.67
1002,"1641002","Alvaiázere",1563.33,870,2433.33
1003,"1641003","Ansião",1880.67,8190,10070.67
601,"1640601","Arganil",3383.33,6210,9593.33
1007,"1641007","Castanheira de Pêra",163.33,0,163.33
1008,"1641008","Figueiró dos Vinhos",247.33,150,397.33
606,"1640606","Góis",247.33,300,547.33
607,"1640607","Lousã",65.33,660,725.33
609,"1640609","Miranda do Corvo",74.67,1320,1394.67
611,"1640611","Oliveira do Hospital",4302.67,26850,31152.67
612,"1640612","Pampilhosa da Serra",508.67,90,598.67
1013,"1641013","Pedrógão Grande",602,0,602
614,"1640614","Penela",1260,5490,6750
616,"1640616","Tábua",1750,12090,13840
617,"1640617","Vila Nova de Poiares",158.67,1080,1238.67
901,"1650901","Aguiar da Beira",7168,0,7168
1802,"1651802","Carregal do Sal",947.33,5280,6227.33
1803,"1651803","Castro Daire",12838,300,13138
1806,"1651806","Mangualde",3710,14310,18020
1808,"1651808","Mortágua",639.33,960,1599.33
1809,"1651809","Nelas",1950.67,2730,4680.67
1810,"1651810","Oliveira de Frades",2212,6450,8662
1811,"1651811","Penalva do Castelo",2874.67,570,3444.67
1814,"1651814","Santa Comba Dão",1820,10140,11960
1816,"1651816","São Pedro do Sul",11690,7680,19370
1817,"1651817","Sátão",5016.67,870,5886.67
1821,"1651821","Tondela",5371.33,1080,6451.33
1822,"1651822","Vila Nova de Paiva",5898.67,150,6048.67
1823,"1651823","Viseu",5698,2100,7798
1824,"1651824","Vouzela",5595.33,990,6585.33
1413,"1661413","Mação",840,0,840
506,"1660506","Oleiros",919.33,0,919.33
508,"1660508","Proença-a-Nova",6636,300,6936
509,"1660509","Sertã",2688,300,2988
510,"1660510","Vila de Rei",182,0,182
905,"1670905","Fornos de Algodres",4652.67,210,4862.67
906,"1670906","Gouveia",21536.67,6660,28196.67
912,"1670912","Seia",8376.67,1170,9546.67
902,"1680902","Almeida",103147.33,960,104107.33
903,"1680903","Celorico da Beira",30090.67,6540,36630.67
904,"1680904","Figueira de Castelo Rodrigo",77938,1650,79588
907,"1680907","Guarda",96968.67,40200,137168.67
908,"1680908","Manteigas",798,0,798
909,"1680909","Mêda",15754.67,1380,17134.67
910,"1680910","Pinhel",61259.33,1890,63149.33
911,"1680911","Sabugal",113922.67,8310,122232.67
913,"1680913","Trancoso",35028,5700,40728
502,"1690502","Castelo Branco",171952.67,22380,194332.67
505,"1690505","Idanha-a-Nova",408226,156420,564646
507,"1690507","Penamacor",42354.67,5340,47694.67
511,"1690511","Vila Velha de Ródão",14051.33,6750,20801.33
501,"16A0501","Belmonte",9734.67,5280,15014.67
503,"16A0503","Covilhã",20766.67,4560,25326.67
504,"16A0504","Fundão",55906.67,20070,75976.67
1001,"16B1001","Alcobaça",8344,3780,12124
1101,"16B1101","Alenquer",5595.33,6660,12255.33
1102,"16B1102","Arruda dos Vinhos",2599.33,2700,5299.33
1005,"16B1005","Bombarral",989.33,0,989.33
1104,"16B1104","Cadaval",709.33,210,919.33
1006,"16B1006","Caldas da Rainha",1694,4470,6164
1108,"16B1108","Lourinhã",1661.33,3570,5231.33
1011,"16B1011","Nazaré",499.33,990,1489.33
1012,"16B1012","Óbidos",1087.33,510,1597.33
1014,"16B1014","Peniche",672,420,1092
1112,"16B1112","Sobral de Monte Agraço",1871.33,780,2651.33
1113,"16B1113","Torres Vedras",3103.33,11790,14893.33
1401,"16C1401","Abrantes",46102,20730,66832
1402,"16C1402","Alcanena",11890.67,4440,16330.67
1408,"16C1408","Constância",1246,0,1246
1410,"16C1410","Entroncamento",508.67,0,508.67
1411,"16C1411","Ferreira do Zêzere",2356.67,1380,3736.67
1421,"16C1421","Ourém",1750,1170,2920
1417,"16C1417","Sardoal",1078,2730,3808
1418,"16C1418","Tomar",7970.67,8280,16250.67
1419,"16C1419","Torres Novas",3257.33,17760,21017.33
1420,"16C1420","Vila Nova da Barquinha",578.67,0,578.67
1115,"1711115","Amadora",387.33,0,387.33
1105,"1711105","Cascais",364,150,514
1106,"1711106","Lisboa",56,210,266
1107,"1711107","Loures",6925.33,3120,10045.33
1109,"1711109","Mafra",8064,15810,23874
1116,"1711116","Odivelas",2576,0,2576
1110,"1711110","Oeiras",88.67,0,88.67
1111,"1711111","Sintra",9683.33,17760,27443.33
1114,"1711114","Vila Franca de Xira",24388,15270,39658
1502,"1721502","Alcochete",14009.33,10500,24509.33
1503,"1721503","Almada",532,90,622
1504,"1721504","Barreiro",639.33,300,939.33
1506,"1721506","Moita",2748.67,510,3258.67
1507,"1721507","Montijo",67004,2490,69494
1508,"1721508","Palmela",110842.67,21660,132502.67
1510,"1721510","Seixal",4167.33,0,4167.33
1511,"1721511","Sesimbra",7765.33,11670,19435.33
1512,"1721512","Setúbal",9604,3060,12664
1501,"1811501","Alcácer do Sal",456950.67,14190,471140.67
1505,"1811505","Grândola",163921.33,0,163921.33
211,"1810211","Odemira",295829.33,33090,328919.33
1509,"1811509","Santiago do Cacém",237206.67,14280,251486.67
1513,"1811513","Sines",32629.33,870,33499.33
1201,"1821201","Alter do Chão",196191.33,47220,243411.33
1202,"1821202","Arronches",141316,510,141826
1203,"1821203","Avis",232087.33,30510,262597.33
1204,"1821204","Campo Maior",55169.33,6870,62039.33
1205,"1821205","Castelo de Vide",142585.33,0,142585.33
1206,"1821206","Crato",173819.33,6360,180179.33
1207,"1821207","Elvas",251388.67,5790,257178.67
1208,"1821208","Fronteira",104192.67,57510,161702.67
1209,"1821209","Gavião",97384,0,97384
1210,"1821210","Marvão",59663.33,90,59753.33
1211,"1821211","Monforte",245364,5580,250944
707,"1820707","Mora",249886,16290,266176
1212,"1821212","Nisa",196350,2970,199320
1213,"1821213","Ponte de Sor",322457.33,47640,370097.33
1214,"1821214","Portalegre",174332.67,3900,178232.67
701,"1830701","Alandroal",243922,4260,248182
702,"1830702","Arraiolos",296678.67,38370,335048.67
703,"1830703","Borba",24406.67,1170,25576.67
704,"1830704","Estremoz",131068,19110,150178
705,"1830705","Évora",556341.33,147750,704091.33
706,"1830706","Montemor-o-Novo",683349.33,34110,717459.33
708,"1830708","Mourão",121571.33,0,121571.33
709,"1830709","Portel",215828.67,17790,233618.67
710,"1830710","Redondo",148577.33,660,149237.33
711,"1830711","Reguengos de Monsaraz",122570,2040,124610
1215,"1831215","Sousel",70877.33,5340,76217.33
712,"1830712","Vendas Novas",91793.33,39810,131603.33
713,"1830713","Viana do Alentejo",248906,12660,261566
714,"1830714","Vila Viçosa",88377.33,5640,94017.33
201,"1840201","Aljustrel",50222.67,10920,61142.67
202,"1840202","Almodôvar",115658.67,4710,120368.67
203,"1840203","Alvito",140994,4830,145824
204,"1840204","Barrancos",91583.33,0,91583.33
205,"1840205","Beja",242638.67,67710,310348.67
206,"1840206","Castro Verde",117758.67,6360,124118.67
207,"1840207","Cuba",63994,12240,76234
208,"1840208","Ferreira do Alentejo",126326.67,16230,142556.67
209,"1840209","Mértola",480209.33,33720,513929.33
210,"1840210","Moura",309922.67,10800,320722.67
212,"1840212","Ourique",211306.67,18240,229546.67
213,"1840213","Serpa",252737.33,1650,254387.33
214,"1840214","Vidigueira",62090,13980,76070
1403,"1851403","Almeirim",8857.33,0,8857.33
1404,"1851404","Alpiarça",3378.67,0,3378.67
1103,"1851103","Azambuja",28336,4440,32776
1405,"1851405","Benavente",118440,57720,176160
1406,"1851406","Cartaxo",4242,1950,6192
1407,"1851407","Chamusca",170837.33,54000,224837.33
1409,"1851409","Coruche",275403.33,49890,325293.33
1412,"1851412","Golegã",1054.67,16650,17704.67
1414,"1851414","Rio Maior",28928.67,14700,43628.67
1415,"1851415","Salvaterra de Magos",20174,0,20174
1416,"1851416","Santarém",22582,10920,33502
801,"1500801","Albufeira",2408,0,2408
802,"1500802","Alcoutim",20234.67,0,20234.67
803,"1500803","Aljezur",15596,90,15686
804,"1500804","Castro Marim",25508,0,25508
805,"1500805","Faro",2076.67,0,2076.67
806,"1500806","Lagoa",1507.33,0,1507.33
807,"1500807","Lagos",5077.33,210,5287.33
808,"1500808","Loulé",22740.67,510,23250.67
809,"1500809","Monchique",7368.67,990,8358.67
810,"1500810","Olhão",88.67,0,88.67
811,"1500811","Portimão",8171.33,0,8171.33
812,"1500812","São Brás de Alportel",1260,0,1260
813,"1500813","Silves",24798.67,2400,27198.67
814,"1500814","Tavira",11172,0,11172
815,"1500815","Vila do Bispo",22022,0,22022
816,"1500816","Vila Real de Santo António",998.67,0,998.67
