Muni_ID,ID,Muni,atmn,sludge,fertiliser,gross_manure,bnf,nha
412,1180412,Vinhais,1,0.001407701,49.4,25.6,2.5,0
101,1610101,�gueda,0.3,0,30.3,235.5,0.5,30.9888124
102,1610102,Albergaria-a-Velha,0.7,0,0.9,338.7,0.7,8.556528768
103,1610103,Anadia,0.9,0.000776142,16.2,83.6,0.5,0.971009867
105,1610105,Aveiro,0.6,12.2976861,106.6,83.8,1,14.00852723
108,1610108,Estarreja,1.6,0,55.8,231.7,0.9,120.574636
110,1610110,�lhavo,0.6,27.36289385,9.5,272.6,0.2,14.25716545
111,1610111,Mealhada,0.9,0,3,181.4,0.3,6.145
112,1610112,Murtosa,1,0,65.3,283.8,0.4,35.8980167
114,1610114,Oliveira do Bairro,1.1,0.205164727,62,84.8,0.5,36.53480045
115,1610115,Ovar,0.6,0.239973034,3.7,419,0.3,37.19582188
117,1610117,Sever do Vouga,0.3,0,1.5,677.9,1.3,45.41967593
118,1610118,Vagos,0.8,0,71.4,152.9,0.6,12.97455994
602,1620602,Cantanhede,0.8,0,30.3,127.3,0.6,11.22874805
603,1620603,Coimbra,1,7.50404051,114,36.1,0.6,28.90382319
604,1620604,Condeixa-a-Nova,0.8,1.395291135,69.6,30.9,1.7,16.91146534
605,1620605,Figueira da Foz,0.7,2.813039306,74.5,105.1,0.6,56.13037756
608,1620608,Mira,0.4,0,17.3,293.6,0.6,22.45533147
610,1620610,Montemor-o-Velho,2,0.007083474,110.3,106.6,0.6,3.0918622
613,1620613,Penacova,0.2,1.146883249,60.9,76.2,0.1,4.872383354
615,1620615,Soure,1,0.173956242,4.7,229.8,1.1,117.2503716
1004,1631004,Batalha,0.5,0,6.3,247.9,1.2,13.60559717
1009,1631009,Leiria,0.5,7.42157928,9.8,641.5,1,1.482312115
1010,1631010,Marinha Grande,0,0,88.7,67,1.4,4.200779221
1015,1631015,Pombal,0.4,2.262422525,4.4,222.8,0.3,18.87695959
1016,1631016,Porto de M�s,0.7,0,1.2,349.2,3.6,0.619289552
1002,1641002,Alvai�zere,0.5,0,24.4,81.6,1.6,0.315157013
1003,1641003,Ansi�o,0.7,0.285401177,15.8,107,2,1.746665272
601,1640601,Arganil,0.2,0,39.3,61.9,1.7,22.16876791
1007,1641007,Castanheira de P�ra,0.1,0,36.8,73.2,1.5,4.013222222
1008,1641008,Figueir� dos Vinhos,0.1,0,51.1,52.3,0.6,5.535052356
606,1640606,G�is,0,0,1,236.4,2,2.300588235
607,1640607,Lous�,0.2,0.42321685,4.6,198.4,1.5,3.756317073
609,1640609,Miranda do Corvo,0.3,0,44.8,38.8,2.4,18.70486252
611,1640611,Oliveira do Hospital,0.6,0.491070365,0.2,342.1,1.1,5.451900437
612,1640612,Pampilhosa da Serra,0,0,40.8,43,0.7,0.545158371
1013,1641013,Pedr�g�o Grande,0.2,0,59.4,35.7,1.1,1.430512295
614,1640614,Penela,0.4,0,43.2,39.9,1.7,5.096215738
616,1640616,T�bua,0.5,0,45.6,45.4,1.5,3.592117096
617,1640617,Vila Nova de Poiares,0.2,0,56.3,52.4,9.1,1.475363985
901,1650901,Aguiar da Beira,0.5,0,13,154.5,2.3,9.130176726
1802,1651802,Carregal do Sal,0.6,0,0.7,114.2,0.8,2.022029808
1803,1651803,Castro Daire,0.4,0,13.2,111.4,3.2,1.189847601
1806,1651806,Mangualde,0.7,0,45.7,48,1.2,1.199379824
1808,1651808,Mort�gua,0.2,0,1.8,474.9,1.2,0
1809,1651809,Nelas,1,0,9.7,66.9,0.9,1.277999278
1810,1651810,Oliveira de Frades,0.7,0,0.5,724.2,1.8,1.707891202
1811,1651811,Penalva do Castelo,0.8,0,47.6,34,1.4,0.768864341
1814,1651814,Santa Comba D�o,0.6,0.052743376,2,291.1,2.1,3.225730519
1816,1651816,S�o Pedro do Sul,0.6,0.968787828,1.8,225.6,2.7,3.75951664
1817,1651817,S�t�o,0.6,0,0.9,176.4,2,0.857787034
1821,1651821,Tondela,0.7,0.132774323,2,251.4,1.6,10.50362443
1822,1651822,Vila Nova de Paiva,0.4,0,0.4,247.1,2.1,7.07840824
1823,1651823,Viseu,0.6,0.029039103,39.1,69.4,1.7,0.980018878
1824,1651824,Vouzela,0.7,0,0.7,363.7,2.7,6.513310208
1413,1661413,Ma��o,0.2,0,27.6,41,0.4,0
506,1660506,Oleiros,0.1,0,0,108.3,0.5,3.99977368
508,1660508,Proen�a-a-Nova,0.5,0,33.2,26.9,1,0
509,1660509,Sert�,0.3,0,12.2,90.3,0.7,0.460592773
510,1660510,Vila de Rei,0.1,0,5.5,91.9,1.3,0.718617647
905,1670905,Fornos de Algodres,0.9,0,42,36.2,1.9,1.135947759
906,1670906,Gouveia,0.9,0,11.6,27.7,1.9,5.642087846
912,1670912,Seia,0.5,0,25.3,30.8,1.5,5.407995951
902,1680902,Almeida,1.4,0.007552904,3.4,30.9,3,0.357728351
903,1680903,Celorico da Beira,1.3,0,16.9,23,2.1,0
904,1680904,Figueira de Castelo Rodrigo,1.7,0.00025074,18.5,15.6,2,0.34869547
907,1680907,Guarda,1,0.451851951,7.5,29.6,3,1.58110505
908,1680908,Manteigas,0.1,0,12.7,52.1,1.8,2.577986111
909,1680909,M�da,1.2,0,31.2,14.4,0,0.147922836
910,1680910,Pinhel,1.3,0.012377286,11.9,24.7,1.9,0.185287423
911,1680911,Sabugal,0.9,0.007780379,4.8,31.8,3.3,0.288522131
913,1680913,Trancoso,1.2,0,29.5,26.2,2.5,0
502,1690502,Castelo Branco,1.2,0,12.5,19.3,2.5,0
505,1690505,Idanha-a-Nova,2.2,0,12.1,23.5,3,0
507,1690507,Penamacor,0.8,0,23.8,23.8,2.1,0.35741706
511,1690511,Vila Velha de R�d�o,0.7,0,27.6,20.9,1.7,0.285585474
501,16A0501,Belmonte,1.5,0.003736455,28.4,25,1.2,1.584641052
503,16A0503,Covilh�,0.8,0.000818893,27.5,32.1,1.3,0
504,16A0504,Fund�o,1.4,0.109348321,28.2,24.5,1.4,0.73051876
1001,16B1001,Alcoba�a,1,0.537023182,8.4,211,6.6,6.862028115
1101,16B1101,Alenquer,1.8,0.901619997,42.4,42.8,0.6,0.212260631
1102,16B1102,Arruda dos Vinhos,1.8,0.537023182,30.4,53.2,1.1,0.031235795
1005,16B1005,Bombarral,2.2,0.537023182,11.5,148.3,0.2,1.065103823
1104,16B1104,Cadaval,1.4,0.537023182,31.2,67.7,0.3,0
1006,16B1006,Caldas da Rainha,0.9,5.198802101,8.2,171.3,0.6,17.96951346
1108,16B1108,Lourinh�,1.7,1.050669115,54.1,313.3,1.3,7.208022699
1011,16B1011,Nazar�,0.6,2.696646547,78.8,138,2.6,2.593900106
1012,16B1012,�bidos,1,23.85266077,31.7,128.9,0.7,1.3339904
1014,16B1014,Peniche,1.2,0.537023182,116.3,73.8,1.1,3.491958932
1112,16B1112,Sobral de Monte Agra�o,2.5,0.537023182,37.9,101.7,1,0.192725863
1113,16B1113,Torres Vedras,1.7,1.012575255,33.3,123,0.8,1.169949081
1401,16C1401,Abrantes,0.9,0.920971438,40.6,18.6,2.6,0.557772358
1402,16C1402,Alcanena,1.8,0.537023182,39.1,36.8,7,0.137859913
1408,16C1408,Const�ncia,0.3,0.537023182,163.6,3.7,1.3,0
1410,16C1410,Entroncamento,1.7,0.537023182,99.2,11.7,0.7,39.74898239
1411,16C1411,Ferreira do Z�zere,0.6,0.537023182,0.8,609.2,0.6,3.501767565
1421,16C1421,Our�m,0.6,6.055177302,0.7,306.3,0.9,0
1417,16C1417,Sardoal,0.7,0.537023182,48.4,18.1,0.6,0
1418,16C1418,Tomar,1,2.940492397,13.8,115.7,0.9,1.265707742
1419,16C1419,Torres Novas,1.8,0.537023182,54.2,27.5,0.2,0
1420,16C1420,Vila Nova da Barquinha,0.4,0.537023182,85.7,11.7,45.2,0
1115,1711115,Amadora,0.1,0.537023182,9.3,23.6,3.9,0
1105,1711105,Cascais,0.1,1.096484699,53.7,22.5,17,0
1106,1711106,Lisboa,0,0.537023182,96.2,5.4,118,1.414310345
1107,1711107,Loures,1.3,37.12824563,41.6,85,1.6,2.612536164
1109,1711109,Mafra,1.6,3.211065194,49,101.4,1.2,23.35539737
1116,1711116,Odivelas,1,0.537023182,2,39.3,3.1,0.034
1110,1711110,Oeiras,0.1,40.93940513,65.8,3,7.1,0.096
1111,1711111,Sintra,0.8,0.643979408,64.7,42.6,1.4,0.291334758
1114,1711114,Vila Franca de Xira,2.1,1.738502906,121,22.5,2.2,5.511363907
1502,1721502,Alcochete,1.4,0.537023182,33.2,40.3,2.9,2.437517037
1503,1721503,Almada,0.3,194.7978902,95.3,55.8,2.9,2.110707547
1504,1721504,Barreiro,0.2,0.537023182,29.1,96.2,2.2,2.406626506
1506,1721506,Moita,0.8,0.537023182,16.5,227.7,1.8,7.182737069
1507,1721507,Montijo,2.1,0.558108684,8.6,91.4,2.6,0.472512848
1508,1721508,Palmela,3.2,0.543992792,21.5,50,2.3,0.956456542
1510,1721510,Seixal,0.3,2.889284387,4.6,15.5,4.2,4.106334311
1511,1721511,Sesimbra,0.4,51.61539453,7.1,14.2,2.7,3.636842672
1512,1721512,Set�bal,0.6,0.537023182,18.4,26.6,15.2,8.026633356
1501,1811501,Alc�cer do Sal,2.9,0,17.2,21,2.9,6.431876657
1505,1811505,Gr�ndola,2.1,0.007028243,3.6,29.2,3.1,0.715768848
211,1810211,Odemira,1.6,0,21.6,29.1,2.9,0
1509,1811509,Santiago do Cac�m,2.5,0,20.5,29.8,2.7,4.29516188
1513,1811513,Sines,1.9,1.102179988,18.4,23.2,3.5,1.414238544
1201,1821201,Alter do Ch�o,3.9,0,10.5,29.5,3.5,0.422015457
1202,1821202,Arronches,3.2,0.009262963,15.4,33.8,3.2,0.168224321
1203,1821203,Avis,3.4,0,19.9,21.8,3.2,5.671233783
1204,1821204,Campo Maior,2.6,0,43.4,27.5,2.3,0.944939373
1205,1821205,Castelo de Vide,3.1,0.039687425,17.2,24.3,9.6,0.066143358
1206,1821206,Crato,2.8,0.012525036,5.8,34.6,4,0
1207,1821207,Elvas,3.1,0.096163687,26.3,33.7,3.2,1.131989204
1208,1821208,Fronteira,3.5,0,28.7,23.9,3,5.017753734
1209,1821209,Gavi�o,2.1,0.002101359,4.3,11.8,4,1.033408021
1210,1821210,Marv�o,2.2,0.038257101,15.2,21.1,4.2,0.966077656
1211,1821211,Monforte,3.5,0,13.5,38.6,3.7,1.705106234
707,1820707,Mora,4.3,0,13,19.9,3.8,0.883949488
1212,1821212,Nisa,2,0.068565493,9.4,20.8,4.1,0.242444763
1213,1821213,Ponte de Sor,3.1,0.006736508,9.5,15,3.4,0.467905757
1214,1821214,Portalegre,2.5,0.70914384,8.5,31.6,4.1,0.185947326
701,1830701,Alandroal,3.1,0,15.4,26.8,3.3,0
702,1830702,Arraiolos,3.6,0,11.6,34,3,2.984774075
703,1830703,Borba,2.3,0,27.3,30.3,2.3,1.853363914
704,1830704,Estremoz,3,0,21.1,23.4,2.3,3.375314175
705,1830705,�vora,3.2,0,19.1,27.6,3,2.431422366
706,1830706,Montemor-o-Novo,3.9,0.002132311,8.6,38,3.7,0
708,1830708,Mour�o,2.9,0,4,26.9,3.3,0.095440385
709,1830709,Portel,2.5,2.458667294,7.9,34.1,3,0.637808013
710,1830710,Redondo,3.3,0,17.6,28.7,2.8,0
711,1830711,Reguengos de Monsaraz,2.3,0,21.9,20.5,2.4,7.896380271
1215,1831215,Sousel,3.1,0.020282748,32.6,23,2.4,1.999692494
712,1830712,Vendas Novas,3.3,0,1.2,48.8,3.7,0
713,1830713,Viana do Alentejo,4.1,0,11.3,29.2,3.7,4.315184115
714,1830714,Vila Vi�osa,3.1,0.000932125,14.4,31.6,3.5,0.141839022
201,1840201,Aljustrel,2.9,0,46.2,17.7,1.6,4.075042515
202,1840202,Almod�var,1.7,0,9.3,15.8,2.1,0.017900169
203,1840203,Alvito,3.2,0.001042179,10.2,31.7,3.7,0.81773133
204,1840204,Barrancos,3.3,0,0.8,31.8,4.4,0.01125334
205,1840205,Beja,2.8,0.000741003,45.8,13.8,2.2,0.7096004
206,1840206,Castro Verde,3,0.282996442,20.8,18.3,1.5,0.667359915
207,1840207,Cuba,3.1,0,24.8,34.4,2.6,12.02183473
208,1840208,Ferreira do Alentejo,3,0,43.8,17.3,2.2,8.071967753
209,1840209,M�rtola,2.3,0,8.9,14,3.7,0.005802173
210,1840210,Moura,2.9,0,25.4,20.9,2.6,0.48470324
212,1840212,Ourique,2.5,0,12.5,25.4,3.2,0.599209957
213,1840213,Serpa,2.7,0,32.5,18.4,2.6,7.473205001
214,1840214,Vidigueira,2.6,0.004062697,37.6,14.1,1.9,1.299362435
1403,1851403,Almeirim,2.1,0.559363234,93.9,4.8,0.5,6.961704003
1404,1851404,Alpiar�a,2.5,0.537023182,120.8,7,1,11.90432454
1103,1851103,Azambuja,2.1,0.614177687,55.8,41.5,1.7,0
1405,1851405,Benavente,2.7,0.687148767,39.8,70.8,2.4,3.24657127
1406,1851406,Cartaxo,2.1,0.537023182,59.1,176.8,0.7,3.058813414
1407,1851407,Chamusca,2,0.570430357,39.3,16.7,3.1,4.922506281
1409,1851409,Coruche,2.4,0.566342805,31,22.3,2.9,124.3609319
1412,1851412,Goleg�,3.6,0.597484092,241.5,3.3,0.2,28.03944187
1414,1851414,Rio Maior,1.7,0.537023182,7.5,151.8,1.8,1.140436809
1415,1851415,Salvaterra de Magos,1.6,0.538801443,100.6,40,2.9,75.81290621
1416,1851416,Santar�m,2.1,1.036224216,52.3,72.4,0.9,7.384126468
801,1500801,Albufeira,0.8,14.04819465,77.6,10.2,0.5,0.471482464
802,1500802,Alcoutim,0.7,0,25.3,7,1,0
803,1500803,Aljezur,0.4,0.431081458,24.6,33,2.4,0
804,1500804,Castro Marim,0.8,0,43.7,12.1,2.1,20.2917038
805,1500805,Faro,0.7,0,113.2,6.6,0.3,0
806,1500806,Lagoa,0.6,2.706280999,17.8,25.4,0.6,6.452438044
807,1500807,Lagos,0.3,5.111870564,36.3,24.6,1.3,4.02767819
808,1500808,Loul�,0.6,3.560443834,69.9,7.4,1,1.014778226
809,1500809,Monchique,0.2,0,13.3,54.3,2.1,0
810,1500810,Olh�o,0.6,1.857412489,116.1,4.9,0,0
811,1500811,Portim�o,0.4,0,48.8,33.3,1.9,0.707466063
812,1500812,S�o Br�s de Alportel,0.7,0,33.4,2.8,0.3,0.045216401
813,1500813,Silves,0.6,0.521429798,87.9,14.8,1.2,0
814,1500814,Tavira,0.5,1.232637185,68.6,4.5,0.7,2.698108231
815,1500815,Vila do Bispo,0.6,0.09901958,13.5,21.3,2.4,0
816,1500816,Vila Real de Santo Ant�nio,0.6,0,37,8,0.8,3.28009182
