"","GW_ID","codigo","nome","st_area_sh","st_length_","gw_data09_","gw_data0_1","GW_name","HU","GW_type","wsurplus_L","n_load_kgN","Nc_mgNL","Nc_mgNO3L"
"77",77,"PTM3","MEXILHOEIRA GRANDE - PORTIMÃO",0.00524513871904,0.452279852833,"35","Aq","MEXILHOEIRA GRANDE - PORTIMÃO","Meridional","Aq",7206450000,7.529425,1.04481748988753,4.6230862384404
"78",78,"PTM14","MALHÃO",0.00119977226254,0.152388046372,"40","Aq","MALHÃO","Meridional","Aq",62895000,4.488556,71.3658637411559,315.778158146707
"80",80,"PTM19","CAMPINA DE FARO - SUBSISTEMA FARO",0.00546789320557,0.477065714831,"16","Aq","CAMPINA DE FARO - SUBSISTEMA FARO","Meridional","Aq",81673000,15.443301,189.086981009636,836.668057564761
"81",81,"PTO26","OTA - ALENQUER",0.000977129583309,0.202829355541,"58","Aq","OTA - ALENQUER","Western","Aq",31544000,0.253795,8.04574562515851,35.6006443591084
"82",82,"PTM4","FERRAGUDO - ALBUFEIRA",0.0118723279464,0.596490968974,"16.2","Aq","FERRAGUDO - ALBUFEIRA","Meridional","Aq",8564454000,20.40795,2.38286643842094,10.5436568071723
"83",83,"PTM6","ALBUFEIRA - RIBEIRA DE QUARTEIRA",0.00553054689179,0.540200589516,"18","Aq","ALBUFEIRA - RIBEIRA DE QUARTEIRA","Meridional","Aq",964797000,15.941508,16.5231732685736,73.1113861441309
"84",84,"PTM7","QUARTEIRA",0.00823065752142,0.679650687585,"26","Aq","QUARTEIRA","Meridional","Aq",371759000,20.488107,55.1112602519374,243.85513385813
"86",86,"PTO24","CESAREDA",0.00175615472635,0.232486852378,"50","Aq","CESAREDA","Western","Aq",347846000,2.332586,6.70580084290174,29.6716851455829
"87",87,"PTO28","PISÕES - ATROZELA",0.00228844152393,0.436815583328,"41","Aq","PISÕES - ATROZELA","Western","Aq",10088000,0.380735,37.7413758921491,166.997238460837
"88",88,"PTO4","ANÇÃ - CANTANHEDE",0.00419304192338,0.30898394721,"38.4","Aq","ANÇÃ - CANTANHEDE","Western","Aq",7700897000,4.579436,0.594662673711907,2.63125076863675
"90",90,"PTA5","ELVAS - VILA BOIM",0.0117558522862,1.32274915316,"27.3","Aq","ELVAS - VILA BOIM","Massif","Aq",772635000,38.596994,49.9550162754729,221.039895024216
"92",92,"PTM18","CAMPINA DE FARO - SUBSISTEMA VALE DE LOBO",0.00328332453662,0.245701194553,"28","Aq","CAMPINA DE FARO - SUBSISTEMA VALE DE LOBO","Meridional","Aq",171039000,4.862478,28.4290600389385,125.79230105725
