"","GW_ID","codigo","nome","st_area_sh","st_length_","gw_data09_","gw_data0_1","drainage","N.loads.mg.N.","Nc.mg.N.L.","Nc.mg.NO3.L."
"26",26,"PTO7","FIGUEIRA DA FOZ - GESTEIRA",0.00670808878042,0.779918462683,"22.5","Aq",3184998810.362,26.614772,8.35628946340957,36.9747321389804
"27",27,"PTO1_C2","QUATERNÁRIO DE AVEIRO",0.0989502743797,3.05844888739,"20.23411371","Aq",27800774160.045,40.244097,1.44758907677609,6.4052614016641
"28",28,"PTA2","ESCUSA",0.000805285183021,0.243015657182,"62","Aq",465392383.652,4.212654,9.0518327071507,40.0523571112863
"29",29,"PTO20_C2","MACIÇO CALCÁRIO ESTREMENHO",0.082386112071,1.89140064865,"61","Aq",77550424002.77,187.050923,2.41199097755183,10.6725264493444
"30",30,"PTA3","MONFORTE - ALTER DO CHÃO",0.0101961777723,0.707893706222,"26","Aq",1211731185.97,24.185276,19.9592750273564,88.3153762272408
"31",31,"PTO23","PAÇO",0.000666720015572,0.111043859247,"31","Aq",112320244.705,4.666609,41.5473542837845,183.837850813206
"32",32,"PTA4","ESTREMOZ - CANO",0.0209770287937,2.01035257309,"36","Aq",29559762119.349,100.474076,3.39901503923918,15.0398895541557
"35",35,"PTO11_C2","SICÓ - ALVAIÁZERE",0.034941876101,1.68599470123,"48","Aq",20138804039.343,86.255191,4.28303442605095,18.9514797612874
"36",36,"PTO18","MACEIRA",0.000531600816823,0.13296051081,"46","Aq",244852452.414,1.583216,6.46600017435429,28.6106202405057
"37",37,"PTO25","TORRES VEDRAS",0.00831475848394,0.635302060029,"25","Aq",2334693186.294,8.909364,3.81607487112359,16.8852870403699
"38",38,"PTO9_C2","PENELA - TOMAR",0.0259139281143,1.8172039139,"48","Aq",22978382281.538,88.421387,3.84802489211968,17.0266588146888
"44",44,"PTT1_C2","BACIA DO TEJO-SADO / MARGEM DIREITA",0.171721355906,2.37932360598,"18","Aq",115384036629.414,1062.45553,9.20799411284555,40.7433367825024
"45",45,"PTT3","BACIA DO TEJO-SADO / MARGEM ESQUERDA",0.713598362015,6.47531771016,"26","Aq",519999776128.461,1147.656375,2.20703244056106,9.76563026796927
"46",46,"PTT7","ALUVIÕES DO TEJO",0.115873897631,2.74341204998,"33","Aq",163832834576.68,607.298863,3.70682021445317,16.4018593559875
"47",47,"PTM15","LUZ - TAVIRA",0.00280999782023,0.257118792806,"25","Aq",1490518915.551,15.889589,10.6604410277652,47.1700930432089
"48",48,"PTA1","VEIGA DE CHAVES",0.00164356007356,0.207572322715,"50","Aq",4253330776.224,2.607412,0.613028268239884,2.71251446123842
"49",49,"PTM17","MONTE GORDO",0.000975707853808,0.167834382896,"45","Aq",152432678.031,0,0,0
"51",51,"PTO14","POUSOS - CARANGUEJEIRA",0.0107378270958,0.426645940255,"10.75268817","Aq",1478070886.956,38.571185,26.0956259543377,115.467371479371
"55",55,"PTA10","MOURA - FICALHO",0.0190701776537,1.11037764264,"38","Aq",27640665012.292,124.712024,4.51190389032028,19.964176505842
"56",56,"PTA6","VIANA DO ALENTEJO - ALVITO",0.00189711211854,0.342002905997,"15.6","Aq",731536670.387,4.002473,5.47132243949247,24.2093913251879
"59",59,"PTA9","GABROS DE BEJA",0.0356369042014,1.51919849806,"20","Aq",32341068616.34,296.962691,9.1822164110546,40.6292761551088
"62",62,"PTM1","COVÕES",0.0022850163822,0.292725170786,"50","Aq",1327307553.179,2.464343,1.85664806479683,8.21525692387976
"63",63,"PTO19","ALPEDRIZ",0.00970551047352,0.430068179858,"28","Aq",4310751381.515,20.962599,4.86286430015195,21.5170986732387
"64",64,"PTA11","ELVAS - CAMPO MAIOR",0.0183024399648,0.937141177547,"10","Aq",7506616669.885,108.910876,14.5086502734218,64.1975675815126
"65",65,"PTM5","QUERENÇA - SILVES",0.0322590065574,1.65130335437,"45","Aq",37621819297.626,206.606601,5.49166959113637,24.2994229696299
"66",66,"PTO34","SINES - ZONA NORTE",0.0188235172195,0.752942844393,"50","Aq",23965813692.323,32.028296,1.33641596363822,5.91334497185055
"67",67,"PTO35","SINES - ZONA SUL",0.00686245965045,0.334198143934,"50","Aq",4768390186.123,3.01517,0.632324512531455,2.79789607314803
"68",68,"PTM13","PERAL - MONCARAPACHO",0.00446810198476,0.389235877798,"40","Aq",3068132940.417,24.265245,7.90879843580117,34.9946833442529
"69",69,"PTM16","SÃO BARTOLOMEU",0.00107498852065,0.298368005222,"25","Aq",547848193.449,5.323296,9.71673551844167,42.9944049488569
"70",70,"PTM10","SÃO JOÃO DA VENDA - QUELFES",0.0114810531138,0.86786649416,"20","Aq",6012015123.112,98.742894,16.42425908418,72.6737127618585
"71",71,"PTM11","CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM",0.00054098348355,0.195213072177,"50","Aq",751749291.763,5.104429,6.79006825271376,30.0445497907688
"72",72,"PTM8","SÃO BRÁS DE ALPORTEL",0.00349196565917,0.548508057702,"25","Aq",1493748073.596,14.329759,9.59315647216402,42.4475950095753
"74",74,"PTO15","OURÉM",0.0331497689259,0.879412911455,"19","Aq",6693511874.501,51.110992,7.63590069881071,33.7871712336757
"75",75,"PTM2","ALMÁDENA - ODEÁXERE",0.00643695477864,0.416333284729,"48.6","Aq",5400063281.828,27.544594,5.10079096530064,22.5698715278789
"76",76,"PTM9","ALMANSIL - MEDRONHAL",0.00236651225816,0.315429963189,"50","Aq",2882299658.962,21.018525,7.2922761291133,32.2667085358996
"77",77,"PTM3","MEXILHOEIRA GRANDE - PORTIMÃO",0.00524513871904,0.452279852833,"35","Aq",2276628567.754,20.130424,8.84220829217636,39.1248154521078
"78",78,"PTM14","MALHÃO",0.00119977226254,0.152388046372,"40","Aq",749543467.838,5.366926,7.16025985188088,31.6825657162871
"80",80,"PTM19","CAMPINA DE FARO - SUBSISTEMA FARO",0.00546789320557,0.477065714831,"16","Aq",1523487565.976,26.096293,17.1293114448767,75.7934134729056
"81",81,"PTO26","OTA - ALENQUER",0.000977129583309,0.202829355541,"58","Aq",161987441.792,0.845691,5.22071952396106,23.1005288670843
"82",82,"PTM4","FERRAGUDO - ALBUFEIRA",0.0118723279464,0.596490968974,"16.2","Aq",2980229514.092,38.871936,13.0432692570133,57.7135807832449
"83",83,"PTM6","ALBUFEIRA - RIBEIRA DE QUARTEIRA",0.00553054689179,0.540200589516,"18","Aq",1987781785.127,28.421804,14.298251554903,63.2665998004558
"84",84,"PTM7","QUARTEIRA",0.00823065752142,0.679650687585,"26","Aq",4336727331.186,34.587241,7.97542440615955,35.2894885228299
"86",86,"PTO24","CESAREDA",0.00175615472635,0.232486852378,"50","Aq",724587515.454,2.707781,3.73699648730962,16.5353826872107
"87",87,"PTO28","PISÕES - ATROZELA",0.00228844152393,0.436815583328,"41","Aq",324063292.176,1.403504,4.33095643315798,19.163524040522
"88",88,"PTO4","ANÇÃ - CANTANHEDE",0.00419304192338,0.30898394721,"38.4","Aq",3093779880.871,0.270483,0.0874280040646752,0.386849575507412
"90",90,"PTA5","ELVAS - VILA BOIM",0.0117558522862,1.32274915316,"27.3","Aq",14155249732.156,69.146403,4.88485927895164,21.6144215882816
"92",92,"PTM18","CAMPINA DE FARO - SUBSISTEMA VALE DE LOBO",0.00328332453662,0.245701194553,"28","Aq",1373253890.025,7.746317,5.64084839392589,24.9595061678137
