"Month","LATITUDE..ºN.","LONGITUDE..ºW.","Jan","Feb","Mar","sum"
"04M/02UG",41.52,-7.42,117.1,90.6,10.8,218.5
"04N/01C",41.54,-7.28,71.2,61,5.8,138
"04O/01G",41.66,-7.12,63.1,56.1,9.8,129
"04P/01UG",41.64,-6.89,102.6,61.4,14.6,178.6
"04P/03UG",41.6,-6.83,98,61.8,15.4,175.2
"04P/04UG",41.58,-6.89,105.3,19.2,0,124.5
"04P/05UG",41.59,-6.95,42.2,75.6,16.2,134
"04P/06UG",41.53,-6.96,69.4,43.3,10.3,123
"04Q/01UG",41.57,-6.72,59.7,42.5,5.2,107.4
"04R/01UG",41.64,-6.6,76.7,67.3,9.5,153.5
"04R/02G",41.64,-6.55,51.4,61.7,6.3,119.4
"05E/03UG",41.4,-8.76,98.9,46.2,6.4,151.5
"05F/01UG",41.46,-8.55,215.7,103,20.6,339.3
"05F/03UG",41.48,-8.67,195.8,0,0,195.8
"05G/05UG",41.48,-8.43,279.2,90.1,27.3,396.6
"05G/06UG",41.37,-8.36,169.1,12.1,3.4,184.6
"05H/03UG",41.38,-8.22,19.1,0,0,19.1
"05I/02G",41.38,-8.07,354.5,132.3,57.4,544.2
"05I/04G",41.48,-8.12,339.3,100.3,50.4,490
"05J/04G",41.37,-7.93,96.7,0.1,0,96.8
"05K/02UG",41.45,-7.76,152.7,160.5,27.4,340.6
"05L/01UG",41.5,-7.64,213.5,103,22.2,338.7
"05L/02C",41.46,-7.59,170.5,61.8,20.8,253.1
"05M/04UG",41.47,-7.35,89.1,86.7,32.5,208.3
"05O/01UG",41.46,-7,32.2,43.5,0.1,75.8
"05Q/02G",41.39,-6.73,68.2,14.1,4.1,86.4
"05Q/03UG",41.48,-6.72,14.4,0,0,14.4
"05Q/05G",41.39,-6.81,82.1,39.5,4.6,126.2
"05R/01UG",41.38,-6.56,70.3,53.9,10.8,135
"05S/01UG",41.43,-6.4,66.6,32.5,4.8,103.9
"06G/03G",41.26,-8.49,88.2,0.2,0,88.4
"06H/01UG",41.21,-8.3,259.3,87.7,32.9,379.9
"06I/01G",41.26,-8.07,204.7,88.7,26,319.4
"06I/02UG",41.18,-8.15,69.2,0,27.7,96.9
"06J/02UG",41.25,-7.97,94.2,1.1,25.4,120.7
"06J/02UG",41.25,-7.97,94.2,1.1,25.4,120.7
"06N/01C",41.3,-7.28,49.9,43.3,1.3,94.5
"06N/03UG",41.23,-7.27,130.2,36.2,4.5,170.9
"06O/04UG",41.17,-7.05,15.9,0,0,15.9
"06O/06C",41.25,-7.09,70.6,29.8,2.5,102.9
"06P/02UG",41.18,-6.89,34.1,17.2,2.7,54
"07L/10UG",41.1,-7.59,97.8,72.6,0,170.4
"07N/05UG",41.07,-7.22,123,67.8,39.8,230.6
"07O/05UG",41.02,-7.07,75.3,31.1,2.8,109.2
"07P/04UG",41.08,-6.9,16.3,0.6,2,18.9
"08G/01C",40.85,-8.38,379.4,151.4,38.3,569.1
"08I/01UG",40.95,-8.1,283.9,112,75.8,471.7
"08I/03UG",40.88,-8.03,255.8,126,67.2,449
"08J/06G",40.92,-7.94,260.8,96.9,40.4,398.1
"08K/01UG",40.9,-7.75,31.7,27.6,15.7,75
"08L/03UG",40.98,-7.66,143.1,104.9,24.8,272.8
"08P/02G",40.95,-6.92,79.2,30.6,9,118.8
"09G/03UG",40.69,-8.37,347,121.9,45.3,514.2
"09H/01UG",40.67,-8.22,442.3,130.1,37,609.4
"09H/04UG",40.74,-8.3,440.9,139.7,42.2,622.8
"09I/01C",40.75,-8.07,187.8,88.7,22.6,299.1
"09L/02UG",40.7,-7.56,164,59.7,16.9,240.6
"09N/01UG",40.76,-7.32,188.5,58.5,0,247
"09O/01G",40.77,-7.06,84.1,32.3,5.8,122.2
"09P/02UG",40.72,-6.91,65.5,19.1,5.9,90.5
"10E/03UG",40.62,-8.71,169.8,88.5,0,258.3
"10G/01UG",40.52,-8.5,65.2,0,33.7,98.9
"10H/02G",40.59,-8.19,475.8,172.9,60.7,709.4
"10I/01UG",40.51,-8.1,342.1,145.1,0,487.2
"10I/02UG",40.58,-8.08,191.9,59.1,0,251
"10J/03UG",40.63,-7.85,150.4,76.2,16.6,243.2
"10K/01UG",40.6,-7.81,190.9,69.9,14.8,275.6
"10L/01UG",40.63,-7.53,148.4,59.3,0,207.7
"10M/02UG",40.59,-7.37,37.1,0.5,0.1,37.7
"10M/03UG",40.59,-7.49,118.8,37.8,13.1,169.7
"10N/01UG",40.65,-7.21,140.4,44.9,16.9,202.2
"10N/04UG",40.62,-7.28,112.8,57.3,8.9,179
"10O/01UG",40.6,-7.07,95,31.2,10.2,136.4
"10O/02UG",40.59,-7.13,98.5,42.1,16.3,156.9
"10Q/01UG",40.61,-6.83,78.5,25.9,3.1,107.5
"11E/01C",40.46,-8.79,118.7,67.4,11.1,197.2
"11F/02UG",40.46,-8.64,218.7,107.2,22.8,348.7
"11H/01UG",40.34,-8.23,197.8,80.9,0,278.7
"11I/01G",40.43,-8.12,309.5,105,31.8,446.3
"11I/03UG",40.43,-8,126.4,66,0.9,193.3
"11K/03UG",40.48,-7.79,181.7,56.3,13.4,251.4
"11L/07CG",40.38,-7.64,295,35.7,58.4,389.1
"11L/09G",40.4,-7.59,379.7,79.2,56.5,515.4
"11L/10G",40.41,-7.57,417.3,75.7,92.9,585.9
"11N/01UG",40.48,-7.25,134.1,58.2,18.2,210.5
"11N/02UG",40.37,-7.25,100.2,49.5,6.1,155.8
"12E/02UG",40.24,-8.75,186.4,84.5,17.2,288.1
"12F/01UG",40.24,-8.59,282.3,132.2,79,493.5
"12F/02C",40.18,-8.6,147,68.1,18.3,233.4
"12F/03UG",40.2,-8.65,171.1,85.9,21.7,278.7
"12G/04UG",40.28,-8.45,207.8,65.5,32.9,306.2
"12G/05C",40.31,-8.18,215.5,70.9,39.9,326.3
"12J/01UG",40.25,-7.98,202.2,67.4,32.8,302.4
"12K/01UG",40.21,-7.74,222.8,108.9,60.8,392.5
"12L/03G",40.28,-7.51,284.2,117.7,42,443.9
"12L/04UG",40.2,-7.52,169.2,78.2,23.3,270.7
"12M/02UG",40.2,-7.37,125.2,74.6,5.3,205.1
"12N/01UG",40.31,-7.24,99.6,69.6,0.7,169.9
"12O/01UG",40.16,-7.16,49.6,55.5,12.2,117.3
"13D/04UG",40.15,-8.84,120.9,73.3,6.3,200.5
"13E/01UG",40.13,-8.73,140.9,84.6,19.8,245.3
"13F/01G",40.05,-8.63,139.4,72.8,20.8,233
"13F/02UG",40.01,-8.52,311.9,83.8,57.6,453.3
"13G/01UG",40.03,-8.39,105.3,65,6.3,176.6
"13G/02UG",40.1,-8.5,128.9,67.2,19.1,215.2
"13H/05UG",40,-8.21,326.4,107,55,488.4
"13H/06C",40.03,-8.3,251.1,75.4,53.7,380.2
"13I/01G",40.16,-8.11,94.1,0,0,94.1
"13I/02UG",40.13,-8.05,169.9,38,13,220.9
"13J/01UG",40.14,-7.92,53.3,0,0,53.3
"13J/03UG",40.04,-7.95,196.3,79.4,43.3,319
"13K/02UG",40.14,-7.67,130.1,72.4,22.1,224.6
"13L/04UG",40.04,-7.56,143.6,73.9,12.1,229.6
"13O/01UG",40.04,-7.02,130.8,97.7,10.5,239
"13O/02UG",40.11,-7.12,86.5,80.1,11.7,178.3
"14D/03C",39.86,-8.85,132.9,76.8,23.2,232.9
"14E/03UG",39.88,-8.72,174,74.8,39.7,288.5
"14F/01UG",39.9,-8.63,171.9,68.3,29.4,269.6
"14H/01UG",39.9,-8.28,177.7,0,0,177.7
"14I/01UG",39.91,-8.14,240,69.5,31.6,341.1
"14J/01UG",39.92,-7.92,155.8,71.3,19.7,246.8
"14J/02UG",39.83,-7.88,219,89,28.4,336.4
"14K/04UG",39.95,-7.79,155,85.2,19.4,259.6
"14M/01UG",39.93,-7.46,104.9,77.2,4.4,186.5
"15D/03UG",39.69,-8.9,134.3,68.3,26.3,228.9
"15E/03G",39.74,-8.71,151.5,59.7,30.1,241.3
"15F/01UG",39.8,-8.59,246.5,82.7,40.4,369.6
"15F/02C",39.71,-8.53,145.1,65.6,20.6,231.3
"15G/01UG",39.83,-8.38,229.3,70.2,35.9,335.4
"15G/02G",39.77,-8.36,180.9,61.5,21.1,263.5
"15H/01C",39.81,-8.19,194.7,49.2,21.8,265.7
"15I/01UG",39.81,-8.1,180.1,46.9,15.2,242.2
"15I/02UG",39.67,-8.15,153.5,66.1,28.5,248.1
"15J/01UC",39.75,-7.93,199.6,78.5,19.3,297.4
"15L/02UG",39.74,-7.62,99,46.4,3.8,149.2
"15M/03UG",39.68,-7.41,82.7,46.2,6.2,135.1
"16C/01C",39.57,-9.07,126.8,73.6,18.2,218.6
"16C/02G",39.5,-9.1,128.7,70,21.2,219.9
"16D/01UG",39.56,-8.92,163.3,65.5,35.3,264.1
"16D/03UG",39.68,-9,132.7,86.7,28,247.4
"16E/02G",39.52,-8.68,190.2,89.5,50.4,330.1
"16F/04C",39.52,-8.59,133.1,78.3,25.1,236.5
"16G/01UG",39.61,-8.39,119.2,52.2,11.2,182.6
"16I/04UG",39.54,-8.16,140.9,64.7,16.9,222.5
"16K/01G",39.65,-7.67,124.7,61.9,6.5,193.1
"16L/03UG",39.52,-7.67,103.8,63,3.1,169.9
"16L/04UG",39.51,-7.52,107.3,60.4,9.7,177.4
"17C/05UG",39.44,-9.1,77.4,55,2.8,135.2
"17C/06G",39.38,-9.04,0,0,0,0
"17C/07C",39.36,-9.16,100.8,76.2,16.4,193.4
"17D/01UG",39.46,-8.98,176.3,83.6,34.8,294.7
"17D/03UG",39.49,-8.88,258.9,123.8,88.7,471.4
"17D/04G",39.36,-8.85,134,61.6,16.9,212.5
"17E/03UG",39.35,-8.74,113.9,54,11.9,179.8
"17F/01UG",39.39,-8.66,109.7,48.6,0.4,158.7
"17G/02G",39.36,-8.49,76.6,56.5,8.4,141.5
"17G/04UG",39.48,-8.34,82.4,1.4,8,91.8
"17H/01C",39.45,-8.1,85.1,64.1,8.7,157.9
"17I/02UG",39.35,-8.14,47.1,16.9,0.2,64.2
"17J/02UG",39.38,-7.9,77.2,26.2,0,103.4
"17L/02UG",39.35,-7.65,128.6,78,21,227.6
"17L/03UG",39.41,-7.61,65.4,0.5,14.5,80.4
"17M/01G",39.41,-7.45,122.2,78.9,11.5,212.6
"17M/03UG",39.45,-7.37,81.8,82.3,4.5,168.6
"18B/01UG",39.28,-9.26,159.5,75.1,21.6,256.2
"18B/03UG",39.2,-9.23,89.1,49,7.8,145.9
"18B/04UG",39.18,-9.31,117.7,76.8,15.4,209.9
"18C/01G",39.2,-9.06,118.1,82.4,41,241.5
"18C/03UG",39.27,-9.1,102.9,71.8,0,174.7
"18D/02UG",39.28,-8.86,118.3,72.1,20.1,210.5
"18E/01C",39.25,-8.7,126.4,90.5,16.1,233
"18F/01UG",39.21,-8.62,72.2,44.2,16.4,132.8
"18G/01G",39.27,-8.35,93.9,5.4,14.9,114.2
"18G/02UG",39.31,-8.43,81.8,58.4,9,149.2
"18G/03UC",39.18,-8.48,81.6,50.8,8.8,141.2
"18H/02UG",39.22,-8.22,3,0.1,0,3.1
"18H/04UG",39.28,-8.24,75.5,0.3,0,75.8
"18I/01C",39.26,-8.01,108.2,48.6,11.6,168.4
"18K/01C",39.26,-7.82,97.7,65,17.8,180.5
"18K/02UG",39.3,-7.72,104.3,63.9,15.8,184
"18L/01UG",39.22,-7.68,115.1,77.2,13.7,206
"18N/01UG",39.31,-7.31,168.3,101.7,16.7,286.7
"18N/02G",39.24,-7.32,3.4,1.8,0,5.2
"19B/03UG",39.14,-9.18,212.6,133.4,40,386
"19B/05C",39.06,-9.24,0,0,0,0
"19C/03G",39.14,-9.01,80.1,52.7,15.9,148.7
"19C/07G",39.09,-9.11,116.6,57.1,16.3,190
"19C/08C",39.09,-9.03,99.4,60,9.5,168.9
"19E/03UG",39.16,-8.83,97.9,50.3,9.9,158.1
"19G/01UG",39.12,-8.35,8.6,0.6,4.7,13.9
"19G/02UG",39.07,-8.46,76.5,1.6,0.3,78.4
"19J/03UG",39.06,-7.9,85,60.8,14.5,160.3
"19K/01UG",39.15,-7.78,61.2,0.8,0.2,62.2
"19L/01UG",39.13,-7.59,112.3,57.9,19.3,189.5
"19L/02UG",39.06,-7.65,72.1,4.3,0.7,77.1
"19N/03UG",39.16,-7.2,95.9,62,15.2,173.1
"19O/03UG",39.06,-7.12,65.2,33.6,7.6,106.4
"20B/02UG",39,-9.33,242.3,119.3,26.3,387.9
"20B/03C",38.89,-9.21,132.4,69.7,22.5,224.6
"20B/04GC",38.89,-9.33,109.1,87.7,22.3,219.1
"20B/06UG",38.95,-9.2,146.5,97.5,25.2,269.2
"20C/01C",38.84,-9.12,139.9,82.3,14.9,237.1
"20C/03G",38.95,-9.14,129.9,9.6,0,139.5
"20C/04UG",38.93,-9.07,112.9,77.7,14.2,204.8
"20D/01C",38.94,-8.95,34.9,2.1,1.3,38.3
"20E/02UG",38.86,-8.75,61.9,3.4,0.2,65.5
"20F/01UG",38.97,-8.52,74.1,60.5,6.5,141.1
"20I/02UG",38.87,-8.16,72.3,74.8,16.1,163.2
"20K/01UG",38.95,-7.67,90.4,84.7,13.6,188.7
"20K/02UG",38.95,-7.8,123.7,57.8,21.1,202.6
"20L/01G",38.84,-7.62,76.4,57.4,15.6,149.4
"20M/01UG",38.92,-7.41,53,68.5,7.4,128.9
"20O/02UG",38.89,-7.09,85.4,61.7,8.7,155.8
"21A/11G",38.7,-9.43,131.2,76.8,14.7,222.7
"21B/11UG",38.82,-9.22,0,0,0,0
"21F/01UG",38.77,-8.63,93.5,32.8,0,126.3
"21G/01UG",38.67,-8.47,110.4,74.1,12.5,197
"21H/01UG",38.76,-8.2,42.9,6.2,0.6,49.7
"21I/01UG",38.71,-8.1,0,0,0,0
"21J/01UG",38.83,-7.84,108.8,1.6,0.4,110.8
"21J/02UG",38.77,-8,56.4,55.1,3.2,114.7
"21J/03C",38.7,-7.92,98.5,54.7,21.8,175
"21K/01UG",38.7,-7.77,106.8,68.5,23.2,198.5
"21K/02UG",38.77,-7.72,104.5,51.6,16.8,172.9
"21K/03UG",38.74,-7.81,104.3,53.4,23.3,181
"21L/01UG",38.77,-7.61,104.1,57.4,0.6,162.1
"21M/01UG",38.79,-7.42,151.1,66.7,14.8,232.6
"21N/01UG",38.74,-7.24,109,55.7,16.8,181.5
"22B/01C",38.66,-9.2,0,0,0,0
"22L/02UG",38.58,-7.66,77.1,47.4,13.1,137.6
"22L/03UG",38.51,-7.6,39.6,12,12.1,63.7
"22M/01UG",38.54,-7.48,98.1,53.3,0,151.4
"22M/03UG",38.62,-7.35,97.1,53.9,9.6,160.6
"22M/04UG",38.57,-7.36,108.9,73.8,9.7,192.4
"23E/01C",38.38,-8.79,57.6,11,8.7,77.3
"23I/01C",38.39,-8.15,111.4,56.9,25.9,194.2
"23K/01UG",38.46,-7.75,51.9,25.8,3.5,81.2
"23L/01G",38.42,-7.53,106.7,54.1,13.5,174.3
"24H/01UG",38.29,-8.23,90.8,56.1,0,146.9
"24I/01C",38.33,-8.01,117.7,60.7,20.4,198.8
"24I/03C",38.18,-8.11,90.5,50.2,18.1,158.8
"24J/02UG",38.26,-7.99,118.8,57.3,0,176.1
"24J/03UG",38.17,-7.89,98.2,54.1,17.2,169.5
"24K/01UG",38.31,-7.71,105.1,73.3,18.5,196.9
"24K/02UG",38.21,-7.8,25.5,16.3,13,54.8
"24L/03C",38.21,-7.5,93.2,40.5,15.7,149.4
"24N/01UG",38.21,-7.23,46.9,9.2,0,56.1
"25G/01UG",38.07,-8.41,68.9,64.6,10.2,143.7
"25I/01UG",38.06,-8.11,87,53.7,18.3,159
"25L/01UG",38.12,-7.65,18.5,0.4,0,18.9
"25M/03C",38.06,-7.49,97.5,15.7,14.8,128
"25N/01UG",38.02,-7.26,34.1,0.2,0,34.3
"25O/01UG",38.06,-7.15,59.6,0,0,59.6
"26F/01UG",37.93,-8.54,13,0,0,13
"26F/02C",37.84,-8.62,96,4.2,0.8,101
"26I/01UG",37.96,-8.02,75.1,2.7,3.3,81.1
"26I/03UG",37.87,-8.17,78.4,41.9,17,137.3
"26J/01UG",37.89,-7.89,20.8,47.6,17.2,85.6
"26J/03UG",37.97,-7.87,107.4,49.1,20.4,176.9
"26J/04UG",37.86,-7.96,89.9,45.9,1.1,136.9
"26K/01UG",37.93,-7.79,107,51.7,13.7,172.4
"26L/01UG",37.94,-7.6,46.5,52.7,28.9,128.1
"26M/01C",37.95,-7.43,90.5,54.7,22.6,167.8
"27E/01UG",37.8,-8.67,53.2,3.4,0,56.6
"27G/01G",37.7,-8.48,52,0,0,52
"27H/01CG",37.76,-8.31,67.7,0,0.4,68.1
"27H/02C",37.73,-8.29,83.2,73.7,34.8,191.7
"27I/01G",37.7,-8.09,88.6,52.8,28.5,169.9
"27J/01UG",37.7,-7.94,111.4,41.4,12.9,165.7
"27J/03C",37.81,-7.87,82.3,56.9,21.1,160.3
"27K/02UG",37.68,-7.75,74.1,40.9,17.8,132.8
"28F/01UG",37.59,-8.64,48.9,0,0,48.9
"28H/01G",37.61,-8.25,88.6,0,0,88.6
"28H/03UG",37.5,-8.3,69.9,1.5,0.4,71.8
"28J/01G",37.56,-7.86,68.1,36.6,30.1,134.8
"28J/03UG",37.64,-7.98,70.3,33,26.8,130.1
"28K/01UG",37.61,-7.79,63,0,0,63
"28K/02UG",37.58,-7.69,75.7,36.2,0,111.9
"28L/01UG",37.64,-7.66,58.5,0,0,58.5
"28L/02UG",37.54,-7.54,1.1,0.8,14,15.9
"29F/02UG",37.36,-8.63,123.3,110.6,43.5,277.4
"29F/03G",37.38,-8.56,15.8,7.9,13,36.7
"29G/01UG",37.49,-8.49,68,42.8,25.5,136.3
"29G/02G",37.37,-8.38,83.4,34.4,33.6,151.4
"29J/03UG",37.44,-7.92,59.2,8.7,7.1,75
"29K/02UG",37.47,-7.7,39.8,10.2,26.8,76.8
"29K/03UG",37.37,-7.68,76.1,57.6,0,133.7
"29K/05G",37.4,-7.8,2.2,0,0,2.2
"29L/01UG",37.45,-7.59,82.1,39.9,24.7,146.7
"29M/01UG",37.47,-7.47,93.2,49.9,28.7,171.8
"29M/02UG",37.33,-7.47,0,0,0,0
"30E/01UG",37.33,-8.8,50.8,0.6,1.4,52.8
"30E/02UG",37.31,-8.67,0,0,1.7,1.7
"30F/01C",37.32,-8.59,219.6,149.4,77.6,446.6
"30F/05C",37.21,-8.6,84.3,87.6,43.8,215.7
"30G/01UG",37.33,-8.49,81.4,96.6,40.2,218.2
"30G/03C",37.24,-8.38,97.2,90,36.5,223.7
"30H/03UG",37.25,-8.28,94.9,91.2,33.6,219.7
"30H/04UG",37.25,-8.19,37.6,0.4,0,38
"30H/05UG",37.17,-8.21,90,73.1,60.4,223.5
"30I/02UG",37.3,-8.06,131.6,114.7,15.9,262.2
"30I/03UG",37.25,-8.05,47.1,0,0,47.1
"30J/03G",37.28,-7.86,70.6,0,0,70.6
"30K/01UG",37.28,-7.74,67.9,46.6,27,141.5
"30L/01UG",37.31,-7.56,89,68.9,0,157.9
"30L/03UG",37.23,-7.59,82.9,86.4,0,169.3
"30L/04UG",37.19,-7.51,0,0.1,28.8,28.9
"30M/03UG",37.22,-7.43,76.3,59,0,135.3
"30M/06G",37.27,-7.51,99.4,77.9,0,177.3
"31E/02UG",37.15,-8.74,97.6,86.3,33.3,217.2
"31F/02UG",37.16,-8.61,85.9,80,33.7,199.6
"31G/02UG",37.13,-8.39,115,59.8,3.1,177.9
"31H/02C",37.14,-8.3,92.7,68.6,31.9,193.2
"31I/01UG",37.15,-8.01,94.9,98.6,13.1,206.6
"31J/04UG",37.09,-7.91,0.3,0.2,0,0.5
