"Month","LATITUDE..ºN.","LONGITUDE..ºW.","May","Jun","Jul","sum"
"09N/01UG",40.76,-7.32,0,0,0,0
"09O/01G",40.77,-7.06,20.7,26.2,7.6,54.5
"09P/02UG",40.72,-6.91,0,0,0,0
"10E/03UG",40.62,-8.71,0,0.1,31.2,31.3
"10G/01UG",40.52,-8.5,32.1,63.3,50.4,145.8
"10H/02G",40.59,-8.19,78.7,92.4,30.5,201.6
"10I/01UG",40.51,-8.1,0,0,0,0
"10I/02UG",40.58,-8.08,0,0,0,0
"10J/03UG",40.63,-7.85,0,0,18.3,18.3
"10K/01UG",40.6,-7.81,0,36.4,22.1,58.5
"10L/01UG",40.63,-7.53,15,0,0,15
"10M/02UG",40.59,-7.37,40,40.2,15.5,95.7
"10M/03UG",40.59,-7.49,0,0,0,0
"10N/01UG",40.65,-7.21,26.9,27.6,11.3,65.8
"10N/04UG",40.62,-7.28,0,0,0,0
"10O/01UG",40.6,-7.07,0.1,0,0,0.1
"10O/02UG",40.59,-7.13,28.8,27.4,10.2,66.4
"10Q/01UG",40.61,-6.83,0,5.4,10.2,15.6
"11E/01C",40.46,-8.79,27,25.2,10.8,63
"11F/02UG",40.46,-8.64,0,0,0,0
"11H/01UG",40.34,-8.23,48.2,69.3,17.2,134.7
"11I/01G",40.43,-8.12,62.5,34,0,96.5
"11I/03UG",40.43,-8,0,30.8,20.8,51.6
"11K/03UG",40.48,-7.79,20.5,66.3,16.4,103.2
"11L/07CG",40.38,-7.64,0,0,0,0
"11L/09G",40.4,-7.59,56.8,76.7,19.6,153.1
"11L/10G",40.41,-7.57,0,0,0,0
"11N/01UG",40.48,-7.25,10.4,40.8,12.1,63.3
"11N/02UG",40.37,-7.25,0,0,5.6,5.6
"12E/02UG",40.24,-8.75,0,0,0,0
"12F/01UG",40.24,-8.59,42.6,85.9,23.2,151.7
"12F/02C",40.18,-8.6,0,0,0,0
"12F/03UG",40.2,-8.65,38.5,70.7,16.1,125.3
"12G/04UG",40.28,-8.45,26.8,60.1,16.8,103.7
"12G/05C",40.31,-8.18,45.3,53.3,19.9,118.5
"12J/01UG",40.25,-7.98,39,61.3,13.2,113.5
"12K/01UG",40.21,-7.74,0,0,0,0
"12L/03G",40.28,-7.51,42.3,52.6,22.9,117.8
"12L/04UG",40.2,-7.52,45.4,36.6,7.2,89.2
"12M/02UG",40.2,-7.37,28.4,46.9,1.2,76.5
"12N/01UG",40.31,-7.24,0,0,0,0
"12O/01UG",40.16,-7.16,16.8,25.5,2.5,44.8
"13D/04UG",40.15,-8.84,0.2,27.5,10.2,37.9
"13E/01UG",40.13,-8.73,0,0,0,0
"13F/01G",40.05,-8.63,37.7,0.5,0,38.2
"13F/02UG",40.01,-8.52,49.6,55.7,21.1,126.4
"13G/01UG",40.03,-8.39,45.3,48.8,16.9,111
"13G/02UG",40.1,-8.5,0,38,20.4,58.4
"13H/05UG",40,-8.21,40.1,86.4,24.2,150.7
"13H/06C",40.03,-8.3,36.9,0,0,36.9
"13I/01G",40.16,-8.11,0,0,0,0
"13I/02UG",40.13,-8.05,0,0,0,0
"13J/01UG",40.14,-7.92,0,0,0,0
"13J/03UG",40.04,-7.95,38.7,40.4,17.7,96.8
"13K/02UG",40.14,-7.67,51.4,29.2,6.8,87.4
"13L/04UG",40.04,-7.56,0,0,0.1,0.1
"13O/01UG",40.04,-7.02,29.5,9,1.5,40
"13O/02UG",40.11,-7.12,22.7,29.9,4.2,56.8
"14D/03C",39.86,-8.85,24.8,31.7,11.5,68
"14E/03UG",39.88,-8.72,0,0,0,0
"14F/01UG",39.9,-8.63,30,58.6,13.5,102.1
"14H/01UG",39.9,-8.28,0,0,23.4,23.4
"14I/01UG",39.91,-8.14,31,67.9,18.7,117.6
"14J/01UG",39.92,-7.92,41.8,53.9,13.6,109.3
"14J/02UG",39.83,-7.88,67,65.1,9.8,141.9
"14K/04UG",39.95,-7.79,45.9,34.7,6.4,87
"14M/01UG",39.93,-7.46,20.5,24.4,5.4,50.3
"15D/03UG",39.69,-8.9,25.7,0,0,25.7
"15E/03G",39.74,-8.71,39.5,46.5,9.8,95.8
"15F/01UG",39.8,-8.59,50.4,61.8,20.9,133.1
"15F/02C",39.71,-8.53,33.3,59.2,9.2,101.7
"15G/01UG",39.83,-8.38,32.4,67,13.1,112.5
"15G/02G",39.77,-8.36,50.5,65.2,8.2,123.9
"15H/01C",39.81,-8.19,56.9,58.1,12.5,127.5
"15I/01UG",39.81,-8.1,0,35.9,2,37.9
"15I/02UG",39.67,-8.15,0,0,0,0
"15J/01UC",39.75,-7.93,43,0,0,43
"15L/02UG",39.74,-7.62,0,0,0,0
"15M/03UG",39.68,-7.41,0,6.7,0.4,7.1
"16C/01C",39.57,-9.07,35.6,43.7,11.9,91.2
"16C/02G",39.5,-9.1,0,0,0,0
"16D/01UG",39.56,-8.92,27.2,24.1,9.6,60.9
"16D/03UG",39.68,-9,34.7,32.8,11.8,79.3
"16E/02G",39.52,-8.68,60.6,54.3,4.5,119.4
"16F/04C",39.52,-8.59,28.1,66.4,10,104.5
"16G/01UG",39.61,-8.39,17.2,35.3,3.5,56
"16I/04UG",39.54,-8.16,0,5.2,5.6,10.8
"16K/01G",39.65,-7.67,18.1,0,0,18.1
"16L/03UG",39.52,-7.67,0,0,0,0
"16L/04UG",39.51,-7.52,4.9,12.3,0,17.2
"17C/05UG",39.44,-9.1,0,65.6,16.1,81.7
"17C/06G",39.38,-9.04,25.8,18.9,4.6,49.3
"17C/07C",39.36,-9.16,23.5,0,0,23.5
"17D/01UG",39.46,-8.98,0.8,53.3,19.9,74
"17D/03UG",39.49,-8.88,0,10.4,19.8,30.2
"17D/04G",39.36,-8.85,0,0,0,0
"17E/03UG",39.35,-8.74,0,0,0,0
"17F/01UG",39.39,-8.66,26.7,50,2.7,79.4
"17G/02G",39.36,-8.49,8.7,1.4,0.2,10.3
"17G/04UG",39.48,-8.34,17.1,0.4,0.3,17.8
"17H/01C",39.45,-8.1,24.5,34.8,4.6,63.9
"17I/02UG",39.35,-8.14,0,0,0,0
"17J/02UG",39.38,-7.9,17.7,35.7,2.7,56.1
"17L/02UG",39.35,-7.65,8.8,18.7,0.8,28.3
"17L/03UG",39.41,-7.61,8,2.4,0.2,10.6
"17M/01G",39.41,-7.45,14.4,24.7,2.1,41.2
"17M/03UG",39.45,-7.37,7.9,13.9,0.9,22.7
"18B/01UG",39.28,-9.26,0,34,11.9,45.9
"18B/03UG",39.2,-9.23,38.2,43.9,3.8,85.9
"18B/04UG",39.18,-9.31,25.4,49.1,6.1,80.6
"18C/01G",39.2,-9.06,71.3,67.4,6.6,145.3
"18C/03UG",39.27,-9.1,0,0,0,0
"18D/02UG",39.28,-8.86,0,0,0,0
"18E/01C",39.25,-8.7,20.7,39.6,3.7,64
"18F/01UG",39.21,-8.62,0,0,0,0
"18G/01G",39.27,-8.35,45.4,44.8,2.4,92.6
"18G/02UG",39.31,-8.43,5.1,0,0,5.1
"18G/03UC",39.18,-8.48,23.1,0,0,23.1
"18H/02UG",39.22,-8.22,39,38.6,2,79.6
"18H/04UG",39.28,-8.24,37.9,50.4,2.4,90.7
"18I/01C",39.26,-8.01,20.9,25.8,0.6,47.3
"18K/01C",39.26,-7.82,0,0,0,0
"18K/02UG",39.3,-7.72,0,0,0.2,0.2
"18L/01UG",39.22,-7.68,7.5,0,0,7.5
"18N/01UG",39.31,-7.31,0,0,5.9,5.9
"18N/02G",39.24,-7.32,0,0,1.9,1.9
"19B/03UG",39.14,-9.18,50.4,41.4,7.6,99.4
"19B/05C",39.06,-9.24,41.4,29.9,5.6,76.9
"19C/03G",39.14,-9.01,0,0,0,0
"19C/07G",39.09,-9.11,47.3,62.3,3.7,113.3
"19C/08C",39.09,-9.03,31.1,24.7,0.2,56
"19E/03UG",39.16,-8.83,25,41.2,3,69.2
"19G/01UG",39.12,-8.35,0.4,3.4,0.3,4.1
"19G/02UG",39.07,-8.46,0,0.7,0.4,1.1
"19J/03UG",39.06,-7.9,4,0,0,4
"19K/01UG",39.15,-7.78,29.2,18.9,1.4,49.5
"19L/01UG",39.13,-7.59,0,0,1.5,1.5
"19L/02UG",39.06,-7.65,0,0,2.1,2.1
"19N/03UG",39.16,-7.2,6.3,11.4,1.2,18.9
"19O/03UG",39.06,-7.12,2.5,11,1.7,15.2
"20B/02UG",39,-9.33,97.1,26.5,7.2,130.8
"20B/03C",38.89,-9.21,23.4,0,0,23.4
"20B/04GC",38.89,-9.33,0,0,0,0
"20B/06UG",38.95,-9.2,0,28.5,5.4,33.9
"20C/01C",38.84,-9.12,48.1,53.3,1,102.4
"20C/03G",38.95,-9.14,42,0,0,42
"20C/04UG",38.93,-9.07,0,0,0,0
"20D/01C",38.94,-8.95,25.8,0,0,25.8
"20E/02UG",38.86,-8.75,6.4,4.4,0.5,11.3
"20F/01UG",38.97,-8.52,9.7,8.2,0.6,18.5
"20I/02UG",38.87,-8.16,0.6,0.4,1.3,2.3
"20K/01UG",38.95,-7.67,0,5.9,1.6,7.5
"20K/02UG",38.95,-7.8,10.9,36.2,2,49.1
"20L/01G",38.84,-7.62,0,1.8,1.5,3.3
"20M/01UG",38.92,-7.41,5.9,1.2,0.7,7.8
"20O/02UG",38.89,-7.09,12.3,24.1,0.6,37
"21A/11G",38.7,-9.43,0,0,0,0
"21B/11UG",38.82,-9.22,0,0,0,0
"21F/01UG",38.77,-8.63,0,0,0,0
"21G/01UG",38.67,-8.47,1,0,1.3,2.3
"21H/01UG",38.76,-8.2,0,0,0,0
"21I/01UG",38.71,-8.1,5.8,24,3.1,32.9
"21J/01UG",38.83,-7.84,3.7,17.3,3.4,24.4
"21J/02UG",38.77,-8,0,0,0,0
"21J/03C",38.7,-7.92,2.9,0,0,2.9
"21K/01UG",38.7,-7.77,8.8,19.1,0.6,28.5
"21K/02UG",38.77,-7.72,7.7,30.9,2.8,41.4
"21K/03UG",38.74,-7.81,0,0,3.1,3.1
"21L/01UG",38.77,-7.61,0,15.1,12.2,27.3
"21M/01UG",38.79,-7.42,4.1,14.4,0.4,18.9
"21N/01UG",38.74,-7.24,3.5,12.7,0,16.2
"22B/01C",38.66,-9.2,11.9,34.6,0,46.5
"22L/02UG",38.58,-7.66,13.3,12.7,0.4,26.4
"22L/03UG",38.51,-7.6,9.9,10.4,0.1,20.4
"22M/01UG",38.54,-7.48,0,0,0,0
"22M/03UG",38.62,-7.35,0,0,0,0
"22M/04UG",38.57,-7.36,3,14.9,0.3,18.2
"23E/01C",38.38,-8.79,5.3,17.3,0.3,22.9
"23I/01C",38.39,-8.15,18.9,15.1,1.9,35.9
"23K/01UG",38.46,-7.75,5.2,9.7,0.3,15.2
"23L/01G",38.42,-7.53,7.9,15.2,0.5,23.6
"24H/01UG",38.29,-8.23,0.2,0.1,0.3,0.6
"24I/01C",38.33,-8.01,9.5,33,1.8,44.3
"24I/03C",38.18,-8.11,7.5,13.5,1,22
"24J/02UG",38.26,-7.99,0,0,0,0
"24J/03UG",38.17,-7.89,0.3,0.2,0.5,1
"24K/01UG",38.31,-7.71,12.7,10.9,1.3,24.9
"24K/02UG",38.21,-7.8,0.4,0.1,0,0.5
"24L/03C",38.21,-7.5,11.9,3,0.4,15.3
"24N/01UG",38.21,-7.23,0,0,0,0
"25G/01UG",38.07,-8.41,27.6,9.2,0.5,37.3
"25I/01UG",38.06,-8.11,2.2,0.7,0,2.9
"25L/01UG",38.12,-7.65,0,0,0,0
"25M/03C",38.06,-7.49,11,7.1,1.9,20
"25N/01UG",38.02,-7.26,0,0,1.6,1.6
"25O/01UG",38.06,-7.15,1.7,0.9,0.2,2.8
"26F/01UG",37.93,-8.54,0.4,0,1,1.4
"26F/02C",37.84,-8.62,0.7,0,0,0.7
"26I/01UG",37.96,-8.02,10.4,8.4,0,18.8
"26I/03UG",37.87,-8.17,3.4,11.1,0,14.5
"26J/01UG",37.89,-7.89,0,0,0,0
"26J/03UG",37.97,-7.87,3.8,1.2,0.2,5.2
"26J/04UG",37.86,-7.96,2.6,8.4,0.3,11.3
"26K/01UG",37.93,-7.79,0,6.5,0.5,7
"26L/01UG",37.94,-7.6,16.5,3.1,1.7,21.3
"26M/01C",37.95,-7.43,25.8,5.9,0.4,32.1
"27E/01UG",37.8,-8.67,10,15.2,0.7,25.9
"27G/01G",37.7,-8.48,5.1,20.6,0.5,26.2
"27H/01CG",37.76,-8.31,16,14.2,0.5,30.7
"27H/02C",37.73,-8.29,19.8,10.7,0,30.5
"27I/01G",37.7,-8.09,5.6,9.5,0.6,15.7
"27J/01UG",37.7,-7.94,7.9,2.2,21.8,31.9
"27J/03C",37.81,-7.87,7.9,6.6,1.7,16.2
"27K/02UG",37.68,-7.75,45.5,9.3,0,54.8
"28F/01UG",37.59,-8.64,6.5,2.6,0.1,9.2
"28H/01G",37.61,-8.25,3.5,13.4,1.6,18.5
"28H/03UG",37.5,-8.3,0,13.1,0.6,13.7
"28J/01G",37.56,-7.86,2.1,7.4,0.4,9.9
"28J/03UG",37.64,-7.98,0,9.7,0.3,10
"28K/01UG",37.61,-7.79,0,8.2,0.4,8.6
"28K/02UG",37.58,-7.69,0,0,0,0
"28L/01UG",37.64,-7.66,0.7,5.9,0.3,6.9
"28L/02UG",37.54,-7.54,1.4,0.5,0,1.9
"29F/02UG",37.36,-8.63,0,0.1,0,0.1
"29F/03G",37.38,-8.56,1.4,0.1,0.3,1.8
"29G/01UG",37.49,-8.49,0,0,0,0
"29G/02G",37.37,-8.38,15.8,14,1.6,31.4
"29J/03UG",37.44,-7.92,4.2,5.6,0,9.8
"29K/02UG",37.47,-7.7,20.4,8.2,0,28.6
"29K/03UG",37.37,-7.68,0.3,0.6,0.2,1.1
"29K/05G",37.4,-7.8,0,0.7,0,0.7
"29L/01UG",37.45,-7.59,13.1,5.2,0.1,18.4
"29M/01UG",37.47,-7.47,0,0,0,0
"29M/02UG",37.33,-7.47,0,0,0,0
"30E/01UG",37.33,-8.8,6.8,13.9,1.2,21.9
"30E/02UG",37.31,-8.67,23.6,21.9,0.3,45.8
"30F/01C",37.32,-8.59,40.9,36.2,2.2,79.3
"30F/05C",37.21,-8.6,0,0,0,0
"30G/01UG",37.33,-8.49,26.2,12.4,0.1,38.7
"30G/03C",37.24,-8.38,0,0,0,0
"30H/03UG",37.25,-8.28,4.1,2.1,0.6,6.8
"30H/04UG",37.25,-8.19,1.1,7.7,0.2,9
"30H/05UG",37.17,-8.21,5.2,7.1,0.6,12.9
"30I/02UG",37.3,-8.06,0,0.1,1.3,1.4
"30I/03UG",37.25,-8.05,7.5,10.2,1.7,19.4
"30J/03G",37.28,-7.86,2.8,7.2,2.3,12.3
"30K/01UG",37.28,-7.74,14.1,4.1,0.3,18.5
"30L/01UG",37.31,-7.56,0,0,0.3,0.3
"30L/03UG",37.23,-7.59,0,0,0.4,0.4
"30L/04UG",37.19,-7.51,5.5,4.7,0,10.2
"30M/03UG",37.22,-7.43,4.2,0.5,0.1,4.8
"30M/06G",37.27,-7.51,0,0,0,0
"31E/02UG",37.15,-8.74,0,0,0.1,0.1
"31F/02UG",37.16,-8.61,0,0,0.1,0.1
"31G/02UG",37.13,-8.39,0,0.2,0,0.2
"31H/02C",37.14,-8.3,2.3,5.8,0.5,8.6
"31I/01UG",37.15,-8.01,0,12.4,2.3,14.7
"31J/04UG",37.09,-7.91,0,5.6,1.5,7.1
