"Station","LATITUDE..ºN.","LONGITUDE..ºW.","Jan","Feb","Mar","sum"
"04P/06UG",41.53,-6.96,84.5,16.6,81.4,182.5
"04Q/01UG",41.57,-6.72,79.1,2.4,31.8,113.3
"04R/02G",41.64,-6.55,70.2,5.2,43,118.4
"04R/03UG",41.52,-6.56,37,28,54,119
"04S/01UG",41.66,-6.43,79,5.2,40.5,124.7
"05E/03UG",41.4,-8.76,86.7,25.8,64.4,176.9
"05F/01UG",41.46,-8.55,123.6,38.4,80.8,242.8
"05F/02UG",41.36,-8.63,136.9,31,89.4,257.3
"05F/03UG",41.48,-8.67,97.4,28.9,70.7,197
"05G/03UG",41.41,-8.43,125,24,81,230
"05G/05UG",41.48,-8.43,141.5,33,82.8,257.3
"05G/06UG",41.37,-8.36,96.1,31.5,75.5,203.1
"05H/03UG",41.38,-8.22,108,44.3,104.3,256.6
"06P/02UG",41.18,-6.89,56.2,11.1,30,97.3
"06Q/01UG",41.18,-6.76,55.1,12.2,25.7,93
"07H/01UG",41.08,-8.29,81,34.6,109.3,224.9
"07L/10UG",41.1,-7.59,53.6,15.2,83.3,152.1
"07N/05UG",41.07,-7.22,49.9,19.1,40.9,109.9
"07O/05UG",41.02,-7.07,30.6,14.4,25.8,70.8
"07P/04UG",41.08,-6.9,46,10.2,26.1,82.3
"08F/02UG",40.92,-8.6,98.2,37.6,117.5,253.3
"08G/01C",40.85,-8.38,114,48,134.7,296.7
"08N/02G",40.91,-7.23,38.5,13,41.5,93
"08O/01UG",40.9,-7.07,15.7,14.3,37.3,67.3
"08P/02G",40.95,-6.92,53.7,11.5,27.5,92.7
"09L/01UG",40.82,-7.54,63.7,28.8,74.1,166.6
"09O/01G",40.77,-7.06,49.5,16.4,28.4,94.3
"09P/02UG",40.72,-6.91,46.5,14.5,23.5,84.5
"10E/03UG",40.62,-8.71,104.5,34.2,74.9,213.6
"10H/02G",40.59,-8.19,80.5,36.1,129.6,246.2
"10I/01UG",40.51,-8.1,98.8,21.1,103.2,223.1
"10M/01G",40.65,-7.39,19.2,4.4,32.6,56.2
"10N/01UG",40.65,-7.21,49,14.5,44.7,108.2
"10O/01UG",40.6,-7.07,74,17.6,49.5,141.1
"10O/02UG",40.59,-7.13,76,21,58,155
"10O/03G",40.51,-7.01,63.9,11.1,45,120
"11H/01UG",40.34,-8.23,42.3,17.2,58.2,117.7
"11I/01G",40.43,-8.12,86.5,11.5,115,213
"11J/01UG",40.48,-7.86,82.4,24.2,51.1,157.7
"11J/02C",40.36,-7.87,105.7,32,93.5,231.2
"11O/01G",40.43,-7.14,90.2,20,77.6,187.8
"11P/01UG",40.41,-6.87,55,5.2,46.9,107.1
"12E/02UG",40.24,-8.75,57.8,26,61.7,145.5
"12G/04UG",40.28,-8.45,58.8,5.7,63,127.5
"12G/05C",40.31,-8.18,90,32,121.2,243.2
"12L/03G",40.28,-7.51,186.7,16.5,117.3,320.5
"13F/01G",40.05,-8.63,71.1,37.1,96.4,204.6
"13F/02UG",40.01,-8.52,110.6,43.8,129.4,283.8
"13H/03UG",40.11,-8.25,60.4,28.8,143.3,232.5
"13I/02UG",40.13,-8.05,104.9,42.5,143.9,291.3
"13J/01UG",40.14,-7.92,133.7,54.4,192.7,380.8
"14F/01UG",39.9,-8.63,76,16.4,99.1,191.5
"14K/04UG",39.95,-7.79,137.6,27.7,148,313.3
"14N/02UG",39.83,-7.27,91.2,10,26.1,127.3
"14O/01UG",40,-7.15,114.8,0,36.4,151.2
"15F/02C",39.71,-8.53,75.2,18.3,116.1,209.6
"15G/01UG",39.83,-8.38,98,27.6,126.3,251.9
"15G/02G",39.77,-8.36,82,27.6,99.6,209.2
"15G/03UG",39.76,-8.46,57.2,16,108.2,181.4
"16C/01C",39.57,-9.07,92.5,21.1,53.3,166.9
"16C/02G",39.5,-9.1,111.5,19,71,201.5
"16D/01UG",39.56,-8.92,107,21.5,92.6,221.1
"16E/02G",39.52,-8.68,131.7,17.5,117.5,266.7
"16F/04C",39.52,-8.59,117.9,13,128.7,259.6
"16G/01UG",39.61,-8.39,100.4,23.1,80,203.5
"16G/02UG",39.53,-8.46,95.6,14.8,95.2,205.6
"16I/03UG",39.49,-8.1,68.9,20.5,21.5,110.9
"16I/04UG",39.54,-8.16,92.9,21,65.6,179.5
"16K/01G",39.65,-7.67,65.3,7.2,48.7,121.2
"16L/01UG",39.59,-7.53,52.2,2,28.8,83
"16L/03UG",39.52,-7.67,60.1,10,47.1,117.2
"16L/04UG",39.51,-7.52,80.5,4,42.5,127
"17C/05UG",39.44,-9.1,126.9,21.2,81.1,229.2
"17C/06G",39.38,-9.04,147.5,27.2,98.6,273.3
"17D/01UG",39.46,-8.98,136.1,30.2,92.1,258.4
"17D/04G",39.36,-8.85,114.7,13.8,126.1,254.6
"17E/02UG",39.42,-8.77,104.2,18.5,102.9,225.6
"17E/03UG",39.35,-8.74,109.4,14,92.2,215.6
"17F/01UG",39.39,-8.66,115.7,14.6,96.8,227.1
"17F/05UG",39.45,-8.53,99.6,12.9,89.6,202.1
"17G/02G",39.36,-8.49,84.3,6.2,53.8,144.3
"17G/04UG",39.48,-8.34,79.9,18,50.8,148.7
"17H/01C",39.45,-8.1,85.6,14.7,54.1,154.4
"17I/02UG",39.35,-8.14,89.1,14.5,62.9,166.5
"17J/01UG",39.46,-7.94,97.1,21,85.4,203.5
"17J/02UG",39.38,-7.9,99.8,30.2,67.1,197.1
"17K/01UG",39.4,-7.78,95,21.7,86.5,203.2
"17L/02UG",39.35,-7.65,80.5,7.3,55.3,143.1
"17L/03UG",39.41,-7.61,50.1,20.9,65.1,136.1
"17M/01G",39.41,-7.45,74,10,58.5,142.5
"17M/03UG",39.45,-7.37,125,8.8,51.7,185.5
"18B/01UG",39.28,-9.26,62.1,19,53.2,134.3
"18B/03UG",39.2,-9.23,118.6,13.5,61.9,194
"18B/04UG",39.18,-9.31,102,7,75,184
"18C/01G",39.2,-9.06,160.1,15.8,111.4,287.3
"18C/03UG",39.27,-9.1,102.8,9.7,88.5,201
"18D/01C",39.29,-8.93,123.4,14.4,146.5,284.3
"18D/02UG",39.28,-8.86,110.2,15,84.1,209.3
"18D/03C",39.21,-8.96,128.7,11.1,143.9,283.7
"18F/01UG",39.21,-8.62,73.6,5,67.5,146.1
"18G/01G",39.27,-8.35,81.9,18,52.6,152.5
"18G/02UG",39.31,-8.43,91.4,14.2,54.2,159.8
"18G/03UC",39.18,-8.48,65.7,11.1,58,134.8
"18H/04UG",39.28,-8.24,98.8,20.8,72.4,192
"18K/01C",39.26,-7.82,84.6,17.7,50.7,153
"18K/02UG",39.3,-7.72,26.4,16.8,73.1,116.3
"18L/01UG",39.22,-7.68,72.3,7.5,41.1,120.9
"18N/01UG",39.31,-7.31,84.5,8.5,80.3,173.3
"18N/02G",39.24,-7.32,71.1,13.2,65.1,149.4
"19B/03UG",39.14,-9.18,116.2,16.3,85.5,218
"19B/05C",39.06,-9.24,112.5,27,112,251.5
"19C/01UG",39.02,-9.15,110,23.1,122.9,256
"19C/03G",39.14,-9.01,108.2,15.3,110.5,234
"19C/04C",39.14,-9.08,105.8,11.4,99.1,216.3
"19C/08C",39.09,-9.03,100.1,8.8,122.7,231.6
"19D/02UG",39.11,-8.99,103.9,10,84.3,198.2
"19E/01UG",39.1,-8.71,126.8,8.4,84.5,219.7
"19G/01UG",39.12,-8.35,102.5,13.2,49.3,165
"19G/02UG",39.07,-8.46,82.2,6,52.7,140.9
"19H/02C",39.05,-8.17,90.7,17.4,47.3,155.4
"19J/03UG",39.06,-7.9,51,18,53,122
"19K/01UG",39.15,-7.78,66,19.1,50.3,135.4
"19L/01UG",39.13,-7.59,90,8.9,63.6,162.5
"19L/02UG",39.06,-7.65,71.7,10.1,74,155.8
"19M/01UG",39.06,-7.44,71.3,8.5,59.7,139.5
"19N/01UG",39.12,-7.28,73.9,4.7,68.7,147.3
"19N/03UG",39.16,-7.2,34.2,5,52.6,91.8
"19O/02C",39,-7.14,59.3,5,49.2,113.5
"19O/03UG",39.06,-7.12,76.7,10.6,54.1,141.4
"20B/02UG",39,-9.33,126.8,15.5,112.5,254.8
"20B/04GC",38.89,-9.33,55.8,2,60.5,118.3
"20B/06UG",38.95,-9.2,113,23.4,140.9,277.3
"20C/01C",38.84,-9.12,80.7,11.5,68.1,160.3
"20C/03G",38.95,-9.14,129.7,23.4,112.2,265.3
"20C/04UG",38.93,-9.07,93.4,14.2,109.6,217.2
"20D/01C",38.94,-8.95,70,5.9,60.7,136.6
"20E/01C",38.99,-8.69,88.8,11.1,55.1,155
"20E/02UG",38.86,-8.75,90.5,7.7,53.3,151.5
"20F/01UG",38.97,-8.52,81.2,15.2,53.9,150.3
"20I/01G",38.9,-8.01,83.7,14.9,68.8,167.4
"20I/02UG",38.87,-8.16,70.2,19.3,61,150.5
"20K/01UG",38.95,-7.67,77.6,1.3,65.1,144
"20K/02UG",38.95,-7.8,32.4,12.1,42.8,87.3
"20L/01G",38.84,-7.62,51,12.1,56.3,119.4
"20O/02UG",38.89,-7.09,65,6,51,122
"21A/09G",38.77,-9.38,140.5,27,145.5,313
"21A/10G",38.76,-9.42,132.3,25.3,124.3,281.9
"21B/10G",38.78,-9.3,120.5,31.9,119,271.4
"21B/11UG",38.82,-9.22,124.1,24.5,96.7,245.3
"21D/01UG",38.75,-8.95,90.4,7.5,56.6,154.5
"21F/01UG",38.77,-8.63,92,18.3,52.4,162.7
"21G/01UG",38.67,-8.47,96.5,13.5,61.1,171.1
"21G/02UG",38.77,-8.36,96.5,16.4,55.2,168.1
"21I/01UG",38.71,-8.1,84.5,25.8,87,197.3
"21J/01UG",38.83,-7.84,57.5,33,60.5,151
"21J/02UG",38.77,-8,16.8,6.2,13.6,36.6
"21J/03C",38.7,-7.92,80.6,19.6,62.9,163.1
"21K/01UG",38.7,-7.77,63,18,63.9,144.9
"21K/02UG",38.77,-7.72,90,30,82,202
"21L/01UG",38.77,-7.61,80.5,6.4,80.6,167.5
"21M/01UG",38.79,-7.42,84.1,5.8,98.1,188
"21M/02UG",38.69,-7.4,60.9,4.6,72.4,137.9
"21N/01UG",38.74,-7.24,70.7,0.6,67.4,138.7
"22C/02UG",38.52,-9.01,93.6,8.1,122.3,224
"22E/01UG",38.58,-8.69,95.9,14.7,55.7,166.3
"22F/03C",38.58,-8.62,74.1,20,55.2,149.3
"22G/01UG",38.52,-8.5,63.3,23.3,52.6,139.2
"22H/01UG",38.65,-8.22,79.9,17.5,67.9,165.3
"22H/02UG",38.54,-8.17,76.5,19.2,72.7,168.4
"22L/02UG",38.58,-7.66,51,14,59.5,124.5
"22L/03UG",38.51,-7.6,52,7.9,82.9,142.8
"22M/01UG",38.54,-7.48,82.9,5.8,84.5,173.2
"22M/03UG",38.62,-7.35,56.1,0,94.8,150.9
"22M/04UG",38.57,-7.36,78.2,4.6,74.6,157.4
"23E/01C",38.38,-8.79,110.7,5.3,69.2,185.2
"23F/01UG",38.4,-8.62,99.3,7.5,51.3,158.1
"23I/01C",38.39,-8.15,83,29.5,66.5,179
"23K/01UG",38.46,-7.75,77.4,24.1,53.7,155.2
"23L/01G",38.42,-7.53,104.6,11.4,73.1,189.1
"24F/01C",38.17,-8.56,84.9,14.8,77.9,177.6
"24H/01UG",38.29,-8.23,102.5,16.3,63,181.8
"24H/02C",38.25,-8.29,79.8,7.3,58.6,145.7
"24I/01C",38.33,-8.01,101.4,35.7,73.4,210.5
"24I/03C",38.18,-8.11,80.5,10.5,58.8,149.8
"24J/02UG",38.26,-7.99,84.9,27.6,67.3,179.8
"24J/03UG",38.17,-7.89,75.3,21.5,113.3,210.1
"24K/01UG",38.31,-7.71,44.2,19.3,63.2,126.7
"24K/02UG",38.21,-7.8,87.5,25.3,116.5,229.3
"24N/01UG",38.21,-7.23,63.8,6,53.3,123.1
"25G/01UG",38.07,-8.41,94.1,9.6,72.1,175.8
"25I/01UG",38.06,-8.11,48.5,5.6,56.2,110.3
"25L/01UG",38.12,-7.65,67.5,13.2,88.8,169.5
"25N/01UG",38.02,-7.26,69.8,17.1,73.2,160.1
"25O/01UG",38.06,-7.15,37.3,7.8,32.7,77.8
"26I/01UG",37.96,-8.02,65.9,11,45.2,122.1
"26I/03UG",37.87,-8.17,52,4.5,47,103.5
"26J/01UG",37.89,-7.89,72,26,89.5,187.5
"26J/03UG",37.97,-7.87,71.4,14.5,66.2,152.1
"26J/04UG",37.86,-7.96,87.7,26,77.5,191.2
"26K/01UG",37.93,-7.79,97.3,16.3,138,251.6
"26L/01UG",37.94,-7.6,28.1,0,152.1,180.2
"26L/02UG",37.88,-7.56,55.5,11.6,57,124.1
"26M/01C",37.95,-7.43,57.9,11.8,101.5,171.2
"27G/01G",37.7,-8.48,70.5,8.8,97.5,176.8
"27I/01G",37.7,-8.09,20.5,28,46,94.5
"27J/01UG",37.7,-7.94,66,18,36,120
"27J/03C",37.81,-7.87,62.7,15.9,87,165.6
"27K/01UG",37.74,-7.79,57.7,15.8,80.9,154.4
"27K/02UG",37.68,-7.75,53.2,22,85.5,160.7
"28H/01G",37.61,-8.25,54.9,10,8.4,73.3
"28H/03UG",37.5,-8.3,58.6,13,106.9,178.5
"28I/01UG",37.51,-8.07,53,19,60,132
"28J/01G",37.56,-7.86,43.8,12.3,95.4,151.5
"28J/03UG",37.64,-7.98,49.5,10.6,75,135.1
"28K/01UG",37.61,-7.79,70,19,80.5,169.5
"28K/02UG",37.58,-7.69,54.8,23.3,81.2,159.3
"28L/01UG",37.64,-7.66,24.5,19.6,57.3,101.4
"28L/02UG",37.54,-7.54,40,21.2,36,97.2
"29F/02UG",37.36,-8.63,59.8,12,104.2,176
"29G/02G",37.37,-8.38,64.3,7.8,140.1,212.2
"29I/01UG",37.36,-8.16,71.5,22.5,104.5,198.5
"29J/03UG",37.44,-7.92,63,14.8,94.6,172.4
"29J/05UG",37.49,-7.98,40,12.4,74.8,127.2
"29K/01C",37.44,-7.77,48.7,16.5,97.8,163
"29K/02UG",37.47,-7.7,43.8,12.3,95.4,151.5
"29K/03UG",37.37,-7.68,72.4,10.4,95.3,178.1
"29K/04UG",37.49,-7.8,66.6,22.9,96.2,185.7
"29L/01UG",37.45,-7.59,85.6,18.8,119.5,223.9
"29M/01UG",37.47,-7.47,57.5,17,77.9,152.4
"29M/02UG",37.33,-7.47,51,10.5,108,169.5
"30E/01UG",37.33,-8.8,64.4,7,73.7,145.1
"30E/02UG",37.31,-8.67,120.5,16.4,153.5,290.4
"30F/01C",37.32,-8.59,124.6,0,0,124.6
"30F/05C",37.21,-8.6,73.9,5.6,79.4,158.9
"30G/01UG",37.33,-8.49,104,12,154.5,270.5
"30G/03C",37.24,-8.38,71.6,5.1,79,155.7
"30H/03UG",37.25,-8.28,74,3.3,95.6,172.9
"30H/04UG",37.25,-8.19,69.8,7,105.7,182.5
"30H/05UG",37.17,-8.21,65.2,6.5,126,197.7
"30I/02UG",37.3,-8.06,111.9,13.9,139.7,265.5
"30I/03UG",37.25,-8.05,105.5,6.8,176,288.3
"30J/01UG",37.24,-7.94,95.6,11,162.2,268.8
"30K/01UG",37.28,-7.74,60.2,12.2,118.7,191.1
"30K/02C",37.17,-7.68,52.7,7.1,84.4,144.2
"30L/01UG",37.31,-7.56,37.3,12.6,66.3,116.2
"30L/03UG",37.23,-7.59,109.5,15.5,122.7,247.7
"30L/04UG",37.19,-7.51,38.3,14,81.3,133.6
"30M/03UG",37.22,-7.43,39.6,9.9,103.1,152.6
"31E/01UC",37.12,-8.68,60.7,4.7,101.7,167.1
"31E/02UG",37.15,-8.74,65.9,6.8,101.2,173.9
