Muni_ID,ID,Muni,app_rate
213,1840213,Serpa,0.8218
214,1840214,Vidigueira,0.7667
1403,1851403,Almeirim,0.85
1404,1851404,Alpiarça,0.9268
1103,1851103,Azambuja,0.6812
1405,1851405,Benavente,0.7571
1406,1851406,Cartaxo,0.6588
1407,1851407,Chamusca,0.8915
1409,1851409,Coruche,0.7801
1412,1851412,Golegã,0.8276
1414,1851414,Rio Maior,0.8082
1415,1851415,Salvaterra de Magos,0.5392
1416,1851416,Santarém,0.8455
801,1500801,Albufeira,0.6825
802,1500802,Alcoutim,0.7863
803,1500803,Aljezur,0.8853
804,1500804,Castro Marim,0.533
805,1500805,Faro,0.6622
806,1500806,Lagoa,0.9615
807,1500807,Lagos,0.879
808,1500808,Loulé,0.8399
809,1500809,Monchique,0.9286
810,1500810,Olhão,0.7353
811,1500811,Portimão,0.9524
812,1500812,São Brás de Alportel,0.7965
813,1500813,Silves,0.8462
814,1500814,Tavira,0.9189
815,1500815,Vila do Bispo,0.6618
816,1500816,Vila Real de Santo António,0.7174
