Muni_ID,ID,Muni,slurry,solid,total
108,1610108,Estarreja,180221,213757,393977
110,1610110,Ílhavo,12017,121256,133273
111,1610111,Mealhada,35146,133756,168902
112,1610112,Murtosa,104135,118208,222343
114,1610114,Oliveira do Bairro,36882,47651,84533
115,1610115,Ovar,134746,254382,389128
117,1610117,Sever do Vouga,15251,228586,243837
118,1610118,Vagos,84156,128151,212307
602,1620602,Cantanhede,175024,244867,419891
603,1620603,Coimbra,26632,67471,94104
604,1620604,Condeixa-a-Nova,5440,17964,23403
605,1620605,Figueira da Foz,129958,182398,312356
608,1620608,Mira,85680,104932,190612
610,1620610,Montemor-o-Velho,228956,242056,471012
613,1620613,Penacova,3582,21690,25272
615,1620615,Soure,13271,572844,586116
1004,1631004,Batalha,82901,65401,148302
1009,1631009,Leiria,1227935,701187,1929121
1010,1631010,Marinha Grande,589,3804,4393
1015,1631015,Pombal,159913,329088,489002
1016,1631016,Porto de Mós,607639,116573,724212
1002,1641002,Alvaiázere,3085,50054,53139
1003,1641003,Ansião,19991,102493,122484
601,1640601,Arganil,2345,34471,36816
1007,1641007,Castanheira de Pêra,313,2379,2692
1008,1641008,Figueiró dos Vinhos,1464,8161,9626
606,1640606,Góis,20471,4129,24600
607,1640607,Lousã,1871,44318,46190
609,1640609,Miranda do Corvo,2113,10065,12178
611,1640611,Oliveira do Hospital,1885,589794,591680
612,1640612,Pampilhosa da Serra,455,8848,9303
1013,1641013,Pedrógão Grande,969,6740,7709
614,1640614,Penela,2712,14209,16921
616,1640616,Tábua,5498,30351,35849
617,1640617,Vila Nova de Poiares,1250,5437,6687
901,1650901,Aguiar da Beira,41205,196292,237497
1802,1651802,Carregal do Sal,10001,71727,81727
1803,1651803,Castro Daire,14399,147735,162134
1806,1651806,Mangualde,5561,71459,77019
1808,1651808,Mortágua,9118,216069,225187
1809,1651809,Nelas,2801,87970,90771
1810,1651810,Oliveira de Frades,25770,550510,576280
1811,1651811,Penalva do Castelo,2963,35599,38562
1814,1651814,Santa Comba Dão,37886,164254,202141
1816,1651816,São Pedro do Sul,22896,392661,415557
1817,1651817,Sátão,21054,241086,262140
1821,1651821,Tondela,20345,507399,527744
1822,1651822,Vila Nova de Paiva,14304,200224,214528
1823,1651823,Viseu,14915,181107,196021
1824,1651824,Vouzela,20369,367719,388087
1413,1661413,Mação,6497,21788,28285
506,1660506,Oleiros,2598,69594,72192
508,1660508,Proença-a-Nova,4563,39412,43975
509,1660509,Sertã,59263,62902,122166
510,1660510,Vila de Rei,4526,12228,16753
905,1670905,Fornos de Algodres,2996,37002,39997
906,1670906,Gouveia,2719,62606,65325
912,1670912,Seia,2031,49219,51250
902,1680902,Almeida,71224,87555,158778
903,1680903,Celorico da Beira,7074,41585,48659
904,1680904,Figueira de Castelo Rodrigo,14186,64332,78517
907,1680907,Guarda,43634,135429,179062
908,1680908,Manteigas,660,4541,5201
909,1680909,Mêda,1665,40243,41909
910,1680910,Pinhel,25584,104701,130285
911,1680911,Sabugal,14630,90809,105439
913,1680913,Trancoso,27405,81052,108457
502,1690502,Castelo Branco,26295,154470,180765
505,1690505,Idanha-a-Nova,77412,278534,355946
507,1690507,Penamacor,21514,53364,74877
511,1690511,Vila Velha de Ródão,5178,27270,32449
501,16A0501,Belmonte,8737,29304,38041
503,16A0503,Covilhã,47449,91955,139403
504,16A0504,Fundão,66635,137829,204464
1001,16B1001,Alcobaça,826610,174016,1000626
1101,16B1101,Alenquer,17586,208665,226251
1102,16B1102,Arruda dos Vinhos,36926,42892,79818
1005,16B1005,Bombarral,8460,319858,328318
1104,16B1104,Cadaval,132785,71746,204531
1006,16B1006,Caldas da Rainha,167941,271356,439297
1108,16B1108,Lourinhã,525907,512824,1038731
1011,16B1011,Nazaré,50692,20125,70816
1012,16B1012,Óbidos,2711,198355,201066
1014,16B1014,Peniche,16156,68064,84220
1112,16B1112,Sobral de Monte Agraço,64987,66016,131003
1113,16B1113,Torres Vedras,345422,620193,965614
1401,16C1401,Abrantes,21394,54300,75694
1402,16C1402,Alcanena,20779,47262,68041
1408,16C1408,Constância,0,696,696
1410,16C1410,Entroncamento,53,1353,1406
1411,16C1411,Ferreira do Zêzere,156279,597058,753337
1421,16C1421,Ourém,11788,689672,701461
1417,16C1417,Sardoal,945,7200,8145
1418,16C1418,Tomar,74023,331918,405941
1419,16C1419,Torres Novas,50836,79583,130419
1420,16C1420,Vila Nova da Barquinha,24,1303,1326
1115,1711115,Amadora,0,259,259
1105,1711105,Cascais,171,1028,1200
1106,1711106,Lisboa,21,51,72
1107,1711107,Loures,35358,127213,162571
1109,1711109,Mafra,104760,348562,453322
1116,1711116,Odivelas,540,5266,5806
1110,1711110,Oeiras,0,53,53
1111,1711111,Sintra,25291,74805,100096
1114,1711114,Vila Franca de Xira,41962,83490,125452
1502,1721502,Alcochete,31096,15063,46159
1503,1721503,Almada,1239,7028,8267
1504,1721504,Barreiro,285,3223,3507
1506,1721506,Moita,56451,58241,114692
1507,1721507,Montijo,707151,124897,832048
1508,1721508,Palmela,277667,376540,654206
1510,1721510,Seixal,162,1797,1960
1511,1721511,Sesimbra,735,7193,7928
1512,1721512,Setúbal,899,22407,23306
1501,1811501,Alcácer do Sal,77266,189019,266285
1505,1811505,Grândola,355188,113015,468203
211,1810211,Odemira,188572,293223,481795
1509,1811509,Santiago do Cacém,252997,185461,438458
1513,1811513,Sines,6227,28612,34839
1201,1821201,Alter do Chão,28966,118098,147064
1202,1821202,Arronches,31521,83613,115134
1203,1821203,Avis,48339,124919,173258
1204,1821204,Campo Maior,44987,67001,111988
1205,1821205,Castelo de Vide,2349,39533,41882
1206,1821206,Crato,46416,91958,138374
1207,1821207,Elvas,40620,267045,307665
1208,1821208,Fronteira,18227,69529,87755
1209,1821209,Gavião,1083,15457,16540
1210,1821210,Marvão,843,18351,19195
1211,1821211,Monforte,14666,131262,145928
707,1820707,Mora,18885,95692,114577
1212,1821212,Nisa,7313,68521,75834
1213,1821213,Ponte de Sor,60189,112300,172489
1214,1821214,Portalegre,36463,106426,142890
701,1830701,Alandroal,86478,155242,241720
702,1830702,Arraiolos,337617,199750,537367
703,1830703,Borba,26714,40474,67188
704,1830704,Estremoz,72245,109026,181271
705,1830705,Évora,91402,323767,415169
706,1830706,Montemor-o-Novo,676859,415350,1092209
708,1830708,Mourão,25967,64153,90120
709,1830709,Portel,308822,155976,464798
710,1830710,Redondo,93747,132619,226366
711,1830711,Reguengos de Monsaraz,27024,65540,92564
1215,1831215,Sousel,36516,67505,104021
712,1830712,Vendas Novas,212176,141302,353478
713,1830713,Viana do Alentejo,115478,142610,258088
714,1830714,Vila Viçosa,10859,59296,70155
201,1840201,Aljustrel,44180,96400,140579
202,1840202,Almodôvar,33234,93905,127139
203,1840203,Alvito,16228,100641,116869
204,1840204,Barrancos,30363,29309,59672
205,1840205,Beja,56165,138168,194333
206,1840206,Castro Verde,18831,100982,119813
207,1840207,Cuba,121865,49298,171163
208,1840208,Ferreira do Alentejo,121831,110421,232252
209,1840209,Mértola,47790,178337,226126
210,1840210,Moura,59563,155510,215073
212,1840212,Ourique,193556,105805,299361
213,1840213,Serpa,50884,209074,259958
214,1840214,Vidigueira,5086,35875,40961
1403,1851403,Almeirim,1139,16482,17621
1404,1851404,Alpiarça,1360,4363,5723
1103,1851103,Azambuja,130643,96604,227247
1405,1851405,Benavente,632192,301761,933953
1406,1851406,Cartaxo,718316,86396,804712
1407,1851407,Chamusca,57970,109776,167746
1409,1851409,Coruche,188509,202842,391351
1412,1851412,Golegã,2087,5056,7143
1414,1851414,Rio Maior,329501,461560,791062
1415,1851415,Salvaterra de Magos,80032,81672,161704
1416,1851416,Santarém,504406,429578,933983
801,1500801,Albufeira,420,7863,8283
802,1500802,Alcoutim,2066,17616,19682
803,1500803,Aljezur,2841,18173,21014
804,1500804,Castro Marim,4140,22700,26839
805,1500805,Faro,878,7880,8758
806,1500806,Lagoa,13811,4320,18130
807,1500807,Lagos,2114,13859,15973
808,1500808,Loulé,4076,23058,27135
809,1500809,Monchique,52215,14417,66632
810,1500810,Olhão,442,3533,3975
811,1500811,Portimão,11841,17508,29349
812,1500812,São Brás de Alportel,477,3201,3679
813,1500813,Silves,26258,33191,59449
814,1500814,Tavira,4100,14637,18738
815,1500815,Vila do Bispo,1048,17041,18089
816,1500816,Vila Real de Santo António,486,3211,3696
