Muni_ID,ID,Muni,grazing,fertiliser,sludge,manure,SUM
912,1670912,Seia,23.048,32.673,0,11.825,67.546
902,1680902,Almeida,21.87,3.47,0.008,7.238,32.586
903,1680903,Celorico da Beira,29.702,30.943,0,10.298,70.943
904,1680904,Figueira de Castelo Rodrigo,48.714,76.29,0.001,12.469,137.474
907,1680907,Guarda,63.276,26.423,1.607,30.104,121.41
908,1680908,Manteigas,3.146,1.445,0,2.013,6.604
909,1680909,Mêda,18.281,72.868,0,0,91.149
910,1680910,Pinhel,51.43,38.521,0.04,20.196,110.187
911,1680911,Sabugal,67.011,12.574,0.021,13.319,92.925
913,1680913,Trancoso,30.502,65.139,0,19.61,115.251
502,1690502,Castelo Branco,95.242,83.675,0,27.346,206.263
505,1690505,Idanha-a-Nova,172.386,111.655,0,33.765,317.806
507,1690507,Penamacor,21.328,30.689,0,7.132,59.149
511,1690511,Vila Velha de Ródão,21.901,43.535,0,8.73,74.166
501,16A0501,Belmonte,6.981,12.694,0.002,3.233,22.91
503,16A0503,Covilhã,29.958,51.617,0.002,21.883,103.46
504,16A0504,Fundão,52.899,102.172,0.4,26.371,181.842
1001,16B1001,Alcobaça,41.538,14.25,0.921,145.637,202.346
1101,16B1101,Alenquer,20.802,108.918,2.356,37.732,169.808
1102,16B1102,Arruda dos Vinhos,13.437,32.356,0.585,19.464,65.842
1005,16B1005,Bombarral,5.431,10.861,0.514,44.578,61.384
1104,16B1104,Cadaval,11.983,39.105,0.682,36.299,88.069
1006,16B1006,Caldas da Rainha,20.933,11.559,7.424,92.502,132.418
1108,16B1108,Lourinhã,30.175,67.873,1.335,150.072,249.455
1011,16B1011,Nazaré,4.145,7.829,0.271,5.045,17.29
1012,16B1012,Óbidos,3.281,24.258,18.493,32.944,78.976
1014,16B1014,Peniche,2.206,21.135,0.099,4.915,28.355
1112,16B1112,Sobral de Monte Agraço,37.311,38.477,0.558,40.162,116.508
1113,16B1113,Torres Vedras,57.348,114.422,3.535,132.289,307.594
1401,16C1401,Abrantes,22.37,82.107,1.888,7.037,113.402
1402,16C1402,Alcanena,14.509,30.46,0.425,8.374,53.768
1408,16C1408,Constância,0.071,5.806,0.019,0.043,5.939
1410,16C1410,Entroncamento,0.099,1.155,0.006,0.024,1.284
1411,16C1411,Ferreira do Zêzere,6.341,0.312,0.212,65.515,72.38
1421,16C1421,Ourém,17.289,0.675,5.805,118.795,142.564
1417,16C1417,Sardoal,3.152,15.684,0.176,1.95,20.962
1418,16C1418,Tomar,17.047,18.422,3.984,57.004,96.457
1419,16C1419,Torres Novas,15.117,101.276,1.022,19.967,137.382
1420,16C1420,Vila Nova da Barquinha,0.425,4.832,0.031,0.183,5.471
1115,1711115,Amadora,0.184,0.088,0.005,0.02,0.297
1105,1711105,Cascais,0.709,2.26,0.047,0.139,3.155
1106,1711106,Lisboa,0.029,0.684,0.004,0.004,0.721
1107,1711107,Loures,29.665,49.922,45.426,30.115,155.128
1109,1711109,Mafra,113.464,178.356,11.87,85.865,389.555
1116,1711116,Odivelas,3.733,0.286,0.078,1.147,5.244
1110,1711110,Oeiras,0.058,1.535,0.971,0.009,2.573
1111,1711111,Sintra,13.929,55.387,0.562,10.752,80.63
1114,1711114,Vila Franca de Xira,6.553,67.1,0.987,4.035,78.675
1502,1721502,Alcochete,0.138,0.199,0.003,0.056,0.396
1503,1721503,Almada,5.116,15.305,31.763,2.333,54.517
1504,1721504,Barreiro,0.819,0.343,0.006,0.218,1.386
1506,1721506,Moita,0.567,0.124,0.004,0.74,1.435
1507,1721507,Montijo,13.234,6.557,0.431,27.902,48.124
1508,1721508,Palmela,19.636,20.274,0.52,15.342,55.772
1510,1721510,Seixal,0.377,0.142,0.091,0.085,0.695
1511,1721511,Sesimbra,1.937,1.546,11.412,0.858,15.753
1512,1721512,Setúbal,9.425,10.392,0.309,4.001,24.127
1501,1811501,Alcácer do Sal,134.824,128.531,0,12.351,275.706
1505,1811505,Grândola,46.992,12.706,0.025,32.71,92.433
211,1810211,Odemira,276.719,281.756,0,75.104,633.579
1509,1811509,Santiago do Cacém,95.96,93.121,0,22.806,211.887
1513,1811513,Sines,8.027,7.843,0.476,1.415,17.761
1201,1821201,Alter do Chão,46.802,19.895,0,6.819,73.516
1202,1821202,Arronches,65.491,34.636,0.021,7.383,107.531
1203,1821203,Avis,69.771,78.243,0,10.68,158.694
1204,1821204,Campo Maior,19.346,40.4,0,4.996,64.742
1205,1821205,Castelo de Vide,38.835,29.897,0.07,3.566,72.368
1206,1821206,Crato,37.266,7.476,0.016,5.188,49.946
1207,1821207,Elvas,89.007,88.198,0.327,16.342,193.874
1208,1821208,Fronteira,33.698,49.471,0,6.458,89.627
1209,1821209,Gavião,24.478,10.007,0.005,2.569,37.059
1210,1821210,Marvão,34.005,27.328,0.07,3.743,65.146
1211,1821211,Monforte,72.045,27.883,0,0,99.928
707,1820707,Mora,63.611,48.264,0,7.469,119.344
1212,1821212,Nisa,56.682,29.642,0.219,7.821,94.364
1213,1821213,Ponte de Sor,67.67,56.36,0.041,14.516,138.587
