Station,LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Annual
03K/02UG,41.78,-7.74,232886.09,534974.18,209,41.5,164.6,286,192.7,30.9,33.5,152.1,460.3,551,139.9,478.6,2740.1
03K/04UG,41.79,-7.72,234068,535632,97.4,15.5,89.3,124.3,127.9,11.1,7.6,85.6,76.1,107.8,21.9,47.2,811.7
03K/05UG,41.74,-7.68,237676,529973,104.7,12.6,73.5,109.6,137.5,6.5,9.3,97,184.9,293.5,42.3,129,1200.4
03M/01G,41.73,-7.46,256013,528935,68,16.5,39,63,90.9,5,17,90,124,172.5,28.5,84,798.4
03N/01G,41.83,-7.31,268747.55,540166.49,92.5,29.8,71.7,104,92.2,7.5,15.8,82.7,173.6,226.1,32.2,54.8,982.9
03N/02UG,41.73,-7.31,268766,529037,145.3,16.3,68.2,79.8,74.8,3.7,15.3,75.7,150.4,230.2,12.1,79.2,951
03O/01UC,41.74,-7.16,280932.71,530049.59,92.8,24.6,50.9,67.9,75.3,18.9,11.9,78.6,129.9,197,18.9,85.8,852.5
03P/01UG,41.71,-6.92,300771.93,527894.43,94.3,22.3,82.1,110.7,93,12,11.9,68.5,166.4,226.6,28.9,129.8,1046.5
04E/02UG,41.53,-8.78,146310.89,507021.8,22,8,26.5,35,13.5,0,0,9,71,31.5,8,16.5,241
04E/03UG,41.59,-8.71,151663.25,513463.25,202.5,33,17,99.5,138.5,3,14,62.5,161.5,183.5,48,139,1102
04F/01C,41.53,-8.62,159004,506433,122.2,37.9,98.1,140.9,67.5,19.1,14.2,69.2,286.3,333.8,59.2,217.9,1466.3
04F/03UG,41.58,-8.52,167939.55,511860.69,122,20,101.5,134,129.5,35.5,14.5,78.5,281.3,309,48,275,1548.8
04G/03UG,41.63,-8.45,173983.68,517574.98,117.4,28.2,98.2,180.4,123,33.4,13.7,67,299.4,307,58.5,284.2,1610.4
04G/05UG,41.51,-8.48,170783.57,504752.52,103.5,42.4,81.6,158.5,167.4,29.4,11.4,82.6,296,301.4,62.9,259.3,1596.4
04G/06C,41.54,-8.45,173254.71,508260.13,127.5,31.1,91.1,159.2,143.9,28.6,14.7,120.5,330.9,369.2,64,273.9,1754.6
04H/02UG,41.51,-8.24,190772.66,504298.37,135.9,42,168.8,170.6,130.2,26.4,6.7,103.8,327.4,432.4,77.1,205.2,1826.5
04I/02UG,41.64,-8.13,199887,518391,180.7,41.5,132,221.5,135.9,29,0,83.7,313.3,356.2,74.2,301.7,1869.7
04I/03UG,41.66,-8.03,209002.76,521174.43,209,41.5,164.6,286,192.7,30.9,33.5,152.1,460.3,551,139.9,478.6,2740.1
04I/04UG,41.62,-8.09,203637.56,516264.11,165.5,39,142.9,228.1,159,28,25.5,147,383.7,452.8,80.5,449.8,2301.8
04I/05UG,41.53,-8.11,202344.3,506421.73,147.1,29.8,161.4,230.6,151.5,34.2,11.5,137.7,407.7,431.9,93.8,441.5,2278.7
04J/04UG,41.5,-7.9,219113.63,503762.68,133,25.1,98.2,0,79.8,6.7,9.3,98.5,212.4,313.9,19,232,1227.9
04J/06UG,41.51,-7.98,212849.63,504828.58,138.8,34.6,114.8,193.1,102,10.1,12.2,113,272,367.2,46.5,277,1681.3
04K/02G,41.5,-7.75,232325,503564,133.1,32,150.2,258.2,138,24.8,18.4,152.6,300,392.5,43.1,392.6,2035.5
04L/01UG,41.64,-7.57,246616.12,518852.12,84.7,17,60.6,95.7,75.6,1.3,19.2,79.9,157.9,224.5,20.1,130.6,967.1
04M/01UG,41.74,-7.5,252699,529719,66.4,22.9,70.1,39.9,40.1,1.8,14.4,31.1,63.1,64.7,3.7,34.5,452.7
04M/02UG,41.52,-7.42,259689.8,505372.92,73.7,19.7,47.5,66.1,73.8,3,21.2,49.2,152,180.6,8.2,116.2,811.2
04N/01C,41.54,-7.28,271143.51,507976.13,58,9.5,24.5,27,50,0,3,32,0,0,0,0,204
04O/01G,41.66,-7.12,284732,521296,57.8,17.5,33,48.8,60.5,11.9,11.8,43.7,108.5,140.4,9.5,56.7,600.1
04P/01UG,41.64,-6.89,303736.38,519573.72,77,25.2,83.6,0,0,0,16,54.4,137.9,223.6,27.4,126.9,772
04P/02G,41.61,-6.88,304844.72,516596.4,68.3,3.3,56.7,80.8,88.2,14.1,6.7,0,30.1,48.4,0,25.6,422.2
04P/05UG,41.59,-6.95,298746.89,513732.73,75.6,20.2,73.7,90.9,99.4,10.6,4.7,32.4,118,191.3,14.8,89.8,821.4
04P/06UG,41.53,-6.96,298017.63,507736.18,84.5,16.6,81.4,96.6,129.9,12.4,7.6,18,132.6,177,16,77.5,850.1
04Q/01UG,41.57,-6.72,317943.15,511583.81,79.1,2.4,31.8,48,90.4,35.4,10.9,40.9,102.6,185,0,25.3,651.8
04R/02G,41.64,-6.55,331750.52,519570.16,70.2,5.2,43,61.9,96.6,33.3,3.6,54.1,103.6,163.5,30.1,73.3,738.4
04R/03UG,41.52,-6.56,331489.23,507250.66,37,28,54,78.6,106.5,35.2,31.4,40,106,272.2,20.7,71.1,880.7
04S/01UG,41.66,-6.43,342213.39,522084.72,79,5.2,40.5,0,121.7,28.5,13,32.4,57.1,151.2,14,60,602.6
05E/03UG,41.4,-8.76,147709.84,492047.66,86.7,25.8,64.4,92.9,76.5,5.2,12,64.7,183,254.5,51.5,134.5,1051.7
05F/01UG,41.46,-8.55,165049.13,498607.49,123.6,38.4,80.8,153.1,109.6,21.5,14.7,67.4,313.9,366.4,57.6,267.2,1614.2
05F/02UG,41.36,-8.63,158141.6,488123.44,136.9,31,89.4,162.9,117.2,17,15.5,98.6,271.8,288.1,190.5,222.6,1641.5
05F/03UG,41.48,-8.67,155408.73,501066.97,97.4,28.9,70.7,97.9,96.9,25.8,5.8,31.9,255.2,272.2,36.6,137,1156.3
05G/03UG,41.41,-8.43,175329,493425,125,24,81,122,140,27,7,107,240,266,19,262,1420
05G/05UG,41.48,-8.43,175549.68,501464.54,141.5,33,82.8,172.8,121.9,19.5,11.3,76.8,214.2,391.8,74.5,293.3,1633.4
05G/06UG,41.37,-8.36,180863,489391,96.1,31.5,75.5,171.4,106.7,17,9.9,127.9,192.6,249.2,38.5,153.3,1269.6
05H/03UG,41.38,-8.22,192427.81,490166.5,108,44.3,104.3,165.2,105.2,14.9,4.6,110.6,206.9,306.7,19,240.9,1430.6
06P/02UG,41.18,-6.89,304283.97,468541.55,56.2,11.1,30,45,90.5,43,11,28.6,115.1,122.1,9.3,52.5,614.4
06Q/01UG,41.18,-6.76,315489.63,469080.61,55.1,12.2,25.7,47.7,73.8,0,0,0,0,0,0,0,214.5
07H/01UG,41.08,-8.29,186675.01,457164.83,81,34.6,109.3,138.7,92.7,16.6,13.2,80.8,196.2,251.3,34.9,278.4,1327.7
07L/10UG,41.1,-7.59,245626.51,458930.35,53.6,15.2,83.3,65.4,76.4,3.6,10.4,21.6,70.1,24.5,4.6,86.8,515.5
07N/05UG,41.07,-7.22,276912.91,455551.68,49.9,19.1,40.9,26.3,70.1,42.4,15.7,20.3,48.5,81.5,7.6,22.2,444.5
07O/05UG,41.02,-7.07,289589.07,450141.91,30.6,14.4,25.8,29,61,26,15.5,14.5,56.5,75,3.5,26,377.8
07P/04UG,41.08,-6.9,303504.44,457730.53,46,10.2,26.1,27,35.9,8.4,3.1,5.7,36.4,71.6,2.7,34,307.1
08F/02UG,40.92,-8.6,160548.85,438594.45,98.2,37.6,117.5,92.4,106,30.9,13.7,90.7,149.7,233,59.9,196.2,1225.8
08G/01C,40.85,-8.38,179250,431546,114,48,134.7,151.1,144.4,24,15.9,90.3,249,298.7,76,216.6,1562.7
08N/02G,40.91,-7.23,275920.7,438572.29,38.5,13,41.5,30.6,44.3,18.2,9.9,25.9,47.3,127.2,4.6,43.5,444.5
08O/01UG,40.9,-7.07,289747.1,437185.1,15.7,14.3,37.3,40,48.2,28.8,2.6,12.8,26.4,132,0,40.1,398.2
08P/02G,40.95,-6.92,301773.85,442771.96,53.7,11.5,27.5,75.7,72,17.5,5,17,52.7,95.5,3,34.5,465.6
09L/01UG,40.82,-7.54,250004,428058,63.7,28.8,74.1,51.3,88.5,9,16,41.9,132.8,0,0,0,506.1
09O/01G,40.77,-7.06,290506.05,423001.74,49.5,16.4,28.4,45.5,89.4,1.2,12.9,31.1,67.5,117.4,2.6,34.5,496.4
09P/02UG,40.72,-6.91,303665.22,417990.72,46.5,14.5,23.5,43.5,62.5,21,0,25,52,112,3,44,447.5
10E/03UG,40.62,-8.71,151534.99,405670.24,104.5,34.2,74.9,104.2,135.6,6.7,17.4,44.8,131.5,189.3,61.5,136.9,1041.5
10H/02G,40.59,-8.19,195348.18,401936.54,80.5,36.1,129.6,105,61,0.4,0.7,0.6,34.8,179.9,34.4,261.9,924.9
10I/01UG,40.51,-8.1,202735.03,393082.2,98.8,21.1,103.2,93.3,64.3,5.7,0,0,0,501.3,65.5,399.1,1352.3
10M/01G,40.65,-7.39,263113.45,408927.47,19.2,4.4,32.6,35.2,61.2,5.2,44.8,44.6,86.2,139.3,7,89,568.7
10N/01UG,40.65,-7.21,278452.82,409412.9,49,14.5,44.7,27.2,18,8.5,0,13,13.3,89.9,0,39.4,317.5
10O/01UG,40.6,-7.07,290269.26,403870.16,74,17.6,49.5,51,63.2,21,16,24,125.4,189,3.6,84,718.3
10O/02UG,40.59,-7.13,284961.62,403252.39,76,21,58,79,60,35,0,19,67,151,5,68,639
10O/03G,40.51,-7.01,295569.74,393970.88,63.9,11.1,45,57.5,44.3,27,4.5,18.7,71.8,165.1,0.9,36.3,546.1
11H/01UG,40.34,-8.23,192167.64,374423.92,42.3,17.2,58.2,78.5,80.1,0,2.3,26.4,71.7,139.5,22.4,94.2,632.8
11I/01G,40.43,-8.12,201300.29,384938.42,86.5,11.5,115,121.5,88,8.5,16,56,152,209,32,269,1165
11J/01UG,40.48,-7.86,223368.17,390619.8,82.4,24.2,51.1,57,61.6,0,2.4,34.3,91.6,83.6,9.8,118.2,616.2
11J/02C,40.36,-7.87,222656.29,376798.48,105.7,32,93.5,91,72,2,7,43,137.5,217,25,180.2,1005.9
11O/01G,40.43,-7.14,284023,385325,90.2,20,77.6,85.4,65.9,36.5,7.6,36.5,103.5,233.4,4,26.1,786.7
11P/01UG,40.41,-6.87,307283.15,383454.54,55,5.2,46.9,40.5,42.6,23.5,37,15.4,44.7,161.1,3,14.8,489.7
12E/02UG,40.24,-8.75,147666.4,363157.38,57.8,26,61.7,76.3,48.6,0,0,56.6,73.9,108.5,29.6,154.7,693.7
12G/04UG,40.28,-8.45,172882.05,367466.62,58.8,5.7,63,21.6,42.8,3.1,0,8.7,65.2,142.5,13.6,268.4,693.4
12G/05C,40.31,-8.18,195800.54,370657.92,90,32,121.2,94,91,0,0,23,187.5,155.4,33,151.3,978.4
12L/03G,40.28,-7.51,252965.16,368653.29,186.7,16.5,117.3,96.3,35.1,0.1,25.2,56,23.4,229.6,29.2,212.2,1027.6
13F/01G,40.05,-8.63,158026.22,342734.69,71.1,37.1,96.4,52.3,68.4,1.4,2.7,34.4,114.1,190,8,101.7,777.6
13F/02UG,40.01,-8.52,166823.36,338002.87,110.6,43.8,129.4,107.9,98.7,11.5,6.8,49.2,191,213,64.6,228.8,1255.3
13H/03UG,40.11,-8.25,190459.99,349009.7,60.4,28.8,143.3,87.6,56.2,0,0,0,0,0,0,0,376.3
13I/02UG,40.13,-8.05,206704.19,351690.24,104.9,42.5,143.9,81.9,83.8,6,0,26.2,112.2,209,50.4,129.8,990.6
13J/01UG,40.14,-7.92,218160.15,352788.68,133.7,54.4,192.7,110.4,111.9,9.9,1.9,44.9,158.6,270.5,55.1,208.3,1352.3
14F/01UG,39.9,-8.63,157934.84,326140.78,76,16.4,99.1,98.8,34.9,13.2,0,28.5,144.9,220.2,5.9,152.9,890.8
14K/04UG,39.95,-7.79,229082,331081,137.6,27.7,148,64.8,62.5,5,10.6,40,118.7,297.6,65.3,88.5,1066.3
14N/02UG,39.83,-7.27,274231,317972,91.2,10,26.1,24,20.6,10.2,8.2,5.6,62.4,184.9,4,29.8,477
14O/01UG,40,-7.15,284241.78,337009.56,114.8,0,36.4,28,29.6,24.5,0,0,0,191.5,0,15,439.8
15F/02C,39.71,-8.53,165842.81,304171.77,75.2,18.3,116.1,81.4,77.3,0,0,26.7,112.9,162,44.9,80,794.8
15G/01UG,39.83,-8.38,178815.91,317665.13,98,27.6,126.3,100.7,91.4,2.2,1.7,36.2,142.9,228.5,52.5,135.7,1043.7
15G/02G,39.77,-8.36,180820.75,311028.66,82,27.6,99.6,72.2,118.7,2,5.4,0,126.4,207.8,55,87.4,884.1
15G/03UG,39.76,-8.46,172034.23,310006.93,57.2,16,108.2,70.3,65,0.5,2,24.2,127.5,198.5,44.3,51.7,765.4
16C/01C,39.57,-9.07,119669,289808,92.5,21.1,53.3,49.8,58.1,1.7,33.9,22.5,133.8,166.8,35.4,61.7,730.6
16C/02G,39.5,-9.1,117165,281559,111.5,19,71,50.7,93.5,1,44.5,32.5,86.2,178,32.3,54,774.2
16D/01UG,39.56,-8.92,132114.51,288399.53,107,21.5,92.6,62.9,109.6,1.2,0,40.6,79.5,174.4,35.5,74.4,799.2
16E/02G,39.52,-8.68,152590.55,283700.53,131.7,17.5,117.5,50.7,92.8,0,1.8,44.8,111.5,288.8,40.2,91.5,988.8
16F/04C,39.52,-8.59,160616,283591,117.9,13,128.7,65.1,86.8,1.1,0,35.4,73.3,256.4,29.1,73.1,879.9
16G/01UG,39.61,-8.39,177746.48,293148.43,100.4,23.1,80,56.1,115.1,0,0,27,99.1,180.2,50.4,58.7,790.1
16G/02UG,39.53,-8.46,171751.36,284686.49,95.6,14.8,95.2,47.6,78.1,0,0,25.9,122.8,234.3,41.3,45.4,801
16I/03UG,39.49,-8.1,203182.97,280626.47,68.9,20.5,21.5,55.1,36.8,0,1.5,8.9,80.7,207.6,36.6,75.9,614
16I/04UG,39.54,-8.16,197688.49,285529.85,92.9,21,65.6,86,62.3,0,2.5,29.7,109.9,233.9,37.7,62.1,803.6
16K/01G,39.65,-7.67,239610,298295,65.3,7.2,48.7,12.8,47.6,10.8,5.2,35,93.9,283.8,24.4,54.2,688.9
16L/01UG,39.59,-7.53,252192.57,291381.02,52.2,2,28.8,13.3,37.2,3.5,1.1,7.2,50.4,223.4,18.1,39.4,476.6
16L/03UG,39.52,-7.67,239942,283185,60.1,10,47.1,77.9,49.2,6.1,1.8,15.9,81.5,271.3,16.1,54.3,691.3
16L/04UG,39.51,-7.52,253066,282844,80.5,4,42.5,25.7,29.2,13.5,0,20.6,68.4,245.7,13,41.2,584.3
17C/05UG,39.44,-9.1,116567.01,275291.32,126.9,21.2,81.1,59.9,92.6,0,66.8,27.9,106.4,192.4,42.3,79,896.5
17C/06G,39.38,-9.04,122244.6,268615.91,147.5,27.2,98.6,42.5,65.5,0.5,2.5,28.7,83,171.5,27.2,84.2,778.9
17D/01UG,39.46,-8.98,127293.99,276810.4,136.1,30.2,92.1,46.1,88.5,0.9,0,29.6,92.6,223.3,35,96.9,871.3
17D/04G,39.36,-8.85,138252.51,266511.29,114.7,13.8,126.1,34,88.8,0,2.9,24.5,111.9,202.1,33.4,63,815.2
17E/02UG,39.42,-8.77,145056.23,272184.29,104.2,18.5,102.9,47,121.2,0.6,0.1,39.1,124.1,223.2,38.3,79.4,898.6
17E/03UG,39.35,-8.74,147380.12,264929.21,109.4,14,92.2,51.8,102.9,0,0,21,73.6,175.6,39.2,31.9,711.6
17F/01UG,39.39,-8.66,154325.79,269299.22,115.7,14.6,96.8,34.9,84.7,0,0,19.6,56,250.7,32.8,49.7,755.5
17F/05UG,39.45,-8.53,165933.63,276135.61,99.6,12.9,89.6,52.9,88.3,0,2,23.1,75.8,226.5,41.7,55.1,767.5
17G/02G,39.36,-8.49,169523,265977,84.3,6.2,53.8,39.8,52.9,0,0,16.5,78,170.8,42.2,26.6,571.1
17G/04UG,39.48,-8.34,182246.17,278641.37,79.9,18,50.8,48.9,60.2,0.2,0,18.4,88.7,221,37.7,50.7,674.5
17H/01C,39.45,-8.1,202682,276218,85.6,14.7,54.1,44,55.5,0,0,0,66.3,224.5,38.7,44.5,627.9
17I/02UG,39.35,-8.14,199334.61,264527.07,89.1,14.5,62.9,49.1,49,0,0,19,76,204.2,43.1,37.2,644.1
17J/01UG,39.46,-7.94,216891,277275,97.1,21,85.4,68.5,77.2,7.5,0.6,29.7,76.3,317,23.7,67.1,871.1
17J/02UG,39.38,-7.9,219945,268456,99.8,30.2,67.1,52.6,66.4,6.4,0,27.5,115.3,279,30.6,46.5,821.4
17K/01UG,39.4,-7.78,230419,270596,95,21.7,86.5,65.5,77.5,7,0,28.9,76.5,308.7,23,65.5,855.8
17L/02UG,39.35,-7.65,241838.62,264300.42,80.5,7.3,55.3,40.7,57.6,4,0,4,54,236,19,56.8,615.2
17L/03UG,39.41,-7.61,244813.84,271595.61,50.1,20.9,65.1,57,65.8,4.8,0.6,13.7,53.6,0,0,0,331.6
17M/01G,39.41,-7.45,258617.61,271718.39,74,10,58.5,55.5,76.5,17.5,3.5,8,94.5,319.5,18.5,98,834
17M/03UG,39.45,-7.37,265570.78,275629.41,125,8.8,51.7,144.1,97.8,14.6,5,12.3,34.2,338.3,6,28.6,866.4
18B/01UG,39.28,-9.26,103105.35,257846.63,62.1,19,53.2,45.2,128.8,0.1,0,5.4,22.3,224,2.5,3.5,566.1
18B/03UG,39.2,-9.23,105154.94,248244.98,118.6,13.5,61.9,51.9,86.2,0,2.2,21.2,61.5,206.4,44.9,67.2,735.5
18B/04UG,39.18,-9.31,97968.49,246347.59,102,7,75,62,82.5,0,0,26,48.5,170,46.5,41,660.5
18C/01G,39.2,-9.06,119572.95,248285.96,160.1,15.8,111.4,40.7,64.4,0,0,29.1,89.9,188.4,36.8,59.1,795.7
18C/03UG,39.27,-9.1,116436.91,256191.05,102.8,9.7,88.5,42.4,71.2,0.5,8,25,86.7,196.8,29.2,69.4,730.2
18D/01C,39.29,-8.93,131181.53,258754.55,123.4,14.4,146.5,45.5,67,0,0,24,100.1,197.9,28.2,60.4,807.4
18D/02UG,39.28,-8.86,137368,257158,110.2,15,84.1,32.2,62.2,0,0,16.3,98.7,119.6,30.6,45.6,614.5
18D/03C,39.21,-8.96,128587,249748,128.7,11.1,143.9,46.6,57.4,0,0,22.1,95,182.1,30.5,44,761.4
18F/01UG,39.21,-8.62,158139,249438,73.6,5,67.5,28.1,63.8,0,0,19.2,90.2,145.5,39.9,40.6,573.4
18G/01G,39.27,-8.35,181204,256219,81.9,18,52.6,34.2,59.8,0,0,26.4,99.4,195.2,43,41.5,652
18G/02UG,39.31,-8.43,174188,260637,91.4,14.2,54.2,35.5,61.8,0,0,17.5,86.9,158.4,39.2,28.4,587.5
18G/03UC,39.18,-8.48,170407,246011,65.7,11.1,58,33.1,61.2,0,0.8,16.1,97.1,101.2,38.1,16.4,498.8
18H/04UG,39.28,-8.24,191088.86,256822.1,98.8,20.8,72.4,30.8,72,0,1.2,26.3,93.7,206.1,37.1,43.5,702.7
18K/01C,39.26,-7.82,227018,254211,84.6,17.7,50.7,28.2,41.4,0,0,21.2,59.2,207.6,18.3,25.2,554.1
18K/02UG,39.3,-7.72,235273,259609,26.4,16.8,73.1,35.8,32.7,0,3.4,21.8,66.7,206.7,28,53.4,564.8
18L/01UG,39.22,-7.68,238748.05,250128.52,72.3,7.5,41.1,45.3,54.6,0,1.3,5.4,44.1,167.7,24.6,33.6,497.5
18N/01UG,39.31,-7.31,271305,260774,84.5,8.5,80.3,68.2,72.6,0,0,25.6,119.7,415.3,17.4,104.3,996.4
18N/02G,39.24,-7.32,270037,252583,71.1,13.2,65.1,49.3,66.6,0,3.6,19.6,75.9,283.5,17.6,81.9,747.4
19B/03UG,39.14,-9.18,109508.56,241548.43,116.2,16.3,85.5,52.3,79.8,0,0.1,22,65.3,182,43.8,61.1,724.4
19B/05C,39.06,-9.24,104492,233056,112.5,27,112,49.5,78,2,3,18,82,189,55,80.3,808.3
19C/01UG,39.02,-9.15,111813,228597,110,23.1,122.9,46.6,72.5,0,0,10,118.3,219.6,47.4,92.9,863.3
19C/03G,39.14,-9.01,124089.55,241953.12,108.2,15.3,110.5,50.5,73.6,0,0.7,17.5,67.7,157.1,30.3,55.7,687.1
19C/04C,39.14,-9.08,117798.21,241796.56,105.8,11.4,99.1,44,66.2,0,0,20.9,81.6,165.4,38.9,55.4,688.7
19C/08C,39.09,-9.03,122470,236023,100.1,8.8,122.7,34.4,60.8,0,0.9,21.1,67.1,146,36.3,41.2,639.4
19D/02UG,39.11,-8.99,125981,238512,103.9,10,84.3,48.6,72,0,0,19.7,62.6,160.4,32.6,39.3,633.4
19E/01UG,39.1,-8.71,149977,237501,126.8,8.4,84.5,37.8,121.9,0,10.5,19.9,87.8,134.3,42,40.9,714.8
19G/01UG,39.12,-8.35,181073,238706,102.5,13.2,49.3,41.2,81,0,0.4,24.6,84.6,227.6,34.3,40.3,699
19G/02UG,39.07,-8.46,171477,233292,82.2,6,52.7,60.8,93.3,0,0,14.5,98.1,186.3,32.1,30.5,656.5
19H/02C,39.05,-8.17,196589,231520,90.7,17.4,47.3,44.3,60.4,0,1.4,17.9,86.2,199.3,29.6,51.1,645.6
19J/03UG,39.06,-7.9,220599,232305,51,18,53,33,29.8,5,0,0,65.9,207.2,16.2,28,507.1
19K/01UG,39.15,-7.78,230117.58,242380.56,66,19.1,50.3,28.9,38.9,0,0,5,63.4,209.1,19.8,23,523.5
19L/01UG,39.13,-7.59,247179.5,240367.56,90,8.9,63.6,65.5,41.6,5.2,0,8.8,60.2,201.7,28,44.9,618.4
19L/02UG,39.06,-7.65,242056,232353,71.7,10.1,74,25.6,53.9,4.9,0,8.7,55.8,194.4,17.2,34.7,551
19M/01UG,39.06,-7.44,259865,232101,71.3,8.5,59.7,24.2,41.3,0,6.9,9.3,38.9,190.6,15.7,29.3,495.7
19N/01UG,39.12,-7.28,273709.17,239307.46,73.9,4.7,68.7,44.2,38.6,0,5.2,8.7,56.4,208.4,13.3,46.3,568.4
19N/03UG,39.16,-7.2,281063.88,243698.03,34.2,5,52.6,31.5,50,0,0,0,32.7,216.6,4.1,50.5,477.2
19O/02C,39,-7.14,286079.65,226417.51,59.3,5,49.2,27.7,21.8,1,0,8.7,51.3,143.3,13.2,23.2,403.7
19O/03UG,39.06,-7.12,287693.67,232758.19,76.7,10.6,54.1,27.4,35.8,1.5,0,9.5,41.5,170.2,17.6,25,469.9
20B/02UG,39,-9.33,96364,226305,126.8,15.5,112.5,64,83.3,0.4,2,24.7,72,244.8,62.5,90.6,899.1
20B/04GC,38.89,-9.33,95795,214342,55.8,2,60.5,28,32.9,0,6.3,4.9,11,44.3,17.1,15.5,278.3
20B/06UG,38.95,-9.2,107301,220778,113,23.4,140.9,56.8,56.8,0,2.3,26.5,102.8,242,66.4,109,939.9
20C/01C,38.84,-9.12,114090,208796,80.7,11.5,68.1,40.1,60.7,0.1,0,3.4,95.1,140.5,48.4,33.8,582.4
20C/03G,38.95,-9.14,112953,220951,129.7,23.4,112.2,58.6,78.3,0,0,25,91.1,176.8,64.3,61.8,821.2
20C/04UG,38.93,-9.07,119174,218371,93.4,14.2,109.6,20,53.1,0,3,16.3,24.4,192.1,48.1,44.3,618.5
20D/01C,38.94,-8.95,129387,219895,70,5.9,60.7,26.5,44.8,0,15.5,5.3,90,144,28.9,26.7,518.3
20E/01C,38.99,-8.69,151370,224830,88.8,11.1,55.1,44.1,91.1,0,0.3,0,85.4,186.9,23.6,32.8,619.2
20E/02UG,38.86,-8.75,146793.01,210459.81,90.5,7.7,53.3,53.9,67.2,0,0,14,107.7,134.5,24.7,17.7,571.2
20F/01UG,38.97,-8.52,166123,222023,81.2,15.2,53.9,55.8,72.8,0.1,0,16,106.8,188.6,29.7,43.2,663.3
20I/01G,38.9,-8.01,210363,214322,83.7,14.9,68.8,36.4,57.5,3.6,0,8.6,78.9,163.8,12,33.3,561.5
