Month,LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Annual
05K/02UG,41.45,-7.76,231469,498125,152.7,160.5,27.4,0,0,0,0,0,0,0,0,0,340.6
05L/01UG,41.5,-7.64,241511,503312,213.5,103,22.2,76.8,30.6,69,7.7,0.5,0.6,105.5,179.6,235.2,1044.2
05L/02C,41.46,-7.59,245395.42,499530.07,170.5,61.8,20.8,59.9,32,53.7,34.5,5.7,1,125.5,60.2,247.8,873.4
05M/04UG,41.47,-7.35,265305.37,499867.8,89.1,86.7,32.5,16.8,21.5,5.4,5.9,0,0,0.4,0,147.7,406
05O/01UG,41.46,-7,294373.37,499170.82,32.2,43.5,0.1,0,0,0,0,0,0,0,0,82.7,158.5
05Q/02G,41.39,-6.73,317465.15,492503.93,68.2,14.1,4.1,23.2,29.1,21.6,1,0.6,3.4,0.7,0.2,33.8,200
05Q/03UG,41.48,-6.72,318000.91,502388.11,14.4,0,0,34.3,14.3,20.5,3.6,0.1,0,23.2,96.3,23.5,230.2
05Q/05G,41.39,-6.81,310654,492252,82.1,39.5,4.6,12.3,0.4,0.9,0,0.2,0,0.2,0.1,87.8,228.1
05R/01UG,41.38,-6.56,331268.57,491290.42,70.3,53.9,10.8,0,0,0,0,0,0,0,0,0,135
05S/01UG,41.43,-6.4,345304.57,497330.16,66.6,32.5,4.8,18.1,11.4,2,0.1,0.1,0.2,29,0.2,160.3,325.3
06G/03G,41.26,-8.49,170546,476808,88.2,0.2,0,30.7,25.2,4.2,3.3,0,4.5,3.3,0.2,7.6,167.4
06H/01UG,41.21,-8.3,186148,471437,259.3,87.7,32.9,49.3,28.5,83,2,0,0,14.8,0,194.5,752
06I/01G,41.26,-8.07,205333.67,477207.3,204.7,88.7,26,82.1,52.1,64.3,0,0,0,0,0,180.8,698.7
06I/02UG,41.18,-8.15,198464.85,468104.62,69.2,0,27.7,65.9,15.3,8.5,13.8,6.1,1.6,11.8,0,0,219.9
06J/02UG,41.25,-7.97,214066.76,475213.72,94.2,1.1,25.4,78.8,51.4,35.2,31.5,9.9,3.4,135.5,110.4,375,951.8
06J/02UG,41.25,-7.97,214066.76,475213.72,94.2,1.1,25.4,78.8,51.4,35.2,31.5,9.9,3.4,135.5,110.4,375,951.8
06N/01C,41.3,-7.28,271214.35,481904.61,49.9,43.3,1.3,25.9,17.7,35.9,6.3,1.5,2.3,86,118.1,113.2,501.4
06N/03UG,41.23,-7.27,272526.07,474018.95,130.2,36.2,4.5,36.1,19,49.8,5.5,2,2.4,84.1,148.5,233,751.3
06O/04UG,41.17,-7.05,290784.17,466818.31,15.9,0,0,31.2,18.3,36.1,4.3,0.9,13.6,67.9,80,24.2,292.4
06O/06C,41.25,-7.09,287874.91,476039.33,70.6,29.8,2.5,13.6,20.8,29,0.9,0.5,0.6,64,93.1,155.8,481.2
06P/02UG,41.18,-6.89,304283.97,468541.55,34.1,17.2,2.7,22,22.3,27.4,8.5,2.6,4.9,48.9,19.7,151.6,361.9
07L/10UG,41.1,-7.59,245626.51,458930.35,97.8,72.6,0,0,51.7,45.6,11.5,31.3,7.9,79.6,138.4,54.5,590.9
07N/05UG,41.07,-7.22,276912.91,455551.68,123,67.8,39.8,0,0,0,0,0,0,0,0,0,230.6
07O/05UG,41.02,-7.07,289589.07,450141.91,75.3,31.1,2.8,25.7,20,21.3,3.6,10.5,2.1,44,73.6,29.8,339.8
07P/04UG,41.08,-6.9,303504.44,457730.53,16.3,0.6,2,17,10.8,24.6,6.3,2.4,0.9,1,0.4,39,121.3
08G/01C,40.85,-8.38,179250,431546,379.4,151.4,38.3,104.2,59.1,99.9,45.2,12.1,14.4,175.2,285,301.9,1666.1
08I/01UG,40.95,-8.1,202786.78,442037.3,283.9,112,75.8,2.8,54.7,43.6,28.3,8.9,13.2,35.7,2.5,172,833.4
08I/03UG,40.88,-8.03,208411.1,434927.76,255.8,126,67.2,137.9,41.4,115.8,45.2,12,17,208.8,336.6,471.8,1835.5
08J/06G,40.92,-7.94,216242,439482,260.8,96.9,40.4,67.3,29.7,65.9,29.8,7.6,7.3,155.8,130.7,382.6,1274.8
