Muni_ID,ID,Muni,dairy,other_cattle,sheep,goat,poultry,pigs,horses,total
502,1690502,Castelo Branco,3907,107686,471609,68084,74,4489,13138,665080
505,1690505,Idanha-a-Nova,17530,335996,515469,37117,38,503,12998,902121
507,1690507,Penamacor,11115,56928,84249,23738,13,340,5808,171076
511,1690511,Vila Velha de Ródão,1980,4408,45492,19716,16,699,2209,72540
501,16A0501,Belmonte,12936,9991,61267,5461,11,209,2306,79245
503,16A0503,Covilhã,38202,43556,90649,22726,48,2074,5130,164183
504,16A0504,Fundão,42690,47869,225419,38729,62,1832,8034,321945
1001,16B1001,Alcobaça,23628,79765,64017,3432,812,53255,3282,204563
1101,16B1101,Alenquer,2218,58014,40849,3177,14884,2145,5060,124129
1102,16B1102,Arruda dos Vinhos,5148,14175,19959,172,8,3324,1276,38914
1005,16B1005,Bombarral,4356,6567,4327,3077,180,770,1197,16118
1104,16B1104,Cadaval,15920,29259,9312,5717,1628,5917,1197,53030
1006,16B1006,Caldas da Rainha,13385,58875,17004,6066,2637,18436,2587,105605
1108,16B1108,Lourinhã,22678,40006,17258,5826,2595,14789,730,81204
1011,16B1011,Nazaré,11986,12709,1782,235,6,1181,343,16256
1012,16B1012,Óbidos,4805,6606,8151,2519,171,534,1628,19609
1014,16B1014,Peniche,2059,9865,12012,4319,38,3878,1945,32057
1112,16B1112,Sobral de Monte Agraço,15682,38369,30450,584,124,3313,1285,74125
1113,16B1113,Torres Vedras,46808,105552,67928,11840,2601,19651,3238,210810
1401,16C1401,Abrantes,3775,35757,99011,5842,14,1154,4831,146609
1402,16C1402,Alcanena,16395,43148,22132,8466,92,500,1549,75887
1408,16C1408,Constância,0,0,10038,261,1,654,739,11693
1410,16C1410,Entroncamento,0,0,1080,16,2,19,0,1117
1411,16C1411,Ferreira do Zêzere,132,5386,18531,7636,2548,7664,827,42592
1421,16C1421,Ourém,4673,27966,48633,15288,2353,1390,2781,98411
1417,16C1417,Sardoal,185,93,3669,3255,17,90,361,7485
1418,16C1418,Tomar,5307,38737,51638,8246,3326,1862,4611,108420
1419,16C1419,Torres Novas,5623,40250,46032,7062,1462,1091,3476,99373
1420,16C1420,Vila Nova da Barquinha,0,0,2558,381,564,9,370,3882
1115,1711115,Amadora,0,1130,4488,136,1,1,70,5826
1105,1711105,Cascais,576,520,8468,537,4,39,194,9762
1106,1711106,Lisboa,0,0,0,0,0,0,0,0
1107,1711107,Loures,18729,46536,43698,1168,1877,142,2807,96228
1109,1711109,Mafra,74661,145778,61441,882,5538,10147,7753,231539
1116,1711116,Odivelas,13126,3997,8002,99,3,9,282,12392
1110,1711110,Oeiras,0,549,3892,37,1,27,581,5087
1111,1711111,Sintra,34257,39739,50887,2133,481,2878,7603,103721
1114,1711114,Vila Franca de Xira,26477,94427,25894,1205,465,473,5535,127999
1502,1721502,Alcochete,0,52706,9151,0,10,5220,1874,68961
1503,1721503,Almada,0,7141,7568,240,8,65,854,15876
1504,1721504,Barreiro,3458,1433,3272,0,5,19,123,4852
1506,1721506,Moita,85002,101203,11404,683,12,2291,1954,117547
1507,1721507,Montijo,29999,114449,72677,631,47,22643,3115,213562
1508,1721508,Palmela,28270,201173,103928,1580,148,25699,7594,340122
1510,1721510,Seixal,1313,4857,6227,183,8,2504,528,14307
1511,1721511,Sesimbra,2753,21946,19493,3229,15,88,1206,45977
1512,1721512,Setúbal,10117,24038,42419,1033,23,681,11871,80065
1501,1811501,Alcácer do Sal,5276,1052000,218224,876,16,4819,6292,1282227
1505,1811505,Grândola,466,248738,196309,6317,32,10136,2499,464031
211,1810211,Odemira,43201,968062,262158,6228,59,3383,12021,1251911
1509,1811509,Santiago do Cacém,5493,690142,273587,3150,8595,19504,4356,999334
1513,1811513,Sines,0,106476,43239,172,22,1911,1857,153677
1201,1821201,Alter do Chão,11142,442148,114978,615,1,50,8202,565994
1202,1821202,Arronches,13531,499126,104263,3766,6,1521,3106,611788
