Muni_ID,ID,Muni,predominant_cat,predominant_soil
806,1500806,Lagoa,2,silt
807,1500807,Lagos,1,clay
808,1500808,Loulé,2,silt
809,1500809,Monchique,2,silt
810,1500810,Olhão,2,silt
811,1500811,Portimão,2,silt
812,1500812,São Brás de Alportel,2,silt
813,1500813,Silves,2,silt
814,1500814,Tavira,2,silt
815,1500815,Vila do Bispo,1,clay
816,1500816,Vila Real de Santo António,2,silt
101,1610101,Águeda,2,silt
102,1610102,Albergaria-a-Velha,2,silt
103,1610103,Anadia,2,silt
105,1610105,Aveiro,0,concrete
108,1610108,Estarreja,2,silt
110,1610110,Ílhavo,3,sandy
111,1610111,Mealhada,3,sandy
112,1610112,Murtosa,3,sandy
114,1610114,Oliveira do Bairro,3,sandy
115,1610115,Ovar,3,sandy
117,1610117,Sever do Vouga,2,silt
118,1610118,Vagos,3,sandy
602,1620602,Cantanhede,3,sandy
603,1620603,Coimbra,3,sandy
604,1620604,Condeixa-a-Nova,1,clay
605,1620605,Figueira da Foz,3,sandy
608,1620608,Mira,3,sandy
610,1620610,Montemor-o-Velho,3,sandy
613,1620613,Penacova,2,silt
615,1620615,Soure,3,sandy
1004,1631004,Batalha,1,clay
1009,1631009,Leiria,3,sandy
1010,1631010,Marinha Grande,3,sandy
1015,1631015,Pombal,3,sandy
1016,1631016,Porto de Mós,1,clay
601,1640601,Arganil,2,silt
606,1640606,Góis,2,silt
607,1640607,Lousã,2,silt
609,1640609,Miranda do Corvo,2,silt
611,1640611,Oliveira do Hospital,3,sandy
612,1640612,Pampilhosa da Serra,2,silt
614,1640614,Penela,1,clay
616,1640616,Tábua,3,sandy
617,1640617,Vila Nova de Poiares,2,silt
1002,1641002,Alvaiázere,1,clay
1003,1641003,Ansião,1,clay
1007,1641007,Castanheira de Pêra,2,silt
1008,1641008,Figueiró dos Vinhos,2,silt
1013,1641013,Pedrógão Grande,2,silt
901,1650901,Aguiar da Beira,0,concrete
1802,1651802,Carregal do Sal,3,sandy
1803,1651803,Castro Daire,3,sandy
1806,1651806,Mangualde,3,sandy
1808,1651808,Mortágua,2,silt
1809,1651809,Nelas,3,sandy
1810,1651810,Oliveira de Frades,3,sandy
1811,1651811,Penalva do Castelo,3,sandy
1814,1651814,Santa Comba Dão,3,sandy
1816,1651816,São Pedro do Sul,2,silt
1817,1651817,Sátão,3,sandy
1821,1651821,Tondela,3,sandy
1822,1651822,Vila Nova de Paiva,3,sandy
1823,1651823,Viseu,3,sandy
1824,1651824,Vouzela,3,sandy
506,1660506,Oleiros,2,silt
508,1660508,Proença-a-Nova,2,silt
509,1660509,Sertã,2,silt
510,1660510,Vila de Rei,2,silt
1413,1661413,Mação,2,silt
905,1670905,Fornos de Algodres,0,concrete
906,1670906,Gouveia,3,sandy
912,1670912,Seia,2,silt
902,1680902,Almeida,3,sandy
903,1680903,Celorico da Beira,3,sandy
904,1680904,Figueira de Castelo Rodrigo,2,silt
907,1680907,Guarda,3,sandy
908,1680908,Manteigas,2,silt
909,1680909,Mêda,3,sandy
910,1680910,Pinhel,3,sandy
911,1680911,Sabugal,3,sandy
913,1680913,Trancoso,3,sandy
502,1690502,Castelo Branco,2,silt
505,1690505,Idanha-a-Nova,2,silt
507,1690507,Penamacor,2,silt
511,1690511,Vila Velha de Ródão,2,silt
1105,1711105,Cascais,1,clay
1106,1711106,Lisboa,0,concrete
1107,1711107,Loures,1,clay
1109,1711109,Mafra,1,clay
1110,1711110,Oeiras,1,clay
1111,1711111,Sintra,1,clay
1114,1711114,Vila Franca de Xira,1,clay
1115,1711115,Amadora,1,clay
1116,1711116,Odivelas,1,clay
1502,1721502,Alcochete,3,sandy
1503,1721503,Almada,3,sandy
1504,1721504,Barreiro,3,sandy
1506,1721506,Moita,3,sandy
1507,1721507,Montijo,3,sandy
1508,1721508,Palmela,3,sandy
1510,1721510,Seixal,3,sandy
1511,1721511,Sesimbra,3,sandy
1512,1721512,Setúbal,3,sandy
211,1810211,Odemira,2,silt
1501,1811501,Alcácer do Sal,3,sandy
1505,1811505,Grândola,3,sandy
1509,1811509,Santiago do Cacém,2,silt
1513,1811513,Sines,3,sandy
707,1820707,Mora,3,sandy
1201,1821201,Alter do Chão,1,clay
1202,1821202,Arronches,2,silt
1203,1821203,Avis,3,sandy
1204,1821204,Campo Maior,1,clay
1205,1821205,Castelo de Vide,3,sandy
1206,1821206,Crato,3,sandy
1207,1821207,Elvas,1,clay
1208,1821208,Fronteira,1,clay
1209,1821209,Gavião,3,sandy
1210,1821210,Marvão,3,sandy
1211,1821211,Monforte,3,sandy
1212,1821212,Nisa,3,sandy
1213,1821213,Ponte de Sor,3,sandy
1214,1821214,Portalegre,3,sandy
701,1830701,Alandroal,2,silt
702,1830702,Arraiolos,1,clay
703,1830703,Borba,2,silt
704,1830704,Estremoz,2,silt
705,1830705,Évora,1,clay
706,1830706,Montemor-o-Novo,3,sandy
708,1830708,Mourão,2,silt
709,1830709,Portel,2,silt
710,1830710,Redondo,1,clay
711,1830711,Reguengos de Monsaraz,2,silt
712,1830712,Vendas Novas,3,sandy
713,1830713,Viana do Alentejo,1,clay
714,1830714,Vila Viçosa,2,silt
1215,1831215,Sousel,1,clay
201,1840201,Aljustrel,2,silt
202,1840202,Almodôvar,2,silt
203,1840203,Alvito,1,clay
204,1840204,Barrancos,2,silt
205,1840205,Beja,1,clay
206,1840206,Castro Verde,2,silt
207,1840207,Cuba,1,clay
208,1840208,Ferreira do Alentejo,2,silt
209,1840209,Mértola,2,silt
210,1840210,Moura,2,silt
212,1840212,Ourique,2,silt
213,1840213,Serpa,1,clay
214,1840214,Vidigueira,1,clay
1103,1851103,Azambuja,3,sandy
1403,1851403,Almeirim,3,sandy
1404,1851404,Alpiarça,3,sandy
1405,1851405,Benavente,3,sandy
1406,1851406,Cartaxo,3,sandy
1407,1851407,Chamusca,3,sandy
1409,1851409,Coruche,3,sandy
1412,1851412,Golegã,12,sandy
1414,1851414,Rio Maior,3,sandy
1415,1851415,Salvaterra de Magos,3,sandy
1416,1851416,Santarém,1,clay
501,16A0501,Belmonte,3,sandy
503,16A0503,Covilhã,2,silt
504,16A0504,Fundão,2,silt
1001,16B1001,Alcobaça,1,clay
1005,16B1005,Bombarral,1,clay
1006,16B1006,Caldas da Rainha,1,clay
1011,16B1011,Nazaré,3,sandy
1012,16B1012,Óbidos,3,sandy
1014,16B1014,Peniche,3,sandy
1101,16B1101,Alenquer,1,clay
1102,16B1102,Arruda dos Vinhos,1,clay
1104,16B1104,Cadaval,1,clay
1108,16B1108,Lourinhã,1,clay
1112,16B1112,Sobral de Monte Agraço,1,clay
1113,16B1113,Torres Vedras,1,clay
1401,16C1401,Abrantes,3,sandy
1402,16C1402,Alcanena,1,clay
1408,16C1408,Constância,3,sandy
1410,16C1410,Entroncamento,3,sandy
1411,16C1411,Ferreira do Zêzere,2,silt
1417,16C1417,Sardoal,2,silt
1418,16C1418,Tomar,3,sandy
1419,16C1419,Torres Novas,1,clay
1420,16C1420,Vila Nova da Barquinha,3,sandy
1421,16C1421,Ourém,3,sandy
