Muni_ID,ID,Muni,housing09_N,housing09_nha
1821,1651821,Tondela,227018,54.16798097
1822,1651822,Vila Nova de Paiva,62529,39.03210064
1823,1651823,Viseu,58517,10.04235257
1824,1651824,Vouzela,127592,63.22710645
1413,1661413,Mação,7057,4.361837566
506,1660506,Oleiros,19800,16.59671534
508,1660508,Proença-a-Nova,11181,2.726990308
509,1660509,Sertã,32300,13.11425665
510,1660510,Vila de Rei,6108,17.96567674
905,1670905,Fornos de Algodres,13874,4.897202332
906,1670906,Gouveia,19652,2.956134726
912,1670912,Seia,11845,2.179719115
902,1680902,Almeida,28885,1.458469443
903,1680903,Celorico da Beira,8341,1.001610836
904,1680904,Figueira de Castelo Rodrigo,12507,0.524112179
907,1680907,Guarda,33970,1.764866965
908,1680908,Manteigas,1131,3.925422711
909,1680909,Mêda,10647,1.150680225
910,1680910,Pinhel,26433,1.399179357
911,1680911,Sabugal,18726,0.936553547
913,1680913,Trancoso,20781,1.867929081
502,1690502,Castelo Branco,34352,0.813848716
505,1690505,Idanha-a-Nova,55475,0.692091313
507,1690507,Penamacor,12801,1.059111936
511,1690511,Vila Velha de Ródão,6322,1.119946777
501,16A0501,Belmonte,6950,1.405559078
503,16A0503,Covilhã,25821,2.392649233
504,16A0504,Fundão,40275,1.562693689
1001,16B1001,Alcobaça,253699,34.62524031
1101,16B1101,Alenquer,79247,7.247141019
1102,16B1102,Arruda dos Vinhos,20974,7.448094878
1005,16B1005,Bombarral,166935,39.39014572
1104,16B1104,Cadaval,55218,11.06125784
1006,16B1006,Caldas da Rainha,178777,38.48797976
1108,16B1108,Lourinhã,343187,60.85960779
1011,16B1011,Nazaré,15183,16.13529991
1012,16B1012,Óbidos,93814,30.02045782
1014,16B1014,Peniche,39019,16.02440417
1112,16B1112,Sobral de Monte Agraço,27860,10.80270803
1113,16B1113,Torres Vedras,329612,22.68027835
1401,16C1401,Abrantes,15803,1.223604257
1402,16C1402,Alcanena,11961,2.728972148
1408,16C1408,Constância,131,0.236370772
1410,16C1410,Entroncamento,221,0.432100155
1411,16C1411,Ferreira do Zêzere,357421,157.9410334
1421,16C1421,Ourém,312967,72.34566898
1417,16C1417,Sardoal,1720,1.321041505
1418,16C1418,Tomar,168458,24.89042949
1419,16C1419,Torres Novas,35942,3.631992457
1420,16C1420,Vila Nova da Barquinha,279,0.676692325
1115,1711115,Amadora,32,0.520024105
1105,1711105,Cascais,240,1.014735478
1106,1711106,Lisboa,12,0.206884441
1107,1711107,Loures,76147,17.76646025
1109,1711109,Mafra,114872,12.37048121
1116,1711116,Odivelas,969,2.038982237
1110,1711110,Oeiras,7,0.0657096
1111,1711111,Sintra,24126,4.687460547
1114,1711114,Vila Franca de Xira,21312,1.586630436
1502,1721502,Alcochete,10343,3.06464511
1503,1721503,Almada,1572,3.707612432
1504,1721504,Barreiro,677,4.079801443
1506,1721506,Moita,20403,21.98652491
1507,1721507,Montijo,204829,13.67076393
1508,1721508,Palmela,137565,4.712905509
1510,1721510,Seixal,354,0.518642586
1511,1721511,Sesimbra,1453,0.783099452
1512,1721512,Setúbal,5375,1.852049018
1501,1811501,Alcácer do Sal,45567,0.470007677
1505,1811505,Grândola,110287,2.88905165
211,1810211,Odemira,81110,1.160507942
1509,1811509,Santiago do Cacém,93429,1.512435895
1513,1811513,Sines,5869,0.659184676
1201,1821201,Alter do Chão,22890,0.688371812
1202,1821202,Arronches,19558,0.75693812
1203,1821203,Avis,28217,0.606092244
1204,1821204,Campo Maior,17794,0.967564915
1205,1821205,Castelo de Vide,6311,0.311740437
1206,1821206,Crato,24875,0.93351466
1207,1821207,Elvas,57931,1.11684462
1208,1821208,Fronteira,12792,0.595296863
1209,1821209,Gavião,3102,0.217852751
1210,1821210,Marvão,2766,0.32155346
1211,1821211,Monforte,22772,0.591491155
707,1820707,Mora,17603,0.429545697
1212,1821212,Nisa,11800,0.422571996
1213,1821213,Ponte de Sor,34543,0.613995467
1214,1821214,Portalegre,22815,0.826527573
701,1830701,Alandroal,40277,0.919694111
702,1830702,Arraiolos,115735,1.994463479
703,1830703,Borba,13415,1.577814791
704,1830704,Estremoz,33484,0.875553696
705,1830705,Évora,68468,0.641000336
706,1830706,Montemor-o-Novo,227867,2.142615751
708,1830708,Mourão,15746,0.736528569
709,1830709,Portel,100288,2.436589452
710,1830710,Redondo,40038,1.319250422
711,1830711,Reguengos de Monsaraz,16316,0.561186088
1215,1831215,Sousel,17123,0.829224176
712,1830712,Vendas Novas,94349,6.026401699
713,1830713,Viana do Alentejo,47144,1.184968556
714,1830714,Vila Viçosa,10949,0.693348176
201,1840201,Aljustrel,22696,0.583029586
202,1840202,Almodôvar,22079,0.565474043
203,1840203,Alvito,17767,0.773644689
204,1840204,Barrancos,12367,0.971777907
205,1840205,Beja,34834,0.359494196
206,1840206,Castro Verde,19067,0.375800406
207,1840207,Cuba,40711,2.796450426
208,1840208,Ferreira do Alentejo,45505,0.841413193
209,1840209,Mértola,36832,0.409157889
210,1840210,Moura,41162,0.563695049
212,1840212,Ourique,66822,1.505339282
213,1840213,Serpa,44189,0.510583088
214,1840214,Vidigueira,6103,0.266125087
1403,1851403,Almeirim,5229,0.542349158
1404,1851404,Alpiarça,1117,0.226535006
1103,1851103,Azambuja,54776,4.919738693
1405,1851405,Benavente,224900,7.811204983
1406,1851406,Cartaxo,219471,31.45179037
1407,1851407,Chamusca,26526,0.822779905
1409,1851409,Coruche,73709,1.320125149
1412,1851412,Golegã,1303,0.223702654
1414,1851414,Rio Maior,259845,28.16442286
1415,1851415,Salvaterra de Magos,41425,5.045660446
1416,1851416,Santarém,259534,11.24839047
801,1500801,Albufeira,1561,0.460179872
802,1500802,Alcoutim,3454,0.277514281
803,1500803,Aljezur,4148,0.99603829
804,1500804,Castro Marim,4896,0.686025111
805,1500805,Faro,1743,0.427421363
806,1500806,Lagoa,4605,3.084194735
807,1500807,Lagos,3175,1.355188329
808,1500808,Loulé,5894,0.424429885
809,1500809,Monchique,16761,7.985273203
810,1500810,Olhão,1161,0.459253055
811,1500811,Portimão,6399,2.632165372
812,1500812,São Brás de Alportel,1117,0.363389118
813,1500813,Silves,12784,1.052689218
814,1500814,Tavira,4751,0.430639278
815,1500815,Vila do Bispo,2819,0.581781202
816,1500816,Vila Real de Santo António,867,0.723428089
