Muni_ID,ID,Muni,housing99_N,housing99_nha
105,1610105,Aveiro,34464,11.87594762
108,1610108,Estarreja,98351,30.6963171
110,1610110,Ílhavo,40105,43.03111588
111,1610111,Mealhada,122716,47.45398299
112,1610112,Murtosa,42314,26.36386293
114,1610114,Oliveira do Bairro,27147,10.95078661
115,1610115,Ovar,104525,55.01315789
117,1610117,Sever do Vouga,67673,74.20285088
118,1610118,Vagos,119871,34.12211785
602,1620602,Cantanhede,154478,18.25118147
603,1620603,Coimbra,44948,6.923598275
604,1620604,Condeixa-a-Nova,16007,5.457551995
605,1620605,Figueira da Foz,120624,17.77803979
608,1620608,Mira,57223,32.32937853
610,1620610,Montemor-o-Velho,126029,13.83717611
613,1620613,Penacova,15989,12.12206217
615,1620615,Soure,29397,4.524007387
1004,1631004,Batalha,105648,49.50702905
1009,1631009,Leiria,669540,80.25170802
1010,1631010,Marinha Grande,26349,91.80836237
1015,1631015,Pombal,266144,34.93620373
1016,1631016,Porto de Mós,112942,18.79547346
1002,1641002,Alvaiázere,25074,12.38833992
1003,1641003,Ansião,68416,21.11604938
601,1640601,Arganil,15826,10.21691414
1007,1641007,Castanheira de Pêra,628,7.302325581
1008,1641008,Figueiró dos Vinhos,9905,14.60914454
606,1640606,Góis,9390,16.79785331
607,1640607,Lousã,7453,12.89446367
609,1640609,Miranda do Corvo,8850,8.894472362
611,1640611,Oliveira do Hospital,38731,9.24808978
612,1640612,Pampilhosa da Serra,2401,6.368700265
1013,1641013,Pedrógão Grande,4182,6.811074919
614,1640614,Penela,8115,4.595130238
616,1640616,Tábua,20282,9.04235399
617,1640617,Vila Nova de Poiares,3758,7.796680498
901,1650901,Aguiar da Beira,45962,11.79117496
1802,1651802,Carregal do Sal,40132,22.80227273
1803,1651803,Castro Daire,72537,16.32245725
1806,1651806,Mangualde,41810,8.346975444
1808,1651808,Mortágua,106425,83.01482059
1809,1651809,Nelas,20321,7.14773127
1810,1651810,Oliveira de Frades,264318,141.8776167
1811,1651811,Penalva do Castelo,16473,4.717353952
1814,1651814,Santa Comba Dão,116229,74.69730077
1816,1651816,São Pedro do Sul,103842,30.9514158
1817,1651817,Sátão,85511,24.85062482
1821,1651821,Tondela,322606,55.15575312
1822,1651822,Vila Nova de Paiva,59730,24.409481
1823,1651823,Viseu,147281,18.08682304
1824,1651824,Vouzela,151749,59.50941176
1413,1661413,Mação,22073,7.166558442
506,1660506,Oleiros,11406,4.501183899
508,1660508,Proença-a-Nova,18280,4.260079236
509,1660509,Sertã,45150,12.22252301
510,1660510,Vila de Rei,11146,16.8623298
905,1670905,Fornos de Algodres,9692,2.54183058
906,1670906,Gouveia,21009,2.66916529
912,1670912,Seia,36467,4.764436896
902,1680902,Almeida,50305,2.059232879
903,1680903,Celorico da Beira,14098,1.226552984
904,1680904,Figueira de Castelo Rodrigo,20955,0.714237022
907,1680907,Guarda,93879,3.689342136
908,1680908,Manteigas,2321,2.055801594
909,1680909,Mêda,16299,1.415089425
910,1680910,Pinhel,42698,1.771995352
911,1680911,Sabugal,77029,2.789793923
913,1680913,Trancoso,40715,3.061508384
502,1690502,Castelo Branco,76164,1.349588022
505,1690505,Idanha-a-Nova,50857,0.560234859
507,1690507,Penamacor,21303,1.486705283
511,1690511,Vila Velha de Ródão,17885,2.375166003
501,16A0501,Belmonte,15874,2.371377353
503,16A0503,Covilhã,59265,4.226271126
504,16A0504,Fundão,70402,2.585647128
1001,16B1001,Alcobaça,445644,44.4266773
1101,16B1101,Alenquer,378461,25.56132649
1102,16B1102,Arruda dos Vinhos,27275,7.337906914
1005,16B1005,Bombarral,109542,19.43957409
1104,16B1104,Cadaval,102528,15.76868656
1006,16B1006,Caldas da Rainha,475468,63.51429335
1108,16B1108,Lourinhã,310488,42.53842992
1011,16B1011,Nazaré,26902,24.47861692
1012,16B1012,Óbidos,83927,18.42929293
1014,16B1014,Peniche,92614,29.56080434
1112,16B1112,Sobral de Monte Agraço,40358,11.92612293
1113,16B1113,Torres Vedras,307473,18.34673907
1401,16C1401,Abrantes,18927,1.212181376
1402,16C1402,Alcanena,22133,5.710268318
1408,16C1408,Constância,4709,4.484761905
1410,16C1410,Entroncamento,404,2.295454545
1411,16C1411,Ferreira do Zêzere,252401,64.60225237
1421,16C1421,Ourém,327524,50.30317924
1417,16C1417,Sardoal,4354,3.218033999
1418,16C1418,Tomar,175217,22.16814271
1419,16C1419,Torres Novas,47970,4.654570153
1420,16C1420,Vila Nova da Barquinha,7822,11.30346821
1115,1711115,Amadora,380,1.296928328
1105,1711105,Cascais,53299,99.81086142
1106,1711106,Lisboa,0,0
1107,1711107,Loures,42302,7.144401284
1109,1711109,Mafra,227549,22.70494911
1116,1711116,Odivelas,7042,23.16447368
1110,1711110,Oeiras,825,0.770308123
1111,1711111,Sintra,66410,8.511920021
1114,1711114,Vila Franca de Xira,31020,3.165306122
1502,1721502,Alcochete,37406,10.1785034
1503,1721503,Almada,3599,6.689591078
1504,1721504,Barreiro,2552,10.58921162
1506,1721506,Moita,69537,35.97361614
1507,1721507,Montijo,181353,10.92224765
1508,1721508,Palmela,252621,10.84070721
1510,1721510,Seixal,17893,17.91091091
1511,1721511,Sesimbra,6795,2.609447005
1512,1721512,Setúbal,21154,3.406989853
1501,1811501,Alcácer do Sal,69074,0.763780311
1505,1811505,Grândola,83067,1.847041558
211,1810211,Odemira,79244,1.018887817
1509,1811509,Santiago do Cacém,267713,3.852262753
1513,1811513,Sines,17251,2.038402458
1201,1821201,Alter do Chão,19968,0.672051696
1202,1821202,Arronches,28795,1.098542652
1203,1821203,Avis,24944,0.587969074
1204,1821204,Campo Maior,6881,0.326314791
1205,1821205,Castelo de Vide,8024,0.387389562
1206,1821206,Crato,20106,0.77593393
1207,1821207,Elvas,59694,1.038409352
1208,1821208,Fronteira,22532,1.265984942
1209,1821209,Gavião,8588,1.085577045
1210,1821210,Marvão,10106,0.965787462
1211,1821211,Monforte,29149,0.772384006
707,1820707,Mora,33806,0.766211101
1212,1821212,Nisa,18741,0.731927358
1213,1821213,Ponte de Sor,47910,0.83427656
1214,1821214,Portalegre,44662,1.51412008
701,1830701,Alandroal,50135,1.192951982
702,1830702,Arraiolos,86941,1.585906861
703,1830703,Borba,28223,3.409810318
704,1830704,Estremoz,60562,1.467422645
705,1830705,Évora,78935,0.725758997
706,1830706,Montemor-o-Novo,240707,2.663277274
708,1830708,Mourão,14353,0.522231116
709,1830709,Portel,23348,0.601210248
710,1830710,Redondo,44822,1.640329369
711,1830711,Reguengos de Monsaraz,29339,0.768740993
1215,1831215,Sousel,29784,1.238111074
712,1830712,Vendas Novas,26120,1.488149499
713,1830713,Viana do Alentejo,54864,1.605055292
714,1830714,Vila Viçosa,12733,0.970429083
201,1840201,Aljustrel,17952,0.458649498
202,1840202,Almodôvar,27674,0.730956154
203,1840203,Alvito,5924,0.379378802
204,1840204,Barrancos,9738,0.700928525
205,1840205,Beja,59314,0.653496981
206,1840206,Castro Verde,18421,0.386103542
207,1840207,Cuba,47258,3.519362526
208,1840208,Ferreira do Alentejo,48828,1.004960175
209,1840209,Mértola,29404,0.363618376
210,1840210,Moura,35463,0.513079082
212,1840212,Ourique,36535,0.846422945
213,1840213,Serpa,45209,0.53826646
214,1840214,Vidigueira,13102,0.461321784
1403,1851403,Almeirim,17026,1.845836947
1404,1851404,Alpiarça,12046,1.245837212
1103,1851103,Azambuja,127862,11.29922234
1405,1851405,Benavente,85903,2.342723901
1406,1851406,Cartaxo,148029,18.33176471
1407,1851407,Chamusca,38044,1.719114324
1409,1851409,Coruche,121543,1.801597889
1412,1851412,Golegã,2397,0.429262178
1414,1851414,Rio Maior,403288,51.58454848
1415,1851415,Salvaterra de Magos,46382,4.078972826
1416,1851416,Santarém,427907,13.85440005
801,1500801,Albufeira,4599,0.867244956
802,1500802,Alcoutim,7552,0.697966728
803,1500803,Aljezur,10344,1.939257593
804,1500804,Castro Marim,8483,1.074613631
805,1500805,Faro,14634,2.934429517
806,1500806,Lagoa,6594,3.587595212
807,1500807,Lagos,9726,2.443104748
808,1500808,Loulé,28299,1.680662787
809,1500809,Monchique,43224,14.49011063
810,1500810,Olhão,4841,1.098479691
811,1500811,Portimão,7147,2.361863847
812,1500812,São Brás de Alportel,2326,1.245848956
813,1500813,Silves,27116,1.729667666
814,1500814,Tavira,12474,1.017455139
815,1500815,Vila do Bispo,3475,1.360078278
816,1500816,Vila Real de Santo António,2443,1.129449838
