"Muni_ID","ID","Muni","cereals","citrus","dried_fruits","fresh_fruits","olive_grove","vineyard","total_municipality"
1804,"1151804","Cinfães",181.66,75.59,151.21,134.23,36.42,630.96,1210.07
1303,"1151303","Felgueiras",236.51,10.67,31.65,55.56,0.53,2177.88,2512.8
1305,"1151305","Lousada",178.45,10.89,24.61,16.51,0.53,1517.44,1748.43
1307,"1151307","Marco de Canaveses",214.02,78.48,106.53,67.25,10.56,1947.91,2424.75
1705,"1151705","Mondim de Basto",112.01,0,28.14,0,12.67,866.83,1019.65
1309,"1151309","Paços de Ferreira",77.26,3.56,0,3.88,0,167.08,251.78
1310,"1151310","Paredes",191.12,10.89,14.07,27.33,0.53,1069.29,1313.23
1311,"1151311","Penafiel",337.61,39.57,70.34,41.77,5.28,2457,2951.57
1813,"1151813","Resende",78.5,18.23,845,1518.59,21.64,1028.01,3509.97
1709,"1151709","Ribeira de Pena",118.26,0,94.95,20.01,16.89,426.54,676.65
104,"1160104","Arouca",164.34,3.56,73.84,59.31,26.39,273.22,600.66
113,"1160113","Oliveira de Azeméis",81.7,10.9,3.52,29.67,0,64.86,190.65
109,"1160109","Santa Maria da Feira",145.94,7.11,10.55,3.88,0,27.52,195
116,"1160116","São João da Madeira",0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",103.72,0,7.03,6.22,0,304.67,421.64
1701,"1171701","Alijó",8.98,110.28,1143.14,130.72,562.63,12027.51,13983.26
1801,"1171801","Armamar",1.08,64.03,566.83,5524.21,350.46,3860.44,10367.05
403,"1170403","Carrazeda de Ansiães",26.34,181.88,1805.1,1612.7,898.32,5128.25,9652.59
404,"1170404","Freixo de Espada à Cinta",14.72,409.1,5651.55,61.08,1350.11,2409.83,9896.39
1805,"1171805","Lamego",7.82,32.02,348.14,2302.45,134.59,5440.78,8265.8
1704,"1171704","Mesão Frio",0,10.67,25.66,31.15,8.97,1999.02,2075.47
1807,"1171807","Moimenta da Beira",34.65,0,1002.2,2800.61,145.14,485.5,4468.1
1812,"1171812","Penedono",24.6,0,5490.66,257.78,188.42,267.32,6228.78
1708,"1171708","Peso da Régua",0.55,21.34,165.28,30.07,134.59,7404.42,7756.25
1710,"1171710","Sabrosa",10.39,24.9,183.9,189.55,270.76,5745.45,6424.95
1711,"1171711","Santa Marta de Penaguião",0.37,7.11,228.2,12.33,112.42,5515.47,5875.9
1815,"1171815","São João da Pesqueira",11.68,71.15,4777.09,597.59,1402.36,14779.35,21639.22
1818,"1171818","Sernancelhe",40.37,3.56,3396.54,1029.57,135.12,953.32,5558.48
1819,"1171819","Tabuaço",10.71,39.13,789.69,367.05,596.41,4182.8,5985.79
1820,"1171820","Tarouca",10.42,0,636.49,1432.62,149.9,636.85,2866.28
409,"1170409","Torre de Moncorvo",30.03,270.88,16615.94,256.77,2699.17,3353.31,23226.1
410,"1170410","Vila Flor",13.98,240.12,3482.94,827.19,2326.54,3400.49,10291.26
914,"1170914","Vila Nova de Foz Côa",5.9,82.27,10238.09,76.52,2004.06,10156.26,22563.1
1714,"1171714","Vila Real",58.03,10.67,727.16,292.56,282.9,4898.28,6269.6
401,"1180401","Alfândega da Fé",3.66,24.9,11594.31,395.61,3150.44,579.85,15748.77
1702,"1181702","Boticas",223.26,0,581.26,32.42,6.86,247.67,1091.47
402,"1180402","Bragança",390.37,7.11,25338.42,792.66,1556.48,1199.02,29284.06
1703,"1181703","Chaves",739.5,0,5967.75,331.17,229.59,4180.83,11448.84
405,"1180405","Macedo de Cavaleiros",145.1,3.56,7851.54,685.36,4570.22,1458.48,14714.26
406,"1180406","Miranda do Douro",255.26,0,1377.69,435.12,490.85,2191.64,4750.56
407,"1180407","Mirandela",125.94,49.8,7509.11,1198.84,7484.73,2649.63,19018.05
408,"1180408","Mogadouro",201.72,0,10493.65,536.75,3402.73,3184.27,17819.12
1706,"1181706","Montalegre",425.94,0,928.36,44.68,0.53,92.38,1491.89
1707,"1181707","Murça",12.26,0,2471.8,177.24,671.89,3406.38,6739.57
1712,"1181712","Valpaços",225.13,3.56,25277.98,1022.06,2820.56,5147.91,34497.2
1713,"1181713","Vila Pouca de Aguiar",131.11,0,1955.08,60.26,39.59,454.05,2640.09
411,"1180411","Vimioso",135.9,0,4234.99,432.75,1174.36,955.28,6933.28
412,"1180412","Vinhais",250.07,3.56,19401.28,418.17,375.27,1328.75,21777.1
101,"1610101","Águeda",3017.59,39.78,14.06,69.03,3.69,229.98,3374.13
102,"1610102","Albergaria-a-Velha",380.43,8,3.52,4.51,0,43.24,439.7
103,"1610103","Anadia",207.44,40.01,35.16,49.92,33.25,3376.9,3742.68
105,"1610105","Aveiro",409.32,24,3.52,10.82,0,57,504.66
108,"1610108","Estarreja",1984.41,0,0,0,22.17,7.86,2014.44
110,"1610110","Ílhavo",172.27,4,0,2.34,0,1.97,180.58
111,"1610111","Mealhada",126.03,47.78,17.59,53,95,1556.76,1896.16
112,"1610112","Murtosa",127.31,0,0,0,0,0,127.31
114,"1610114","Oliveira do Bairro",3475.57,32,21.1,22.58,3.69,689.93,4244.87
115,"1610115","Ovar",137.29,0,7.04,0,0,0,144.33
117,"1610117","Sever do Vouga",129.36,32.01,21.1,36.81,0.53,27.52,247.33
118,"1610118","Vagos",300.5,12,0,8.48,0,64.86,385.84
602,"1620602","Cantanhede",366.49,91.79,80.87,125.67,153.06,3994.1,4811.98
603,"1620603","Coimbra",11861.96,213.82,52.75,210.81,192.65,1535.13,14067.12
604,"1620604","Condeixa-a-Nova",1033.47,31.78,31.65,23.91,283.96,369.53,1774.3
605,"1620605","Figueira da Foz",72144.63,36.01,3.52,46.6,4.75,110.07,72345.58
608,"1620608","Mira",84.06,80.02,0,33.6,0,3.93,201.61
610,"1620610","Montemor-o-Velho",43048.2,43.78,3.52,39.44,78.64,245.7,43459.28
613,"1620613","Penacova",83.41,20,3.52,28.24,88.67,196.56,420.4
615,"1620615","Soure",30852.82,32.01,21.1,131.03,491.38,450.12,31978.46
1004,"1631004","Batalha",49.61,4,7.04,538.21,90.25,389.19,1078.3
1009,"1631009","Leiria",1543.16,40.01,70.33,1167.62,191.59,994.59,4007.3
1010,"1631010","Marinha Grande",21.93,12,3.52,39.74,1.06,9.83,88.08
1015,"1631015","Pombal",5776.94,36.01,21.1,73.22,381.07,758.72,7047.06
1016,"1631016","Porto de Mós",29.18,12,45.71,1304.44,509.85,174.94,2076.12
1002,"1641002","Alvaiázere",15.1,12,14.07,60.71,536.24,178.87,816.99
1003,"1641003","Ansião",61.27,8,10.55,10.35,817.03,410.81,1318.01
601,"1640601","Arganil",87.6,0,31.65,48.24,172.06,49.14,388.69
1007,"1641007","Castanheira de Pêra",1.84,0,14.07,12.99,25.86,5.9,60.66
1008,"1641008","Figueiró dos Vinhos",16.28,8,24.61,29.25,99.23,96.31,273.68
606,"1640606","Góis",12.38,0,7.03,0,24.81,5.9,50.12
607,"1640607","Lousã",25.65,4,14.07,29.79,26.39,45.21,145.11
609,"1640609","Miranda do Corvo",21.41,12,28.14,77.73,97.64,261.42,498.34
611,"1640611","Oliveira do Hospital",92.46,8,168.79,147.45,394.79,294.84,1106.33
612,"1640612","Pampilhosa da Serra",7.37,4,29.18,67.57,146.2,47.17,301.49
1013,"1641013","Pedrógão Grande",21.62,4,24.61,19.4,160.98,15.72,246.33
614,"1640614","Penela",21.48,0,17.58,14.32,285.01,310.56,648.95
616,"1640616","Tábua",96.75,4,46.76,62.04,220.09,208.35,637.99
617,"1640617","Vila Nova de Poiares",19.23,4,7.04,20.23,35.36,17.69,103.55
901,"1650901","Aguiar da Beira",227.67,0,457.14,709.15,60.7,161.18,1615.84
1802,"1651802","Carregal do Sal",55.68,0,73.85,73.54,135.12,570.02,908.21
1803,"1651803","Castro Daire",292.01,8,101.98,77.66,24.28,82.56,586.49
1806,"1651806","Mangualde",197.46,16,166.32,397.49,223.79,1421.13,2422.19
1808,"1651808","Mortágua",111.33,4,17.59,10.85,27.45,180.84,352.06
1809,"1651809","Nelas",49.24,4,17.59,80.65,312.46,2240.78,2704.72
1810,"1651810","Oliveira de Frades",269.82,8,45.72,19.4,8.44,96.31,447.69
1811,"1651811","Penalva do Castelo",176.12,0,59.78,412.09,193.7,1800.49,2642.18
1814,"1651814","Santa Comba Dão",56.26,12,31.64,35.48,57.53,233.91,426.82
1816,"1651816","São Pedro do Sul",420.86,16,101.98,164.15,48.56,292.87,1044.42
1817,"1651817","Sátão",280.99,0,436.05,72.76,93.95,862.9,1746.65
1821,"1651821","Tondela",291.63,135.8,144.18,178.37,215.87,2303.68,3269.53
1822,"1651822","Vila Nova de Paiva",132.14,0,193.41,4.51,0.53,1.97,332.56
1823,"1651823","Viseu",473.66,28.01,330.55,862.32,459.19,2775.43,4929.16
1824,"1651824","Vouzela",259.18,0,42.2,293.43,41.17,143.49,779.47
1413,"1661413","Mação",5.03,83.25,17.58,54.15,544.69,190.66,895.36
506,"1660506","Oleiros",19,12,91.43,105.31,389.52,72.73,689.99
508,"1660508","Proença-a-Nova",18.11,84.02,24.62,146.3,1241.91,235.87,1750.83
509,"1660509","Sertã",41.92,12,158.25,82.7,839.73,241.77,1376.37
510,"1660510","Vila de Rei",3.94,4,11.59,36.88,121.92,35.38,213.71
905,"1670905","Fornos de Algodres",132.12,8,104.06,142.07,245.43,172.97,804.65
906,"1670906","Gouveia",60.83,4,308.02,517.87,525.16,1653.07,3068.95
912,"1670912","Seia",44.42,4,337.58,455.25,738.39,1035.87,2615.51
902,"1680902","Almeida",34.46,0,46.76,59.62,150.42,1026.04,1317.3
903,"1680903","Celorico da Beira",54.08,0,184.95,253.26,432.8,298.77,1223.86
904,"1680904","Figueira de Castelo Rodrigo",47.05,4,2374.29,394.8,2257.4,4432.43,9509.97
907,"1680907","Guarda",166.89,4,1371.06,1326.99,362.07,717.44,3948.45
908,"1680908","Manteigas",3.1,0,41.44,16.2,11.61,43.24,115.59
909,"1680909","Mêda",59.59,4,3339.13,309,1004.4,4951.35,9667.47
910,"1680910","Pinhel",121.38,0,594.46,1211.88,1246.14,7286.48,10460.34
911,"1680911","Sabugal",145.64,4,575.28,331.23,164.67,444.23,1665.05
913,"1680913","Trancoso",102.59,4,4899.41,641.95,687.2,1686.48,8021.63
502,"1690502","Castelo Branco",91.67,291.37,176.96,625.9,4587.11,1474.2,7247.21
505,"1690505","Idanha-a-Nova",474.07,179.96,744.26,205.91,3450.23,308.6,5363.03
507,"1690507","Penamacor",103.34,24.01,235.61,91.49,1555.43,397.05,2406.93
511,"1690511","Vila Velha de Ródão",7.09,52.01,19.67,62.2,1286.78,92.38,1520.13
501,"16A0501","Belmonte",106.86,0,109.01,1621.55,225.9,1279.61,3342.93
503,"16A0503","Covilhã",164.41,12,240.16,4426.62,652.89,1385.75,6881.83
504,"16A0504","Fundão",240.79,186.43,179.34,5861.9,2261.62,2138.57,10868.65
1001,"16B1001","Alcobaça",226.5,78.33,101.98,10382.68,140.92,475.68,11406.09
1101,"16B1101","Alenquer",322.41,47.87,243.68,1327.66,39.59,8748.89,10730.1
1102,"16B1102","Arruda dos Vinhos",66.02,4.35,133.63,320.13,7.39,1688.45,2219.97
1005,"16B1005","Bombarral",19.85,8.7,210.99,9241.59,0.53,1287.47,10769.13
1104,"16B1104","Cadaval",16.73,4.35,369.24,9225.59,20.58,2514,12150.49
1006,"16B1006","Caldas da Rainha",119.04,48.84,221.54,8498.51,24.28,1114.5,10026.71
1108,"16B1108","Lourinhã",255.18,8.7,49.22,2056.99,3.17,564.13,2937.39
1011,"16B1011","Nazaré",24.3,4.35,14.07,570.3,0.53,39.31,652.86
1012,"16B1012","Óbidos",52.63,34.82,210.98,5224.11,1.58,442.26,5966.38
1014,"16B1014","Peniche",122.47,4.35,3.52,187.82,0,78.62,396.78
1112,"16B1112","Sobral de Monte Agraço",112.96,8.7,66.82,92.95,8.44,790.17,1080.04
1113,"16B1113","Torres Vedras",503.64,34.81,321.04,4295.31,6.86,9230.46,14392.12
1401,"16C1401","Abrantes",535.56,161.03,1217.37,227.38,1803.49,711.55,4656.38
1402,"16C1402","Alcanena",36.33,13.06,70.32,107.95,1223.44,102.21,1553.31
1408,"16C1408","Constância",203.11,34.81,116.04,7.51,63.34,13.76,438.57
1410,"16C1410","Entroncamento",62.43,17.41,0,19.61,9.5,15.72,124.67
1411,"16C1411","Ferreira do Zêzere",20.35,30.46,149.78,472.79,616.47,507.12,1796.97
1421,"16C1421","Ourém",292.35,40.46,42.2,139.06,1048.21,1478.13,3040.41
1417,"16C1417","Sardoal",6.5,68.52,52.75,65.37,451.27,174.94,819.35
1418,"16C1418","Tomar",483.7,254.85,262.97,293.08,1342.2,1719.9,4356.7
1419,"16C1419","Torres Novas",756.84,485.52,590.95,1153.97,1698.99,1533.17,6219.44
1420,"16C1420","Vila Nova da Barquinha",30.9,13.06,14.07,2.34,49.61,3.93,113.91
1115,"1711115","Amadora",0,0,0,0,4.75,0,4.75
1105,"1711105","Cascais",1.52,65.28,10.55,0,23.75,33.42,134.52
1106,"1711106","Lisboa",0.21,0,0,0,0.53,7.86,8.6
1107,"1711107","Loures",232.01,21.76,17.58,41.47,77.06,581.82,971.7
1109,"1711109","Mafra",365.39,848.98,210.99,2793.05,7.92,2341.03,6567.36
1116,"1711116","Odivelas",1.05,8.7,3.52,4.11,4.22,9.83,31.43
1110,"1711110","Oeiras",0,8.7,0,11.62,3.17,43.24,66.73
1111,"1711111","Sintra",265.48,65.28,91.43,310.89,6.86,194.59,934.53
1114,"1711114","Vila Franca de Xira",77785.77,77.86,121.65,196.2,16.36,601.47,78799.31
1502,"1721502","Alcochete",3745.91,17.41,879.12,0,0,3.93,4646.37
1503,"1721503","Almada",14.24,4.35,0,17.13,4.22,7.86,47.8
1504,"1721504","Barreiro",4,8.7,0,0,9.5,7.86,30.06
1506,"1721506","Moita",21.29,70.6,0,30.29,0.53,7.86,130.57
1507,"1721507","Montijo",8145.23,210.19,2004.39,130.75,49.61,1702.21,12242.38
1508,"1721508","Palmela",14829.76,938.3,1829.61,825.08,46.45,12261.41,30730.61
1510,"1721510","Seixal",0,17.41,0,10.1,10.03,27.52,65.06
1511,"1721511","Sesimbra",6.67,56.58,379.78,172.08,4.22,123.83,743.16
1512,"1721512","Setúbal",769.9,347.22,414.95,184.22,62.28,1195.08,2973.65
1501,"1811501","Alcácer do Sal",187618.96,319.85,44740.17,8.45,1197.58,713.51,234598.52
1505,"1811505","Grândola",21146.83,116.59,19541.36,85.93,523.58,283.05,41697.34
211,"1810211","Odemira",13978.61,1146.99,1916.1,683.06,435.44,117.94,18278.14
1509,"1811509","Santiago do Cacém",24362.73,605.39,3083.96,149.75,1667.32,446.19,30315.34
1513,"1811513","Sines",125.37,60.17,152.26,32.04,5.28,5.9,381.02
1201,"1821201","Alter do Chão",99.11,30.09,68.9,4.93,1733.3,273.22,2209.55
1202,"1821202","Arronches",248.14,15.04,137.14,13.43,942.12,149.39,1505.26
1203,"1821203","Avis",523.86,60.17,1635.44,2.34,4025,617.2,6864.01
1204,"1821204","Campo Maior",664.55,60.13,323.51,1040.47,2178.23,153.32,4420.21
1205,"1821205","Castelo de Vide",8.99,3.76,200.44,29.09,986.46,31.45,1260.19
1206,"1821206","Crato",25.22,3.76,1543.73,9.92,1133.19,180.84,2896.66
1207,"1821207","Elvas",3276.46,364.77,73.85,1346.24,2881.79,699.75,8642.86
1208,"1821208","Fronteira",649.52,3.76,87.91,0,1617.71,226.04,2584.94
1209,"1821209","Gavião",52.69,33.85,837.97,35.55,497.19,231.94,1689.19
1210,"1821210","Marvão",2.84,7.52,1494.51,30.05,753.17,151.35,2439.44
1211,"1821211","Monforte",323.22,3.76,80.88,0,892.51,497.3,1797.67
707,"1820707","Mora",504.18,52.65,513.41,31.25,700.92,298.77,2101.18
1212,"1821212","Nisa",15.13,15.04,475.4,29.8,2160.81,218.18,2914.36
1213,"1821213","Ponte de Sor",3960.19,349.76,5812.74,241.77,1311.06,102.21,11777.73
1214,"1821214","Portalegre",63.57,101.56,559.12,371.86,2078.48,1185.26,4359.85
701,"1830701","Alandroal",3737.78,48.89,591.63,1296.77,1251.41,1179.36,8105.84
702,"1830702","Arraiolos",2510.38,33.85,447.64,0,622.8,1195.08,4809.75
703,"1830703","Borba",143.96,26.32,54.46,142.92,628.61,2907.12,3903.39
704,"1830704","Estremoz",625.3,26.32,629.45,164.01,2264.79,3687.47,7397.34
705,"1830705","Évora",5804.89,67.7,288.35,38.87,1769.71,4129.73,12099.25
706,"1830706","Montemor-o-Novo",22209.2,26.28,4768.35,69.29,1330.58,1039.8,29443.5
708,"1830708","Mourão",164.36,3.76,0,4.69,749.48,536.61,1458.9
709,"1830709","Portel",363.86,26.32,556.55,40.43,2218.34,271.25,3476.75
710,"1830710","Redondo",407.71,45.13,334.07,2.34,1372.81,4233.9,6395.96
711,"1830711","Reguengos de Monsaraz",477.01,180.53,19.67,86.15,1333.75,6453.06,8550.17
1215,"1831215","Sousel",250.98,7.52,236.65,67.03,2938.79,542.51,4043.48
712,"1830712","Vendas Novas",5719.05,135.4,2869.45,53.87,60.7,845.21,9683.68
713,"1830713","Viana do Alentejo",4175.65,94.02,249.67,4.93,649.19,15.72,5189.18
714,"1830714","Vila Viçosa",151.27,109.06,106.54,37.49,755.28,662.41,1822.05
201,"1840201","Aljustrel",1442.46,361.42,1813.17,0,1661.51,157.25,5435.81
202,"1840202","Almodôvar",425.65,203.1,112.81,98.77,289.23,45.21,1174.77
203,"1840203","Alvito",156.41,267.01,87.92,15.73,801.2,399.02,1727.29
204,"1840204","Barrancos",0,0,7.03,2.34,348.88,1.97,360.22
205,"1840205","Beja",4033.35,357.29,270.39,35.3,5327.09,1808.35,11831.77
206,"1840206","Castro Verde",1225.09,26.32,351.65,83.85,607.5,5.9,2300.31
207,"1840207","Cuba",252.73,37.61,0,25.77,617,1584.27,2517.38
208,"1840208","Ferreira do Alentejo",8689.63,696.27,3291.43,821.97,5198.83,672.24,19370.37
209,"1840209","Mértola",1075.5,112.83,2724.6,13.14,509.85,127.76,4563.68
210,"1840210","Moura",804.74,146.67,438.04,1122.29,10188.65,1582.31,14282.7
212,"1840212","Ourique",1247.14,3.76,55.12,32.8,270.76,41.28,1650.86
213,"1840213","Serpa",1218.63,112.78,1168.32,176.7,12239.15,874.69,15790.27
214,"1840214","Vidigueira",327.06,424.98,7.03,21.09,2875.45,3616.7,7272.31
1403,"1851403","Almeirim",9544.66,467.64,453.63,642.03,27.97,6563.14,17699.07
1404,"1851404","Alpiarça",788.68,174.08,28.13,152.48,30.61,2653.56,3827.54
1103,"1851103","Azambuja",16677.21,153.93,618.9,282.57,122.98,2246.68,20102.27
1405,"1851405","Benavente",105958.92,123.15,3674.72,53.21,29.03,450.12,110289.15
1406,"1851406","Cartaxo",2762.26,92.68,271.81,110.3,113.48,2128.74,5479.27
1407,"1851407","Chamusca",22153.86,470.99,3738.02,82.17,274.46,538.57,27258.07
1409,"1851409","Coruche",92335.58,683.16,19794.27,626.03,253.34,908.11,114600.49
1412,"1851412","Golegã",3057.36,69.63,130.11,0,131.95,76.66,3465.71
1414,"1851414","Rio Maior",327.13,26.11,2981.22,505.83,555.77,1033.91,5429.97
1415,"1851415","Salvaterra de Magos",16613.4,95.74,355.17,33.51,13.19,328.26,17439.27
1416,"1851416","Santarém",2701.36,161.35,809.07,392.34,3036.43,3848.64,10949.19
801,"1500801","Albufeira",8.29,2008.39,5310.08,932.88,201.09,277.15,8737.88
802,"1500802","Alcoutim",2.42,183.5,10034.99,710.3,546.27,37.35,11514.83
803,"1500803","Aljezur",95.09,58.34,520.06,21.87,2.11,192.63,890.1
804,"1500804","Castro Marim",1.81,369.96,7757.36,897.74,401.66,145.45,9573.98
805,"1500805","Faro",5.35,5130.95,4742.98,272.28,250.71,58.97,10461.24
806,"1500806","Lagoa",5454.25,1204.43,1115.11,217.71,36.42,414.74,8442.66
807,"1500807","Lagos",21.25,163.11,1228.68,289.06,20.58,204.42,1927.1
808,"1500808","Loulé",6.26,4693.88,20403.58,1491.06,1118.94,108.11,27821.83
809,"1500809","Monchique",27.25,534.16,1025.38,118.12,34.31,1.97,1741.19
810,"1500810","Olhão",0,3869.13,3068.84,560.53,188.42,74.69,7761.61
811,"1500811","Portimão",7.04,999.53,1455.26,323.33,60.17,184.77,3030.1
812,"1500812","São Brás de Alportel",338.69,343.92,2401.37,194.37,292.4,43.24,3613.99
813,"1500813","Silves",3289.24,19669.68,6118.67,494.26,392.16,544.47,30508.48
814,"1500814","Tavira",10.53,7810.93,10459.34,1526.05,842.9,406.88,21056.63
815,"1500815","Vila do Bispo",47.6,4.17,845.18,39.83,0.53,13.76,951.07
816,"1500816","Vila Real de Santo António",2.99,287.89,554.55,131.02,44.86,37.35,1058.66
