GW_ID,GW_name,WFD_db_ID,Year,Mean,Minimum,Maximum,Median
39,PTA0x1RH6,PT_GWB_PTA0x1RH6,2006,10.475,2.2,21,9.35
40,PTA0x1RH7,PT_GWB_PTA0x1RH7,2006,28.6667,15,47,25.5
73,PTA0x1RH8,PT_GWB_PTA0x1RH8,2006,8.575,7,10,8.65
5,PTA0x2RH1,PT_GWB_PTA0x2RH1,2006,21.6,21.6,21.6,21.6
2,PTA0x3RH2,PT_GWB_PTA0x3RH2,2006,53.8,53.8,53.8,53.8
52,PTA0x4RH2,PT_GWB_PTA0x4RH2,2006,55.08,28,118,44.4
42,PTA0z1RH7,PT_GWB_PTA0z1RH7,2006,3.9114,0.09,16,1.4
14,PTA0z1RH8,PT_GWB_PTA0z1RH8,2006,5.5,1.9,9.1,5.5
55,PTA10,PT_GWB_PTA10,2006,22.375,13,33,21.5
64,PTA11,PT_GWB_PTA11,2006,34.5,24,44,33.5
10,PTA12,PT_GWB_PTA12,2006,2.3,2.3,2.3,2.3
28,PTA2,PT_GWB_PTA2,2006,12.2,8.8,14,13.5
30,PTA3,PT_GWB_PTA3,2006,28.975,5.8,72,26
32,PTA4,PT_GWB_PTA4,2006,29.8926,6,77,23
90,PTA5,PT_GWB_PTA5,2006,44.875,14,74,49.5
56,PTA6,PT_GWB_PTA6,2006,16.56,3.8,26,14
59,PTA9,PT_GWB_PTA9,2006,52.42,21,75,54.18
61,PTM03RH8,PT_GWB_PTM03RH8,2006,6.3,6,6.6,6.3
62,PTM1,PT_GWB_PTM1,2006,25,25,25,25
70,PTM10,PT_GWB_PTM10,2006,37.42,3,71,36
71,PTM11,PT_GWB_PTM11,2006,34,17,47,36
Look_into_this,PTM12,PT_GWB_PTM12,2006,69.35,3.7,141,70.5
68,PTM13,PT_GWB_PTM13,2006,7.55,2.6,21,5.2
78,PTM14,PT_GWB_PTM14,2006,7.6,7.5,7.7,7.6
47,PTM15,PT_GWB_PTM15,2006,57,28,78,66
69,PTM16,PT_GWB_PTM16,2006,41.8,20,75,23
49,PTM17,PT_GWB_PTM17,2006,10.7,6.4,15,10.7
75,PTM2,PT_GWB_PTM2,2006,17.2833,6.7,24,17.5
77,PTM3,PT_GWB_PTM3,2006,47.5,14,104,24
82,PTM4,PT_GWB_PTM4,2006,28.5,13,39,31
65,PTM5,PT_GWB_PTM5,2006,7.1417,2,16,6.35
83,PTM6,PT_GWB_PTM6,2006,16.4833,7.9,32,12.5
84,PTM7,PT_GWB_PTM7,2006,23.8333,21,30,21.5
72,PTM8,PT_GWB_PTM8,2006,7.6167,1.5,20,5.75
76,PTM9,PT_GWB_PTM9,2006,37.7125,2.7,110,24.5
33,PTO01RH5,PT_GWB_PTO01RH5,2006,4.765,3.63,5.9,4.765
91,PTO02RH4,PT_GWB_PTO02RH4,2006,3.45,3,3.9,3.45
Look_into_this,PTO04RH4,PT_GWB_PTO04RH4,2006,17.505,16,19.01,17.505
27,PTO1,PT_GWB_PTO1,2006,53.72,2.1,158,54
9,PTO10,PT_GWB_PTO10,2006,10.15,3.8,19,8.9
35,PTO11,PT_GWB_PTO11,2006,6.6571,2,12,6.4
15,PTO12,PT_GWB_PTO12,2006,8.04,2.2,13,8.2
74,PTO15,PT_GWB_PTO15,2006,13.6863,2,34.07,9.995
63,PTO19,PT_GWB_PTO19,2006,11.9288,2.6,25.21,10.3
21,PTO2,PT_GWB_PTO2,2006,24.8833,9.3,36,30
29,PTO20,PT_GWB_PTO20,2006,18.4943,3.8,53.12,12
31,PTO23,PT_GWB_PTO23,2006,75,75,75,75
86,PTO24,PT_GWB_PTO24,2006,45.74,42.48,49,45.74
37,PTO25,PT_GWB_PTO25,2006,1.22,0.84,1.6,1.22
81,PTO26,PT_GWB_PTO26,2006,3.785,3.72,3.85,3.785
87,PTO28,PT_GWB_PTO28,2006,0.785,0.52,1.3,0.66
20,PTO29,PT_GWB_PTO29,2006,19.0364,5.9,40,9.2
24,PTO3,PT_GWB_PTO3,2006,13.9571,4.7,24,11
17,PTO30,PT_GWB_PTO30,2006,5.15,3.2,6.6,5.4
18,PTO31,PT_GWB_PTO31,2006,5,3.2,6.7,5.05
8,PTO33,PT_GWB_PTO33,2006,21.2757,0.66,88.56,11.25
88,PTO4,PT_GWB_PTO4,2006,15,14,16,15
23,PTO6,PT_GWB_PTO6,2006,17.1556,2.4,76,5.3
26,PTO7,PT_GWB_PTO7,2006,9.5857,3.5,16,11
19,PTO8,PT_GWB_PTO8,2006,4.8,4.1,5.5,4.8
38,PTO9,PT_GWB_PTO9,2006,11.7225,3.63,29.64,10.5
44,PTT1,PT_GWB_PTT1,2006,7.3043,0.66,40,1.9
45,PTT3,PT_GWB_PTT3,2006,7.6764,0.66,163.87,2.66
13,PTT6,PT_GWB_PTT6,2006,1.522,0.04,5.36,0.595
46,PTT7,PT_GWB_PTT7,2006,75.128,1,130,92.065
Look_into_this,PT001,PT_GWB_PT001,2007,17.33333,12,25,17.5
Look_into_this,PT002,PT_GWB_PT002,2007,47.576,1.06,120,53.5
Look_into_this,PT003,PT_GWB_PT003,2007,5.76556,0.83,21.22,1.95
Look_into_this,PT004,PT_GWB_PT004,2007,4.86774,0.83,42,2.08
Look_into_this,PT005,PT_GWB_PT005,2007,10.75,6.3,15,10.1
Look_into_this,PT006,PT_GWB_PT006,2007,56.5,27,87,55
Look_into_this,PT007,PT_GWB_PT007,2007,19.70429,3.01,61,10.81
Look_into_this,PT008,PT_GWB_PT008,2007,12.0825,1.99,18.56,13.8
Look_into_this,PT009,PT_GWB_PT009,2007,55.14286,1,161,38
Look_into_this,PT010,PT_GWB_PT010,2007,6.05,2.5,13,4.5
1,PTA0x1RH1,PT_GWB_PTA0x1RH1,2007,11.96667,4.7,25.1,5.6
54,PTA0x1RH2,PT_GWB_PTA0x1RH2,2007,5.06667,1,15.4,1
3,PTA0x1RH3,PT_GWB_PTA0x1RH3,2007,2.9625,1,9.5,2.8
6,PTA0x1RH4,PT_GWB_PTA0x1RH4,2007,23.5625,1,79,15.875
85,PTA0x1RH5,PT_GWB_PTA0x1RH5,2007,9.55,1,40,4.725
39,PTA0x1RH6,PT_GWB_PTA0x1RH6,2007,8.5,1,17,8.5
40,PTA0x1RH7,PT_GWB_PTA0x1RH7,2007,26.75,1,53,29
73,PTA0x1RH8,PT_GWB_PTA0x1RH8,2007,7.875,5.4,11,7.875
5,PTA0x2RH1,PT_GWB_PTA0x2RH1,2007,54.275,1,208,54.275
7,PTA0x2RH4,PT_GWB_PTA0x2RH4,2007,2.99,1,16,1
52,PTA0x4RH2,PT_GWB_PTA0x4RH2,2007,109.2,45.6,236.1,80.65
41,PTA0z1RH6,PT_GWB_PTA0z1RH6,2007,0.2875,0.09,0.66,0.2875
42,PTA0z1RH7,PT_GWB_PTA0z1RH7,2007,2.826,0.5,10.6,0.665
93,PTA0z2RH6,PT_GWB_PTA0z2RH6,2007,1.06,1.06,1.06,1.06
55,PTA10,PT_GWB_PTA10,2007,25.5,17,33,26.5
64,PTA11,PT_GWB_PTA11,2007,33.7,22,50,30.5
10,PTA12,PT_GWB_PTA12,2007,1,1,1,1
28,PTA2,PT_GWB_PTA2,2007,10.75,6.3,15,10.1
30,PTA3,PT_GWB_PTA3,2007,27.73889,1,75,28.5
32,PTA4,PT_GWB_PTA4,2007,34.46429,11,116,25.75
90,PTA5,PT_GWB_PTA5,2007,43.6375,9.1,73,43.5
56,PTA6,PT_GWB_PTA6,2007,13.9,1,21,17.5
59,PTA9,PT_GWB_PTA9,2007,56.5,27,87,55
61,PTM03RH8,PT_GWB_PTM03RH8,2007,3.5,0.5,6.5,3.5
62,PTM1,PT_GWB_PTM1,2007,20.5,20,21,20.5
70,PTM10,PT_GWB_PTM10,2007,37.34,2.4,65,39.5
71,PTM11,PT_GWB_PTM11,2007,39.5,36,43,39.5
Look_into_this,PTM12,PT_GWB_PTM12,2007,62.05833,2.9,153,67.75
68,PTM13,PT_GWB_PTM13,2007,8.5,3.4,16,7.1
78,PTM14,PT_GWB_PTM14,2007,6.65,6.4,6.9,6.65
47,PTM15,PT_GWB_PTM15,2007,60.33333,30,81,71
69,PTM16,PT_GWB_PTM16,2007,30.93333,4,65,24
49,PTM17,PT_GWB_PTM17,2007,15,12,18,15
75,PTM2,PT_GWB_PTM2,2007,17.33333,12,25,17.5
77,PTM3,PT_GWB_PTM3,2007,20.25,18,23,20.25
82,PTM4,PT_GWB_PTM4,2007,31.66667,14,38,37
65,PTM5,PT_GWB_PTM5,2007,6.05,2.5,13,4.5
83,PTM6,PT_GWB_PTM6,2007,20.83333,10,32,20.5
84,PTM7,PT_GWB_PTM7,2007,24.33333,21,29,23
72,PTM8,PT_GWB_PTM8,2007,10.98333,1.8,21,9.05
76,PTM9,PT_GWB_PTM9,2007,38.75,11,99,23.75
33,PTO01RH5,PT_GWB_PTO01RH5,2007,20,20,20,20
91,PTO02RH4,PT_GWB_PTO02RH4,2007,1.85,1,2.7,1.85
Look_into_this,PTO04RH4,PT_GWB_PTO04RH4,2007,18.56,15.9,21.22,18.56
27,PTO1,PT_GWB_PTO1,2007,33.59615,1,161,21.5
9,PTO10,PT_GWB_PTO10,2007,6.35,1,18,4.1
35,PTO11,PT_GWB_PTO11,2007,6.3375,1,12,6.175
15,PTO12,PT_GWB_PTO12,2007,3.18611,1,13,1.625
51,PTO14,PT_GWB_PTO14,2007,3.25,1,5.7,3.25
74,PTO15,PT_GWB_PTO15,2007,10.016,1,18.56,10.81
63,PTO19,PT_GWB_PTO19,2007,9.76125,1,18.56,10.075
21,PTO2,PT_GWB_PTO2,2007,7.44091,1,43,1
29,PTO20,PT_GWB_PTO20,2007,15.42923,1,61,11.4
31,PTO23,PT_GWB_PTO23,2007,61.98,61.98,61.98,61.98
86,PTO24,PT_GWB_PTO24,2007,35.84,22.99,48.69,35.84
37,PTO25,PT_GWB_PTO25,2007,0.84,0.84,0.84,0.84
81,PTO26,PT_GWB_PTO26,2007,1.695,0.78,2.61,1.695
87,PTO28,PT_GWB_PTO28,2007,1.2775,0.83,2.3,1.2775
20,PTO29,PT_GWB_PTO29,2007,15.76,5.3,33,9.1
24,PTO3,PT_GWB_PTO3,2007,6.8375,1,12,7.175
17,PTO30,PT_GWB_PTO30,2007,4.35,1,6.4,5.85
18,PTO31,PT_GWB_PTO31,2007,5.06667,3.5,7.3,4.75
Look_into_this,PTO32,PT_GWB_PTO32,2007,18.2875,11.8,29,18.5
8,PTO33,PT_GWB_PTO33,2007,19.2,0.8,86,13.79
88,PTO4,PT_GWB_PTO4,2007,11.5,10,13,11.5
25,PTO5,PT_GWB_PTO5,2007,1,1,1,1
23,PTO6,PT_GWB_PTO6,2007,15.875,1,94,8.5
26,PTO7,PT_GWB_PTO7,2007,7.8875,1,15,8.775
19,PTO8,PT_GWB_PTO8,2007,3.85,3.7,4,3.85
38,PTO9,PT_GWB_PTO9,2007,10.86667,2.3,30,9.775
44,PTT1,PT_GWB_PTT1,2007,4.89636,0.83,21.22,1.13
45,PTT3,PT_GWB_PTT3,2007,5.36484,0.83,42,2.09
13,PTT6,PT_GWB_PTT6,2007,2.026,0.22,5.9,1.64
46,PTT7,PT_GWB_PTT7,2007,66.95,3.5,120,54
Look_into_this,PT002,PT_GWB_PT002,2008,44.741,1.15,128.43,34.5
Look_into_this,PT003,PT_GWB_PT003,2008,5.48667,0.84,21.66,1.33
Look_into_this,PT004,PT_GWB_PT004,2008,4.72,0.84,40.71,1.8475
Look_into_this,PT005,PT_GWB_PT005,2008,11,9.2,13,11
Look_into_this,PT006,PT_GWB_PT006,2008,50.16,26,82,45
Look_into_this,PT007,PT_GWB_PT007,2008,17.11929,2.84,48.69,16.125
Look_into_this,PT008,PT_GWB_PT008,2008,11.36375,2.35,19.89,12.0275
Look_into_this,PT009,PT_GWB_PT009,2008,67.44286,1,160,51
Look_into_this,PT010,PT_GWB_PT010,2008,6.3,2,12,4.8
1,PTA0x1RH1,PT_GWB_PTA0x1RH1,2008,11.16667,5,24,5.65
54,PTA0x1RH2,PT_GWB_PTA0x1RH2,2008,5.78333,1,15,2.4
3,PTA0x1RH3,PT_GWB_PTA0x1RH3,2008,2.0625,1,4.7,1.275
6,PTA0x1RH4,PT_GWB_PTA0x1RH4,2008,22.8,1,63,14.6
85,PTA0x1RH5,PT_GWB_PTA0x1RH5,2008,12.82308,1,58,4.8
39,PTA0x1RH6,PT_GWB_PTA0x1RH6,2008,8.5,1,16,8.5
40,PTA0x1RH7,PT_GWB_PTA0x1RH7,2008,17.375,1,35,17
5,PTA0x2RH1,PT_GWB_PTA0x2RH1,2008,12.75,1,35.6,3.3
7,PTA0x2RH4,PT_GWB_PTA0x2RH4,2008,1.87,1,4.5,1
52,PTA0x4RH2,PT_GWB_PTA0x4RH2,2008,71.91111,4.8,224,59.53333
41,PTA0z1RH6,PT_GWB_PTA0z1RH6,2008,1.505,0.22,2.79,1.505
42,PTA0z1RH7,PT_GWB_PTA0z1RH7,2008,5.82333,0.27,13.7,3.5
93,PTA0z2RH6,PT_GWB_PTA0z2RH6,2008,2.88,1.2,4.56,2.88
55,PTA10,PT_GWB_PTA10,2008,22.375,13,33,22
64,PTA11,PT_GWB_PTA11,2008,31.25,22,48,27.5
10,PTA12,PT_GWB_PTA12,2008,2.1,2.1,2.1,2.1
28,PTA2,PT_GWB_PTA2,2008,11,9.2,13,11
30,PTA3,PT_GWB_PTA3,2008,25.96111,1,83,17.5
32,PTA4,PT_GWB_PTA4,2008,32.10714,12,105,22.75
90,PTA5,PT_GWB_PTA5,2008,43.5,15,72,43.25
56,PTA6,PT_GWB_PTA6,2008,14.66667,1,24,15
59,PTA9,PT_GWB_PTA9,2008,50.16,26,82,45
65,PTM5,PT_GWB_PTM5,2008,6.3,2,12,4.8
33,PTO01RH5,PT_GWB_PTO01RH5,2008,7.93,4.83,11.03,7.93
91,PTO02RH4,PT_GWB_PTO02RH4,2008,1.7,1,2.4,1.7
Look_into_this,PTO04RH4,PT_GWB_PTO04RH4,2008,21.445,20.78,22.11,21.445
27,PTO1,PT_GWB_PTO1,2008,39.72692,1,160,15.1
9,PTO10,PT_GWB_PTO10,2008,7.43333,1,18,4.3
35,PTO11,PT_GWB_PTO11,2008,7.25,1,15,7.85
15,PTO12,PT_GWB_PTO12,2008,3.82857,1,14,1
51,PTO14,PT_GWB_PTO14,2008,5.2,1,10,5.2
74,PTO15,PT_GWB_PTO15,2008,9.581,2.35,19.89,10.585
63,PTO19,PT_GWB_PTO19,2008,9.42375,1,25,8.4
21,PTO2,PT_GWB_PTO2,2008,7.31818,1,36,1
29,PTO20,PT_GWB_PTO20,2008,13.99423,1,48.69,12.14
86,PTO24,PT_GWB_PTO24,2008,30.3,18.56,42.04,30.3
37,PTO25,PT_GWB_PTO25,2008,0.84,0.84,0.84,0.84
81,PTO26,PT_GWB_PTO26,2008,2.61,2.22,3,2.61
87,PTO28,PT_GWB_PTO28,2008,1.345,1.29,1.4,1.345
20,PTO29,PT_GWB_PTO29,2008,16.05,5.4,31,12
24,PTO3,PT_GWB_PTO3,2008,8.575,2.4,14,8.75
17,PTO30,PT_GWB_PTO30,2008,4.25,1,6.6,5.4
18,PTO31,PT_GWB_PTO31,2008,5.28333,4,6.5,5.5
Look_into_this,PTO32,PT_GWB_PTO32,2008,11.24,2.3,18,12.5
8,PTO33,PT_GWB_PTO33,2008,11.3725,0.84,24.76,9.5
88,PTO4,PT_GWB_PTO4,2008,13.5,13,14,13.5
25,PTO5,PT_GWB_PTO5,2008,1,1,1,1
23,PTO6,PT_GWB_PTO6,2008,7.1,1,20,3.5
26,PTO7,PT_GWB_PTO7,2008,7.325,1,17,6.65
19,PTO8,PT_GWB_PTO8,2008,4.55,3.8,5.3,4.55
38,PTO9,PT_GWB_PTO9,2008,9.50833,1.64,18,8.7
12,PTT01RH6,PT_GWB_PTT01RH6,2008,1,1,1,1
44,PTT1,PT_GWB_PTT1,2008,5.41182,0.84,21.66,1.55
45,PTT3,PT_GWB_PTT3,2008,5.21033,0.84,40.71,1.89
13,PTT6,PT_GWB_PTT6,2008,2.148,0.27,4.16,1.77
46,PTT7,PT_GWB_PTT7,2008,55.53875,8.5,128.43,43.81
Look_into_this,PT001,PT_GWB_PT001,2009,16.33333,12,24,15.5
Look_into_this,PT002,PT_GWB_PT002,2009,21.2405,0.443,41,23
Look_into_this,PT003,PT_GWB_PT003,2009,9.86435,0.443,24.808,4.1
Look_into_this,PT004,PT_GWB_PT004,2009,2.17386,0.443,14,1.329
Look_into_this,PT006,PT_GWB_PT006,2009,45.25,15,72,47
Look_into_this,PT007,PT_GWB_PT007,2009,14.31998,3.5883,37.212,8.30625
Look_into_this,PT008,PT_GWB_PT008,2009,11.86955,2.215,22,14.176
Look_into_this,PT010,PT_GWB_PT010,2009,5.59,2.3,11,4.5
1,PTA0x1RH1,PT_GWB_PTA0x1RH1,2009,4.525,3.2,6,4.525
54,PTA0x1RH2,PT_GWB_PTA0x1RH2,2009,1,1,1,1
3,PTA0x1RH3,PT_GWB_PTA0x1RH3,2009,1.9,1,4.7,1.275
6,PTA0x1RH4,PT_GWB_PTA0x1RH4,2009,21.2,5.6,52,6
85,PTA0x1RH5,PT_GWB_PTA0x1RH5,2009,2.0303,1.8606,2.2,2.0303
39,PTA0x1RH6,PT_GWB_PTA0x1RH6,2009,10.6,1,22,10.6
40,PTA0x1RH7,PT_GWB_PTA0x1RH7,2009,20.25,1,37,21.5
73,PTA0x1RH8,PT_GWB_PTA0x1RH8,2009,8.725,6.8,11,8.725
5,PTA0x2RH1,PT_GWB_PTA0x2RH1,2009,2.2,1,4.6,2.2
52,PTA0x4RH2,PT_GWB_PTA0x4RH2,2009,75.61944,31,138,56.225
41,PTA0z1RH6,PT_GWB_PTA0z1RH6,2009,1,1,1,1
42,PTA0z1RH7,PT_GWB_PTA0z1RH7,2009,5.12167,0.5,26,2.64
14,PTA0z1RH8,PT_GWB_PTA0z1RH8,2009,6.8,2.6,11,6.8
93,PTA0z2RH6,PT_GWB_PTA0z2RH6,2009,1,1,1,1
55,PTA10,PT_GWB_PTA10,2009,22.625,13,32,22.5
64,PTA11,PT_GWB_PTA11,2009,29.75,21,43,28.5
32,PTA4,PT_GWB_PTA4,2009,16.66667,11,24,15
90,PTA5,PT_GWB_PTA5,2009,48.875,13,80,50
56,PTA6,PT_GWB_PTA6,2009,13.95,1,25,14
59,PTA9,PT_GWB_PTA9,2009,45.25,15,72,47
61,PTM03RH8,PT_GWB_PTM03RH8,2009,3.45,0.5,6.5,3.45
62,PTM1,PT_GWB_PTM1,2009,20.5,20,21,20.5
70,PTM10,PT_GWB_PTM10,2009,36.92,1.6,74,35
71,PTM11,PT_GWB_PTM11,2009,36,34,38,36
Look_into_this,PTM12,PT_GWB_PTM12,2009,64.58333,4,143,72.75
68,PTM13,PT_GWB_PTM13,2009,5.95,0.5,15,5.6
