CAA_ID,Muni_ID,Full_ID,Muni,uaa09,poly_sum,poly_corr,lf09
176,104,1160104,AROUCA,4457,5604,28,18.75
177,104,1160104,AROUCA,4457,5604,60,14.06
178,104,1160104,AROUCA,4457,5604,495,14.6
179,104,1160104,AROUCA,4457,5604,2,18.75
180,104,1160104,AROUCA,4457,5604,28,18.75
181,104,1160104,AROUCA,4457,5604,0,18.75
182,104,1160104,AROUCA,4457,5604,0,18.75
183,104,1160104,AROUCA,4457,5604,27,18.75
184,104,1160104,AROUCA,4457,5604,40,18.75
185,104,1160104,AROUCA,4457,5604,250,17.14
186,104,1160104,AROUCA,4457,5604,34,18.75
187,104,1160104,AROUCA,4457,5604,63,14.58
188,104,1160104,AROUCA,4457,5604,218,12.78
189,104,1160104,AROUCA,4457,5604,91,14.23
190,104,1160104,AROUCA,4457,5604,224,14.99
191,104,1160104,AROUCA,4457,5604,1266,12.41
192,104,1160104,AROUCA,4457,5604,103,17.26
193,104,1160104,AROUCA,4457,5604,332,14.27
194,104,1160104,AROUCA,4457,5604,26,12.5
195,104,1160104,AROUCA,4457,5604,28,18.75
196,104,1160104,AROUCA,4457,5604,82,12.5
197,104,1160104,AROUCA,4457,5604,37,18.75
198,104,1160104,AROUCA,4457,5604,95,12.5
199,104,1160104,AROUCA,4457,5604,165,14.27
200,104,1160104,AROUCA,4457,5604,26,12.5
201,104,1160104,AROUCA,4457,5604,52,12.5
202,104,1160104,AROUCA,4457,5604,27,18.3
203,104,1160104,AROUCA,4457,5604,35,12.5
204,104,1160104,AROUCA,4457,5604,50,13.8
205,104,1160104,AROUCA,4457,5604,1,12.5
206,104,1160104,AROUCA,4457,5604,81,12.94
207,104,1160104,AROUCA,4457,5604,59,16.1
208,104,1160104,AROUCA,4457,5604,111,12.99
209,104,1160104,AROUCA,4457,5604,34,6.55
210,104,1160104,AROUCA,4457,5604,30,6.75
211,105,1610105,AVEIRO,2424,4880,140,18.75
212,105,1610105,AVEIRO,2424,4880,16,7.81
213,105,1610105,AVEIRO,2424,4880,63,18.63
214,105,1610105,AVEIRO,2424,4880,945,12.63
215,105,1610105,AVEIRO,2424,4880,20,13.05
216,105,1610105,AVEIRO,2424,4880,50,11.33
217,105,1610105,AVEIRO,2424,4880,19,6.85
