Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip,microaspersion,SUM
705,1830705,�vora,226.884,521.22,2642.892,374.052,2366.952,0,0,6132
706,1830706,Montemor-o-Novo,4.592,776.048,987.28,335.216,2484.272,0,4.592,4592
708,1830708,Mour�o,0,1.276,518.694,8.932,109.736,0,0,638
709,1830709,Portel,2.43,26.73,1477.44,218.7,704.7,0,0,2430
710,1830710,Redondo,5.768,4.326,1117.55,8.652,305.704,0,0,1442
711,1830711,Reguengos de Monsaraz,3.054,27.486,1397.205,44.283,51.918,0,3.054,1527
1215,1831215,Sousel,0,1.732,1363.084,20.784,346.4,0,0,1732
712,1830712,Vendas Novas,33.104,434.49,517.25,24.828,1024.155,0,31.035,2069
713,1830713,Viana do Alentejo,1.484,99.428,427.392,230.02,725.676,0,1.484,1484
714,1830714,Vila Vi�osa,0,5.7,332.88,7.98,33.82,0,0,380
201,1840201,Aljustrel,17.845,0,2576.818,171.312,803.025,0,0,3569
202,1840202,Almod�var,3.02,2.567,113.552,0,31.861,0,0,151
203,1840203,Alvito,4.746,44.07,475.278,4.746,121.362,0,27.798,678
204,1840204,Barrancos,0,4.2,2.8,0,0,0,0,7
205,1840205,Beja,0,27.068,5197.056,250.379,1285.73,0,0,6767
206,1840206,Castro Verde,3.248,4.466,351.19,18.676,28.42,0,0.812,406
207,1840207,Cuba,1.451,53.687,581.851,266.984,547.027,0,0,1451
208,1840208,Ferreira do Alentejo,56.574,258.624,6400.944,703.134,622.314,0,40.41,8082
209,1840209,M�rtola,0,15.15,555.096,0,36.36,0,0,606
210,1840210,Moura,0,9.492,1281.42,6.78,55.596,0,4.068,1356
212,1840212,Ourique,183.353,36.468,90.157,12.156,687.827,0,2.026,1013
213,1840213,Serpa,0,2.187,1931.121,15.309,238.383,0,0,2187
214,1840214,Vidigueira,0,19.044,1980.576,4.232,107.916,0,2.116,2116
1403,1851403,Almeirim,67.626,338.13,2464.592,7.514,845.325,0,33.813,3757
1404,1851404,Alpiar�a,108.655,66.595,2414.945,0,900.785,0,21.03,3505
1103,1851103,Azambuja,205.257,630.175,2171.403,39.611,550.953,0,0,3601
1405,1851405,Benavente,113.729,6547.541,3931.774,259.952,5377.757,0,0,16247
1406,1851406,Cartaxo,263.33,71.254,2035.386,46.47,681.56,0,0,3098
1407,1851407,Chamusca,572.468,850.2,2295.54,79.352,1842.1,0,28.34,5668
1409,1851409,Coruche,557.032,3546.816,2614.64,204.624,4388.048,0,56.84,11368
1412,1851412,Goleg�,787.78,6.62,1122.09,13.24,1383.58,0,0,3310
1414,1851414,Rio Maior,14.8,10.36,1007.88,131.72,315.24,0,0,1480
1415,1851415,Salvaterra de Magos,175.528,574.024,1703.096,28.464,2258.144,0,4.744,4744
1416,1851416,Santar�m,691.53,186.48,4055.94,590.52,2175.6,0,62.16,7770
801,1500801,Albufeira,3.462,85.396,837.804,12.694,0,0,214.644,1154
802,1500802,Alcoutim,5.74,40.18,241.08,0,0,0,0,287
803,1500803,Aljezur,333.04,383.72,97.016,518.384,115.84,0,0,1448
