Muni_ID,ID,Muni,atmn,sludge,fertiliser,gross_manure,bnf,residues,irrigation
1303,1151303,Felgueiras,1.5,1.088266175,94.6,111.7,0.1,0.5,
1305,1151305,Lousada,1.5,0.607846481,126.7,76.3,0.3,2.2,
1307,1151307,Marco de Canaveses,0.9,3.349965517,67.4,39.8,1.7,1.7,
1705,1151705,Mondim de Basto,1.4,0,24,24.5,3.8,0.5,
1309,1151309,Paços de Ferreira,1,10.1177206,120.9,155.6,0.5,2.7,
1310,1151310,Paredes,0.9,0,106.1,95.1,0.4,2.6,
1311,1151311,Penafiel,0.9,4.45427286,93.6,66.8,0.3,2.4,
1813,1151813,Resende,1.4,0.310533216,35.2,26,1.4,0.1,
1709,1151709,Ribeira de Pena,1.5,0.003605545,21.1,33.7,3.9,0.4,
104,1160104,Arouca,0.8,0,53.5,109.5,2.7,1.1,
113,1160113,Oliveira de Azeméis,0.6,1.740078832,151,397.7,0.2,2.7,
109,1160109,Santa Maria da Feira,0.4,0.016888659,149.8,183.6,0.7,3.5,
116,1160116,São João da Madeira,0,0,0,0,0,0,
119,1160119,Vale de Cambra,0.8,0,37.3,97.1,3.3,1.3,
1701,1171701,Alijó,1.1,0.095992547,16.1,7.8,0.4,0,
1801,1171801,Armamar,1.7,0.184591778,20.6,4.2,0.1,0,
403,1170403,Carrazeda de Ansiães,0.8,0.01056673,22.4,11.3,0.4,0.1,
404,1170404,Freixo de Espada à Cinta,1.1,0,21.4,7.8,0.8,0.1,
1805,1171805,Lamego,1.5,0.529578976,14,10.4,1,0.1,
1704,1171704,Mesão Frio,1.9,0,0.8,2.5,0,0,
1807,1171807,Moimenta da Beira,0.8,0.716537133,12,71.5,1,0.3,
1812,1171812,Penedono,1,0,58.2,22.2,1.1,0.1,
1708,1171708,Peso da Régua,2,1.599225807,14.4,4.1,0.1,0,
1710,1171710,Sabrosa,1.3,0.081269854,5.9,60.3,1.2,0,
1711,1171711,Santa Marta de Penaguião,2.4,0,13.8,3.6,0.6,0,
1815,1171815,São João da Pesqueira,1.8,0.112965697,23,2.7,0.3,0.1,
1818,1171818,Sernancelhe,0.8,0,26.9,48.3,1.8,0.3,
1819,1171819,Tabuaço,1.2,0.151472454,28.1,6.4,0.3,0.1,
1820,1171820,Tarouca,0.9,1.042251029,16,80.6,0.6,0.2,
409,1170409,Torre de Moncorvo,1,0.409290037,18.3,17.9,0.8,0,
410,1170410,Vila Flor,1.3,0,29.8,8.3,0.5,0,
914,1170914,Vila Nova de Foz Côa,1.2,0,19.3,4,0.4,0,
1714,1171714,Vila Real,1.2,1.330290509,6.2,42.8,2.8,0.2,
401,1180401,Alfândega da Fé,1.4,0,30,8.8,0.5,0,
1702,1181702,Boticas,1.8,0,8.7,31.8,3.8,0.2,
402,1180402,Bragança,1.2,0.15091792,34.2,19.5,1.2,0.1,
1703,1181703,Chaves,1.3,0.361529465,26.4,56.9,1.2,0.7,
405,1180405,Macedo de Cavaleiros,1.2,0.164109506,31.5,25.9,0.8,0.1,
406,1180406,Miranda do Douro,1.7,0,12.4,27.7,1.6,0.1,
407,1180407,Mirandela,1.4,0.369596195,28.3,20.7,0.4,0.1,
408,1180408,Mogadouro,1.6,0,20.1,27.8,1,0.2,
1706,1181706,Montalegre,3.1,0.005493794,5.3,18.2,4.2,0.2,
1707,1181707,Murça,1,0.146991447,12.2,13.6,0.5,0,
1712,1181712,Valpaços,1.6,0.050227738,44.6,15.8,0.6,0.2,
1713,1181713,Vila Pouca de Aguiar,1.1,0,10.8,51.6,3.4,0.3,
411,1180411,Vimioso,1.1,0.001443575,23.6,18.1,1.4,0.2,
412,1180412,Vinhais,1,0.001407701,45.7,25.6,2.5,0.3,
101,1610101,Águeda,0.3,0,66.5,235.5,0.5,4.5,
102,1610102,Albergaria-a-Velha,0.7,0,60.9,338.7,0.7,4.4,
103,1610103,Anadia,0.9,0.000776142,27.1,83.6,0.5,1.4,
105,1610105,Aveiro,0.6,12.2976861,107.9,83.8,1,4,
108,1610108,Estarreja,1.6,0,71.3,231.7,0.9,2.8,
110,1610110,Ílhavo,0.6,27.36289385,63.4,272.6,0.2,5,
111,1610111,Mealhada,0.9,0,15,181.4,0.3,1.7,
112,1610112,Murtosa,1,0,86.6,283.8,0.4,3,
114,1610114,Oliveira do Bairro,1.1,0.205164727,64.8,84.8,0.5,2.6,
115,1610115,Ovar,0.6,0.239973034,50.1,419,0.3,3,
117,1610117,Sever do Vouga,0.3,0,9,677.9,1.3,4.5,
118,1610118,Vagos,0.8,0,81,152.9,0.6,3.6,
602,1620602,Cantanhede,0.8,0,40.9,127.3,0.6,1.9,
603,1620603,Coimbra,1,7.50404051,103.4,36.1,0.6,4.5,
604,1620604,Condeixa-a-Nova,0.8,1.395291135,63.8,30.9,1.7,1.9,
605,1620605,Figueira da Foz,0.7,2.813039306,80.3,105.1,0.6,4.3,
608,1620608,Mira,0.4,0,42,293.6,0.6,2.8,
610,1620610,Montemor-o-Velho,2,0.007083474,107,106.6,0.6,4.8,
613,1620613,Penacova,0.2,1.146883249,78,76.2,0.1,0.3,
615,1620615,Soure,1,0.173956242,51.7,229.8,1.1,3.9,
1004,1631004,Batalha,0.5,0,16.7,247.9,1.2,1.3,
1009,1631009,Leiria,0.5,7.42157928,8.4,641.5,1,2.7,
1010,1631010,Marinha Grande,0,0,88.8,67,1.4,3.1,
1015,1631015,Pombal,0.4,2.262422525,41.5,222.8,0.3,0.1,
1016,1631016,Porto de Mós,0.7,0,12.9,349.2,3.6,0.2,
1002,1641002,Alvaiázere,0.5,0,38.1,81.6,1.6,0.3,
1003,1641003,Ansião,0.7,0.285401177,36.2,107,2,0.5,
601,1640601,Arganil,0.2,0,44.3,61.9,1.7,1.5,
1007,1641007,Castanheira de Pêra,0.1,0,41,73.2,1.5,0.5,
1008,1641008,Figueiró dos Vinhos,0.1,0,50.3,52.3,0.6,1,
606,1640606,Góis,0,0,58.5,236.4,2,1.9,
607,1640607,Lousã,0.2,0.42321685,15.2,198.4,1.5,1.6,
609,1640609,Miranda do Corvo,0.3,0,43.6,38.8,2.4,0.8,
611,1640611,Oliveira do Hospital,0.6,0.491070365,20.2,342.1,1.1,0.9,
612,1640612,Pampilhosa da Serra,0,0,40.4,43,0.7,0.4,
1013,1641013,Pedrógão Grande,0.2,0,56.2,35.7,1.1,0.8,
614,1640614,Penela,0.4,0,41.2,39.9,1.7,0.5,
616,1640616,Tábua,0.5,0,44.3,45.4,1.5,1.2,
617,1640617,Vila Nova de Poiares,0.2,0,55,52.4,9.1,2.6,
901,1650901,Aguiar da Beira,0.5,0,38.2,154.5,2.3,1.8,
1802,1651802,Carregal do Sal,0.6,0,17.6,114.2,0.8,1,
1803,1651803,Castro Daire,0.4,0,34.5,111.4,3.2,1.9,
1806,1651806,Mangualde,0.7,0,44.6,48,1.2,1.3,
1808,1651808,Mortágua,0.2,0,12.2,474.9,1.2,3.1,
1809,1651809,Nelas,1,0,19.4,66.9,0.9,0.5,
1810,1651810,Oliveira de Frades,0.7,0,12,724.2,1.8,4.3,
1811,1651811,Penalva do Castelo,0.8,0,45.2,34,1.4,1.6,
1814,1651814,Santa Comba Dão,0.6,0.052743376,7.8,291.1,2.1,1.1,
1816,1651816,São Pedro do Sul,0.6,0.968787828,25.6,225.6,2.7,2.7,
1817,1651817,Sátão,0.6,0,28.4,176.4,2,2.3,
1821,1651821,Tondela,0.7,0.132774323,12.6,251.4,1.6,1.7,
1822,1651822,Vila Nova de Paiva,0.4,0,9.3,247.1,2.1,1.5,
1823,1651823,Viseu,0.6,0.029039103,43.7,69.4,1.7,1.9,
1824,1651824,Vouzela,0.7,0,12.1,363.7,2.7,3,
1413,1661413,Mação,0.2,0,32.9,41,0.4,0.2,
506,1660506,Oleiros,0.1,0,41.4,108.3,0.5,0.2,
508,1660508,Proença-a-Nova,0.5,0,33.7,26.9,1,0.2,
509,1660509,Sertã,0.3,0,32.3,90.3,0.7,0.4,
510,1660510,Vila de Rei,0.1,0,29.9,91.9,1.3,0.3,
905,1670905,Fornos de Algodres,0.9,0,40.6,36.2,1.9,1.4,
906,1670906,Gouveia,0.9,0,15.5,27.7,1.9,0.2,
912,1670912,Seia,0.5,0,24.3,30.8,1.5,0.5,
902,1680902,Almeida,1.4,0.007552904,5.9,30.9,3,0.1,
903,1680903,Celorico da Beira,1.3,0,15.8,23,2.1,0.3,
904,1680904,Figueira de Castelo Rodrigo,1.7,0.00025074,17.2,15.6,2,0.1,
907,1680907,Guarda,1,0.451851951,8.2,29.6,3,0.2,
908,1680908,Manteigas,0.1,0,15,52.1,1.8,0.5,
909,1680909,Mêda,1.2,0,28.1,14.4,0,0.1,
910,1680910,Pinhel,1.3,0.012377286,11.5,24.7,1.9,0.2,
911,1680911,Sabugal,0.9,0.007780379,5.5,31.8,3.3,0.2,
913,1680913,Trancoso,1.2,0,27.4,26.2,2.5,0.3,
502,1690502,Castelo Branco,1.2,0,12.8,19.3,2.5,0.1,
505,1690505,Idanha-a-Nova,2.2,0,11.5,23.5,3,0.2,
507,1690507,Penamacor,0.8,0,22.2,23.8,2.1,0.2,
511,1690511,Vila Velha de Ródão,0.7,0,26.1,20.9,1.7,0.2,
501,16A0501,Belmonte,1.5,0.003736455,25.5,25,1.2,0.5,
503,16A0503,Covilhã,0.8,0.000818893,25.6,32.1,1.3,0.3,
504,16A0504,Fundão,1.4,0.109348321,25.8,24.5,1.4,0.3,
1001,16B1001,Alcobaça,1,0.537023182,48.8,211,6.6,0.8,
1101,16B1101,Alenquer,1.8,0.901619997,40.9,42.8,0.6,0.7,
1102,16B1102,Arruda dos Vinhos,1.8,0.537023182,31.7,53.2,1.1,0.6,
1005,16B1005,Bombarral,2.2,0.537023182,36.5,148.3,0.2,0.1,
1104,16B1104,Cadaval,1.4,0.537023182,44.9,67.7,0.3,0.1,
1006,16B1006,Caldas da Rainha,0.9,5.198802101,32.4,171.3,0.6,0.7,
1108,16B1108,Lourinhã,1.7,1.050669115,62.7,313.3,1.3,1.4,
1011,16B1011,Nazaré,0.6,2.696646547,89.5,138,2.6,1,
1012,16B1012,Óbidos,1,23.85266077,37.1,128.9,0.7,0.5,
1014,16B1014,Peniche,1.2,0.537023182,112.5,73.8,1.1,1.4,
1112,16B1112,Sobral de Monte Agraço,2.5,0.537023182,47.1,101.7,1,1.2,
1113,16B1113,Torres Vedras,1.7,1.012575255,39.4,123,0.8,1,
1401,16C1401,Abrantes,0.9,0.920971438,36.9,18.6,2.6,0.7,
1402,16C1402,Alcanena,1.8,0.537023182,37,36.8,7,0.2,
1408,16C1408,Constância,0.3,0.537023182,147.1,3.7,1.3,7,
1410,16C1410,Entroncamento,1.7,0.537023182,89.4,11.7,0.7,2.7,
1411,16C1411,Ferreira do Zêzere,0.6,0.537023182,0.7,609.2,0.6,0.2,
1421,16C1421,Ourém,0.6,6.055177302,9.9,306.3,0.9,1.5,
1417,16C1417,Sardoal,0.7,0.537023182,44.5,18.1,0.6,0.2,
1418,16C1418,Tomar,1,2.940492397,29.2,115.7,0.9,1.3,
1419,16C1419,Torres Novas,1.8,0.537023182,52.4,27.5,0.2,1.6,
1420,16C1420,Vila Nova da Barquinha,0.4,0.537023182,76.9,11.7,45.2,3.1,
1115,1711115,Amadora,0.1,0.537023182,10.7,23.6,3.9,0,
1105,1711105,Cascais,0.1,1.096484699,48.2,22.5,17,0.3,
1106,1711106,Lisboa,0,0.537023182,86.7,5.4,118,0.9,
1107,1711107,Loures,1.3,37.12824563,37.3,85,1.6,0.7,
1109,1711109,Mafra,1.6,3.211065194,47.9,101.4,1.2,1,
1116,1711116,Odivelas,1,0.537023182,2.3,39.3,3.1,0.3,
1110,1711110,Oeiras,0.1,40.93940513,59.1,3,7.1,0.6,
1111,1711111,Sintra,0.8,0.643979408,58.5,42.6,1.4,1.4,
1114,1711114,Vila Franca de Xira,2.1,1.738502906,108.6,22.5,2.2,3.1,
1502,1721502,Alcochete,1.4,0.537023182,35.9,40.3,2.9,0.5,
1503,1721503,Almada,0.3,194.7978902,85.6,55.8,2.9,0.8,
1504,1721504,Barreiro,0.2,0.537023182,29.9,96.2,2.2,0.5,
1506,1721506,Moita,0.8,0.537023182,23.3,227.7,1.8,0.3,
1507,1721507,Montijo,2.1,0.558108684,22.7,91.4,2.6,1.1,
1508,1721508,Palmela,3.2,0.543992792,23.2,50,2.3,0.5,
1510,1721510,Seixal,0.3,2.889284387,4.1,15.5,4.2,0,
1511,1721511,Sesimbra,0.4,51.61539453,6.4,14.2,2.7,0.2,
1512,1721512,Setúbal,0.6,0.537023182,17.4,26.6,15.2,9.6,
1501,1811501,Alcácer do Sal,2.9,0,15.6,21,2.9,0.5,
1505,1811505,Grândola,2.1,0.007028243,6.1,29.2,3.1,0.3,
211,1810211,Odemira,1.6,0,19.7,29.1,2.9,0.6,
1509,1811509,Santiago do Cacém,2.5,0,19.5,29.8,2.7,0.7,
1513,1811513,Sines,1.9,1.102179988,16.7,23.2,3.5,0.7,
1201,1821201,Alter do Chão,3.9,0,9.8,29.5,3.5,0.1,
1202,1821202,Arronches,3.2,0.009262963,14.3,33.8,3.2,0.3,
1203,1821203,Avis,3.4,0,18.3,21.8,3.2,0.3,
1204,1821204,Campo Maior,2.6,0,41.2,27.5,2.3,1,
1205,1821205,Castelo de Vide,3.1,0.039687425,15.7,24.3,9.6,0.1,
1206,1821206,Crato,2.8,0.012525036,6.3,34.6,4,0.1,
1207,1821207,Elvas,3.1,0.096163687,24.6,33.7,3.2,0.5,
1208,1821208,Fronteira,3.5,0,26,23.9,3,0.7,
1209,1821209,Gavião,2.1,0.002101359,4.2,11.8,4,0,
1210,1821210,Marvão,2.2,0.038257101,14.6,21.1,4.2,0,
1211,1821211,Monforte,3.5,0,12.1,38.6,3.7,0.3,
707,1820707,Mora,4.3,0,12,19.9,3.8,0.3,
1212,1821212,Nisa,2,0.068565493,8.9,20.8,4.1,0,
1213,1821213,Ponte de Sor,3.1,0.006736508,9.5,15,3.4,0.2,
1214,1821214,Portalegre,2.5,0.70914384,9,31.6,4.1,0.1,
701,1830701,Alandroal,3.1,0,14.9,26.8,3.3,0.4,
702,1830702,Arraiolos,3.6,0,11.8,34,3,0.4,
703,1830703,Borba,2.3,0,25.8,30.3,2.3,0.4,
704,1830704,Estremoz,3,0,19.7,23.4,2.3,0.4,
705,1830705,Évora,3.2,0,17.4,27.6,3,0.5,
706,1830706,Montemor-o-Novo,3.9,0.002132311,8.9,38,3.7,0.2,
708,1830708,Mourão,2.9,0,5.5,26.9,3.3,0,
709,1830709,Portel,2.5,2.458667294,9.3,34.1,3,0.4,
710,1830710,Redondo,3.3,0,16.9,28.7,2.8,0.4,
711,1830711,Reguengos de Monsaraz,2.3,0,20.7,20.5,2.4,0.4,
1215,1831215,Sousel,3.1,0.020282748,29.9,23,2.4,0.5,
712,1830712,Vendas Novas,3.3,0,9.6,48.8,3.7,0.2,
713,1830713,Viana do Alentejo,4.1,0,11.1,29.2,3.7,0.4,
714,1830714,Vila Viçosa,3.1,0.000932125,13.4,31.6,3.5,0.7,
201,1840201,Aljustrel,2.9,0,41.9,17.7,1.6,1.4,
202,1840202,Almodôvar,1.7,0,10.1,15.8,2.1,0.2,
203,1840203,Alvito,3.2,0.001042179,11.9,31.7,3.7,0.2,
204,1840204,Barrancos,3.3,0,2.9,31.8,4.4,0.2,
205,1840205,Beja,2.8,0.000741003,41.7,13.8,2.2,1.4,
206,1840206,Castro Verde,3,0.282996442,19.2,18.3,1.5,0.5,
207,1840207,Cuba,3.1,0,27.6,34.4,2.6,0.7,
208,1840208,Ferreira do Alentejo,3,0,39.7,17.3,2.2,1.3,
209,1840209,Mértola,2.3,0,9.2,14,3.7,0.3,
210,1840210,Moura,2.9,0,24,20.9,2.6,0.4,
212,1840212,Ourique,2.5,0,14.4,25.4,3.2,0.5,
213,1840213,Serpa,2.7,0,30.1,18.4,2.6,0.6,
214,1840214,Vidigueira,2.6,0.004062697,34,14.1,1.9,0.7,
1403,1851403,Almeirim,2.1,0.559363234,84.4,4.8,0.5,1.5,
1404,1851404,Alpiarça,2.5,0.537023182,108.6,7,1,3.5,
1103,1851103,Azambuja,2.1,0.614177687,53.4,41.5,1.7,1.1,
1405,1851405,Benavente,2.7,0.687148767,47.4,70.8,2.4,1.2,
1406,1851406,Cartaxo,2.1,0.537023182,76,176.8,0.7,1.9,
1407,1851407,Chamusca,2,0.570430357,35.4,16.7,3.1,1.4,
1409,1851409,Coruche,2.4,0.566342805,28.9,22.3,2.9,0.1,
1412,1851412,Golegã,3.6,0.597484092,217.1,3.3,0.2,11.7,
1414,1851414,Rio Maior,1.7,0.537023182,11.4,151.8,1.8,0.8,
1415,1851415,Salvaterra de Magos,1.6,0.538801443,92.4,40,2.9,2.8,
1416,1851416,Santarém,2.1,1.036224216,55.1,72.4,0.9,2,
801,1500801,Albufeira,0.8,14.04819465,76.2,10.2,0.5,0.1,
802,1500802,Alcoutim,0.7,0,23,7,1,0,
803,1500803,Aljezur,0.4,0.431081458,23.1,33,2.4,0.5,
804,1500804,Castro Marim,0.8,0,39.9,12.1,2.1,0,
805,1500805,Faro,0.7,0,102,6.6,0.3,0,
806,1500806,Lagoa,0.6,2.706280999,22.2,25.4,0.6,0,
807,1500807,Lagos,0.3,5.111870564,33.5,24.6,1.3,0.3,
808,1500808,Loulé,0.6,3.560443834,64,7.4,1,0,
809,1500809,Monchique,0.2,0,29.5,54.3,2.1,0.4,
810,1500810,Olhão,0.6,1.857412489,105.5,4.9,0,0,
811,1500811,Portimão,0.4,0,48.8,33.3,1.9,0.1,
812,1500812,São Brás de Alportel,0.7,0,30.5,2.8,0.3,0,
813,1500813,Silves,0.6,0.521429798,80.3,14.8,1.2,0.1,
814,1500814,Tavira,0.5,1.232637185,62.1,4.5,0.7,0,
815,1500815,Vila do Bispo,0.6,0.09901958,12.6,21.3,2.4,0.2,
816,1500816,Vila Real de Santo António,0.6,0,33.8,8,0.8,0.1,
