Muni_ID,ID,Muni,UAA99
114,1610114,Oliveira do Bairro,2479
115,1610115,Ovar,1900
117,1610117,Sever do Vouga,912
118,1610118,Vagos,3513
602,1620602,Cantanhede,8464
603,1620603,Coimbra,6492
604,1620604,Condeixa-a-Nova,2933
605,1620605,Figueira da Foz,6785
608,1620608,Mira,1770
610,1620610,Montemor-o-Velho,9108
613,1620613,Penacova,1319
615,1620615,Soure,6498
1004,1631004,Batalha,2134
1009,1631009,Leiria,8343
1010,1631010,Marinha Grande,287
1015,1631015,Pombal,7618
1016,1631016,Porto de Mós,6009
1002,1641002,Alvaiázere,2024
1003,1641003,Ansião,3240
601,1640601,Arganil,1549
1007,1641007,Castanheira de Pêra,86
1008,1641008,Figueiró dos Vinhos,678
606,1640606,Góis,559
607,1640607,Lousã,578
609,1640609,Miranda do Corvo,995
611,1640611,Oliveira do Hospital,4188
612,1640612,Pampilhosa da Serra,377
1013,1641013,Pedrógão Grande,614
614,1640614,Penela,1766
616,1640616,Tábua,2243
617,1640617,Vila Nova de Poiares,482
901,1650901,Aguiar da Beira,3898
1802,1651802,Carregal do Sal,1760
1803,1651803,Castro Daire,4444
1806,1651806,Mangualde,5009
1808,1651808,Mortágua,1282
1809,1651809,Nelas,2843
1810,1651810,Oliveira de Frades,1863
1811,1651811,Penalva do Castelo,3492
1814,1651814,Santa Comba Dão,1556
1816,1651816,São Pedro do Sul,3355
1817,1651817,Sátão,3441
1821,1651821,Tondela,5849
1822,1651822,Vila Nova de Paiva,2447
1823,1651823,Viseu,8143
1824,1651824,Vouzela,2550
1413,1661413,Mação,3080
506,1660506,Oleiros,2534
508,1660508,Proença-a-Nova,4291
509,1660509,Sertã,3694
510,1660510,Vila de Rei,661
905,1670905,Fornos de Algodres,3813
906,1670906,Gouveia,7871
912,1670912,Seia,7654
902,1680902,Almeida,24429
903,1680903,Celorico da Beira,11494
904,1680904,Figueira de Castelo Rodrigo,29339
907,1680907,Guarda,25446
908,1680908,Manteigas,1129
909,1680909,Mêda,11518
910,1680910,Pinhel,24096
911,1680911,Sabugal,27611
913,1680913,Trancoso,13299
502,1690502,Castelo Branco,56435
505,1690505,Idanha-a-Nova,90778
507,1690507,Penamacor,14329
511,1690511,Vila Velha de Ródão,7530
501,16A0501,Belmonte,6694
503,16A0503,Covilhã,14023
504,16A0504,Fundão,27228
1001,16B1001,Alcobaça,10031
1101,16B1101,Alenquer,14806
1102,16B1102,Arruda dos Vinhos,3717
1005,16B1005,Bombarral,5635
1104,16B1104,Cadaval,6502
1006,16B1006,Caldas da Rainha,7486
1108,16B1108,Lourinhã,7299
1011,16B1011,Nazaré,1099
1012,16B1012,Óbidos,4554
1014,16B1014,Peniche,3133
1112,16B1112,Sobral de Monte Agraço,3384
1113,16B1113,Torres Vedras,16759
1401,16C1401,Abrantes,15614
1402,16C1402,Alcanena,3876
1408,16C1408,Constância,1050
1410,16C1410,Entroncamento,176
1411,16C1411,Ferreira do Zêzere,3907
1421,16C1421,Ourém,6511
1417,16C1417,Sardoal,1353
1418,16C1418,Tomar,7904
1419,16C1419,Torres Novas,10306
1420,16C1420,Vila Nova da Barquinha,692
1115,1711115,Amadora,293
1105,1711105,Cascais,534
1106,1711106,Lisboa,0
1107,1711107,Loures,5921
1109,1711109,Mafra,10022
1116,1711116,Odivelas,304
1110,1711110,Oeiras,1071
1111,1711111,Sintra,7802
1114,1711114,Vila Franca de Xira,9800
1502,1721502,Alcochete,3675
1503,1721503,Almada,538
1504,1721504,Barreiro,241
1506,1721506,Moita,1933
1507,1721507,Montijo,16604
1508,1721508,Palmela,23303
1510,1721510,Seixal,999
1511,1721511,Sesimbra,2604
1512,1721512,Setúbal,6209
1501,1811501,Alcácer do Sal,90437
1505,1811505,Grândola,44973
211,1810211,Odemira,77775
1509,1811509,Santiago do Cacém,69495
1513,1811513,Sines,8463
1201,1821201,Alter do Chão,29712
1202,1821202,Arronches,26212
1203,1821203,Avis,42424
1204,1821204,Campo Maior,21087
1205,1821205,Castelo de Vide,20713
1206,1821206,Crato,25912
1207,1821207,Elvas,57486
1208,1821208,Fronteira,17798
1209,1821209,Gavião,7911
1210,1821210,Marvão,10464
1211,1821211,Monforte,37739
707,1820707,Mora,44121
1212,1821212,Nisa,25605
1213,1821213,Ponte de Sor,57427
1214,1821214,Portalegre,29497
701,1830701,Alandroal,42026
702,1830702,Arraiolos,54821
703,1830703,Borba,8277
704,1830704,Estremoz,41271
705,1830705,Évora,108762
706,1830706,Montemor-o-Novo,90380
708,1830708,Mourão,27484
709,1830709,Portel,38835
710,1830710,Redondo,27325
711,1830711,Reguengos de Monsaraz,38165
1215,1831215,Sousel,24056
712,1830712,Vendas Novas,17552
713,1830713,Viana do Alentejo,34182
714,1830714,Vila Viçosa,13121
201,1840201,Aljustrel,39141
202,1840202,Almodôvar,37860
203,1840203,Alvito,15615
204,1840204,Barrancos,13893
205,1840205,Beja,90764
206,1840206,Castro Verde,47710
207,1840207,Cuba,13428
208,1840208,Ferreira do Alentejo,48587
209,1840209,Mértola,80865
210,1840210,Moura,69118
212,1840212,Ourique,43164
213,1840213,Serpa,83990
214,1840214,Vidigueira,28401
1403,1851403,Almeirim,9224
1404,1851404,Alpiarça,9669
1103,1851103,Azambuja,11316
1405,1851405,Benavente,36668
1406,1851406,Cartaxo,8075
1407,1851407,Chamusca,22130
1409,1851409,Coruche,67464
1412,1851412,Golegã,5584
1414,1851414,Rio Maior,7818
1415,1851415,Salvaterra de Magos,11371
1416,1851416,Santarém,30886
801,1500801,Albufeira,5303
802,1500802,Alcoutim,10820
803,1500803,Aljezur,5334
804,1500804,Castro Marim,7894
805,1500805,Faro,4987
806,1500806,Lagoa,1838
807,1500807,Lagos,3981
808,1500808,Loulé,16838
809,1500809,Monchique,2983
810,1500810,Olhão,4407
811,1500811,Portimão,3026
812,1500812,São Brás de Alportel,1867
813,1500813,Silves,15677
814,1500814,Tavira,12260
815,1500815,Vila do Bispo,2555
816,1500816,Vila Real de Santo António,2163
