Muni_ID,ID,Muni,UAA09
1012,16B1012,Óbidos,3125
1014,16B1014,Peniche,2435
1112,16B1112,Sobral de Monte Agraço,2579
1113,16B1113,Torres Vedras,14533
1401,16C1401,Abrantes,12915
1402,16C1402,Alcanena,4383
1408,16C1408,Constância,556
1410,16C1410,Entroncamento,511
1411,16C1411,Ferreira do Zêzere,2263
1421,16C1421,Ourém,4326
1417,16C1417,Sardoal,1302
1418,16C1418,Tomar,6768
1419,16C1419,Torres Novas,9896
1420,16C1420,Vila Nova da Barquinha,413
1115,1711115,Amadora,61
1105,1711105,Cascais,237
1106,1711106,Lisboa,58
1107,1711107,Loures,4286
1109,1711109,Mafra,9286
1116,1711116,Odivelas,475
1110,1711110,Oeiras,100
1111,1711111,Sintra,5147
1114,1711114,Vila Franca de Xira,13432
1502,1721502,Alcochete,3375
1503,1721503,Almada,424
1504,1721504,Barreiro,166
1506,1721506,Moita,928
1507,1721507,Montijo,14983
1508,1721508,Palmela,29189
1510,1721510,Seixal,682
1511,1721511,Sesimbra,1856
1512,1721512,Setúbal,2902
1501,1811501,Alcácer do Sal,96949
1505,1811505,Grândola,38174
211,1810211,Odemira,69892
1509,1811509,Santiago do Cacém,61774
1513,1811513,Sines,8904
1201,1821201,Alter do Chão,33253
1202,1821202,Arronches,25838
1203,1821203,Avis,46556
1204,1821204,Campo Maior,18391
1205,1821205,Castelo de Vide,20243
1206,1821206,Crato,26647
1207,1821207,Elvas,51870
1208,1821208,Fronteira,21489
1209,1821209,Gavião,14237
1210,1821210,Marvão,8602
1211,1821211,Monforte,38500
707,1820707,Mora,40980
1212,1821212,Nisa,27925
1213,1821213,Ponte de Sor,56259
1214,1821214,Portalegre,27604
701,1830701,Alandroal,43794
702,1830702,Arraiolos,58028
703,1830703,Borba,8502
704,1830704,Estremoz,38243
705,1830705,Évora,106815
706,1830706,Montemor-o-Novo,106350
708,1830708,Mourão,21379
709,1830709,Portel,41159
710,1830710,Redondo,30349
711,1830711,Reguengos de Monsaraz,29074
1215,1831215,Sousel,20650
712,1830712,Vendas Novas,15656
713,1830713,Viana do Alentejo,39785
714,1830714,Vila Viçosa,15791
201,1840201,Aljustrel,38927
202,1840202,Almodôvar,39046
203,1840203,Alvito,22965
204,1840204,Barrancos,12726
205,1840205,Beja,96897
206,1840206,Castro Verde,50737
207,1840207,Cuba,14558
208,1840208,Ferreira do Alentejo,54082
209,1840209,Mértola,90018
210,1840210,Moura,73022
212,1840212,Ourique,44390
213,1840213,Serpa,86546
214,1840214,Vidigueira,22931
1403,1851403,Almeirim,9642
1404,1851404,Alpiarça,4930
1103,1851103,Azambuja,11134
1405,1851405,Benavente,28792
1406,1851406,Cartaxo,6978
1407,1851407,Chamusca,32239
1409,1851409,Coruche,55835
1412,1851412,Golegã,5823
1414,1851414,Rio Maior,9226
1415,1851415,Salvaterra de Magos,8210
1416,1851416,Santarém,23073
801,1500801,Albufeira,3393
802,1500802,Alcoutim,12448
803,1500803,Aljezur,4164
804,1500804,Castro Marim,7137
805,1500805,Faro,4079
806,1500806,Lagoa,1493
807,1500807,Lagos,2343
808,1500808,Loulé,13888
809,1500809,Monchique,2099
810,1500810,Olhão,2529
811,1500811,Portimão,2431
812,1500812,São Brás de Alportel,3073
813,1500813,Silves,12144
814,1500814,Tavira,11032
815,1500815,Vila do Bispo,4845
816,1500816,Vila Real de Santo António,1198
