aquifer_ID,leaching_mg,drainage,nloading,gw_type,recharge,prec,,,,,
66,24384720260,19263989515,1.26582,Aq,50,589.1676661,,,,,
67,3429142117,5284208006,0.64894,Aq,50,641.8739254,,,,,
68,23523408462,4714971198,4.98909,Aq,40,811.8859175,,,,,
69,5831239671,809588051.1,7.20272,Aq,25,633.0106233,,,,,
70,1.02495E+11,7955119383,12.88412,Aq,20,764.5648987,,,,,
71,5514949447,925926253.7,5.95614,Aq,50,679.2943485,,,,,
72,12943473480,2007458902,6.44769,Aq,25,830.8093595,,,,,
73,13476702279,1118601665,12.04781,Ind,7,798.9548373,,,,,
74,57232179633,4848547607,11.80398,Aq,19,646.2362451,,,,,
75,48608533956,5379415359,9.03603,Aq,48.6,587.3874355,,,,,
76,18698244922,2783254033,6.71812,Aq,50,690.8634279,,,,,
77,24143391239,4530285367,5.32933,Aq,35,848.0938968,,,,,
78,5938147069,1307986684,4.53991,Aq,40,736.437407,,,,,
79,871950993.5,35163489.07,24.79706,Ind,5,625.5847569,,,,,
80,33778153878,1543424861,21.88519,Aq,16,694.9974702,,,,,
81,821024353.6,202488370,4.05467,Aq,58,868.507656,,,,,
82,46197506947,4289694161,10.76942,Aq,16.2,750.5609411,,,,,
83,35419708676,2765926819,12.80573,Aq,18,784.9855586,,,,,
84,43694954260,5539757584,7.88752,Aq,26,773.2058948,,,,,
85,2.84071E+12,4.28343E+11,6.63185,Ind,9,780.9333728,,,,,
86,2805535733,709734112.5,3.95294,Aq,50,866.7176897,,,,,
87,1565346404,363500586.7,4.30631,Aq,41,837.9545192,,,,,
88,511835983,5564411243,0.09198,Aq,38.4,1805.172895,,,,,
89,74363240359,5184462112,14.34348,Ind,17.6,738.7789682,,,,,
90,58573585848,28533126344,2.05283,Aq,27.3,935.8282867,,,,,
91,78245981013,15337544582,5.1016,Ind,16.5,1476.809659,,,,,
92,13310757695,1824895941,7.29398,Aq,28,801.1169128,,,,,
93,2.79941E+11,43933638347,6.3719,Ind,5.5,1004.010822,,,,,
