Muni_ID,Muni,Full_ID,wells_NO3
1701,ALIJÓ,1171701,ND
1704,MESÃO FRIO,1171704,ND
1708,PESO DA RÉGUA,1171708,ND
1710,SABROSA,1171710,ND
1711,SANTA MARTA DE PENAGUIÃO,1171711,ND
1714,VILA REAL,1171714,ND
1801,ARMAMAR,1171801,ND
1805,LAMEGO,1171805,ND
1807,MOIMENTA DA BEIRA,1171807,2
1812,PENEDONO,1171812,ND
1815,SÃO JOÃO DA PESQUEIRA,1171815,ND
1818,SERNANCELHE,1171818,ND
1819,TABUAÇO,1171819,ND
1820,TAROUCA,1171820,ND
401,ALFÂNDEGA DA FÉ,1180401,ND
402,BRAGANÇA,1180402,ND
405,MACEDO DE CAVALEIROS,1180405,ND
406,MIRANDA DO DOURO,1180406,ND
407,MIRANDELA,1180407,ND
408,MOGADOURO,1180408,ND
411,VIMIOSO,1180411,2
412,VINHAIS,1180412,ND
1702,BOTICAS,1181702,ND
1703,CHAVES,1181703,13
1706,MONTALEGRE,1181706,ND
1707,MURÇA,1181707,ND
1712,VALPAÇOS,1181712,ND
1713,VILA POUCA DE AGUIAR,1181713,ND
801,ALBUFEIRA,1500801,32
802,ALCOUTIM,1500802,9.5
803,ALJEZUR,1500803,2.4
804,CASTRO MARIM,1500804,14.7
805,FARO,1500805,91.9
806,LAGOA,1500806,15
807,LAGOS,1500807,15.8
808,LOULÉ,1500808,20.7
809,MONCHIQUE,1500809,36.8
810,OLHÃO,1500810,33.7
811,PORTIMÃO,1500811,53
812,SÃO BRÁS DE ALPORTEL,1500812,11.8
813,SILVES,1500813,20.8
814,TAVIRA,1500814,36.2
815,VILA DO BISPO,1500815,40
816,VILA REAL DE SANTO ANTÓNIO,1500816,33
101,ÁGUEDA,1610101,25
102,ALBERGARIA-A-VELHA,1610102,2
103,ANADIA,1610103,18.2
105,AVEIRO,1610105,94.8
108,ESTARREJA,1610108,49.1
110,ÍLHAVO,1610110,2
111,MEALHADA,1610111,6
112,MURTOSA,1610112,29.2
114,OLIVEIRA DO BAIRRO,1610114,5
115,OVAR,1610115,3.6
117,SEVER DO VOUGA,1610117,36
118,VAGOS,1610118,85.2
602,CANTANHEDE,1620602,45.5
603,COIMBRA,1620603,27.3
604,CONDEIXA-A-NOVA,1620604,6.8
605,FIGUEIRA DA FOZ,1620605,6.7
608,MIRA,1620608,88.3
610,MONTEMOR-O-VELHO,1620610,12.1
613,PENACOVA,1620613,8.9
615,SOURE,1620615,12
1004,BATALHA,1631004,29
1009,LEIRIA,1631009,7.4
1010,MARINHA GRANDE,1631010,6.9
1015,POMBAL,1631015,15.9
1016,PORTO DE MÓS,1631016,8.5
601,ARGANIL,1640601,2
606,GÓIS,1640606,2
607,LOUSÃ,1640607,ND
609,MIRANDA DO CORVO,1640609,6
611,OLIVEIRA DO HOSPITAL,1640611,2
612,PAMPILHOSA DA SERRA,1640612,2
614,PENELA,1640614,9.9
616,TÁBUA,1640616,5.3
617,VILA NOVA DE POIARES,1640617,2
1002,ALVAIÁZERE,1641002,24
1003,ANSIÃO,1641003,ND
1007,CASTANHEIRA DE PÊRA,1641007,2
1008,FIGUEIRÓ DOS VINHOS,1641008,9
1013,PEDRÓGÃO GRANDE,1641013,ND
901,AGUIAR DA BEIRA,1650901,29
1802,CARREGAL DO SAL,1651802,ND
1803,CASTRO DAIRE,1651803,3.4
1806,MANGUALDE,1651806,5.7
1808,MORTÁGUA,1651808,2
1809,NELAS,1651809,19
1810,OLIVEIRA DE FRADES,1651810,11
1811,PENALVA DO CASTELO,1651811,33.6
1814,SANTA COMBA DÃO,1651814,ND
1816,SÃO PEDRO DO SUL,1651816,16.2
1817,SÁTÃO,1651817,7.7
1821,TONDELA,1651821,4.5
1822,VILA NOVA DE PAIVA,1651822,2.8
1823,VISEU,1651823,2.6
1824,VOUZELA,1651824,2
506,OLEIROS,1660506,ND
508,PROENÇA-A-NOVA,1660508,ND
509,SERTÃ,1660509,ND
510,VILA DE REI,1660510,2.3
1413,MAÇÃO,1661413,2
905,FORNOS DE ALGODRES,1670905,3
906,GOUVEIA,1670906,ND
912,SEIA,1670912,2
902,ALMEIDA,1680902,12
903,CELORICO DA BEIRA,1680903,ND
904,FIGUEIRA DE CASTELO RODRIGO,1680904,2
907,GUARDA,1680907,2
908,MANTEIGAS,1680908,ND
909,Mêda,1680909,29.5
910,PINHEL,1680910,17
911,SABUGAL,1680911,2.9
913,TRANCOSO,1680913,2
502,CASTELO BRANCO,1690502,4.8
505,IDANHA-A-NOVA,1690505,ND
507,PENAMACOR,1690507,ND
511,VILA VELHA DE RÓDÃO,1690511,2
1105,CASCAIS,1711105,4
1106,LISBOA,1711106,ND
1107,LOURES,1711107,ND
1109,MAFRA,1711109,28
1110,OEIRAS,1711110,ND
1111,SINTRA,1711111,0
1114,VILA FRANCA DE XIRA,1711114,ND
1115,AMADORA,1711115,ND
1116,ODIVELAS,1711116,ND
1502,ALCOCHETE,1721502,0
1503,ALMADA,1721503,ND
1504,BARREIRO,1721504,1.5
1506,MOITA,1721506,5.7
1507,MONTIJO,1721507,83
1508,PALMELA,1721508,0
1510,SEIXAL,1721510,3.8
1511,SESIMBRA,1721511,1
1512,SETÚBAL,1721512,4.5
211,ODEMIRA,1810211,7.2
1501,ALCÁCER DO SAL,1811501,1
1505,GRÂNDOLA,1811505,6.8
1509,SANTIAGO DO CACÉM,1811509,8.4
1513,SINES,1811513,1.3
707,MORA,1820707,2.7
1201,ALTER DO CHÃO,1821201,35.4
1202,ARRONCHES,1821202,27
1203,AVIS,1821203,37
1204,CAMPO MAIOR,1821204,44.6
1205,CASTELO DE VIDE,1821205,7.7
1206,CRATO,1821206,ND
1207,ELVAS,1821207,41
1208,FRONTEIRA,1821208,42
1209,GAVIÃO,1821209,15.5
1210,MARVÃO,1821210,12.3
1211,MONFORTE,1821211,40.6
1212,NISA,1821212,4
1213,PONTE DE SOR,1821213,8.7
1214,PORTALEGRE,1821214,ND
701,ALANDROAL,1830701,12
702,ARRAIOLOS,1830702,66
703,BORBA,1830703,19
704,ESTREMOZ,1830704,48.3
705,ÉVORA,1830705,65.3
706,MONTEMOR-O-NOVO,1830706,19.9
708,MOURÃO,1830708,35
709,PORTEL,1830709,6
710,REDONDO,1830710,ND
711,REGUENGOS DE MONSARAZ,1830711,ND
712,VENDAS NOVAS,1830712,54
713,VIANA DO ALENTEJO,1830713,15.5
714,VILA VIÇOSA,1830714,44
1215,SOUSEL,1831215,35.7
201,ALJUSTREL,1840201,ND
202,ALMODÔVAR,1840202,3.5
203,ALVITO,1840203,18
204,BARRANCOS,1840204,ND
205,BEJA,1840205,89.6
206,CASTRO VERDE,1840206,13.7
207,CUBA,1840207,ND
208,FERREIRA DO ALENTEJO,1840208,70.6
209,MÉRTOLA,1840209,4.6
210,MOURA,1840210,33
212,OURIQUE,1840212,2.8
213,SERPA,1840213,50
214,VIDIGUEIRA,1840214,23.5
1103,AZAMBUJA,1851103,ND
1403,ALMEIRIM,1851403,52.5
1404,ALPIARÇA,1851404,62
1405,BENAVENTE,1851405,37.5
1406,CARTAXO,1851406,0.8
1407,CHAMUSCA,1851407,8.3
1409,CORUCHE,1851409,30.7
1412,GOLEGÃ,1851412,82.1
1414,RIO MAIOR,1851414,11.2
1415,SALVATERRA DE MAGOS,1851415,10.4
1416,SANTARÉM,1851416,13.4
501,BELMONTE,16A0501,ND
503,COVILHÃ,16A0503,4.7
504,FUNDÃO,16A0504,6.1
1001,ALCOBAÇA,16B1001,18.1
1005,BOMBARRAL,16B1005,350
1006,CALDAS DA RAINHA,16B1006,24
1011,NAZARÉ,16B1011,3.2
1012,ÓBIDOS,16B1012,95
1014,PENICHE,16B1014,30.66666667
1101,ALENQUER,16B1101,3
1102,ARRUDA DOS VINHOS,16B1102,ND
1104,CADAVAL,16B1104,ND
1108,LOURINHÃ,16B1108,250
1112,SOBRAL DE MONTE AGRAÇO,16B1112,ND
1113,TORRES VEDRAS,16B1113,9.1
1401,ABRANTES,16C1401,16.2
1402,ALCANENA,16C1402,ND
1408,CONSTÂNCIA,16C1408,ND
1410,ENTRONCAMENTO,16C1410,ND
1411,FERREIRA DO ZÊZERE,16C1411,3
1417,SARDOAL,16C1417,ND
1418,TOMAR,16C1418,ND
1419,TORRES NOVAS,16C1419,15.2
1420,VILA NOVA DA BARQUINHA,16C1420,ND
1421,OURÉM,16C1421,36
