"Muni_ID","ID","Muni","Dairy_cows","Non_dairy","Male_calf<1","Female_calf<1","Male_calf_1-2","Female_calf_1-2","Heifer_beef_+2","Heifer_rep_+2","Male_calf_+2"
211,"1810211","Odemira",366632.052,961280,11500,75225,14120,107600,605,23925,34840
1509,"1811509","Santiago do Cacém",54177.4752,881200,15925,59600,20040,72240,4345,20185,31655
1513,"1811513","Sines",12026.4654,95840,1575,4075,2200,7680,0,4620,2795
1201,"1821201","Alter do Chão",57446.8056,563280,4675,27550,19040,55000,0,4565,27105
1202,"1821202","Arronches",14244.9396,563440,5675,46250,19600,36240,0,2365,16445
1203,"1821203","Avis",49857.2886,499840,24700,27925,15840,51480,825,15785,13585
1204,"1821204","Campo Maior",103918.002,277440,3250,21075,7480,19680,0,3795,9295
1205,"1821205","Castelo de Vide",0,353520,12150,12600,1320,15280,825,7920,13650
1206,"1821206","Crato",21133.8858,570880,12525,40450,9360,40440,3190,8140,22230
1207,"1821207","Elvas",69239.7474,999120,25825,56000,33000,87200,935,23155,52195
1208,"1821208","Fronteira",41917.4862,221840,9775,12100,5800,20440,0,2420,5070
1209,"1821209","Gavião",0,120800,8050,3925,600,4040,0,2750,2470
1210,"1821210","Marvão",350.2854,103120,3700,2500,640,2520,0,5445,3705
1211,"1821211","Monforte",2919.045,1071920,2075,59075,47800,44280,6600,37510,42380
707,"1820707","Mora",29073.6882,454800,34325,13050,14240,37440,7920,12265,12285
1212,"1821212","Nisa",3269.3304,305280,15025,7725,4920,20840,1375,18205,10075
1213,"1821213","Ponte de Sor",467.0472,340080,17050,22925,24520,32120,0,1650,8255
1214,"1821214","Portalegre",74377.2666,473360,14225,13975,10840,44400,6215,27995,11310
701,"1830701","Alandroal",140697.969,579120,26400,36025,12640,38400,8470,15400,14690
702,"1830702","Arraiolos",117112.0854,890240,14625,60900,34120,65800,14520,33495,33150
703,"1830703","Borba",7589.517,84160,625,8825,9120,9560,0,6930,2015
704,"1830704","Estremoz",29190.45,355120,13375,22875,3600,21120,605,10835,10270
705,"1830705","Évora",90840.6804,1821760,67425,96375,48800,105680,11495,113960,72345
706,"1830706","Montemor-o-Novo",353554.7304,1852080,43000,132400,49440,123640,605,35475,48685
708,"1830708","Mourão",23352.36,345920,10050,19275,17280,19680,0,2915,38350
709,"1830709","Portel",132874.9284,471520,1350,41400,15440,60800,1705,10725,16315
710,"1830710","Redondo",175609.7472,401280,1625,41625,7520,42120,0,19305,12740
711,"1830711","Reguengos de Monsaraz",17280.7464,339280,21125,12825,2920,21360,715,10065,19825
1215,"1831215","Sousel",48923.1942,176880,5125,15550,2840,14760,5500,3355,4485
712,"1830712","Vendas Novas",0,151040,17750,9625,10080,32640,22000,7645,6370
713,"1830713","Viana do Alentejo",111273.9954,552400,3625,43625,17200,38960,55,46310,14040
714,"1830714","Vila Viçosa",16229.8902,296720,5750,21425,7920,20200,2750,8965,5980
201,"1840201","Aljustrel",83251.1634,318560,3750,25375,4800,33440,0,20680,9490
202,"1840202","Almodôvar",350.2854,170400,8100,9775,22680,23360,660,6875,5460
203,"1840203","Alvito",22067.9802,402720,5475,37950,17640,25480,0,29975,16185
204,"1840204","Barrancos",0,273120,14775,7100,2840,19000,0,2640,6630
