Muni_ID,ID,Muni,tot_temp_past,tot_perma_past,sum
1815,1171815,São João da Pesqueira,0,985,985
1818,1171818,Sernancelhe,0,1409,1409
1819,1171819,Tabuaço,1,191,192
1820,1171820,Tarouca,89,139,228
409,1170409,Torre de Moncorvo,22,2443,2465
410,1170410,Vila Flor,1,627,628
914,1170914,Vila Nova de Foz Côa,3,3895,3898
1714,1171714,Vila Real,371,5378,5749
401,1180401,Alfândega da Fé,18,1478,1496
1702,1181702,Boticas,2,7508,7510
402,1180402,Bragança,109,8630,8739
1703,1181703,Chaves,111,5963,6074
405,1180405,Macedo de Cavaleiros,135,3580,3715
406,1180406,Miranda do Douro,174,6420,6594
407,1180407,Mirandela,171,2085,2256
408,1180408,Mogadouro,179,4747,4926
1706,1181706,Montalegre,56,27030,27086
1707,1181707,Murça,12,503,515
1712,1181712,Valpaços,77,3203,3280
1713,1181713,Vila Pouca de Aguiar,580,5862,6442
411,1180411,Vimioso,76,2881,2957
412,1180412,Vinhais,18,5459,5477
101,1610101,Águeda,23,117,140
102,1610102,Albergaria-a-Velha,15,585,600
103,1610103,Anadia,6,97,103
105,1610105,Aveiro,7,470,477
108,1610108,Estarreja,34,460,494
110,1610110,Ílhavo,8,55,63
111,1610111,Mealhada,6,14,20
112,1610112,Murtosa,9,111,120
114,1610114,Oliveira do Bairro,4,125,129
115,1610115,Ovar,11,15,26
117,1610117,Sever do Vouga,20,80,100
118,1610118,Vagos,0,286,286
602,1620602,Cantanhede,14,53,67
603,1620603,Coimbra,20,253,273
604,1620604,Condeixa-a-Nova,122,393,515
605,1620605,Figueira da Foz,60,94,154
608,1620608,Mira,0,29,29
610,1620610,Montemor-o-Velho,33,182,215
613,1620613,Penacova,10,13,23
615,1620615,Soure,220,891,1111
1004,1631004,Batalha,5,52,57
1009,1631009,Leiria,28,269,297
1010,1631010,Marinha Grande,6,53,59
1015,1631015,Pombal,101,249,350
1016,1631016,Porto de Mós,45,3272,3317
1002,1641002,Alvaiázere,22,195,217
1003,1641003,Ansião,235,205,440
601,1640601,Arganil,0,183,183
1007,1641007,Castanheira de Pêra,7,0,7
1008,1641008,Figueiró dos Vinhos,53,35,88
606,1640606,Góis,10,209,219
607,1640607,Lousã,0,38,38
609,1640609,Miranda do Corvo,0,25,25
611,1640611,Oliveira do Hospital,166,195,361
612,1640612,Pampilhosa da Serra,2,58,60
1013,1641013,Pedrógão Grande,27,1,28
614,1640614,Penela,50,283,333
616,1640616,Tábua,147,114,261
617,1640617,Vila Nova de Poiares,3,11,14
901,1650901,Aguiar da Beira,30,1165,1195
1802,1651802,Carregal do Sal,21,90,111
1803,1651803,Castro Daire,59,1951,2010
1806,1651806,Mangualde,273,565,838
1808,1651808,Mortágua,6,58,64
1809,1651809,Nelas,178,190,368
1810,1651810,Oliveira de Frades,105,300,405
1811,1651811,Penalva do Castelo,39,463,502
1814,1651814,Santa Comba Dão,29,232,261
1816,1651816,São Pedro do Sul,74,720,794
1817,1651817,Sátão,52,886,938
1821,1651821,Tondela,25,737,762
1822,1651822,Vila Nova de Paiva,27,1215,1242
1823,1651823,Viseu,82,866,948
1824,1651824,Vouzela,91,684,775
1413,1661413,Mação,3,204,207
506,1660506,Oleiros,0,15,15
508,1660508,Proença-a-Nova,37,76,113
509,1660509,Sertã,8,326,334
510,1660510,Vila de Rei,0,40,40
905,1670905,Fornos de Algodres,2,759,761
906,1670906,Gouveia,78,2507,2585
912,1670912,Seia,132,1344,1476
902,1680902,Almeida,0,15919,15919
903,1680903,Celorico da Beira,122,4330,4452
904,1680904,Figueira de Castelo Rodrigo,167,12275,12442
907,1680907,Guarda,132,12401,12533
908,1680908,Manteigas,0,772,772
909,1680909,Meda,29,2336,2365
910,1680910,Pinhel,14,10180,10194
911,1680911,Sabugal,74,18179,18253
913,1680913,Trancoso,6,5209,5215
502,1690502,Castelo Branco,373,24574,24947
505,1690505,Idanha-a-Nova,198,49776,49974
507,1690507,Penamacor,197,5230,5427
511,1690511,Vila Velha de Ródão,126,1673,1799
501,16A0501,Belmonte,206,1180,1386
503,16A0503,Covilhã,177,2524,2701
504,16A0504,Fundão,247,4002,4249
1001,16B1001,Alcobaça,142,704,846
1101,16B1101,Alenquer,24,550,574
1102,16B1102,Arruda dos Vinhos,44,103,147
1005,16B1005,Bombarral,30,14,44
1104,16B1104,Cadaval,20,66,86
1006,16B1006,Caldas da Rainha,34,224,258
1108,16B1108,Lourinhã,27,97,124
1011,16B1011,Nazaré,25,35,60
1012,16B1012,Óbidos,25,73,98
1014,16B1014,Peniche,84,143,227
1112,16B1112,Sobral de Monte Agraço,73,400,473
1113,16B1113,Torres Vedras,97,628,725
1401,16C1401,Abrantes,69,1425,1494
1402,16C1402,Alcanena,21,1234,1255
1408,16C1408,Constância,0,15,15
1410,16C1410,Entroncamento,0,27,27
1411,16C1411,Ferreira do Zêzere,10,1256,1266
1421,16C1421,Ourém,20,207,227
1417,16C1417,Sardoal,0,30,30
1418,16C1418,Tomar,97,1393,1490
1419,16C1419,Torres Novas,247,1398,1645
1420,16C1420,Vila Nova da Barquinha,0,353,353
1115,1711115,Amadora,0,122,122
1105,1711105,Cascais,0,166,166
1106,1711106,Lisboa,0,0,0
1107,1711107,Loures,147,1562,1709
1109,1711109,Mafra,83,1382,1465
1116,1711116,Odivelas,62,98,160
1110,1711110,Oeiras,0,44,44
1111,1711111,Sintra,128,1539,1667
1114,1711114,Vila Franca de Xira,147,1308,1455
1502,1721502,Alcochete,0,1653,1653
1503,1721503,Almada,0,55,55
1504,1721504,Barreiro,0,81,81
1506,1721506,Moita,11,152,163
1507,1721507,Montijo,119,8113,8232
1508,1721508,Palmela,392,6420,6812
1510,1721510,Seixal,0,744,744
1511,1721511,Sesimbra,42,1354,1396
1512,1721512,Setúbal,107,3144,3251
1501,1811501,Alcácer do Sal,668,66991,67659
1505,1811505,Grândola,98,26147,26245
211,1810211,Odemira,469,33262,33731
1509,1811509,Santiago do Cacém,29,25338,25367
1513,1811513,Sines,0,1562,1562
1201,1821201,Alter do Chão,132,18493,18625
1202,1821202,Arronches,56,5223,5279
1203,1821203,Avis,171,20027,20198
1204,1821204,Campo Maior,74,2601,2675
1205,1821205,Castelo de Vide,0,16653,16653
1206,1821206,Crato,935,20152,21087
1207,1821207,Elvas,457,16136,16593
1208,1821208,Fronteira,20,7927,7947
1209,1821209,Gavião,50,2582,2632
1210,1821210,Marvão,0,7717,7717
1211,1821211,Monforte,0,15873,15873
707,1820707,Mora,179,12997,13176
1212,1821212,Nisa,122,19426,19548
1213,1821213,Ponte de Sor,250,33708,33958
1214,1821214,Portalegre,0,19220,19220
701,1830701,Alandroal,127,13197,13324
702,1830702,Arraiolos,459,20674,21133
703,1830703,Borba,45,1325,1370
704,1830704,Estremoz,256,16967,17223
705,1830705,Évora,637,48807,49444
706,1830706,Montemor-o-Novo,1033,42622,43655
708,1830708,Mourão,440,13525,13965
709,1830709,Portel,36,25664,25700
710,1830710,Redondo,0,12094,12094
711,1830711,Reguengos de Monsaraz,136,8387,8523
1215,1831215,Sousel,1307,8040,9347
712,1830712,Vendas Novas,87,12834,12921
713,1830713,Viana do Alentejo,21,20498,20519
714,1830714,Vila Viçosa,88,3991,4079
201,1840201,Aljustrel,0,1904,1904
202,1840202,Almodôvar,142,18616,18758
203,1840203,Alvito,340,6261,6601
204,1840204,Barrancos,0,12799,12799
205,1840205,Beja,858,18192,19050
206,1840206,Castro Verde,586,5748,6334
207,1840207,Cuba,754,3782,4536
208,1840208,Ferreira do Alentejo,43,11084,11127
209,1840209,Mértola,160,35398,35558
210,1840210,Moura,332,26893,27225
212,1840212,Ourique,53,26630,26683
213,1840213,Serpa,400,20357,20757
214,1840214,Vidigueira,681,9981,10662
1403,1851403,Almeirim,0,882,882
1404,1851404,Alpiarça,106,3158,3264
1103,1851103,Azambuja,121,750,871
1405,1851405,Benavente,682,16279,16961
1406,1851406,Cartaxo,24,830,854
1407,1851407,Chamusca,123,14627,14750
1409,1851409,Coruche,4411,44022,48433
1412,1851412,Golegã,7,640,647
1414,1851414,Rio Maior,97,470,567
1415,1851415,Salvaterra de Magos,1,3475,3476
1416,1851416,Santarém,301,2632,2933
801,1500801,Albufeira,14,109,123
802,1500802,Alcoutim,15,2561,2576
803,1500803,Aljezur,158,204,362
804,1500804,Castro Marim,62,1591,1653
805,1500805,Faro,0,23,23
806,1500806,Lagoa,16,207,223
807,1500807,Lagos,36,589,625
808,1500808,Loulé,362,794,1156
809,1500809,Monchique,0,1559,1559
810,1500810,Olhão,0,34,34
811,1500811,Portimão,46,579,625
812,1500812,São Brás de Alportel,0,36,36
813,1500813,Silves,91,1970,2061
814,1500814,Tavira,6,522,528
815,1500815,Vila do Bispo,0,338,338
816,1500816,Vila Real de Santo António,0,604,604
