Muni_ID,ID,Muni,tot_perma_past
604,1620604,Condeixa-a-Nova,393
605,1620605,Figueira da Foz,94
608,1620608,Mira,29
610,1620610,Montemor-o-Velho,182
613,1620613,Penacova,13
615,1620615,Soure,891
1004,1631004,Batalha,52
1009,1631009,Leiria,269
1010,1631010,Marinha Grande,53
1015,1631015,Pombal,249
1016,1631016,Porto de Mós,3272
1002,1641002,Alvaiázere,195
1003,1641003,Ansião,205
601,1640601,Arganil,183
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,35
606,1640606,Góis,209
607,1640607,Lousã,38
609,1640609,Miranda do Corvo,25
611,1640611,Oliveira do Hospital,195
612,1640612,Pampilhosa da Serra,58
1013,1641013,Pedrógão Grande,1
614,1640614,Penela,283
616,1640616,Tábua,114
617,1640617,Vila Nova de Poiares,11
901,1650901,Aguiar da Beira,1165
1802,1651802,Carregal do Sal,90
1803,1651803,Castro Daire,1951
1806,1651806,Mangualde,565
1808,1651808,Mortágua,58
1809,1651809,Nelas,190
1810,1651810,Oliveira de Frades,300
1811,1651811,Penalva do Castelo,463
1814,1651814,Santa Comba Dão,232
1816,1651816,São Pedro do Sul,720
1817,1651817,Sátão,886
1821,1651821,Tondela,737
1822,1651822,Vila Nova de Paiva,1215
1823,1651823,Viseu,866
1824,1651824,Vouzela,684
1413,1661413,Mação,204
506,1660506,Oleiros,15
508,1660508,Proença-a-Nova,76
509,1660509,Sertã,326
510,1660510,Vila de Rei,40
905,1670905,Fornos de Algodres,759
906,1670906,Gouveia,2507
912,1670912,Seia,1344
902,1680902,Almeida,15919
903,1680903,Celorico da Beira,4330
904,1680904,Figueira de Castelo Rodrigo,12275
907,1680907,Guarda,12401
908,1680908,Manteigas,772
909,1680909,Mêda,2336
910,1680910,Pinhel,10180
911,1680911,Sabugal,18179
913,1680913,Trancoso,5209
502,1690502,Castelo Branco,24574
505,1690505,Idanha-a-Nova,49776
507,1690507,Penamacor,5230
511,1690511,Vila Velha de Ródão,1673
501,16A0501,Belmonte,1180
503,16A0503,Covilhã,2524
504,16A0504,Fundão,4002
1001,16B1001,Alcobaça,704
1101,16B1101,Alenquer,550
1102,16B1102,Arruda dos Vinhos,103
1005,16B1005,Bombarral,14
1104,16B1104,Cadaval,66
1006,16B1006,Caldas da Rainha,224
1108,16B1108,Lourinhã,97
1011,16B1011,Nazaré,35
1012,16B1012,Óbidos,73
1014,16B1014,Peniche,143
1112,16B1112,Sobral de Monte Agraço,400
1113,16B1113,Torres Vedras,628
1401,16C1401,Abrantes,1425
1402,16C1402,Alcanena,1234
1408,16C1408,Constância,15
1410,16C1410,Entroncamento,27
1411,16C1411,Ferreira do Zêzere,1256
1421,16C1421,Ourém,207
1417,16C1417,Sardoal,30
1418,16C1418,Tomar,1393
1419,16C1419,Torres Novas,1398
1420,16C1420,Vila Nova da Barquinha,353
1115,1711115,Amadora,122
1105,1711105,Cascais,166
1106,1711106,Lisboa,0
1107,1711107,Loures,1562
1109,1711109,Mafra,1382
1116,1711116,Odivelas,98
1110,1711110,Oeiras,44
1111,1711111,Sintra,1539
1114,1711114,Vila Franca de Xira,1308
1502,1721502,Alcochete,1653
1503,1721503,Almada,55
1504,1721504,Barreiro,81
1506,1721506,Moita,152
1507,1721507,Montijo,8113
1508,1721508,Palmela,6420
1510,1721510,Seixal,744
1511,1721511,Sesimbra,1354
1512,1721512,Setúbal,3144
1501,1811501,Alcácer do Sal,66991
1505,1811505,Grândola,26147
211,1810211,Odemira,33262
1509,1811509,Santiago do Cacém,25338
1513,1811513,Sines,1562
1201,1821201,Alter do Chão,18493
1202,1821202,Arronches,5223
1203,1821203,Avis,20027
1204,1821204,Campo Maior,2601
1205,1821205,Castelo de Vide,16653
1206,1821206,Crato,20152
1207,1821207,Elvas,16136
1208,1821208,Fronteira,7927
1209,1821209,Gavião,2582
1210,1821210,Marvão,7717
1211,1821211,Monforte,15873
707,1820707,Mora,12997
1212,1821212,Nisa,19426
1213,1821213,Ponte de Sor,33708
1214,1821214,Portalegre,19220
701,1830701,Alandroal,13197
702,1830702,Arraiolos,20674
703,1830703,Borba,1325
704,1830704,Estremoz,16967
705,1830705,Évora,48807
706,1830706,Montemor-o-Novo,42622
708,1830708,Mourão,13525
709,1830709,Portel,25664
710,1830710,Redondo,12094
711,1830711,Reguengos de Monsaraz,8387
1215,1831215,Sousel,8040
712,1830712,Vendas Novas,12834
713,1830713,Viana do Alentejo,20498
714,1830714,Vila Viçosa,3991
201,1840201,Aljustrel,1904
202,1840202,Almodôvar,18616
203,1840203,Alvito,6261
204,1840204,Barrancos,12799
205,1840205,Beja,18192
206,1840206,Castro Verde,5748
207,1840207,Cuba,3782
208,1840208,Ferreira do Alentejo,11084
209,1840209,Mértola,35398
210,1840210,Moura,26893
212,1840212,Ourique,26630
213,1840213,Serpa,20357
214,1840214,Vidigueira,9981
1403,1851403,Almeirim,882
1404,1851404,Alpiarça,3158
1103,1851103,Azambuja,750
1405,1851405,Benavente,16279
1406,1851406,Cartaxo,830
1407,1851407,Chamusca,14627
1409,1851409,Coruche,44022
1412,1851412,Golegã,640
1414,1851414,Rio Maior,470
1415,1851415,Salvaterra de Magos,3475
1416,1851416,Santarém,2632
801,1500801,Albufeira,109
802,1500802,Alcoutim,2561
803,1500803,Aljezur,204
804,1500804,Castro Marim,1591
805,1500805,Faro,23
806,1500806,Lagoa,207
807,1500807,Lagos,589
808,1500808,Loulé,794
809,1500809,Monchique,1559
810,1500810,Olhão,34
811,1500811,Portimão,579
812,1500812,São Brás de Alportel,36
813,1500813,Silves,1970
814,1500814,Tavira,522
815,1500815,Vila do Bispo,338
816,1500816,Vila Real de Santo António,604
