"Muni_ID","ID","Muni","avg_atmN_muni"
904,"1680904","Figueira de Castelo Rodrigo",5.71
907,"1680907","Guarda",5.04
908,"1680908","Manteigas",5.58
909,"1680909","Mêda",5.75
910,"1680910","Pinhel",4.77
911,"1680911","Sabugal",5.36
913,"1680913","Trancoso",5.34
502,"1690502","Castelo Branco",5.43
505,"1690505","Idanha-a-Nova",5.7
507,"1690507","Penamacor",5.26
511,"1690511","Vila Velha de Ródão",6.25
501,"16A0501","Belmonte",5.55
503,"16A0503","Covilhã",5.62
504,"16A0504","Fundão",5.6
1001,"16B1001","Alcobaça",4.7
1101,"16B1101","Alenquer",5.94
1102,"16B1102","Arruda dos Vinhos",4.51
1005,"16B1005","Bombarral",5.42
1104,"16B1104","Cadaval",5.51
1006,"16B1006","Caldas da Rainha",4.53
1108,"16B1108","Lourinhã",4.95
1011,"16B1011","Nazaré",6.15
1012,"16B1012","Óbidos",5.18
1014,"16B1014","Peniche",4.61
1112,"16B1112","Sobral de Monte Agraço",5.82
1113,"16B1113","Torres Vedras",6.3
1401,"16C1401","Abrantes",5.04
1402,"16C1402","Alcanena",5.34
1408,"16C1408","Constância",6.8
1410,"16C1410","Entroncamento",6.79
1411,"16C1411","Ferreira do Zêzere",6.97
1421,"16C1421","Ourém",7
1417,"16C1417","Sardoal",6.82
1418,"16C1418","Tomar",6.55
1419,"16C1419","Torres Novas",6.91
1420,"16C1420","Vila Nova da Barquinha",6.21
1115,"1711115","Amadora",6.81
1105,"1711105","Cascais",6.95
1106,"1711106","Lisboa",6.87
1107,"1711107","Loures",6.82
1109,"1711109","Mafra",5
1116,"1711116","Odivelas",6.71
1110,"1711110","Oeiras",7.03
1111,"1711111","Sintra",5.37
1114,"1711114","Vila Franca de Xira",6.62
1502,"1721502","Alcochete",6.34
1503,"1721503","Almada",6.77
1504,"1721504","Barreiro",6.73
1506,"1721506","Moita",6.61
1507,"1721507","Montijo",6.79
1508,"1721508","Palmela",7.02
1510,"1721510","Seixal",6.42
1511,"1721511","Sesimbra",7.06
1512,"1721512","Setúbal",7.24
1501,"1811501","Alcácer do Sal",6.65
1505,"1811505","Grândola",7.31
211,"1810211","Odemira",6.98
1509,"1811509","Santiago do Cacém",7.27
1513,"1811513","Sines",6.45
1201,"1821201","Alter do Chão",6.06
1202,"1821202","Arronches",6.56
1203,"1821203","Avis",6.63
1204,"1821204","Campo Maior",6.82
1205,"1821205","Castelo de Vide",7.05
1206,"1821206","Crato",7.07
1207,"1821207","Elvas",7.3
1208,"1821208","Fronteira",6.87
1209,"1821209","Gavião",6.23
1210,"1821210","Marvão",7.44
1211,"1821211","Monforte",5.02
707,"1820707","Mora",5.97
1212,"1821212","Nisa",6.51
1213,"1821213","Ponte de Sor",6.56
1214,"1821214","Portalegre",7.36
701,"1830701","Alandroal",7.58
702,"1830702","Arraiolos",6.2
703,"1830703","Borba",5.32
704,"1830704","Estremoz",4.41
705,"1830705","Évora",6.11
706,"1830706","Montemor-o-Novo",6.42
708,"1830708","Mourão",6.81
709,"1830709","Portel",5.64
710,"1830710","Redondo",6.94
711,"1830711","Reguengos de Monsaraz",7.04
1215,"1831215","Sousel",6.64
712,"1830712","Vendas Novas",6.78
713,"1830713","Viana do Alentejo",5.83
714,"1830714","Vila Viçosa",7.08
201,"1840201","Aljustrel",5.12
202,"1840202","Almodôvar",6.41
203,"1840203","Alvito",6.15
204,"1840204","Barrancos",6.56
205,"1840205","Beja",6.32
206,"1840206","Castro Verde",6.67
207,"1840207","Cuba",6.66
208,"1840208","Ferreira do Alentejo",6.72
209,"1840209","Mértola",6.1
210,"1840210","Moura",6.57
212,"1840212","Ourique",6.63
213,"1840213","Serpa",6.34
214,"1840214","Vidigueira",6.62
1403,"1851403","Almeirim",5.97
1404,"1851404","Alpiarça",6.42
1103,"1851103","Azambuja",6.58
1405,"1851405","Benavente",6.46
1406,"1851406","Cartaxo",6.75
1407,"1851407","Chamusca",6.78
1409,"1851409","Coruche",6.84
1412,"1851412","Golegã",6.67
1414,"1851414","Rio Maior",6.49
1415,"1851415","Salvaterra de Magos",6.45
1416,"1851416","Santarém",6.76
801,"1500801","Albufeira",6.62
802,"1500802","Alcoutim",6.95
803,"1500803","Aljezur",6.41
804,"1500804","Castro Marim",6.13
805,"1500805","Faro",6.79
806,"1500806","Lagoa",6.87
807,"1500807","Lagos",6.11
808,"1500808","Loulé",6.8
809,"1500809","Monchique",6.47
810,"1500810","Olhão",6.37
811,"1500811","Portimão",6.3
812,"1500812","São Brás de Alportel",6.61
813,"1500813","Silves",6.94
814,"1500814","Tavira",6.58
815,"1500815","Vila do Bispo",6.72
816,"1500816","Vila Real de Santo António",6.97
