"Muni_ID","ID","Muni","Dairy","Bovine","Equides","Goats","Sheep","total"
1306,"1141306","Maia",320666.28,107902.4,1750.54,144.89,5152.56,435616.67
1308,"1141308","Matosinhos",270436.91,74205.57,1513.98,137.64,3414.56,349708.66
1312,"1141312","Porto",0,1477.6,0,36.22,254.56,1768.38
1313,"1141313","Póvoa de Varzim",1195609.21,252436.19,3501.08,3245.51,1817,1456608.99
1315,"1141315","Valongo",67264.76,30815.21,662.37,86.93,4301.11,103130.38
1316,"1141316","Vila do Conde",2479025.87,505957.62,6410.75,405.69,6381.44,2998181.37
1317,"1141317","Vila Nova de Gaia",14279.67,18537.78,3240.86,159.38,7838.56,44056.25
1301,"1151301","Amarante",22797.36,57525.28,6978.49,3346.93,33899.78,124547.84
1302,"1151302","Baião",250.52,36490.97,2862.37,2658.71,45978,88240.57
304,"1150304","Cabeceiras de Basto",3131.51,175403.55,7948.39,1622.76,32820.11,220926.32
106,"1150106","Castelo de Paiva",3131.51,27799.44,1490.32,1043.2,27035.56,60500.03
305,"1150305","Celorico de Basto",29060.38,104294.73,3572.04,1847.33,24788.44,163562.92
1804,"1151804","Cinfães",250.52,126596.59,3311.83,4361.16,62506.56,197026.66
1303,"1151303","Felgueiras",75030.9,81318.42,4802.15,362.22,3906.11,165419.8
1305,"1151305","Lousada",50980.93,67053.64,4825.81,173.87,7759.56,130793.81
1307,"1151307","Marco de Canaveses",3883.06,35787.57,5606.45,1093.91,38560.78,84931.77
1705,"1151705","Mondim de Basto",125.26,78110.73,3855.91,8005.11,4116.78,94213.79
1309,"1151309","Paços de Ferreira",70772.05,38826.24,1253.76,499.87,13895.22,125247.14
1310,"1151310","Paredes",39456.99,54341.78,3027.96,507.11,16256.44,113590.28
1311,"1151311","Penafiel",75531.94,58964.98,2602.15,470.89,18240.22,155810.18
1813,"1151813","Resende",9269.26,27786.8,1324.73,246.31,16089.67,54716.77
1709,"1151709","Ribeira de Pena",25678.35,153754.72,3832.26,7360.36,6758.89,197384.58
104,"1160104","Arouca",217577.07,164283.4,3501.08,3781.6,28080.11,417223.26
113,"1160113","Oliveira de Azeméis",408473.72,105063.1,1419.35,3839.56,5187.67,523983.4
109,"1160109","Santa Maria da Feira",95072.54,50858.74,3027.96,398.44,11771,161128.68
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",40208.55,46364.75,662.37,3745.38,10928.33,101909.38
1701,"1171701","Alijó",1002.08,17966.49,11331.18,5230.49,13579.22,49109.46
1801,"1171801","Armamar",0,312.9,1703.23,724.44,4494.22,7234.79
403,"1170403","Carrazeda de Ansiães",1753.65,7193.97,12963.44,3013.69,36928.11,61852.86
404,"1170404","Freixo de Espada à Cinta",125.26,3620.04,5062.37,2854.31,43248.11,54910.09
1805,"1171805","Lamego",0,8792.62,5346.24,1086.67,19837.78,35063.31
1704,"1171704","Mesão Frio",0,0,0,0,184.33,184.33
1807,"1171807","Moimenta da Beira",118245.69,44381.36,4281.72,3144.09,23937,193989.86
1812,"1171812","Penedono",17786.96,6593.19,3335.48,2260.27,22804.67,52780.57
1708,"1171708","Peso da Régua",125.26,159.25,922.58,507.11,4722.44,6436.64
1710,"1171710","Sabrosa",18413.26,12010.98,3879.57,514.36,7619.11,42437.28
1711,"1171711","Santa Marta de Penaguião",375.78,202.73,402.15,43.47,3923.67,4947.8
1815,"1171815","São João da Pesqueira",125.26,2642.12,4778.49,4556.76,17178.11,29280.74
1818,"1171818","Sernancelhe",31565.59,15346.77,6292.47,6324.4,24112.56,83641.79
1819,"1171819","Tabuaço",0,2253.77,4423.66,94.18,10375.33,17146.94
1820,"1171820","Tarouca",27807.78,15312.19,3382.8,2571.78,5415.89,54490.44
409,"1170409","Torre de Moncorvo",0,1930.66,12703.23,6889.47,112232.67,133756.03
410,"1170410","Vila Flor",375.78,7738.26,10124.73,5708.62,47733.56,71680.95
914,"1170914","Vila Nova de Foz Côa",250.52,888,4092.47,3064.4,46197.44,54492.83
1714,"1171714","Vila Real",47473.64,137068.57,19658.06,4498.8,50208.89,258907.96
401,"1180401","Alfândega da Fé",2880.99,19528.08,8587.1,6759.07,62506.56,100261.8
1702,"1181702","Boticas",13277.59,199431.3,14146.24,2680.44,28817.44,258353.01
402,"1180402","Bragança",24300.49,215691.72,21692.47,9606.13,353191.44,624482.25
1703,"1181703","Chaves",228975.76,138710.64,53178.49,3129.6,165206.56,589201.05
405,"1180405","Macedo de Cavaleiros",16534.35,128800.65,23797.85,14901.82,182375.89,366410.56
406,"1180406","Miranda do Douro",79540.26,255955.95,15187.1,1390.93,168823,520897.24
407,"1180407","Mirandela",9895.56,16303.59,25950.54,13510.89,159694.11,225354.69
408,"1180408","Mogadouro",408724.24,161440.62,22047.31,15684.22,207164.33,815060.72
1706,"1181706","Montalegre",42337.97,684607.53,50623.66,9446.76,74145.89,861161.81
1707,"1181707","Murça",9144,7085.11,11212.9,7700.84,11340.89,46483.74
1712,"1181712","Valpaços",32442.41,50798.36,44946.24,8758.53,105359.67,242305.21
1713,"1181713","Vila Pouca de Aguiar",153193.31,199496.75,25169.89,7106.8,59364.11,444330.86
411,"1180411","Vimioso",13903.89,100104,17079.57,8606.4,96941.78,236635.64
412,"1180412","Vinhais",13152.33,156602.02,18948.39,1376.44,165856.11,355935.29
101,"1610101","Águeda",128379.68,44152.6,2223.66,1919.78,25130.78,201806.5
102,"1610102","Albergaria-a-Velha",159376.78,92319.68,3926.88,1260.53,5056,261939.87
103,"1610103","Anadia",38358.92,13331.46,1750.54,1521.33,10963.44,65925.69
105,"1610105","Aveiro",101902.98,55881.65,5843.01,1485.11,6258.56,171371.31
108,"1610108","Estarreja",522042.91,174547.18,8066.67,1948.76,5977.67,712583.19
110,"1610110","Ílhavo",32288.65,16007.31,756.99,398.44,526.67,49978.06
111,"1610111","Mealhada",58507.04,19161.63,1348.39,1927.02,4406.44,85350.52
112,"1610112","Murtosa",309196.12,95650.32,5464.52,268.04,1773.11,412352.11
114,"1610114","Oliveira do Bairro",78396.85,22994.11,1561.29,449.16,3195.11,106596.52
115,"1610115","Ovar",405803.77,103282.18,4210.75,420.18,1904.78,515621.66
117,"1610117","Sever do Vouga",26735.01,15060.86,283.87,2137.11,4309.89,48526.74
118,"1610118","Vagos",217754.67,73256.31,3122.58,1043.2,3853.44,299030.2
602,"1620602","Cantanhede",399991.82,116661.37,7144.09,4042.4,9041.11,536880.79
603,"1620603","Coimbra",41071.16,22602.5,8539.78,6512.76,22945.11,101671.31
604,"1620604","Condeixa-a-Nova",10203.21,5071.78,1584.95,10504.44,17064,44428.38
605,"1620605","Figueira da Foz",287885.62,93778.49,6576.34,1492.36,18714.22,408447.03
608,"1620608","Mira",132770.93,30881.73,662.37,354.98,368.67,165038.68
610,"1620610","Montemor-o-Velho",576158.69,217113.47,12490.32,3216.53,46557.33,855536.34
613,"1620613","Penacova",0,2914.67,70.97,4839.29,23989.67,31814.6
615,"1620615","Soure",20277.27,30705.41,3477.42,9482.98,32653.33,96596.41
1004,"1631004","Batalha",3487.17,9714.71,496.77,1709.69,7926.33,23334.67
1009,"1631009","Leiria",151110.89,119401.11,3382.8,5534.76,41448.67,320878.23
1010,"1631010","Marinha Grande",0,2492.9,567.74,28.98,2168.11,5257.73
1015,"1631015","Pombal",65739.69,77050.7,3879.57,7700.84,71354.56,225725.36
1016,"1631016","Porto de Mós",139486.97,103344.11,3524.73,13221.11,35444.67,295021.59
1002,"1641002","Alvaiázere",387.46,7107.51,3075.27,8026.84,21347.56,39944.64
1003,"1641003","Ansião",129.16,11537.99,686.02,9388.8,45082.67,66824.64
601,"1640601","Arganil",387.46,2707,1040.86,8041.33,23743.89,35920.54
1007,"1641007","Castanheira de Pêra",0,409.42,0,1137.38,1983.78,3530.58
1008,"1641008","Figueiró dos Vinhos",0,493.91,0,949.02,5609,7051.93
606,"1640606","Góis",0,1381.91,236.56,4035.16,1650.22,7303.85
607,"1640607","Lousã",0,3780.28,1182.8,2905.02,4143.11,12011.21
609,"1640609","Miranda do Corvo",774.93,2193.66,378.49,2941.24,5740.67,12028.99
611,"1640611","Oliveira do Hospital",129.16,2352.75,3335.48,6788.04,77332.22,89937.65
612,"1640612","Pampilhosa da Serra",0,191.7,0,2948.49,2782.56,5922.75
1013,"1641013","Pedrógão Grande",0,463.93,496.77,1687.96,5451,8099.66
614,"1640614","Penela",3745.48,1186.09,662.37,5295.69,21540.67,32430.3
616,"1640616","Tábua",129.16,5255.41,1608.6,6657.64,47847.67,61498.48
617,"1640617","Vila Nova de Poiares",1033.23,1175.06,189.25,1543.07,1755.56,5696.17
901,"1650901","Aguiar da Beira",46624.81,33235.02,2105.38,1304,40316.33,123585.54
1802,"1651802","Carregal do Sal",516.62,1505.43,1372.04,3252.76,24200.33,30847.18
1803,"1651803","Castro Daire",8653.36,51711.23,4045.16,14503.38,35988.89,114902.02
1806,"1651806","Mangualde",0,2626.64,3122.58,3817.82,72873.11,82440.15
1808,"1651808","Mortágua",6328.58,3821.13,567.74,1064.93,43485.11,55267.49
1809,"1651809","Nelas",0,692.35,2081.72,2238.53,32477.78,37490.38
1810,"1651810","Oliveira de Frades",51661.84,41115.24,236.56,5382.62,12683.89,111080.15
1811,"1651811","Penalva do Castelo",2712.25,5170.09,496.77,1615.51,25833,35827.62
1814,"1651814","Santa Comba Dão",129.16,13736.11,94.62,1927.02,24630.44,40517.35
1816,"1651816","São Pedro do Sul",28930.63,91350.13,2980.65,12264.84,35620.22,171146.47
1817,"1651817","Sátão",39908.77,28296.95,2933.33,3361.42,19644.67,94145.14
1821,"1651821","Tondela",17565.02,35086.17,1537.63,5397.11,86505,146090.93
1822,"1651822","Vila Nova de Paiva",36292.44,18039.77,4991.4,6715.6,16414.44,82453.65
1823,"1651823","Viseu",17952.49,14660.66,5772.04,4527.78,83283.56,126196.53
1824,"1651824","Vouzela",32934.42,45569.32,425.81,2962.98,28185.44,110077.97
1413,"1661413","Mação",129.16,14110.92,2270.97,9598.89,11507.67,37617.61
506,"1660506","Oleiros",0,302.04,165.59,15843.6,3019.56,19330.79
508,"1660508","Proença-a-Nova",129.16,5941.15,4612.9,39185.2,17459,67327.41
509,"1660509","Sertã",6328.58,6550.85,1372.04,27927.33,19398.89,61577.69
510,"1660510","Vila de Rei",0,603.92,236.56,3020.93,1606.33,5467.74
905,"1670905","Fornos de Algodres",3616.33,1790.01,851.61,3774.36,46373,56405.31
906,"1670906","Gouveia",1162.39,6579.18,4068.82,12764.71,92131.56,116706.66
912,"1670912","Seia",774.93,3686.75,4163.44,11996.8,114049.67,134671.59
902,"1680902","Almeida",100869.75,320427.01,15400,1456.13,124679.56,562832.45
903,"1680903","Celorico da Beira",13302.92,21700.84,5630.11,7150.27,144842.11,192626.25
904,"1680904","Figueira de Castelo Rodrigo",36421.6,136668.89,12892.47,1716.93,189907.22,377607.11
907,"1680907","Guarda",103065.37,219250.52,19918.28,28876.36,141146.67,512257.2
908,"1680908","Manteigas",1033.23,118.41,283.87,2035.69,8224.78,11695.98
909,"1680909","Mêda",1679.01,25524.78,10834.41,2731.16,56142.67,96912.03
910,"1680910","Pinhel",66127.15,207345.99,22662.37,9309.11,104288.78,409733.4
911,"1680911","Sabugal",20535.59,436865.25,23017.2,9033.82,108633.78,598085.64
913,"1680913","Trancoso",79300.93,45247.18,16937.63,7512.49,114997.67,263995.9
502,"1690502","Castelo Branco",8136.74,189491.09,13933.33,47748.13,519389.89,778699.18
505,"1690505","Idanha-a-Nova",204839.2,1044971.62,20698.92,19726.62,608984.67,1899221.03
507,"1690507","Penamacor",58507.04,111695.78,4991.4,17335.96,95124.78,287654.96
511,"1690511","Vila Velha de Ródão",7103.5,9893.74,1277.42,9917.64,81326.11,109518.41
501,"16A0501","Belmonte",21697.98,12740.89,1868.82,3375.91,80027,119710.6
503,"16A0503","Covilhã",130317,64133.8,4731.18,24160.22,96836.44,320178.64
504,"16A0504","Fundão",92991.32,81810.79,7380.65,38105.78,340182.78,560471.32
1001,"16B1001","Alcobaça",81109.09,104929.5,4565.59,3310.71,52754.44,246669.33
1101,"16B1101","Alenquer",774.93,71640.26,16015.05,6925.69,27764.11,123120.04
1102,"16B1102","Arruda dos Vinhos",17177.56,23272.29,3311.83,1289.51,14184.89,59236.08
1005,"16B1005","Bombarral",21956.28,21395.49,804.3,50.71,4274.78,48481.56
1104,"16B1104","Cadaval",22989.52,31829.18,1750.54,8273.16,10621.11,75463.51
1006,"16B1006","Caldas da Rainha",387.46,31043.94,2294.62,5476.8,25157.11,64359.93
1108,"16B1108","Lourinhã",90020.76,74238.88,1159.14,15394.44,28071.33,208884.55
1011,"16B1011","Nazaré",47528.9,24259.78,804.3,354.98,6794,79741.96
1012,"16B1012","Óbidos",4907.87,3168.31,3855.91,4361.16,6758.89,23052.14
1014,"16B1014","Peniche",1033.23,13911.5,141.94,9367.07,16941.11,41394.85
1112,"16B1112","Sobral de Monte Agraço",39263,100921.48,4660.22,173.87,19785.11,164803.68
1113,"16B1113","Torres Vedras",207551.46,155911.51,12017.2,15872.58,67492.33,458845.08
1401,"16C1401","Abrantes",25572.61,63956.29,13815.05,8244.18,97960,209548.13
1402,"16C1402","Alcanena",54503.24,62362.35,1490.32,10040.8,24849.89,153246.6
1408,"16C1408","Constância",0,0,1135.48,36.22,983.11,2154.81
1410,"16C1410","Entroncamento",0,1917,0,21.73,4415.22,6353.95
1411,"16C1411","Ferreira do Zêzere",0,9482.66,1845.16,7157.51,19223.33,37708.66
1421,"16C1421","Ourém",12011.37,40217.82,2176.34,10975.33,41633,107013.86
1417,"16C1417","Sardoal",0,12414.8,638.71,507.11,6241,19801.62
1418,"16C1418","Tomar",20664.73,39863.3,13200,7179.24,47680.89,128588.16
1419,"16C1419","Torres Novas",4649.56,37157.08,5582.8,8990.36,49269.67,105649.47
1420,"16C1420","Vila Nova da Barquinha",0,0,567.74,463.64,3502.33,4533.71
1115,"1711115","Amadora",0,0,0,28.98,1580,1608.98
1105,"1711105","Cascais",502.7,1630.1,0,572.31,2703.56,5408.67
1106,"1711106","Lisboa",0,0,0,57.96,254.56,312.52
1107,"1711107","Loures",123159.59,68802.4,5015.05,4723.38,38350.11,240050.53
1109,"1711109","Mafra",190017.67,236246.16,10645.16,4520.53,70283.67,511713.19
1116,"1711116","Odivelas",837.82,5822.94,4068.82,115.91,8997.22,19842.71
1110,"1711110","Oeiras",0,0,0,0,333.56,333.56
1111,"1711111","Sintra",82441.53,53288.8,7593.55,2231.29,36225.89,181781.06
1114,"1711114","Vila Franca de Xira",143099.72,144885.28,13531.18,1050.44,26105.11,328671.73
1502,"1721502","Alcochete",0,78436.85,6079.57,28.98,6557,91102.4
1503,"1721503","Almada",3686.41,5958.14,2791.4,891.07,9120.11,22447.13
1504,"1721504","Barreiro",0,11350.1,236.56,210.09,3221.44,15018.19
1506,"1721506","Moita",162369.59,42654.07,6221.51,1818.36,11279.44,224342.97
1507,"1721507","Montijo",134721.51,178528.98,10668.82,463.64,80395.67,404778.62
1508,"1721508","Palmela",310328.67,546912.81,19681.72,7121.29,168998.56,1053043.05
1510,"1721510","Seixal",335.13,4090.89,0,1253.29,4582,10261.31
1511,"1721511","Sesimbra",1005.38,8203.03,2389.25,854.84,12297.67,24750.17
1512,"1721512","Setúbal",502.7,13392.68,10526.88,4513.29,44099.56,73035.11
1501,"1811501","Alcácer do Sal",74364.67,1607506.05,12088.17,666.49,231461.22,1926086.6
1505,"1811505","Grândola",52690.55,312413.11,4707.53,1927.02,241441.56,613179.77
211,"1810211","Odemira",391130.79,1204231.56,21408.6,14141.16,273726.22,1904638.33
1509,"1811509","Santiago do Cacém",57797.68,1084637.29,12632.26,3325.2,297391.11,1455783.54
1513,"1811513","Sines",12830.09,116973.13,4234.41,1564.8,67255.33,202857.76
1201,"1821201","Alter do Chão",61285.47,690066.77,30681.72,2550.04,175344.89,959928.89
1202,"1821202","Arronches",15196.8,677008.27,4470.97,1246.04,114708,812630.08
1203,"1821203","Avis",53188.81,635281.38,4352.69,2318.22,272444.67,967585.77
1204,"1821204","Campo Maior",110861.91,335751.1,2318.28,57.96,31082.11,480071.36
1205,"1821205","Castelo de Vide",0,411730.68,1206.45,2100.89,65929.89,480967.91
1206,"1821206","Crato",22546.08,694110.34,2838.71,7541.47,108361.67,835398.27
1207,"1821207","Elvas",73866.42,1253406.85,27961.29,521.6,199378.44,1555134.6
1208,"1821208","Fronteira",44718.46,271684.08,3501.08,1282.27,195823.44,517009.33
1209,"1821209","Gavião",0,140229.81,1655.91,4527.78,12306.44,158719.94
1210,"1821210","Marvão",373.7,120241.09,922.58,2571.78,59618.67,183727.82
1211,"1821211","Monforte",3114.1,1293339.9,4068.82,1992.22,106035.56,1408550.6
707,"1820707","Mora",31016.42,573647.21,3784.95,289.78,202231.22,810969.58
1212,"1821212","Nisa",3487.79,377076.59,9888.17,8236.93,180681.78,579371.26
1213,"1821213","Ponte de Sor",498.26,435310.97,9982.8,8787.51,287270.33,741849.87
1214,"1821214","Portalegre",79347.24,592424.09,4352.69,13518.13,170789.22,860431.37
701,"1830701","Alandroal",150099.56,715907.65,13791.4,34650.18,192549.33,1106998.12
702,"1830702","Arraiolos",124937.64,1124828.52,4352.69,10533.42,244689.33,1509341.6
703,"1830703","Borba",8096.66,117907.53,1726.88,239.07,79658.33,207628.47
704,"1830704","Estremoz",31140.99,429459.64,4139.78,3962.71,342737.11,811440.23
705,"1830705","Évora",96910.75,2294123.98,20083.87,2847.07,372063.67,2786029.34
706,"1830706","Montemor-o-Novo",377179.63,2241640.91,26660.22,1854.58,508277.22,3155612.56
708,"1830708","Mourão",24912.79,445202.51,4068.82,10323.33,49322.33,533829.78
709,"1830709","Portel",141753.77,605666.04,6907.53,9649.6,247182.22,1011159.16
710,"1830710","Redondo",187344.18,514346.99,11023.66,3455.6,73233,789403.43
711,"1830711","Reguengos de Monsaraz",18435.47,420053.37,4825.81,10975.33,105833.67,560123.65
1215,"1831215","Sousel",52192.29,223325.86,1892.47,86.93,179294.89,456792.44
712,"1830712","Vendas Novas",0,247855.15,6529.03,217.33,46934.78,301536.29
713,"1830713","Viana do Alentejo",118709.45,702474.92,7617.2,19161.56,185544.67,1033507.8
714,"1830714","Vila Viçosa",17314.39,362667.19,12253.76,10185.69,76981.11,479402.14
201,"1840201","Aljustrel",88814.09,407541.86,7475.27,4752.36,151601,660184.58
202,"1840202","Almodôvar",373.7,240339.93,6079.57,7700.84,327279.44,581773.48
203,"1840203","Alvito",23542.59,523621.84,3761.29,231.82,101734.44,652891.98
204,"1840204","Barrancos",0,320800.75,3548.39,354.98,29747.89,354452.01
205,"1840205","Beja",124.56,914204.08,20320.43,20574.22,280976.67,1236199.96
206,"1840206","Castro Verde",747.38,618154.24,7617.2,2412.4,280722.11,909653.33
207,"1840207","Cuba",0,235480.61,4234.41,7889.2,63911,311515.22
208,"1840208","Ferreira do Alentejo",80219.18,502239.84,15234.41,594.04,195059.78,793347.25
209,"1840209","Mértola",0,442217.83,4660.22,43024.76,746822.11,1236724.92
210,"1840210","Moura",9093.17,1144811.44,19870.97,33027.42,212747,1419550
212,"1840212","Ourique",4235.17,471814.68,17529.03,7606.67,360222.44,861407.99
213,"1840213","Serpa",5356.25,868525.03,21195.7,20096.09,640514.44,1555687.51
214,"1840214","Vidigueira",1494.77,198015.06,3879.57,9410.53,103428.56,316228.49
1403,"1851403","Almeirim",747.38,19952.49,2412.9,224.58,5345.67,28683.02
1404,"1851404","Alpiarça",3363.23,23198.06,0,1485.11,4424,32470.4
1103,"1851103","Azambuja",71375.14,119638.57,12395.7,6034.62,22014.67,231458.7
1405,"1851405","Benavente",328599.69,770254.27,40309.68,15358.22,22778.33,1177300.19
1406,"1851406","Cartaxo",1370.2,86255.05,5677.42,1238.8,8575.89,103117.36
1407,"1851407","Chamusca",148604.79,260841.27,10739.78,4397.38,113136.78,537720
1409,"1851409","Coruche",235176.73,697256.21,23372.04,13634.04,86461.11,1055900.13
1412,"1851412","Golegã",4857.99,5302.85,3974.19,21.73,3581.33,17738.09
1414,"1851414","Rio Maior",40607.85,69626.29,12774.19,14858.36,38508.11,176374.8
1415,"1851415","Salvaterra de Magos",55306.39,112647.28,10716.13,231.82,8997.22,187898.84
1416,"1851416","Santarém",276033.71,176761.89,10574.19,29818.13,87014.11,580202.03
801,"1500801","Albufeira",0,1339.75,2176.34,253.56,31029.44,34799.09
802,"1500802","Alcoutim",256.53,3908.08,3288.17,12829.91,68773.89,89056.58
803,"1500803","Aljezur",0,110717.87,5582.8,1702.44,4318.67,122321.78
804,"1500804","Castro Marim",0,31571.49,4944.09,23435.78,24226.67,84178.03
805,"1500805","Faro",769.58,9080.32,1206.45,753.42,12640,24449.77
806,"1500806","Lagoa",0,9051.35,3122.58,1217.07,2966.89,16357.89
807,"1500807","Lagos",1881.19,37698.97,9982.8,420.18,2317.33,52300.47
808,"1500808","Loulé",940.59,8826.88,3832.26,3694.67,77595.56,94889.96
809,"1500809","Monchique",256.53,21026.43,1324.73,1485.11,2966.89,27059.69
810,"1500810","Olhão",0,2154.14,1490.32,43.47,5714.33,9402.26
811,"1500811","Portimão",2308.74,40203.91,8492.47,188.36,7733.22,58926.7
812,"1500812","São Brás de Alportel",0,137.35,449.46,1130.13,2519.22,4236.16
813,"1500813","Silves",3420.34,47092.37,9344.09,4498.8,77806.22,142161.82
814,"1500814","Tavira",171.01,5334.94,7782.8,5288.44,18968.78,37545.97
815,"1500815","Vila do Bispo",427.54,46779.48,2389.25,2202.31,51999.56,103798.14
816,"1500816","Vila Real de Santo António",342.04,93.87,3098.92,1115.64,3502.33,8152.8
