"Muni_ID","ID","Muni","Bovine","Equides","Goats","Poultry","Rabbits","Sheep","Swine","total"
213,"1840213","Serpa",893545.7574,19712,18086.48,13794.13,297,576463,62095.5,1583993.8674
214,"1840214","Vidigueira",202131.1416,3608,8469.48,330.71,0,93085.7,4812.5,312437.5316
1403,"1851403","Almeirim",21535.5708,2244,202.12,12688.09,3168,4811.1,554,45202.8808
1404,"1851404","Alpiarça",26507.5686,0,1336.6,603.95,1674,3981.6,61,34164.7186
1103,"1851103","Azambuja",190769.5114,11528,5431.16,68104.74,4266,19813.2,150371.5,450284.1114
1405,"1851405","Benavente",1106487.6284,37488,13822.4,66007.23,657,20500.5,735533.5,1980496.2584
1406,"1851406","Cartaxo",93144.3798,5280,1114.92,71636.12,1647,7718.3,1050832,1231372.7198
1407,"1851407","Chamusca",409791.8274,9988,3957.64,601.25,1818,101823.1,301,528280.8174
1409,"1851409","Coruche",937426.2784,21736,12270.64,3852.16,5895,77815,138927,1197922.0784
1412,"1851412","Golegã",10028.7102,3696,19.56,328.92,837,3223.2,355,18488.3902
1414,"1851414","Rio Maior",113439.3468,11880,13372.52,752597.32,6381,34657.3,459621,1391948.4868
1415,"1851415","Salvaterra de Magos",169977.2392,9966,208.64,44605.43,1566,8097.5,83900,318320.8092
1416,"1851416","Santarém",451799.1488,9834,26836.32,469308.96,22626,78312.7,587069,1645786.1288
801,"1500801","Albufeira",1450,2024,228.2,1448.71,1215,27926.5,564.5,34856.91
802,"1500802","Alcoutim",4274.9595,3058,11546.92,3175.51,351,61896.5,2842.5,87145.3895
803,"1500803","Aljezur",112850,5192,1532.2,2425.57,3078,3886.8,2894,131858.57
804,"1500804","Castro Marim",33705,4598,21092.2,2418.17,396,21804,4784.5,88797.87
805,"1500805","Faro",10404.8785,1122,678.08,1395.74,1215,11376,565,26756.6985
806,"1500806","Lagoa",9315,2904,1095.36,1029.98,396,2670.2,20132.5,37543.04
807,"1500807","Lagos",40734.703,9284,378.16,2101.98,837,2085.6,1537,56958.443
808,"1500808","Loulé",9984.8515,3564,3325.2,6955.28,4284,69836,5395.5,103344.8315
809,"1500809","Monchique",22309.9595,1232,1336.6,2638.8,7416,2670.2,75026.5,112630.0595
810,"1500810","Olhão",2280,1386,39.12,2168.99,639,5142.9,606.5,12262.51
811,"1500811","Portimão",43494.6355,7898,169.52,1857.69,3276,6959.9,15374,79029.7455
812,"1500812","São Brás de Alportel",145,418,1017.12,1557.38,2529,2267.3,698.5,8632.3
813,"1500813","Silves",52099.46,8690,4048.92,5723.16,3771,70025.6,35755,180113.14
814,"1500814","Tavira",6174.973,7238,4759.6,6306.67,2664,17071.9,5736.5,49951.643
815,"1500815","Vila do Bispo",48449.9325,2222,1982.08,721.42,828,46799.6,663.5,101666.5325
816,"1500816","Vila Real de Santo António",364.946,2882,1004.08,1049.6,639,3152.1,574.5,9666.226
