Muni_ID,ID,Muni,nuts3,agrarian_region,spring_gw,superficial,well_gw
1303,1151303,Felgueiras,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1305,1151305,Lousada,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1307,1151307,Marco de Canaveses,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1309,1151309,Paços de Ferreira,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1310,1151310,Paredes,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1311,1151311,Penafiel,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1705,1151705,Mondim de Basto,AVE,ENTRE DOURO E MINHO,0.41,0.28,0.31
1709,1151709,Ribeira de Pena,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1804,1151804,Cinfães,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1813,1151813,Resende,TÂMEGA E SOUSA,ENTRE DOURO E MINHO,0.41,0.28,0.31
104,1160104,Arouca,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
109,1160109,Santa Maria da Feira,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
113,1160113,Oliveira de Azeméis,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
116,1160116,São João da Madeira,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
119,1160119,Vale de Cambra,ÁREA METROPOLITANA DO PORTO,ENTRE DOURO E MINHO,0.41,0.28,0.31
403,1170403,Carrazeda de Ansiães,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
404,1170404,Freixo de Espada à Cinta,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
409,1170409,Torre de Moncorvo,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
410,1170410,Vila Flor,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.24,0.3,0.46
914,1170914,Vila Nova de Foz Côa,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1701,1171701,Alijó,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1704,1171704,Mesão Frio,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1708,1171708,Peso da Régua,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1710,1171710,Sabrosa,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1711,1171711,Santa Marta de Penaguião,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1714,1171714,Vila Real,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1801,1171801,Armamar,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1805,1171805,Lamego,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1807,1171807,Moimenta da Beira,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1812,1171812,Penedono,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1815,1171815,São João da Pesqueira,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1818,1171818,Sernancelhe,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1819,1171819,Tabuaço,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1820,1171820,Tarouca,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
401,1180401,Alfândega da Fé,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.24,0.3,0.46
402,1180402,Bragança,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.24,0.3,0.46
405,1180405,Macedo de Cavaleiros,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.24,0.3,0.46
406,1180406,Miranda do Douro,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.24,0.3,0.46
407,1180407,Mirandela,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.24,0.3,0.46
408,1180408,Mogadouro,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.24,0.3,0.46
411,1180411,Vimioso,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.24,0.3,0.46
412,1180412,Vinhais,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.24,0.3,0.46
1702,1181702,Boticas,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1703,1181703,Chaves,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1706,1181706,Montalegre,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1707,1181707,Murça,DOURO,ENTRE DOURO E MINHO,0.41,0.28,0.31
1712,1181712,Valpaços,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.41,0.28,0.31
1713,1181713,Vila Pouca de Aguiar,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.41,0.28,0.31
801,1500801,Albufeira,ALGARVE,ALGARVE,0.04,0.23,0.73
802,1500802,Alcoutim,ALGARVE,ALGARVE,0.04,0.23,0.73
803,1500803,Aljezur,ALGARVE,ALGARVE,0.04,0.23,0.73
804,1500804,Castro Marim,ALGARVE,ALGARVE,0.04,0.23,0.73
805,1500805,Faro,ALGARVE,ALGARVE,0.04,0.23,0.73
806,1500806,Lagoa,ALGARVE,ALGARVE,0.04,0.23,0.73
807,1500807,Lagos,ALGARVE,ALGARVE,0.04,0.23,0.73
808,1500808,Loulé,ALGARVE,ALGARVE,0.04,0.23,0.73
809,1500809,Monchique,ALGARVE,ALGARVE,0.04,0.23,0.73
810,1500810,Olhão,ALGARVE,ALGARVE,0.04,0.23,0.73
811,1500811,Portimão,ALGARVE,ALGARVE,0.04,0.23,0.73
812,1500812,São Brás de Alportel,ALGARVE,ALGARVE,0.04,0.23,0.73
813,1500813,Silves,ALGARVE,ALGARVE,0.04,0.23,0.73
814,1500814,Tavira,ALGARVE,ALGARVE,0.04,0.23,0.73
815,1500815,Vila do Bispo,ALGARVE,ALGARVE,0.04,0.23,0.73
816,1500816,Vila Real de Santo António,ALGARVE,ALGARVE,0.04,0.23,0.73
101,1610101,Águeda,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
102,1610102,Albergaria-a-Velha,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
103,1610103,Anadia,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
105,1610105,Aveiro,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
108,1610108,Estarreja,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
110,1610110,Ílhavo,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
111,1610111,Mealhada,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
112,1610112,Murtosa,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
114,1610114,Oliveira do Bairro,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
115,1610115,Ovar,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
117,1610117,Sever do Vouga,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
118,1610118,Vagos,REGIÃO DE AVEIRO,BEIRA LITORAL,0.11,0.2,0.69
602,1620602,Cantanhede,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
603,1620603,Coimbra,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
604,1620604,Condeixa-a-Nova,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
605,1620605,Figueira da Foz,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
608,1620608,Mira,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
610,1620610,Montemor-o-Velho,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
613,1620613,Penacova,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
615,1620615,Soure,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
1004,1631004,Batalha,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
1009,1631009,Leiria,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
1010,1631010,Marinha Grande,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
1015,1631015,Pombal,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
1016,1631016,Porto de Mós,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
601,1640601,Arganil,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
606,1640606,Góis,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
607,1640607,Lousã,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
609,1640609,Miranda do Corvo,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
611,1640611,Oliveira do Hospital,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
612,1640612,Pampilhosa da Serra,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
614,1640614,Penela,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
616,1640616,Tábua,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
617,1640617,Vila Nova de Poiares,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
1002,1641002,Alvaiázere,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
1003,1641003,Ansião,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
1007,1641007,Castanheira de Pêra,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
1008,1641008,Figueiró dos Vinhos,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
1013,1641013,Pedrógão Grande,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.01,0.2,0.79
901,1650901,Aguiar da Beira,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1802,1651802,Carregal do Sal,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1803,1651803,Castro Daire,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1806,1651806,Mangualde,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1808,1651808,Mortágua,REGIÃO DE COIMBRA,BEIRA LITORAL,0.11,0.2,0.69
1809,1651809,Nelas,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1810,1651810,Oliveira de Frades,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1811,1651811,Penalva do Castelo,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1814,1651814,Santa Comba Dão,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1816,1651816,São Pedro do Sul,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1817,1651817,Sátão,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1821,1651821,Tondela,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1822,1651822,Vila Nova de Paiva,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1823,1651823,Viseu,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
1824,1651824,Vouzela,VISEU DÃO LAFÕES,BEIRA LITORAL,0.11,0.2,0.69
506,1660506,Oleiros,BEIRA BAIXA,BEIRA INTERIOR,0.1,0.3,0.6
508,1660508,Proença-a-Nova,BEIRA BAIXA,BEIRA INTERIOR,0.1,0.3,0.6
509,1660509,Sertã,MÉDIO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
510,1660510,Vila de Rei,MÉDIO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1413,1661413,Mação,MÉDIO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
905,1670905,Fornos de Algodres,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
906,1670906,Gouveia,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
912,1670912,Seia,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
902,1680902,Almeida,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
903,1680903,Celorico da Beira,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
904,1680904,Figueira de Castelo Rodrigo,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
907,1680907,Guarda,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
908,1680908,Manteigas,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
909,1680909,Mêda,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
910,1680910,Pinhel,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
911,1680911,Sabugal,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
913,1680913,Trancoso,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
502,1690502,Castelo Branco,BEIRA BAIXA,BEIRA INTERIOR,0.1,0.3,0.6
505,1690505,Idanha-a-Nova,BEIRA BAIXA,BEIRA INTERIOR,0.1,0.3,0.6
507,1690507,Penamacor,BEIRA BAIXA,BEIRA INTERIOR,0.1,0.3,0.6
511,1690511,Vila Velha de Ródão,BEIRA BAIXA,BEIRA INTERIOR,0.1,0.3,0.6
1105,1711105,Cascais,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1106,1711106,Lisboa,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1107,1711107,Loures,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1109,1711109,Mafra,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1110,1711110,Oeiras,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1111,1711111,Sintra,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1114,1711114,Vila Franca de Xira,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1115,1711115,Amadora,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1116,1711116,Odivelas,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1502,1721502,Alcochete,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1503,1721503,Almada,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1504,1721504,Barreiro,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1506,1721506,Moita,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1507,1721507,Montijo,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1508,1721508,Palmela,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1510,1721510,Seixal,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1511,1721511,Sesimbra,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
1512,1721512,Setúbal,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.01,0.2,0.79
211,1810211,Odemira,ALENTEJO LITORAL,ALENTEJO,0.03,0.4,0.57
1501,1811501,Alcácer do Sal,ALENTEJO LITORAL,ALENTEJO,0.03,0.4,0.57
1505,1811505,Grândola,ALENTEJO LITORAL,ALENTEJO,0.03,0.4,0.57
1509,1811509,Santiago do Cacém,ALENTEJO LITORAL,ALENTEJO,0.03,0.4,0.57
1513,1811513,Sines,ALENTEJO LITORAL,ALENTEJO,0.03,0.4,0.57
707,1820707,Mora,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
1201,1821201,Alter do Chão,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1202,1821202,Arronches,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1203,1821203,Avis,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1204,1821204,Campo Maior,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1205,1821205,Castelo de Vide,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1206,1821206,Crato,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1207,1821207,Elvas,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1208,1821208,Fronteira,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1209,1821209,Gavião,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1210,1821210,Marvão,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1211,1821211,Monforte,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1212,1821212,Nisa,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1213,1821213,Ponte de Sor,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1214,1821214,Portalegre,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
701,1830701,Alandroal,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
702,1830702,Arraiolos,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
703,1830703,Borba,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
704,1830704,Estremoz,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
705,1830705,Évora,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
706,1830706,Montemor-o-Novo,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
708,1830708,Mourão,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
709,1830709,Portel,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
710,1830710,Redondo,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
711,1830711,Reguengos de Monsaraz,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
712,1830712,Vendas Novas,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
713,1830713,Viana do Alentejo,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
714,1830714,Vila Viçosa,ALENTEJO CENTRAL,ALENTEJO,0.03,0.4,0.57
1215,1831215,Sousel,ALTO ALENTEJO,ALENTEJO,0.03,0.4,0.57
201,1840201,Aljustrel,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
202,1840202,Almodôvar,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
203,1840203,Alvito,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
204,1840204,Barrancos,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
205,1840205,Beja,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
206,1840206,Castro Verde,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
207,1840207,Cuba,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
208,1840208,Ferreira do Alentejo,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
209,1840209,Mértola,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
210,1840210,Moura,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
212,1840212,Ourique,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
213,1840213,Serpa,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
214,1840214,Vidigueira,BAIXO ALENTEJO,ALENTEJO,0.03,0.4,0.57
1103,1851103,Azambuja,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1403,1851403,Almeirim,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1404,1851404,Alpiarça,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1405,1851405,Benavente,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1406,1851406,Cartaxo,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1407,1851407,Chamusca,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1409,1851409,Coruche,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1412,1851412,Golegã,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1414,1851414,Rio Maior,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1415,1851415,Salvaterra de Magos,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1416,1851416,Santarém,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
501,16A0501,Belmonte,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
503,16A0503,Covilhã,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
504,16A0504,Fundão,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.1,0.3,0.6
1001,16B1001,Alcobaça,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1005,16B1005,Bombarral,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1006,16B1006,Caldas da Rainha,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1011,16B1011,Nazaré,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1012,16B1012,Óbidos,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1014,16B1014,Peniche,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1101,16B1101,Alenquer,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1102,16B1102,Arruda dos Vinhos,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1104,16B1104,Cadaval,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1108,16B1108,Lourinhã,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1112,16B1112,Sobral de Monte Agraço,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1113,16B1113,Torres Vedras,OESTE,RIBATEJO E OESTE,0.01,0.2,0.79
1401,16C1401,Abrantes,MÉDIO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1402,16C1402,Alcanena,MÉDIO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1408,16C1408,Constância,MÉDIO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1410,16C1410,Entroncamento,MÉDIO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1411,16C1411,Ferreira do Zêzere,MÉDIO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
1417,16C1417,Sardoal,MÉDIO TEJO,RIBATEJO E OESTE,0.01,0.2,0.79
