Muni_ID,ID,Muni,nuts3,agrarian_region,artificial_sup,natural_sup,well_gw,spring_gw
408,1180408,Mogadouro,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.09,0.21,0.46,0.24
411,1180411,Vimioso,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.09,0.21,0.46,0.24
412,1180412,Vinhais,TERRAS DE TRÁS-OS-MONTES,TRÁS OS MONTES,0.09,0.21,0.46,0.24
1702,1181702,Boticas,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1703,1181703,Chaves,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1706,1181706,Montalegre,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1707,1181707,Murça,DOURO,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1712,1181712,Valpaços,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
1713,1181713,Vila Pouca de Aguiar,ALTO TÂMEGA,ENTRE DOURO E MINHO,0.06,0.22,0.31,0.41
801,1500801,Albufeira,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
802,1500802,Alcoutim,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
803,1500803,Aljezur,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
804,1500804,Castro Marim,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
805,1500805,Faro,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
806,1500806,Lagoa,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
807,1500807,Lagos,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
808,1500808,Loulé,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
809,1500809,Monchique,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
810,1500810,Olhão,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
811,1500811,Portimão,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
812,1500812,São Brás de Alportel,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
813,1500813,Silves,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
814,1500814,Tavira,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
815,1500815,Vila do Bispo,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
816,1500816,Vila Real de Santo António,ALGARVE,ALGARVE,0.2,0.03,0.73,0.04
101,1610101,Águeda,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
102,1610102,Albergaria-a-Velha,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
103,1610103,Anadia,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
105,1610105,Aveiro,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
108,1610108,Estarreja,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
110,1610110,Ílhavo,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
111,1610111,Mealhada,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
112,1610112,Murtosa,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
114,1610114,Oliveira do Bairro,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
115,1610115,Ovar,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
117,1610117,Sever do Vouga,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
118,1610118,Vagos,REGIÃO DE AVEIRO,BEIRA LITORAL,0.05,0.15,0.69,0.11
602,1620602,Cantanhede,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
603,1620603,Coimbra,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
604,1620604,Condeixa-a-Nova,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
605,1620605,Figueira da Foz,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
608,1620608,Mira,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
610,1620610,Montemor-o-Velho,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
613,1620613,Penacova,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
615,1620615,Soure,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
1004,1631004,Batalha,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1009,1631009,Leiria,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1010,1631010,Marinha Grande,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1015,1631015,Pombal,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1016,1631016,Porto de Mós,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
601,1640601,Arganil,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
606,1640606,Góis,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
607,1640607,Lousã,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
609,1640609,Miranda do Corvo,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
611,1640611,Oliveira do Hospital,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
612,1640612,Pampilhosa da Serra,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
614,1640614,Penela,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
616,1640616,Tábua,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
617,1640617,Vila Nova de Poiares,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
1002,1641002,Alvaiázere,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1003,1641003,Ansião,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1007,1641007,Castanheira de Pêra,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1008,1641008,Figueiró dos Vinhos,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1013,1641013,Pedrógão Grande,REGIÃO DE LEIRIA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
901,1650901,Aguiar da Beira,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1802,1651802,Carregal do Sal,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1803,1651803,Castro Daire,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1806,1651806,Mangualde,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1808,1651808,Mortágua,REGIÃO DE COIMBRA,BEIRA LITORAL,0.05,0.15,0.69,0.11
1809,1651809,Nelas,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1810,1651810,Oliveira de Frades,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1811,1651811,Penalva do Castelo,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1814,1651814,Santa Comba Dão,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1816,1651816,São Pedro do Sul,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1817,1651817,Sátão,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1821,1651821,Tondela,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1822,1651822,Vila Nova de Paiva,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1823,1651823,Viseu,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
1824,1651824,Vouzela,VISEU DÃO LAFÕES,BEIRA LITORAL,0.05,0.15,0.69,0.11
506,1660506,Oleiros,BEIRA BAIXA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
508,1660508,Proença-a-Nova,BEIRA BAIXA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
509,1660509,Sertã,MÉDIO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
510,1660510,Vila de Rei,MÉDIO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1413,1661413,Mação,MÉDIO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
905,1670905,Fornos de Algodres,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
906,1670906,Gouveia,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
912,1670912,Seia,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
902,1680902,Almeida,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
903,1680903,Celorico da Beira,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
904,1680904,Figueira de Castelo Rodrigo,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
907,1680907,Guarda,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
908,1680908,Manteigas,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
909,1680909,Mêda,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
910,1680910,Pinhel,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
911,1680911,Sabugal,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
913,1680913,Trancoso,BEIRAS E SERRA DA ESTRELA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
502,1690502,Castelo Branco,BEIRA BAIXA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
505,1690505,Idanha-a-Nova,BEIRA BAIXA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
507,1690507,Penamacor,BEIRA BAIXA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
511,1690511,Vila Velha de Ródão,BEIRA BAIXA,BEIRA INTERIOR,0.16,0.14,0.6,0.1
1105,1711105,Cascais,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1106,1711106,Lisboa,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1107,1711107,Loures,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1109,1711109,Mafra,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1110,1711110,Oeiras,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1111,1711111,Sintra,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1114,1711114,Vila Franca de Xira,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1115,1711115,Amadora,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1116,1711116,Odivelas,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1502,1721502,Alcochete,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1503,1721503,Almada,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1504,1721504,Barreiro,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1506,1721506,Moita,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1507,1721507,Montijo,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1508,1721508,Palmela,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1510,1721510,Seixal,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1511,1721511,Sesimbra,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1512,1721512,Setúbal,ÁREA METROPOLITANA DE LISBOA,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
211,1810211,Odemira,ALENTEJO LITORAL,ALENTEJO,0.34,0.06,0.57,0.03
1501,1811501,Alcácer do Sal,ALENTEJO LITORAL,ALENTEJO,0.34,0.06,0.57,0.03
1505,1811505,Grândola,ALENTEJO LITORAL,ALENTEJO,0.34,0.06,0.57,0.03
1509,1811509,Santiago do Cacém,ALENTEJO LITORAL,ALENTEJO,0.34,0.06,0.57,0.03
1513,1811513,Sines,ALENTEJO LITORAL,ALENTEJO,0.34,0.06,0.57,0.03
707,1820707,Mora,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
1201,1821201,Alter do Chão,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1202,1821202,Arronches,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1203,1821203,Avis,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1204,1821204,Campo Maior,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1205,1821205,Castelo de Vide,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1206,1821206,Crato,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1207,1821207,Elvas,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1208,1821208,Fronteira,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1209,1821209,Gavião,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1210,1821210,Marvão,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1211,1821211,Monforte,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1212,1821212,Nisa,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1213,1821213,Ponte de Sor,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1214,1821214,Portalegre,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
701,1830701,Alandroal,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
702,1830702,Arraiolos,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
703,1830703,Borba,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
704,1830704,Estremoz,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
705,1830705,Évora,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
706,1830706,Montemor-o-Novo,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
708,1830708,Mourão,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
709,1830709,Portel,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
710,1830710,Redondo,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
711,1830711,Reguengos de Monsaraz,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
712,1830712,Vendas Novas,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
713,1830713,Viana do Alentejo,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
714,1830714,Vila Viçosa,ALENTEJO CENTRAL,ALENTEJO,0.34,0.06,0.57,0.03
1215,1831215,Sousel,ALTO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
201,1840201,Aljustrel,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
202,1840202,Almodôvar,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
203,1840203,Alvito,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
204,1840204,Barrancos,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
205,1840205,Beja,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
206,1840206,Castro Verde,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
207,1840207,Cuba,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
208,1840208,Ferreira do Alentejo,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
209,1840209,Mértola,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
210,1840210,Moura,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
212,1840212,Ourique,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
213,1840213,Serpa,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
214,1840214,Vidigueira,BAIXO ALENTEJO,ALENTEJO,0.34,0.06,0.57,0.03
1103,1851103,Azambuja,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1403,1851403,Almeirim,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1404,1851404,Alpiarça,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1405,1851405,Benavente,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1406,1851406,Cartaxo,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1407,1851407,Chamusca,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1409,1851409,Coruche,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1412,1851412,Golegã,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1414,1851414,Rio Maior,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
1415,1851415,Salvaterra de Magos,LEZÍRIA DO TEJO,RIBATEJO E OESTE,0.07,0.13,0.79,0.01
