Muni_ID,ID,Muni,dairy,other_cattle,sheep,goat,poultry,pigs,horses
1101,16B1101,Alenquer,171,49448,19889,4941,5900,917,5958
1102,16B1102,Arruda dos Vinhos,3791,15262,10161,920,1346,1896,1232
1005,16B1005,Bombarral,4846,14920,3062,36,706,60,299
1104,16B1104,Cadaval,5074,19710,7608,5902,593,7322,651
1006,16B1006,Caldas da Rainha,86,29685,18021,3907,4722,10428,854
1108,16B1108,Lourinhã,19868,48157,20109,10982,3358,30290,431
1011,16B1011,Nazaré,10490,20516,4867,253,5,2172,299
1012,16B1012,Óbidos,1083,2699,4842,3111,23,72,1434
1014,16B1014,Peniche,228,8691,12136,6682,20,938,53
1112,16B1112,Sobral de Monte Agraço,8665,63920,14173,124,487,3054,1734
1113,16B1113,Torres Vedras,45807,105501,48348,11323,5255,16851,4470
1401,16C1401,Abrantes,5644,52454,70174,5881,15,712,5139
1402,16C1402,Alcanena,12029,41793,17801,7163,222,113,554
1408,16C1408,Constância,0,0,704,26,1,0,422
1410,16C1410,Entroncamento,0,1048,3163,16,1,0,0
1411,16C1411,Ferreira do Zêzere,0,7041,13771,5106,23,9537,686
1421,16C1421,Ourém,2651,32860,29824,7830,2864,375,810
1417,16C1417,Sardoal,0,7337,4471,362,5,37,238
1418,16C1418,Tomar,4561,27884,34156,5121,4287,4113,4910
1419,16C1419,Torres Novas,1026,27504,35295,6413,2691,2996,2077
1420,16C1420,Vila Nova da Barquinha,0,0,2509,331,2,2,211
1115,1711115,Amadora,0,0,1132,21,0,0,0
1105,1711105,Cascais,95,1408,1937,408,0,1,0
1106,1711106,Lisboa,0,0,182,41,0,1,0
1107,1711107,Loures,23311,47139,27472,3370,9,33,1866
1109,1711109,Mafra,35966,176782,50348,3225,10180,2930,3960
1116,1711116,Odivelas,159,4043,6445,83,1,10,1514
1110,1711110,Oeiras,0,0,239,0,0,0,0
1111,1711111,Sintra,15604,35706,25951,1592,23,108,2825
1114,1711114,Vila Franca de Xira,27086,103049,18701,749,10,9,5034
1502,1721502,Alcochete,0,67763,4697,21,5,1573,2262
1503,1721503,Almada,698,4389,6533,636,4,6,1038
1504,1721504,Barreiro,0,8750,2308,150,4,7,88
1506,1721506,Moita,30733,25996,8080,1297,25,704,2314
1507,1721507,Montijo,25500,126808,57592,331,17,41332,3969
1508,1721508,Palmela,58738,392624,121063,5080,108,10772,7322
1510,1721510,Seixal,63,3865,3282,894,1,2,0
1511,1721511,Sesimbra,190,5659,8809,610,8,15,889
1512,1721512,Setúbal,95,8654,31591,3220,10,22,3916
1501,1811501,Alcácer do Sal,19061,1518750,165808,475,7,2498,4497
1505,1811505,Grândola,13505,287527,172958,1375,27,20507,1751
211,1810211,Odemira,100252,1136567,196085,10088,68,2017,7964
1509,1811509,Santiago do Cacém,14814,1029518,213037,2372,45,13577,4699
1513,1811513,Sines,3289,109906,48179,1116,14,45,1575
1201,1821201,Alter do Chão,15708,651220,125609,1819,2,127,11414
1202,1821202,Arronches,3895,647088,82172,889,0,1331,1663
1203,1821203,Avis,13633,592862,195167,1654,1,1392,1619
1204,1821204,Campo Maior,28415,321569,22266,41,0,136,862
1205,1821205,Castelo de Vide,0,393790,47229,1499,2,19,449
1206,1821206,Crato,5779,663134,77625,5380,1,2153,1056
1207,1821207,Elvas,18933,1174606,142826,372,5,296,10402
1208,1821208,Fronteira,11462,256659,140279,915,1,6,1302
1209,1821209,Gavião,0,134041,8816,3230,9,25,616
1210,1821210,Marvão,96,114090,42708,1835,0,8,343
1211,1821211,Monforte,798,1236258,75959,1421,0,320,1514
707,1820707,Mora,7950,531421,144869,207,9,223,1408
1212,1821212,Nisa,894,351231,129432,5876,4,203,3678
1213,1821213,Ponte de Sor,128,407762,205787,6269,32,3568,3714
1214,1821214,Portalegre,20338,548347,122346,9643,5,199,1619
701,1830701,Alandroal,38473,678168,137934,24719,19,1498,5130
702,1830702,Arraiolos,32023,1055769,175284,7514,32,17700,1619
703,1830703,Borba,2075,110350,57064,171,3,1342,642
704,1830704,Estremoz,7982,411184,245521,2827,19,3525,1540
705,1830705,Évora,24840,2153656,266529,2031,14,2423,7471
706,1830706,Montemor-o-Novo,96676,2141467,364107,1323,154,32446,9918
708,1830708,Mourão,6385,413349,35332,7364,2,857,1514
709,1830709,Portel,36333,566475,177070,6884,8,15608,2570
710,1830710,Redondo,48019,484665,52461,2465,8,1169,4101
711,1830711,Reguengos de Monsaraz,4725,392914,75814,7830,7,1006,1795
1215,1831215,Sousel,13378,210401,128439,62,1,931,704
712,1830712,Vendas Novas,0,213154,33622,155,4584,12930,2429
713,1830713,Viana do Alentejo,30427,658457,132916,13669,3,4104,2834
714,1830714,Vila Viçosa,4438,346769,55146,7266,2,112,4558
201,1840201,Aljustrel,22764,380956,108600,3390,8,481,2781
202,1840202,Almodôvar,96,220527,234448,5494,15,1739,2262
203,1840203,Alvito,6034,511728,72878,165,2,124,1399
204,1840204,Barrancos,0,305013,21310,253,0,1777,1320
205,1840205,Beja,32,870158,201279,14677,11,3091,7559
206,1840206,Castro Verde,192,582906,201097,1721,8,852,2834
207,1840207,Cuba,0,214273,45783,5628,217,7310,1575
208,1840208,Ferreira do Alentejo,20561,475352,139732,424,4,5485,5667
209,1840209,Mértola,0,417537,534989,30693,24,2582,1734
210,1840210,Moura,2331,1069950,152402,23561,14,3000,7392
212,1840212,Ourique,1086,456191,258047,5426,12,11860,6521
213,1840213,Serpa,1373,798138,458835,14336,32,2496,7885
214,1840214,Vidigueira,383,192400,74092,6713,3,150,1443
1403,1851403,Almeirim,192,13354,3829,160,15,25,898
1404,1851404,Alpiarça,862,22086,3169,1059,6,3,0
1103,1851103,Azambuja,18294,96809,15770,4305,2119,6252,4611
1405,1851405,Benavente,84224,643982,16317,10956,5,30933,14995
1406,1851406,Cartaxo,351,62559,6143,884,148,44002,2112
1407,1851407,Chamusca,38089,220761,81046,3137,3,13,3995
1409,1851409,Coruche,60279,610552,61937,9726,32,5902,8694
1412,1851412,Golegã,1245,4577,2566,16,2,13,1478
1414,1851414,Rio Maior,10408,49529,27585,10600,19537,19369,4752
1415,1851415,Salvaterra de Magos,14176,79368,6445,165,9,3557,3986
1416,1851416,Santarém,70751,126778,62333,21271,9327,24855,3934
801,1500801,Albufeira,0,941,22228,181,10,21,810
802,1500802,Alcoutim,49,3007,49266,9153,29,122,1223
803,1500803,Aljezur,0,104037,3094,1214,16,114,2077
804,1500804,Castro Marim,0,18974,17355,16718,18,200,1839
805,1500805,Faro,146,5480,9055,537,5,23,449
806,1500806,Lagoa,0,8118,2125,868,8,840,1162
807,1500807,Lagos,357,30948,1660,300,15,60,3714
808,1500808,Loulé,179,7196,55586,2636,51,220,1426
809,1500809,Monchique,49,15989,2125,1059,20,2916,493
810,1500810,Olhão,0,1848,4093,31,6,26,554
811,1500811,Portimão,439,31845,5540,134,16,626,3159
812,1500812,São Brás de Alportel,0,115,1805,806,10,30,167
813,1500813,Silves,650,38836,55737,3209,41,1387,3476
814,1500814,Tavira,32,3734,13588,3773,24,238,2895
815,1500815,Vila do Bispo,81,42142,37250,1571,4,28,889
816,1500816,Vila Real de Santo António,65,56,2509,796,3,24,1153
