"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip"
"116",1008,"1641008","Figueiró dos Vinhos",0,0,0,0,0,0
"117",606,"1640606","Góis",50,0,0,0,0,0
"118",607,"1640607","Lousã",0,0,0,0,0,0
"119",609,"1640609","Miranda do Corvo",5,0,11,0,0,0
"120",611,"1640611","Oliveira do Hospital",167,0,468,0,0,0
"121",612,"1640612","Pampilhosa da Serra",13,0,7,0,0,0
"122",1013,"1641013","Pedrógão Grande",0,0,0,0,0,0
"123",614,"1640614","Penela",3,0,33,27,0,0
"124",616,"1640616","Tábua",23,0,180,0,0,0
"125",617,"1640617","Vila Nova de Poiares",0,0,0,0,0,0
"126",901,"1650901","Aguiar da Beira",44,0,295,0,0,0
"127",1802,"1651802","Carregal do Sal",0,0,56,0,0,0
"128",1803,"1651803","Castro Daire",199,0,21,0,0,0
"129",1806,"1651806","Mangualde",86,0,627,3,0,0
"130",1808,"1651808","Mortágua",13,0,3,0,0,0
"131",1809,"1651809","Nelas",21,0,189,17,0,0
"132",1810,"1651810","Oliveira de Frades",115,0,71,0,0,0
"133",1811,"1651811","Penalva do Castelo",81,0,74,3,0,0
"134",1814,"1651814","Santa Comba Dão",4,0,104,0,0,0
"135",1816,"1651816","São Pedro do Sul",252,0,37,11,0,0
"136",1817,"1651817","Sátão",52,0,54,0,0,0
"137",1821,"1651821","Tondela",291,0,177,0,0,0
"138",1822,"1651822","Vila Nova de Paiva",76,0,17,0,0,0
"139",1823,"1651823","Viseu",206,0,92,3,6,0
"140",1824,"1651824","Vouzela",72,0,94,2,0,0
"141",1413,"1661413","Mação",5,0,22,0,0,0
"142",506,"1660506","Oleiros",19,0,26,0,0,0
"143",508,"1660508","Proença-a-Nova",38,0,25,0,0,0
"144",509,"1660509","Sertã",12,0,56,0,0,0
"145",510,"1660510","Vila de Rei",5,0,0,0,0,0
"146",905,"1670905","Fornos de Algodres",86,0,308,8,0,0
"147",906,"1670906","Gouveia",113,0,159,0,0,0
"148",912,"1670912","Seia",160,0,677,1,0,0
"149",902,"1680902","Almeida",50,0,105,0,0,0
"150",903,"1680903","Celorico da Beira",134,0,419,51,0,0
"151",904,"1680904","Figueira de Castelo Rodrigo",2,0,0,40,0,0
"152",907,"1680907","Guarda",259,0,252,12,0,0
"153",908,"1680908","Manteigas",2,0,28,0,0,0
