Longitude,Latitude,WaterbaseID,NationalStationID,Year,Minimum,Mean,Maximum,Median
-8.50268,41.0939,PT_RV_07F/03,07F/03,2007,3.842,4.69334,5.5144,4.7234
-8.46539,40.8382,PT_RV_08G/02,08G/02,2007,2.3052,3.12829,3.8872,3.0736
-8.4587,40.7009,PT_RV_09G/01,09G/01,2007,1.3786,1.88529,3.164,1.7854
-8.09383,40.7398,PT_RV_09I/02,09I/02,2007,0.6554,0.77405,0.904,0.77405
-8.54338,40.6273,PT_RV_10F/04,10F/04,2007,1.017,1.35984,1.9888,1.2882
-7.85854,40.4885,PT_RV_10K/03,10K/03,2007,0.452,0.600482,0.8362,0.5876
-8.75832,40.4328,PT_RV_11E/01,11E/01,2007,1.7176,2.52713,4.52,2.26
-8.03317,40.4675,PT_RV_11I/01,11I/01,2007,0.452,1.32662,2.486,1.356
-7.81475,40.3415,PT_RV_11K/03,11K/03,2007,0.4746,0.7232,1.0396,0.6441
-8.64117,40.1789,PT_RV_12F/04,12F/04,2007,0.5424,1.21023,1.9436,1.243
-8.27413,40.2703,PT_RV_12H/02,12H/02,2007,0.791,1.00864,1.356,0.9153
-7.33393,39.8578,PT_RV_14N/02,14N/02,2007,0.452,0.629636,0.8588,0.6102
-8.76993,39.6835,PT_RV_15E/06,15E/06,2007,2.26,3.01326,3.616,2.938
-7.75879,39.7352,PT_RV_15K/01,15K/01,2007,0.4746,0.907164,2.1018,0.678
-9.12597,38.8518,PT_RV_20C/01,20C/01,2007,0.226,3.62504,7.91,3.503
-7.61838,37.3466,PT_RV_29L/01,29L/01,2007,0.3164,0.3164,0.3164,0.3164
-7.48615,37.3671,PT_RV_29M/01,29M/01,2007,0.7006,0.7006,0.7006,0.7006
-8.78316,37.3135,PT_RV_30E/04,30E/04,2007,0.226,0.3616,0.5198,0.3503
-8.60448,37.2063,PT_RV_30F/02,30F/02,2007,0.226,0.2712,0.3164,0.2712
-8.17368,37.1235,PT_RV_31H/02,31H/02,2007,0.5424,0.955754,1.3108,0.9492
-7.69859,37.1636,PT_RV_31K/03,31K/03,2007,0.9492,0.9492,0.9492,0.9492
-8.54338,40.6273,PT_RV_10F/04,10F/04,2008,0.9944,1.23272,1.5594,1.2882
-8.09383,40.7398,PT_RV_09I/02,09I/02,2008,0.5198,0.756083,0.9944,0.7232
-8.4587,40.7009,PT_RV_09G/01,09G/01,2008,0.8588,1.921,2.712,1.7402
-7.69702,40.8496,PT_RV_08K/01,08K/01,2008,0.226,0.297574,0.565,0.226
-8.46539,40.8382,PT_RV_08G/02,08G/02,2008,1.7176,3.06418,3.955,3.2657
-8.29317,41.0821,PT_RV_07H/06,07H/06,2008,0.6102,1.13,1.5142,1.0961
-8.50268,41.0939,PT_RV_07F/03,07F/03,2008,3.8646,5.2997,6.5766,5.3788
-8.39593,41.2599,PT_RV_06G/07,06G/07,2008,2.7346,4.1019,4.8816,4.0793
-8.64722,41.2363,PT_RV_06F/02,06F/02,2008,1.2656,3.0284,5.0398,2.7798
-8.18489,41.4615,PT_RV_05H/04,05H/04,2008,0.678,1.17708,1.4238,1.2317
-8.27476,41.3699,PT_RV_05H/02,05H/02,2008,1.695,2.2939,2.6442,2.3956
-8.60448,37.2063,PT_RV_30F/02,30F/02,2008,0.113,0.386686,1.13,0.113
-8.55847,41.3451,PT_RV_05F/03,05F/03,2008,2.0792,2.61783,3.4126,2.599
-8.68809,41.389,PT_RV_05E/01,05E/01,2008,4.4522,6.37885,8.475,6.2941
-8.17368,37.1235,PT_RV_31H/02,31H/02,2008,0.791,0.9831,1.243,0.9605
-8.78316,37.3135,PT_RV_30E/04,30E/04,2008,0.113,0.286267,0.7006,0.113
-7.48615,37.3671,PT_RV_29M/01,29M/01,2008,0.113,0.143133,0.3842,0.113
-7.61838,37.3466,PT_RV_29L/01,29L/01,2008,0.113,0.113,0.113,0.113
-8.74907,37.4278,PT_RV_29E/01,29E/01,2008,0.113,0.229767,0.5876,0.113
-7.63305,37.8057,PT_RV_27L/01,27L/01,2008,0.226,0.323933,0.678,0.226
-8.52668,39.4657,PT_RV_17F/02,17F/02,2008,0.3616,1.68747,2.712,1.7741
