Muni_ID,ID,Muni,irrig_total
1002,1641002,Alvaiázere,669
1003,1641003,Ansião,508
601,1640601,Arganil,735
1007,1641007,Castanheira de Pêra,56
1008,1641008,Figueiró dos Vinhos,458
606,1640606,Góis,228
607,1640607,Lousã,386
609,1640609,Miranda do Corvo,545
611,1640611,Oliveira do Hospital,2670
612,1640612,Pampilhosa da Serra,182
1013,1641013,Pedrógão Grande,335
614,1640614,Penela,407
616,1640616,Tábua,1375
617,1640617,Vila Nova de Poiares,271
901,1650901,Aguiar da Beira,2483
1802,1651802,Carregal do Sal,1395
1803,1651803,Castro Daire,2962
1806,1651806,Mangualde,3789
1808,1651808,Mortágua,582
1809,1651809,Nelas,1734
1810,1651810,Oliveira de Frades,1500
1811,1651811,Penalva do Castelo,2103
1814,1651814,Santa Comba Dão,1065
1816,1651816,São Pedro do Sul,2360
1817,1651817,Sátão,1668
1821,1651821,Tondela,3621
1822,1651822,Vila Nova de Paiva,820
1823,1651823,Viseu,5376
1824,1651824,Vouzela,1650
1413,1661413,Mação,271
506,1660506,Oleiros,384
508,1660508,Proença-a-Nova,622
509,1660509,Sertã,1346
510,1660510,Vila de Rei,62
905,1670905,Fornos de Algodres,1248
906,1670906,Gouveia,1538
912,1670912,Seia,2662
902,1680902,Almeida,719
903,1680903,Celorico da Beira,3283
904,1680904,Figueira de Castelo Rodrigo,1188
907,1680907,Guarda,5793
908,1680908,Manteigas,241
909,1680909,Mêda,909
910,1680910,Pinhel,1924
911,1680911,Sabugal,2114
913,1680913,Trancoso,2579
502,1690502,Castelo Branco,5382
505,1690505,Idanha-a-Nova,8625
507,1690507,Penamacor,922
511,1690511,Vila Velha de Ródão,800
501,16A0501,Belmonte,1659
503,16A0503,Covilhã,4639
504,16A0504,Fundão,8175
1001,16B1001,Alcobaça,2962
1101,16B1101,Alenquer,1316
1102,16B1102,Arruda dos Vinhos,100
1005,16B1005,Bombarral,779
1104,16B1104,Cadaval,899
1006,16B1006,Caldas da Rainha,1790
1108,16B1108,Lourinhã,1461
1011,16B1011,Nazaré,684
1012,16B1012,Óbidos,1356
1014,16B1014,Peniche,1381
1112,16B1112,Sobral de Monte Agraço,242
1113,16B1113,Torres Vedras,2499
1401,16C1401,Abrantes,3870
1402,16C1402,Alcanena,438
1408,16C1408,Constância,165
1410,16C1410,Entroncamento,85
1411,16C1411,Ferreira do Zêzere,919
1421,16C1421,Ourém,1572
1417,16C1417,Sardoal,483
1418,16C1418,Tomar,1168
1419,16C1419,Torres Novas,2281
1420,16C1420,Vila Nova da Barquinha,143
1115,1711115,Amadora,2
1105,1711105,Cascais,121
1106,1711106,Lisboa,24855
1107,1711107,Loures,1119
1109,1711109,Mafra,1503
1116,1711116,Odivelas,89
1110,1711110,Oeiras,51
1111,1711111,Sintra,1365
1114,1711114,Vila Franca de Xira,4144
1502,1721502,Alcochete,1215
1503,1721503,Almada,249
1504,1721504,Barreiro,100
1506,1721506,Moita,1365
1507,1721507,Montijo,4631
1508,1721508,Palmela,7432
1510,1721510,Seixal,80
1511,1721511,Sesimbra,436
1512,1721512,Setúbal,953
1501,1811501,Alcácer do Sal,7447
1505,1811505,Grândola,2742
211,1810211,Odemira,11008
1509,1811509,Santiago do Cacém,7287
1513,1811513,Sines,584
1201,1821201,Alter do Chão,1102
1202,1821202,Arronches,629
1203,1821203,Avis,3445
1204,1821204,Campo Maior,4470
1205,1821205,Castelo de Vide,356
1206,1821206,Crato,793
1207,1821207,Elvas,6181
1208,1821208,Fronteira,1688
1209,1821209,Gavião,1225
1210,1821210,Marvão,494
1211,1821211,Monforte,1698
707,1820707,Mora,1885
1212,1821212,Nisa,440
1213,1821213,Ponte de Sor,3638
1214,1821214,Portalegre,2021
701,1830701,Alandroal,1821
702,1830702,Arraiolos,3823
703,1830703,Borba,905
704,1830704,Estremoz,1817
705,1830705,Évora,6132
706,1830706,Montemor-o-Novo,4592
708,1830708,Mourão,638
709,1830709,Portel,2430
710,1830710,Redondo,1442
711,1830711,Reguengos de Monsaraz,1527
1215,1831215,Sousel,1732
712,1830712,Vendas Novas,2069
713,1830713,Viana do Alentejo,1484
714,1830714,Vila Viçosa,380
201,1840201,Aljustrel,3569
202,1840202,Almodôvar,151
203,1840203,Alvito,678
204,1840204,Barrancos,7
205,1840205,Beja,6767
206,1840206,Castro Verde,406
207,1840207,Cuba,1451
208,1840208,Ferreira do Alentejo,8082
209,1840209,Mértola,606
210,1840210,Moura,1356
212,1840212,Ourique,1013
213,1840213,Serpa,2187
214,1840214,Vidigueira,2116
1403,1851403,Almeirim,3757
1404,1851404,Alpiarça,3505
1103,1851103,Azambuja,3601
1405,1851405,Benavente,16247
1406,1851406,Cartaxo,3098
1407,1851407,Chamusca,5668
1409,1851409,Coruche,11368
1412,1851412,Golegã,3310
1414,1851414,Rio Maior,1480
1415,1851415,Salvaterra de Magos,4744
1416,1851416,Santarém,7770
801,1500801,Albufeira,1154
802,1500802,Alcoutim,287
803,1500803,Aljezur,1448
804,1500804,Castro Marim,662
805,1500805,Faro,2054
806,1500806,Lagoa,481
807,1500807,Lagos,946
808,1500808,Loulé,2575
809,1500809,Monchique,671
810,1500810,Olhão,1739
811,1500811,Portimão,750
812,1500812,São Brás de Alportel,255
813,1500813,Silves,6260
814,1500814,Tavira,2769
815,1500815,Vila do Bispo,90
816,1500816,Vila Real de Santo António,517
