Muni_ID,ID,Muni,tot_for_maize
111,1610111,Mealhada,90.8
112,1610112,Murtosa,172.4
114,1610114,Oliveira do Bairro,74.8
115,1610115,Ovar,51.6
117,1610117,Sever do Vouga,78.6
118,1610118,Vagos,292.6
602,1620602,Cantanhede,366.4
603,1620603,Coimbra,269.6
604,1620604,Condeixa-a-Nova,210.4
605,1620605,Figueira da Foz,445
608,1620608,Mira,126.2
610,1620610,Montemor-o-Velho,540.6
613,1620613,Penacova,176.4
615,1620615,Soure,165.4
1004,1631004,Batalha,198.4
1009,1631009,Leiria,619.2
1010,1631010,Marinha Grande,20
1015,1631015,Pombal,496.4
1016,1631016,Porto de Mós,389.6
1002,1641002,Alvaiázere,113.6
1003,1641003,Ansião,141
601,1640601,Arganil,163.6
1007,1641007,Castanheira de Pêra,6.6
1008,1641008,Figueiró dos Vinhos,38.2
606,1640606,Góis,96.4
607,1640607,Lousã,107.4
609,1640609,Miranda do Corvo,107
611,1640611,Oliveira do Hospital,808
612,1640612,Pampilhosa da Serra,20
1013,1641013,Pedrógão Grande,22.4
614,1640614,Penela,169.4
616,1640616,Tábua,297.2
617,1640617,Vila Nova de Poiares,29
901,1650901,Aguiar da Beira,338.4
1802,1651802,Carregal do Sal,168.6
1803,1651803,Castro Daire,332.8
1806,1651806,Mangualde,1128.6
1808,1651808,Mortágua,183.4
1809,1651809,Nelas,226.8
1810,1651810,Oliveira de Frades,266.4
1811,1651811,Penalva do Castelo,311.6
1814,1651814,Santa Comba Dão,217.4
1816,1651816,São Pedro do Sul,557.4
1817,1651817,Sátão,178
1821,1651821,Tondela,642.4
1822,1651822,Vila Nova de Paiva,155.6
1823,1651823,Viseu,696
1824,1651824,Vouzela,304.8
1413,1661413,Mação,371.4
506,1660506,Oleiros,143
508,1660508,Proença-a-Nova,287.8
509,1660509,Sertã,277.4
510,1660510,Vila de Rei,95.8
905,1670905,Fornos de Algodres,878.2
906,1670906,Gouveia,792.8
912,1670912,Seia,1363
902,1680902,Almeida,2746.8
903,1680903,Celorico da Beira,1434.6
904,1680904,Figueira de Castelo Rodrigo,2262.8
907,1680907,Guarda,2073.2
908,1680908,Manteigas,30.6
909,1680909,Mêda,495.6
910,1680910,Pinhel,1887.4
911,1680911,Sabugal,1779.8
913,1680913,Trancoso,1471.4
502,1690502,Castelo Branco,7612
505,1690505,Idanha-a-Nova,7389.2
507,1690507,Penamacor,1672
511,1690511,Vila Velha de Ródão,979.4
501,16A0501,Belmonte,1060.2
503,16A0503,Covilhã,2206.8
504,16A0504,Fundão,6351.8
1001,16B1001,Alcobaça,907.6
1101,16B1101,Alenquer,3040.6
1102,16B1102,Arruda dos Vinhos,349.8
1005,16B1005,Bombarral,107.6
1104,16B1104,Cadaval,355.4
1006,16B1006,Caldas da Rainha,402.6
1108,16B1108,Lourinhã,137.4
1011,16B1011,Nazaré,84.8
1012,16B1012,Óbidos,122
1014,16B1014,Peniche,97.6
1112,16B1112,Sobral de Monte Agraço,569.2
1113,16B1113,Torres Vedras,1177.8
1401,16C1401,Abrantes,608.4
1402,16C1402,Alcanena,125.6
1408,16C1408,Constância,64
1410,16C1410,Entroncamento,15.4
1411,16C1411,Ferreira do Zêzere,43.4
1421,16C1421,Ourém,335
1417,16C1417,Sardoal,12.4
1418,16C1418,Tomar,513.6
1419,16C1419,Torres Novas,398
1420,16C1420,Vila Nova da Barquinha,16.4
1115,1711115,Amadora,0
1105,1711105,Cascais,116.2
1106,1711106,Lisboa,0
1107,1711107,Loures,808.4
1109,1711109,Mafra,2380.6
1116,1711116,Odivelas,15.2
1110,1711110,Oeiras,257
1111,1711111,Sintra,1169
1114,1711114,Vila Franca de Xira,679.4
1502,1721502,Alcochete,149.6
1503,1721503,Almada,69.6
1504,1721504,Barreiro,38
1506,1721506,Moita,380.2
1507,1721507,Montijo,745.2
1508,1721508,Palmela,699.8
1510,1721510,Seixal,62.2
1511,1721511,Sesimbra,281.4
1512,1721512,Setúbal,720.6
1501,1811501,Alcácer do Sal,2338.6
1505,1811505,Grândola,1145
211,1810211,Odemira,2071.6
1509,1811509,Santiago do Cacém,1741
1513,1811513,Sines,97.4
1201,1821201,Alter do Chão,1354.8
1202,1821202,Arronches,950.4
1203,1821203,Avis,1484
1204,1821204,Campo Maior,45
1205,1821205,Castelo de Vide,914.2
1206,1821206,Crato,1423
1207,1821207,Elvas,1423
1208,1821208,Fronteira,448.4
1209,1821209,Gavião,1014
1210,1821210,Marvão,656.4
1211,1821211,Monforte,906.6
707,1820707,Mora,1859.2
1212,1821212,Nisa,2003
1213,1821213,Ponte de Sor,3114.2
1214,1821214,Portalegre,1780.4
701,1830701,Alandroal,1295
702,1830702,Arraiolos,2644.4
703,1830703,Borba,142.6
704,1830704,Estremoz,986.4
705,1830705,Évora,3361
706,1830706,Montemor-o-Novo,4456
708,1830708,Mourão,813.2
709,1830709,Portel,1008
710,1830710,Redondo,991.4
711,1830711,Reguengos de Monsaraz,1283.8
1215,1831215,Sousel,841.8
712,1830712,Vendas Novas,623
713,1830713,Viana do Alentejo,1013.8
714,1830714,Vila Viçosa,1212.2
201,1840201,Aljustrel,113
202,1840202,Almodôvar,2034.4
203,1840203,Alvito,199.8
204,1840204,Barrancos,359
205,1840205,Beja,785.6
206,1840206,Castro Verde,437.4
207,1840207,Cuba,137.2
208,1840208,Ferreira do Alentejo,625
209,1840209,Mértola,1634.6
210,1840210,Moura,1721.2
212,1840212,Ourique,1525.2
213,1840213,Serpa,3674.4
214,1840214,Vidigueira,627.6
1403,1851403,Almeirim,169
1404,1851404,Alpiarça,196
1103,1851103,Azambuja,1715.8
1405,1851405,Benavente,1268.8
1406,1851406,Cartaxo,502
1407,1851407,Chamusca,521.2
1409,1851409,Coruche,1926.6
1412,1851412,Golegã,15.8
1414,1851414,Rio Maior,637
1415,1851415,Salvaterra de Magos,466.4
1416,1851416,Santarém,2096
801,1500801,Albufeira,32
802,1500802,Alcoutim,641.4
803,1500803,Aljezur,517.8
804,1500804,Castro Marim,291.2
805,1500805,Faro,9.2
806,1500806,Lagoa,42.6
807,1500807,Lagos,700.4
808,1500808,Loulé,522
809,1500809,Monchique,403.4
810,1500810,Olhão,9
811,1500811,Portimão,235.6
812,1500812,São Brás de Alportel,11
813,1500813,Silves,427
814,1500814,Tavira,200.8
815,1500815,Vila do Bispo,115
816,1500816,Vila Real de Santo António,30
