"Muni_ID","ID","Muni","GNB"
111,"1610111","Mealhada",182312.74
112,"1610112","Murtosa",36022.49
114,"1610114","Oliveira do Bairro",-6106.9
115,"1610115","Ovar",127246.77
117,"1610117","Sever do Vouga",330859.52
118,"1610118","Vagos",43460.89
602,"1620602","Cantanhede",164753.65
603,"1620603","Coimbra",417527.11
604,"1620604","Condeixa-a-Nova",58616
605,"1620605","Figueira da Foz",-218328.78
608,"1620608","Mira",147149.17
610,"1620610","Montemor-o-Velho",400963.55
613,"1620613","Penacova",-6053.64
615,"1620615","Soure",668455.37
1004,"1631004","Batalha",211260.93
1009,"1631009","Leiria",2635643.96
1010,"1631010","Marinha Grande",6196.17
1015,"1631015","Pombal",497159.9
1016,"1631016","Porto de Mós",854837.26
1002,"1641002","Alvaiázere",69191.53
1003,"1641003","Ansião",158066.21
601,"1640601","Arganil",10167.62
1007,"1641007","Castanheira de Pêra",1930.17
1008,"1641008","Figueiró dos Vinhos",4240.96
606,"1640606","Góis",27591.54
607,"1640607","Lousã",62119.12
609,"1640609","Miranda do Corvo",8413.06
611,"1640611","Oliveira do Hospital",1025604.98
612,"1640612","Pampilhosa da Serra",11230.55
1013,"1641013","Pedrógão Grande",12732.74
614,"1640614","Penela",27962.23
616,"1640616","Tábua",-12480.3
617,"1640617","Vila Nova de Poiares",86.69
901,"1650901","Aguiar da Beira",239788.01
1802,"1651802","Carregal do Sal",104120.45
1803,"1651803","Castro Daire",104522.75
1806,"1651806","Mangualde",58018.53
1808,"1651808","Mortágua",303924.43
1809,"1651809","Nelas",125854.9
1810,"1651810","Oliveira de Frades",845551.29
1811,"1651811","Penalva do Castelo",22074.67
1814,"1651814","Santa Comba Dão",295350.21
1816,"1651816","São Pedro do Sul",520719.25
1817,"1651817","Sátão",281231.34
1821,"1651821","Tondela",802382.8
1822,"1651822","Vila Nova de Paiva",261119.28
1823,"1651823","Viseu",83842.08
1824,"1651824","Vouzela",516621.55
1413,"1661413","Mação",38541.7
506,"1660506","Oleiros",105926.28
508,"1660508","Proença-a-Nova",144051.46
509,"1660509","Sertã",148520.44
510,"1660510","Vila de Rei",24810.18
905,"1670905","Fornos de Algodres",66141.48
906,"1670906","Gouveia",83654.9
912,"1670912","Seia",54737.34
902,"1680902","Almeida",89879.97
903,"1680903","Celorico da Beira",28422.01
904,"1680904","Figueira de Castelo Rodrigo",564490.54
907,"1680907","Guarda",19162.73
908,"1680908","Manteigas",3718.42
909,"1680909","Mêda",109322.38
910,"1680910","Pinhel",68642.54
911,"1680911","Sabugal",25410.62
913,"1680913","Trancoso",232612.25
502,"1690502","Castelo Branco",727259.46
505,"1690505","Idanha-a-Nova",715679.35
507,"1690507","Penamacor",263293.65
511,"1690511","Vila Velha de Ródão",227047.52
501,"16A0501","Belmonte",7979.51
503,"16A0503","Covilhã",25503.87
504,"16A0504","Fundão",91765.55
1001,"16B1001","Alcobaça",1299562.94
1101,"16B1101","Alenquer",405516.65
1102,"16B1102","Arruda dos Vinhos",74963.07
1005,"16B1005","Bombarral",653254.81
1104,"16B1104","Cadaval",243040.97
1006,"16B1006","Caldas da Rainha",718707.62
1108,"16B1108","Lourinhã",2032575.28
1011,"16B1011","Nazaré",151439.24
1012,"16B1012","Óbidos",547621.57
1014,"16B1014","Peniche",624621.58
1112,"16B1112","Sobral de Monte Agraço",92404.2
1113,"16B1113","Torres Vedras",1663924.41
1401,"16C1401","Abrantes",291840.23
1402,"16C1402","Alcanena",255704.24
1408,"16C1408","Constância",86063.38
1410,"16C1410","Entroncamento",72314.22
1411,"16C1411","Ferreira do Zêzere",1336485.18
1421,"16C1421","Ourém",1093209.6
1417,"16C1417","Sardoal",100204.71
1418,"16C1418","Tomar",457474.77
1419,"16C1419","Torres Novas",-111755.34
1420,"16C1420","Vila Nova da Barquinha",46413.24
1115,"1711115","Amadora",991.55
1105,"1711105","Cascais",19850.81
1106,"1711106","Lisboa",11471.85
1107,"1711107","Loures",469216.6
1109,"1711109","Mafra",608935.1
1116,"1711116","Odivelas",3110.51
1110,"1711110","Oeiras",9018.55
1111,"1711111","Sintra",194397.95
1114,"1711114","Vila Franca de Xira",1740087.83
1502,"1721502","Alcochete",201033.76
1503,"1721503","Almada",79019.77
1504,"1721504","Barreiro",2790.83
1506,"1721506","Moita",9114.9
1507,"1721507","Montijo",865872.81
1508,"1721508","Palmela",397442.51
1510,"1721510","Seixal",2154.59
1511,"1721511","Sesimbra",102994.07
1512,"1721512","Setúbal",41540.61
1501,"1811501","Alcácer do Sal",3793764.45
1505,"1811505","Grândola",277492.58
211,"1810211","Odemira",816919.83
1509,"1811509","Santiago do Cacém",49477.96
1513,"1811513","Sines",167189.38
1201,"1821201","Alter do Chão",304131.71
1202,"1821202","Arronches",56214.05
1203,"1821203","Avis",672588.52
1204,"1821204","Campo Maior",1224572.06
1205,"1821205","Castelo de Vide",239462.96
1206,"1821206","Crato",86299.08
1207,"1821207","Elvas",455810.85
1208,"1821208","Fronteira",828363.86
1209,"1821209","Gavião",161546.2
1210,"1821210","Marvão",271353.54
1211,"1821211","Monforte",334674.05
707,"1820707","Mora",350413.06
1212,"1821212","Nisa",427348.77
1213,"1821213","Ponte de Sor",163815.61
1214,"1821214","Portalegre",405783.29
701,"1830701","Alandroal",-39229.44
702,"1830702","Arraiolos",380703.76
703,"1830703","Borba",4153.05
704,"1830704","Estremoz",35051.12
705,"1830705","Évora",570327.01
706,"1830706","Montemor-o-Novo",730631.27
708,"1830708","Mourão",93655.65
709,"1830709","Portel",345677.97
710,"1830710","Redondo",115300.43
711,"1830711","Reguengos de Monsaraz",270466.47
1215,"1831215","Sousel",632247.31
712,"1830712","Vendas Novas",434311.59
713,"1830713","Viana do Alentejo",-55383.35
714,"1830714","Vila Viçosa",192070.94
201,"1840201","Aljustrel",2857420.22
202,"1840202","Almodôvar",114033.94
203,"1840203","Alvito",259011.26
204,"1840204","Barrancos",59037.25
205,"1840205","Beja",5227892.61
206,"1840206","Castro Verde",1172075.16
207,"1840207","Cuba",342478.87
208,"1840208","Ferreira do Alentejo",1548510.84
209,"1840209","Mértola",94412.54
210,"1840210","Moura",2149461.51
212,"1840212","Ourique",105483.21
213,"1840213","Serpa",3365518.49
214,"1840214","Vidigueira",1200335.26
1403,"1851403","Almeirim",1215297.96
1404,"1851404","Alpiarça",818542.71
1103,"1851103","Azambuja",589025.14
1405,"1851405","Benavente",594991.07
1406,"1851406","Cartaxo",1696491.45
1407,"1851407","Chamusca",1417334.49
1409,"1851409","Coruche",1422701.67
1412,"1851412","Golegã",1400110.49
1414,"1851414","Rio Maior",1174005.24
1415,"1851415","Salvaterra de Magos",441680.37
1416,"1851416","Santarém",675520.33
801,"1500801","Albufeira",500031.07
802,"1500802","Alcoutim",777034.92
803,"1500803","Aljezur",62897.68
804,"1500804","Castro Marim",512377.14
805,"1500805","Faro",898080.92
806,"1500806","Lagoa",10491.16
807,"1500807","Lagos",64502.15
808,"1500808","Loulé",1780180.69
809,"1500809","Monchique",93130.89
810,"1500810","Olhão",546638.91
811,"1500811","Portimão",44354.88
812,"1500812","São Brás de Alportel",197793.02
813,"1500813","Silves",1284210.39
814,"1500814","Tavira",1272703.1
815,"1500815","Vila do Bispo",87568.63
816,"1500816","Vila Real de Santo António",38332.82
