Muni_ID,ID,Muni,slurry,solid,storage_N,storage_nha
1102,16B1102,Arruda dos Vinhos,3423,5250,8673,3.0797606
1005,16B1005,Bombarral,474,35263,35737,8.432585795
1104,16B1104,Cadaval,13058,7436,20494,4.105301856
1006,16B1006,Caldas da Rainha,16851,34282,51133,11.00811745
1108,16B1108,Lourinhã,51714,82236,133950,23.75419403
1011,16B1011,Nazaré,4387,1275,5662,6.016991322
1012,16B1012,Óbidos,196,41311,41507,13.28220109
1014,16B1014,Peniche,1584,11476,13060,5.363317363
1112,16B1112,Sobral de Monte Agraço,5694,5728,11422,4.428901481
1113,16B1113,Torres Vedras,31480,99651,131131,9.023005929
1401,16C1401,Abrantes,1691,5368,7059,0.546578687
1402,16C1402,Alcanena,1115,3991,5106,1.164873401
1408,16C1408,Constância,0,87,87,0.156210748
1410,16C1410,Entroncamento,0,129,129,0.251532767
1411,16C1411,Ferreira do Zêzere,15815,71142,86957,38.42546467
1421,16C1421,Ourém,859,79002,79861,18.46066455
1417,16C1417,Sardoal,61,789,850,0.652473097
1418,16C1418,Tomar,7091,41549,48640,7.186825261
1419,16C1419,Torres Novas,4992,9790,14782,1.493756505
1420,16C1420,Vila Nova da Barquinha,2,126,128,0.30897091
1115,1711115,Amadora,0,15,15,0.252232136
1105,1711105,Cascais,9,84,93,0.393231352
1106,1711106,Lisboa,2,3,5,0.085789366
1107,1711107,Loures,1843,11866,13709,3.198655901
1109,1711109,Mafra,7475,41262,48737,5.248485794
1116,1711116,Odivelas,29,554,583,1.22748977
1110,1711110,Oeiras,0,4,4,0.036216666
1111,1711111,Sintra,1377,7194,8571,1.665296156
1114,1711114,Vila Franca de Xira,2096,7384,9480,0.705793343
1502,1721502,Alcochete,3102,1593,4695,1.390980252
1503,1721503,Almada,63,665,728,1.718074956
1504,1721504,Barreiro,11,349,360,2.167596429
1506,1721506,Moita,3506,4358,7864,8.474404546
1507,1721507,Montijo,69393,8154,77547,5.17569136
1508,1721508,Palmela,22986,35006,57992,1.986765908
1510,1721510,Seixal,10,141,151,0.221754863
1511,1721511,Sesimbra,40,713,753,0.405545158
1512,1721512,Setúbal,42,1912,1954,0.673272368
1501,1811501,Alcácer do Sal,5595,14738,20333,0.209729862
1505,1811505,Grândola,34722,7671,42393,1.110528509
211,1810211,Odemira,11442,20899,32341,0.4627221
1509,1811509,Santiago do Cacém,23888,13752,37640,0.609310483
1513,1811513,Sines,337,2354,2691,0.302271361
1201,1821201,Alter do Chão,1418,9715,11133,0.334793199
1202,1821202,Arronches,2500,5928,8428,0.326178116
1203,1821203,Avis,3507,8953,12460,0.267636327
1204,1821204,Campo Maior,2406,4519,6925,0.376567445
1205,1821205,Castelo de Vide,31,3002,3033,0.149835623
1206,1821206,Crato,3823,6615,10438,0.391702601
1207,1821207,Elvas,1929,24714,26643,0.513658194
1208,1821208,Fronteira,891,4761,5652,0.263040085
1209,1821209,Gavião,42,1221,1263,0.088743709
1210,1821210,Marvão,23,1354,1377,0.16007447
1211,1821211,Monforte,586,10606,11192,0.290690683
707,1820707,Mora,981,7202,8183,0.19968533
1212,1821212,Nisa,447,5415,5862,0.209907545
1213,1821213,Ponte de Sor,5728,8637,14365,0.255342057
1214,1821214,Portalegre,1934,8155,10089,0.365477315
701,1830701,Alandroal,5663,10880,16543,0.377749501
702,1830702,Arraiolos,31141,14558,45699,0.787531935
703,1830703,Borba,2436,3229,5665,0.666262739
704,1830704,Estremoz,6494,7561,14055,0.367530859
705,1830705,Évora,5867,25484,31351,0.293505745
706,1830706,Montemor-o-Novo,60494,28640,89134,0.838121253
708,1830708,Mourão,1847,5191,7038,0.329210461
709,1830709,Portel,28317,10645,38962,0.946612052
710,1830710,Redondo,5831,9601,15432,0.508474739
711,1830711,Reguengos de Monsaraz,2151,5077,7228,0.248595767
1215,1831215,Sousel,2625,4572,7197,0.348519017
712,1830712,Vendas Novas,21161,17142,38303,2.44654227
713,1830713,Viana do Alentejo,9090,10336,19426,0.488279774
714,1830714,Vila Viçosa,544,4624,5168,0.32730072
201,1840201,Aljustrel,2618,7052,9670,0.248411036
202,1840202,Almodôvar,3121,6816,9937,0.254482181
203,1840203,Alvito,675,7261,7936,0.345552388
204,1840204,Barrancos,2910,2204,5114,0.401837811
205,1840205,Beja,5097,10692,15789,0.16294366
206,1840206,Castro Verde,1518,7418,8936,0.176127136
207,1840207,Cuba,12133,4037,16170,1.110749506
208,1840208,Ferreira do Alentejo,10588,7952,18540,0.342815222
209,1840209,Mértola,4511,12508,17019,0.189065401
210,1840210,Moura,5140,12111,17251,0.236242789
212,1840212,Ourique,19270,7630,26900,0.605988119
213,1840213,Serpa,4434,16396,20830,0.240682108
214,1840214,Vidigueira,382,2567,2949,0.128586153
1403,1851403,Almeirim,53,2424,2477,0.25688377
1404,1851404,Alpiarça,70,382,452,0.091700481
1103,1851103,Azambuja,11800,10556,22356,2.007930818
1405,1851405,Benavente,57172,24816,81988,2.847585297
1406,1851406,Cartaxo,72543,7159,79702,11.42188405
1407,1851407,Chamusca,2947,8324,11271,0.34959476
1409,1851409,Coruche,14182,16363,30545,0.547054202
1412,1851412,Golegã,121,509,630,0.10826124
1414,1851414,Rio Maior,32467,65493,97960,10.61783565
1415,1851415,Salvaterra de Magos,6860,7877,14737,1.795048439
1416,1851416,Santarém,45835,49142,94977,4.116388685
801,1500801,Albufeira,40,656,696,0.205104085
802,1500802,Alcoutim,199,1196,1395,0.112043406
803,1500803,Aljezur,202,1649,1851,0.444613591
804,1500804,Castro Marim,330,1944,2274,0.318654334
805,1500805,Faro,51,719,770,0.188787896
806,1500806,Lagoa,1390,426,1816,1.216641248
807,1500807,Lagos,135,1470,1605,0.685129801
808,1500808,Loulé,389,1924,2313,0.166536785
809,1500809,Monchique,5274,1363,6637,3.161997385
810,1500810,Olhão,41,355,396,0.156462313
811,1500811,Portimão,1101,1835,2936,1.207581586
812,1500812,São Brás de Alportel,48,338,386,0.125504334
813,1500813,Silves,2563,2765,5328,0.438766345
814,1500814,Tavira,399,1284,1683,0.152555959
815,1500815,Vila do Bispo,52,1338,1390,0.286874786
816,1500816,Vila Real de Santo António,44,322,366,0.305431108
