Muni_ID,ID,Muni,slurry,solid,storage_N,storage_nha
1812,1171812,Penedono,911,1979,2890,0.741786448
1708,1171708,Peso da Régua,0,1668,1668,0.401444043
1710,1171710,Sabrosa,27,6025,6051,1.278470315
1711,1171711,Santa Marta de Penaguião,0,1162,1162,0.313376483
1815,1171815,São João da Pesqueira,106,2492,2598,0.205619311
1818,1171818,Sernancelhe,1808,4937,6745,1.369821284
1819,1171819,Tabuaço,40,1464,1503,0.333037891
1820,1171820,Tarouca,1437,9559,10996,5.030192132
409,1170409,Torre de Moncorvo,0,4202,4202,0.244757689
410,1170410,Vila Flor,84,3227,3311,0.315694127
914,1170914,Vila Nova de Foz Côa,0,2202,2202,0.131730079
1714,1171714,Vila Real,3113,15250,18363,1.65536825
401,1180401,Alfândega da Fé,522,5259,5780,0.462770216
1702,1181702,Boticas,1384,11437,12821,1.162269966
402,1180402,Bragança,2649,24670,27319,0.618342727
1703,1181703,Chaves,9812,36496,46307,1.763673065
405,1180405,Macedo de Cavaleiros,1459,11454,12913,0.536298696
406,1180406,Miranda do Douro,6907,13491,20397,0.949979041
407,1180407,Mirandela,504,16000,16504,0.590314042
408,1180408,Mogadouro,20344,25805,46149,1.245217344
1706,1181706,Montalegre,3259,29561,32820,0.953598512
1707,1181707,Murça,265,3371,3637,0.743914911
1712,1181712,Valpaços,2096,18411,20507,0.78268005
1713,1181713,Vila Pouca de Aguiar,9144,20439,29583,2.645827743
411,1180411,Vimioso,1366,6154,7521,0.51055597
412,1180412,Vinhais,1446,12316,13762,0.602618558
101,1610101,Águeda,2490,31616,34106,11.68814256
102,1610102,Albergaria-a-Velha,6261,30406,36667,14.12986513
103,1610103,Anadia,2267,17996,20263,3.928460644
105,1610105,Aveiro,3479,8928,12407,4.27532736
108,1610108,Estarreja,16883,21908,38791,12.10705368
110,1610110,Ílhavo,1713,14968,16681,17.89806867
111,1610111,Mealhada,1227,25204,26431,10.22080433
112,1610112,Murtosa,8388,7968,16356,10.19065421
114,1610114,Oliveira do Bairro,2177,5934,8112,3.272287213
115,1610115,Ovar,14387,22597,36984,19.46526316
117,1610117,Sever do Vouga,2630,20803,23433,25.69407895
118,1610118,Vagos,12087,25941,38028,10.82493595
602,1620602,Cantanhede,19912,29216,49128,5.804347826
603,1620603,Coimbra,1439,14216,15655,2.411429452
604,1620604,Condeixa-a-Nova,1078,3987,5065,1.726900784
605,1620605,Figueira da Foz,14470,21277,35747,5.26853353
608,1620608,Mira,5308,11903,17211,9.723728814
610,1620610,Montemor-o-Velho,22042,22523,44565,4.892951252
613,1620613,Penacova,0,4886,4886,3.704321456
615,1620615,Soure,1826,7239,9065,1.395044629
1004,1631004,Batalha,1171,26637,27807,13.03045923
1009,1631009,Leiria,4313,115311,119624,14.33824763
1010,1631010,Marinha Grande,48,5811,5859,20.41463415
1015,1631015,Pombal,2341,64802,67143,8.813730638
1016,1631016,Porto de Mós,7536,17183,24719,4.113662839
1002,1641002,Alvaiázere,30,9142,9171,4.531126482
1003,1641003,Ansião,283,16389,16672,5.145679012
601,1640601,Arganil,0,4180,4180,2.698515171
1007,1641007,Castanheira de Pêra,0,225,225,2.61627907
1008,1641008,Figueiró dos Vinhos,9,1890,1899,2.800884956
606,1640606,Góis,0,2454,2454,4.389982111
607,1640607,Lousã,12,2634,2646,4.577854671
609,1640609,Miranda do Corvo,42,2791,2833,2.847236181
611,1640611,Oliveira do Hospital,66,13184,13250,3.163801337
612,1640612,Pampilhosa da Serra,0,747,747,1.981432361
1013,1641013,Pedrógão Grande,21,1464,1485,2.418566775
614,1640614,Penela,211,2408,2620,1.483578709
616,1640616,Tábua,21,7424,7444,3.318769505
617,1640617,Vila Nova de Poiares,74,1171,1245,2.582987552
901,1650901,Aguiar da Beira,2419,12421,14839,3.806824012
1802,1651802,Carregal do Sal,30,15844,15874,9.019318182
1803,1651803,Castro Daire,1987,23790,25777,5.800405041
1806,1651806,Mangualde,191,13921,14112,2.817328808
1808,1651808,Mortágua,301,35913,36214,28.24804992
1809,1651809,Nelas,24,7430,7454,2.621878298
1810,1651810,Oliveira de Frades,3178,94190,97369,52.26462695
1811,1651811,Penalva do Castelo,271,4616,4888,1.399770905
1814,1651814,Santa Comba Dão,92,40669,40761,26.19601542
1816,1651816,São Pedro do Sul,2529,38032,40561,12.08971684
1817,1651817,Sátão,1838,30447,32285,9.382446963
1821,1651821,Tondela,1620,96743,98363,16.81706275
1822,1651822,Vila Nova de Paiva,1930,22632,24563,10.03800572
1823,1651823,Viseu,1028,56303,57331,7.040525605
1824,1651824,Vouzela,2008,56468,58476,22.93176471
1413,1661413,Mação,30,4900,4930,1.600649351
506,1660506,Oleiros,18,3301,3319,1.309786898
508,1660508,Proença-a-Nova,21,5735,5756,1.341412258
509,1660509,Sertã,900,9184,10083,2.729561451
510,1660510,Vila de Rei,24,2442,2466,3.730711044
905,1670905,Fornos de Algodres,405,3331,3736,0.979805927
906,1670906,Gouveia,63,6804,6866,0.872316097
912,1670912,Seia,143,12073,12216,1.596028221
902,1680902,Almeida,4367,14991,19358,0.792418846
903,1680903,Celorico da Beira,497,4967,5464,0.475378458
904,1680904,Figueira de Castelo Rodrigo,1361,8296,9658,0.329186407
907,1680907,Guarda,7723,24512,32235,1.266800283
908,1680908,Manteigas,12,843,855,0.757307352
909,1680909,Mêda,691,5933,6624,0.575099844
910,1680910,Pinhel,4748,12425,17173,0.712690903
911,1680911,Sabugal,4933,27409,32342,1.171344754
913,1680913,Trancoso,4340,11788,16127,1.212647567
502,1690502,Castelo Branco,441,19965,20406,0.361584123
505,1690505,Idanha-a-Nova,1978,21872,23850,0.262728855
507,1690507,Penamacor,1254,6936,8190,0.571568149
511,1690511,Vila Velha de Ródão,223,5383,5607,0.744621514
501,16A0501,Belmonte,1460,4627,6087,0.909321781
503,16A0503,Covilhã,4310,15492,19802,1.412108679
504,16A0504,Fundão,4816,19713,24530,0.900910827
1001,16B1001,Alcobaça,2666,47871,50536,5.037982255
1101,16B1101,Alenquer,250,121176,121426,8.201134675
1102,16B1102,Arruda dos Vinhos,581,2585,3166,0.851762174
1005,16B1005,Bombarral,491,23073,23565,4.181898846
1104,16B1104,Cadaval,1796,25939,27735,4.265610581
1006,16B1006,Caldas da Rainha,1510,78504,80014,10.68848517
1108,16B1108,Lourinhã,2559,79961,82519,11.3055213
1011,16B1011,Nazaré,1352,7024,8376,7.621474067
1012,16B1012,Óbidos,542,34665,35207,7.731005709
1014,16B1014,Peniche,232,25781,26013,8.302904564
1112,16B1112,Sobral de Monte Agraço,1769,7578,9347,2.762115839
1113,16B1113,Torres Vedras,5281,68855,74136,4.423652963
1401,16C1401,Abrantes,426,4783,5209,0.333610862
1402,16C1402,Alcanena,1850,6980,8830,2.278121775
1408,16C1408,Constância,0,371,371,0.353333333
1410,16C1410,Entroncamento,0,106,106,0.602272727
1411,16C1411,Ferreira do Zêzere,15,58857,58872,15.06833888
1421,16C1421,Ourém,527,82094,82622,12.68960221
1417,16C1417,Sardoal,21,1428,1448,1.070214339
1418,16C1418,Tomar,599,48985,49584,6.273279352
1419,16C1419,Torres Novas,634,17545,18179,1.763923928
1420,16C1420,Vila Nova da Barquinha,0,3392,3392,4.901734104
1115,1711115,Amadora,0,213,213,0.726962457
1105,1711105,Cascais,65,6736,6801,12.73595506
1106,1711106,Lisboa,0,0,0,0
1107,1711107,Loures,2113,16492,18605,3.142205708
1109,1711109,Mafra,8423,59487,67910,6.776092596
1116,1711116,Odivelas,1481,1349,2830,9.309210526
1110,1711110,Oeiras,0,335,335,0.312791783
1111,1711111,Sintra,3865,17719,21584,2.766470136
1114,1711114,Vila Franca de Xira,2987,10700,13687,1.396632653
1502,1721502,Alcochete,0,3262,3262,0.887619048
1503,1721503,Almada,0,1566,1566,2.910780669
1504,1721504,Barreiro,390,564,954,3.958506224
1506,1721506,Moita,9590,16248,25838,13.36678738
1507,1721507,Montijo,3385,13509,16893,1.017405444
1508,1721508,Palmela,3190,40860,44050,1.890314552
1510,1721510,Seixal,148,1008,1156,1.157157157
1511,1721511,Sesimbra,311,2489,2799,1.074884793
1512,1721512,Setúbal,1141,6146,7288,1.173779997
1501,1811501,Alcácer do Sal,595,22303,22899,0.253203888
1505,1811505,Grândola,53,9448,9500,0.211237854
211,1810211,Odemira,4874,22378,27252,0.350395371
1509,1811509,Santiago do Cacém,620,64179,64799,0.932426793
1513,1811513,Sines,0,2572,2572,0.303911143
1201,1821201,Alter do Chão,1257,9753,11010,0.370557351
1202,1821202,Arronches,1527,8049,9576,0.365328857
1203,1821203,Avis,2402,8649,11051,0.260489346
1204,1821204,Campo Maior,0,3561,3561,0.168871817
1205,1821205,Castelo de Vide,361,3863,4224,0.203929899
1206,1821206,Crato,200,10739,10938,0.422121025
1207,1821207,Elvas,1971,22797,24768,0.430852729
1208,1821208,Fronteira,1429,5971,7400,0.415777054
1209,1821209,Gavião,158,3211,3368,0.425736317
1210,1821210,Marvão,1082,3115,4197,0.40108945
1211,1821211,Monforte,1667,13644,15310,0.405681126
707,1820707,Mora,1085,8690,9776,0.221572494
1212,1821212,Nisa,620,7638,8258,0.322515134
1213,1821213,Ponte de Sor,504,12442,12946,0.225434029
1214,1821214,Portalegre,4587,14148,18735,0.635149337
701,1830701,Alandroal,5974,11405,17378,0.413505925
702,1830702,Arraiolos,2031,16526,18557,0.338501669
703,1830703,Borba,868,4030,4898,0.5917603
704,1830704,Estremoz,3337,12168,15505,0.375687529
705,1830705,Évora,4611,30006,34617,0.318282121
706,1830706,Montemor-o-Novo,7672,37809,45481,0.503219739
708,1830708,Mourão,0,6900,6900,0.251055159
709,1830709,Portel,1376,6053,7429,0.191296511
710,1830710,Redondo,5427,9794,15221,0.557035682
711,1830711,Reguengos de Monsaraz,322,7051,7373,0.193187475
1215,1831215,Sousel,2385,5847,8231,0.34215996
712,1830712,Vendas Novas,0,7650,7650,0.435847767
713,1830713,Viana do Alentejo,3081,13989,17071,0.499414897
714,1830714,Vila Viçosa,1089,4595,5684,0.433198689
201,1840201,Aljustrel,1376,7349,8725,0.222912036
202,1840202,Almodôvar,56,6809,6865,0.181325938
203,1840203,Alvito,0,3018,3018,0.193275696
204,1840204,Barrancos,0,2318,2318,0.166846613
205,1840205,Beja,903,15389,16292,0.17949848
206,1840206,Castro Verde,0,7548,7548,0.158205827
207,1840207,Cuba,0,15791,15791,1.175975573
208,1840208,Ferreira do Alentejo,4727,13048,17775,0.365838599
209,1840209,Mértola,133,10563,10696,0.132269832
210,1840210,Moura,49,12365,12414,0.179605891
212,1840212,Ourique,18,9709,9726,0.225326661
213,1840213,Serpa,165,15620,15785,0.18793904
214,1840214,Vidigueira,1460,4370,5831,0.205309672
1403,1851403,Almeirim,357,6004,6362,0.689722463
1404,1851404,Alpiarça,0,1984,1984,0.20519185
1103,1851103,Azambuja,2378,19811,22188,1.960763521
1405,1851405,Benavente,2854,21664,24517,0.668621141
1406,1851406,Cartaxo,3831,24538,28368,3.513065015
1407,1851407,Chamusca,4058,9090,13148,0.594125621
1409,1851409,Coruche,9531,30671,40202,0.595903
1412,1851412,Golegã,0,1505,1505,0.269520057
1414,1851414,Rio Maior,959,87135,88095,11.26822717
1415,1851415,Salvaterra de Magos,1940,7904,9844,0.865711019
1416,1851416,Santarém,9815,83212,93027,3.011947161
801,1500801,Albufeira,0,1862,1862,0.351122006
802,1500802,Alcoutim,29,2355,2384,0.220332717
803,1500803,Aljezur,0,2702,2702,0.50656168
804,1500804,Castro Marim,449,2522,2971,0.376361794
805,1500805,Faro,27,1277,1304,0.261479848
806,1500806,Lagoa,40,790,831,0.452121872
807,1500807,Lagos,0,3701,3701,0.929665913
808,1500808,Loulé,207,7243,7450,0.442451598
809,1500809,Monchique,5,3110,3116,1.044585987
810,1500810,Olhão,312,1474,1785,0.40503744
811,1500811,Portimão,0,1649,1649,0.54494382
812,1500812,São Brás de Alportel,0,766,766,0.410283878
813,1500813,Silves,103,6134,6237,0.397843975
814,1500814,Tavira,93,3895,3989,0.325367047
815,1500815,Vila do Bispo,0,1594,1594,0.623874755
816,1500816,Vila Real de Santo António,242,619,860,0.397595932
