Muni_ID,ID,Muni,tot_perma_past
1204,1821204,Campo Maior,6962
1205,1821205,Castelo de Vide,17994
1206,1821206,Crato,21936
1207,1821207,Elvas,31725
1208,1821208,Fronteira,13149
1209,1821209,Gavião,12290
1210,1821210,Marvão,7530
1211,1821211,Monforte,30965
707,1820707,Mora,31535
1212,1821212,Nisa,24779
1213,1821213,Ponte de Sor,40694
1214,1821214,Portalegre,22001
701,1830701,Alandroal,30783
702,1830702,Arraiolos,37441
703,1830703,Borba,3080
704,1830704,Estremoz,16541
705,1830705,Évora,70210
706,1830706,Montemor-o-Novo,86238
708,1830708,Mourão,15342
709,1830709,Portel,27237
710,1830710,Redondo,18750
711,1830711,Reguengos de Monsaraz,15468
1215,1831215,Sousel,8945
712,1830712,Vendas Novas,11584
713,1830713,Viana do Alentejo,31412
714,1830714,Vila Viçosa,11153
201,1840201,Aljustrel,6338
202,1840202,Almodôvar,14596
203,1840203,Alvito,17793
204,1840204,Barrancos,11558
205,1840205,Beja,30621
206,1840206,Castro Verde,14861
207,1840207,Cuba,8076
208,1840208,Ferreira do Alentejo,15942
209,1840209,Mértola,60602
210,1840210,Moura,39112
212,1840212,Ourique,26667
213,1840213,Serpa,31895
214,1840214,Vidigueira,7836
1403,1851403,Almeirim,1118
1404,1851404,Alpiarça,426
1103,1851103,Azambuja,3576
1405,1851405,Benavente,14947
1406,1851406,Cartaxo,535
1407,1851407,Chamusca,21559
1409,1851409,Coruche,34756
1412,1851412,Golegã,133
1414,1851414,Rio Maior,3651
1415,1851415,Salvaterra de Magos,2546
1416,1851416,Santarém,2850
801,1500801,Albufeira,304
802,1500802,Alcoutim,2554
803,1500803,Aljezur,1968
804,1500804,Castro Marim,3219
805,1500805,Faro,262
806,1500806,Lagoa,190
807,1500807,Lagos,641
808,1500808,Loulé,2870
809,1500809,Monchique,930
810,1500810,Olhão,11
811,1500811,Portimão,1031
812,1500812,São Brás de Alportel,159
813,1500813,Silves,3130
814,1500814,Tavira,1410
815,1500815,Vila do Bispo,2779
816,1500816,Vila Real de Santo António,126
