Muni_ID,ID,Muni,graz09_N,graz09_Nha
1310,1151310,Paredes,3402,1.70538625
1311,1151311,Penafiel,3411,1.03913525
1813,1151813,Resende,2292,0.672654203
1709,1151709,Ribeira de Pena,9121,1.24344526
104,1160104,Arouca,9797,2.198189469
113,1160113,Oliveira de Azeméis,4966,3.097934077
109,1160109,Santa Maria da Feira,2947,2.376964655
116,1160116,São João da Madeira,0,0
119,1160119,Vale de Cambra,3103,1.657799563
1701,1171701,Alijó,2252,0.260957552
1801,1171801,Armamar,333,0.073450191
403,1170403,Carrazeda de Ansiães,2742,0.403473085
404,1170404,Freixo de Espada à Cinta,2172,0.302087401
1805,1171805,Lamego,1611,0.29864581
1704,1171704,Mesão Frio,7,0.00674922
1807,1171807,Moimenta da Beira,3086,0.730101811
1812,1171812,Penedono,1509,0.436494304
1708,1171708,Peso da Régua,266,0.063451145
1710,1171710,Sabrosa,1098,0.21592654
1711,1171711,Santa Marta de Penaguião,183,0.051002031
1815,1171815,São João da Pesqueira,1224,0.09340448
1818,1171818,Sernancelhe,2331,0.45905448
1819,1171819,Tabuaço,801,0.195924179
1820,1171820,Tarouca,1312,0.696692517
409,1170409,Torre de Moncorvo,5317,0.371539046
410,1170410,Vila Flor,2982,0.321840244
914,1170914,Vila Nova de Foz Côa,2112,0.166393337
1714,1171714,Vila Real,10041,0.949438498
401,1180401,Alfândega da Fé,4003,0.340388962
1702,1181702,Boticas,12888,0.930718541
402,1180402,Bragança,25385,0.704519361
1703,1181703,Chaves,16797,0.862269681
405,1180405,Macedo de Cavaleiros,14660,0.672373756
406,1180406,Miranda do Douro,20965,0.961106765
407,1180407,Mirandela,8953,0.360507616
408,1180408,Mogadouro,17270,0.52657
1706,1181706,Montalegre,43805,0.7954944
1707,1181707,Murça,1847,0.388708158
1712,1181712,Valpaços,10075,0.458736391
1713,1181713,Vila Pouca de Aguiar,14758,1.279118889
411,1180411,Vimioso,9313,0.641957446
412,1180412,Vinhais,15559,0.888454796
101,1610101,Águeda,5080,2.669506491
102,1610102,Albergaria-a-Velha,7243,3.444035757
103,1610103,Anadia,1951,0.566229041
105,1610105,Aveiro,4718,1.946341414
108,1610108,Estarreja,15816,4.984455733
110,1610110,Ílhavo,1194,1.45258373
111,1610111,Mealhada,1926,1.127411394
112,1610112,Murtosa,8562,5.958571968
114,1610114,Oliveira do Bairro,2454,1.379524863
115,1610115,Ovar,10535,6.296860859
117,1610117,Sever do Vouga,1900,2.932101966
118,1610118,Vagos,6434,2.56245748
602,1620602,Cantanhede,11387,1.971756652
603,1620603,Coimbra,3362,0.647585575
604,1620604,Condeixa-a-Nova,1425,0.748368217
605,1620605,Figueira da Foz,9531,1.730019779
608,1620608,Mira,3310,3.090245692
610,1620610,Montemor-o-Velho,20015,2.369440275
613,1620613,Penacova,1126,1.419439055
615,1620615,Soure,4818,0.983663898
1004,1631004,Batalha,1322,1.337685023
1009,1631009,Leiria,15107,3.102008772
1010,1631010,Marinha Grande,241,1.56452755
1015,1631015,Pombal,8339,2.029838745
1016,1631016,Porto de Mós,11699,3.492172202
1002,1641002,Alvaiázere,1713,1.195427935
1003,1641003,Ansião,2575,1.077224712
601,1640601,Arganil,1304,0.934167676
1007,1641007,Castanheira de Pêra,126,1.403432529
1008,1641008,Figueiró dos Vinhos,254,0.665673541
606,1640606,Góis,349,2.052695668
607,1640607,Lousã,494,1.204939729
609,1640609,Miranda do Corvo,450,0.651132951
611,1640611,Oliveira do Hospital,3382,1.13769639
612,1640612,Pampilhosa da Serra,203,0.459052028
1013,1641013,Pedrógão Grande,309,0.632734539
614,1640614,Penela,1086,0.960515586
616,1640616,Tábua,2387,1.117890711
617,1640617,Vila Nova de Poiares,203,0.776567916
901,1650901,Aguiar da Beira,4679,1.560102906
1802,1651802,Carregal do Sal,1411,1.001658028
1803,1651803,Castro Daire,4714,1.528446864
1806,1651806,Mangualde,3200,0.851807059
1808,1651808,Mortágua,1992,2.329341817
1809,1651809,Nelas,1687,0.609274308
1810,1651810,Oliveira de Frades,4924,3.306858833
1811,1651811,Penalva do Castelo,1336,0.517853568
1814,1651814,Santa Comba Dão,1986,1.612349701
1816,1651816,São Pedro do Sul,8416,2.222807655
1817,1651817,Sátão,3382,1.224889075
1821,1651821,Tondela,6200,1.479346846
1822,1651822,Vila Nova de Paiva,2933,1.831020253
1823,1651823,Viseu,4860,0.834110223
1824,1651824,Vouzela,4738,2.347682541
1413,1661413,Mação,1495,0.923976105
506,1660506,Oleiros,653,0.547699461
508,1660508,Proença-a-Nova,2483,0.605591761
509,1660509,Sertã,2367,0.961133388
510,1660510,Vila de Rei,218,0.64111045
905,1670905,Fornos de Algodres,1979,0.6986434
906,1670906,Gouveia,4380,0.658915868
912,1670912,Seia,4952,0.91136541
902,1680902,Almeida,25004,1.26252543
903,1680903,Celorico da Beira,7076,0.849697811
904,1680904,Figueira de Castelo Rodrigo,15936,0.667812309
907,1680907,Guarda,20144,1.046530057
908,1680908,Manteigas,401,1.391119437
909,1680909,Mêda,4459,0.48186314
910,1680910,Pinhel,18171,0.961859161
911,1680911,Sabugal,30654,1.533099381
913,1680913,Trancoso,9106,0.818544936
502,1690502,Castelo Branco,31539,0.747214165
505,1690505,Idanha-a-Nova,84279,1.05144169
507,1690507,Penamacor,11163,0.923516212
511,1690511,Vila Velha de Ródão,3937,0.697435052
501,16A0501,Belmonte,4002,0.809287563
503,16A0503,Covilhã,9432,0.873994196
504,16A0504,Fundão,19614,0.761033993
1001,16B1001,Alcobaça,11133,1.519450459
1101,16B1101,Alenquer,5913,0.540731077
1102,16B1102,Arruda dos Vinhos,2177,0.773110379
1005,16B1005,Bombarral,1455,0.343432025
1104,16B1104,Cadaval,2866,0.574173164
1006,16B1006,Caldas da Rainha,4101,0.882945724
1108,16B1108,Lourinhã,8132,1.44204786
1011,16B1011,Nazaré,2337,2.483089782
1012,16B1012,Óbidos,911,0.291363647
1014,16B1014,Peniche,1514,0.621626667
1112,16B1112,Sobral de Monte Agraço,5680,2.202582014
1113,16B1113,Torres Vedras,14535,1.000108699
1401,16C1401,Abrantes,8352,0.646715214
1402,16C1402,Alcanena,4572,1.043157933
1408,16C1408,Constância,125,0.224597052
1410,16C1410,Entroncamento,221,0.432813809
1411,16C1411,Ferreira do Zêzere,2183,0.964561188
1421,16C1421,Ourém,4335,1.002045172
1417,16C1417,Sardoal,729,0.559630602
1418,16C1418,Tomar,5496,0.81208879
1419,16C1419,Torres Novas,4583,0.463135276
1420,16C1420,Vila Nova da Barquinha,182,0.441370344
1115,1711115,Amadora,57,0.938864262
1105,1711105,Cascais,203,0.857391689
1106,1711106,Lisboa,11,0.188742292
1107,1711107,Loures,6127,1.429447525
1109,1711109,Mafra,17139,1.845638563
1116,1711116,Odivelas,891,1.876729067
1110,1711110,Oeiras,12,0.116328
1111,1711111,Sintra,5031,0.977534834
1114,1711114,Vila Franca de Xira,9827,0.731590331
1502,1721502,Alcochete,4905,1.453381043
1503,1721503,Almada,877,2.0693459
1504,1721504,Barreiro,665,4.008346163
1506,1721506,Moita,4398,4.739128834
1507,1721507,Montijo,15822,1.056012857
1508,1721508,Palmela,35674,1.222157887
1510,1721510,Seixal,438,0.642821383
1511,1721511,Sesimbra,994,0.535788613
1512,1721512,Setúbal,3061,1.05475391
1501,1811501,Alcácer do Sal,101558,1.047542208
1505,1811505,Grândola,28504,0.746695235
211,1810211,Odemira,86162,1.232784432
1509,1811509,Santiago do Cacém,75252,1.21818887
1513,1811513,Sines,9524,1.069684868
1201,1821201,Alter do Chão,48683,1.464016986
1202,1821202,Arronches,43631,1.688648965
1203,1821203,Avis,46521,0.999253149
1204,1821204,Campo Maior,22295,1.212281466
1205,1821205,Castelo de Vide,26133,1.290964967
1206,1821206,Crato,44598,1.673655552
1207,1821207,Elvas,80877,1.55923448
1208,1821208,Fronteira,23315,1.084993307
1209,1821209,Gavião,8754,0.614869711
1210,1821210,Marvão,9123,1.060548807
1211,1821211,Monforte,78348,2.035020867
707,1820707,Mora,39787,0.97088547
1212,1821212,Nisa,28561,1.022783022
1213,1821213,Ponte de Sor,35867,0.637533581
1214,1821214,Portalegre,40981,1.484587112
701,1830701,Alandroal,52129,1.190315008
702,1830702,Arraiolos,75823,1.306662365
703,1830703,Borba,9778,1.150094333
704,1830704,Estremoz,37918,0.991504099
705,1830705,Évora,145648,1.363550767
706,1830706,Montemor-o-Novo,156612,1.472607149
708,1830708,Mourão,27643,1.292989059
709,1830709,Portel,46880,1.138991532
710,1830710,Redondo,35591,1.172720349
711,1830711,Reguengos de Monsaraz,28393,0.976573954
1215,1831215,Sousel,19970,0.967071468
712,1830712,Vendas Novas,16217,1.035817551
713,1830713,Viana do Alentejo,49405,1.24181221
714,1830714,Vila Viçosa,25054,1.586573851
201,1840201,Aljustrel,30331,0.779188716
202,1840202,Almodôvar,25664,0.657276028
203,1840203,Alvito,34980,1.523209143
204,1840204,Barrancos,19779,1.554204372
205,1840205,Beja,64585,0.666535694
206,1840206,Castro Verde,45719,0.901100519
207,1840207,Cuba,16245,1.115884344
208,1840208,Ferreira do Alentejo,38228,0.706858879
209,1840209,Mértola,53191,0.590892134
210,1840210,Moura,74677,1.022662703
212,1840212,Ourique,42534,0.958192141
213,1840213,Serpa,73087,0.844485571
214,1840214,Vidigueira,15831,0.690381188
1403,1851403,Almeirim,1200,0.124481861
1404,1851404,Alpiarça,1582,0.320959677
1103,1851103,Azambuja,9455,0.849223843
1405,1851405,Benavente,50394,1.750274111
1406,1851406,Cartaxo,7785,1.115660704
1407,1851407,Chamusca,20547,0.637331803
1409,1851409,Coruche,46008,0.823994774
1412,1851412,Golegã,789,0.135532666
1414,1851414,Rio Maior,9173,0.994210578
1415,1851415,Salvaterra de Magos,7035,0.856876357
1416,1851416,Santarém,19159,0.830358295
801,1500801,Albufeira,1336,0.393711963
802,1500802,Alcoutim,3315,0.266300903
803,1500803,Aljezur,6896,1.655982437
804,1500804,Castro Marim,3151,0.441560794
805,1500805,Faro,909,0.222923328
806,1500806,Lagoa,937,0.627369318
807,1500807,Lagos,2759,1.177587868
808,1500808,Loulé,3616,0.260385358
809,1500809,Monchique,1447,0.689365199
810,1500810,Olhão,433,0.171128391
811,1500811,Portimão,2930,1.20511165
812,1500812,São Brás de Alportel,170,0.055415782
813,1500813,Silves,6090,0.501474594
814,1500814,Tavira,1696,0.153749589
815,1500815,Vila do Bispo,4620,0.953504028
816,1500816,Vila Real de Santo António,411,0.343264936
