Muni_ID,ID,Muni,fert99_N,fert99_nha
1007,1641007,Castanheira de Pêra,162,1.880
1008,1641008,Figueiró dos Vinhos,904,1.334
606,1640606,Góis,429,0.768
607,1640607,Lousã,1145,1.981
609,1640609,Miranda do Corvo,2268,2.279
611,1640611,Oliveira do Hospital,9659,2.306
612,1640612,Pampilhosa da Serra,1015,2.692
1013,1641013,Pedrógão Grande,2421,3.942
614,1640614,Penela,5355,3.032
616,1640616,Tábua,6765,3.016
617,1640617,Vila Nova de Poiares,1544,3.204
901,1650901,Aguiar da Beira,6995,1.795
1802,1651802,Carregal do Sal,1508,0.857
1803,1651803,Castro Daire,3159,0.711
1806,1651806,Mangualde,11270,2.250
1808,1651808,Mortágua,41,0.032
1809,1651809,Nelas,4493,1.580
1810,1651810,Oliveira de Frades,23,0.012
1811,1651811,Penalva do Castelo,9707,2.780
1814,1651814,Santa Comba Dão,137,0.088
1816,1651816,São Pedro do Sul,2580,0.769
1817,1651817,Sátão,110,0.032
1821,1651821,Tondela,287,0.049
1822,1651822,Vila Nova de Paiva,18,0.007
1823,1651823,Viseu,7066,0.868
1824,1651824,Vouzela,117,0.046
1413,1661413,Mação,3985,1.294
506,1660506,Oleiros,2779,1.097
508,1660508,Proença-a-Nova,8084,1.884
509,1660509,Sertã,4229,1.145
510,1660510,Vila de Rei,385,0.583
905,1670905,Fornos de Algodres,7730,2.027
906,1670906,Gouveia,4418,0.561
912,1670912,Seia,11866,1.550
902,1680902,Almeida,6217,0.254
903,1680903,Celorico da Beira,13825,1.203
904,1680904,Figueira de Castelo Rodrigo,27832,0.949
907,1680907,Guarda,12998,0.511
908,1680908,Manteigas,427,0.378
909,1680909,Mêda,18752,1.628
910,1680910,Pinhel,16590,0.688
911,1680911,Sabugal,5918,0.214
913,1680913,Trancoso,14348,1.079
502,1690502,Castelo Branco,54159,0.960
505,1690505,Idanha-a-Nova,95117,1.048
507,1690507,Penamacor,22836,1.594
511,1690511,Vila Velha de Ródão,13888,1.844
501,16A0501,Belmonte,10865,1.623
503,16A0503,Covilhã,21209,1.512
504,16A0504,Fundão,57362,2.107
1001,16B1001,Alcobaça,4642,0.463
1101,16B1101,Alenquer,65647,4.434
1102,16B1102,Arruda dos Vinhos,18875,5.078
1005,16B1005,Bombarral,2157,0.383
1104,16B1104,Cadaval,3642,0.560
1006,16B1006,Caldas da Rainha,3018,0.403
1108,16B1108,Lourinhã,15861,2.173
1011,16B1011,Nazaré,4002,3.641
1012,16B1012,Óbidos,6272,1.377
1014,16B1014,Peniche,15366,4.904
1112,16B1112,Sobral de Monte Agraço,21532,6.363
1113,16B1113,Torres Vedras,42913,2.561
1401,16C1401,Abrantes,62542,4.006
1402,16C1402,Alcanena,12439,3.209
1408,16C1408,Constância,4007,3.816
1410,16C1410,Entroncamento,1075,6.106
1411,16C1411,Ferreira do Zêzere,106,0.027
1421,16C1421,Ourém,269,0.041
1417,16C1417,Sardoal,3802,2.810
1418,16C1418,Tomar,11541,1.460
1419,16C1419,Torres Novas,52570,5.101
1420,16C1420,Vila Nova da Barquinha,1187,1.715
1115,1711115,Amadora,23,0.078
1105,1711105,Cascais,147,0.275
1106,1711106,Lisboa,0,0.000
1107,1711107,Loures,28365,4.791
1109,1711109,Mafra,55471,5.535
1116,1711116,Odivelas,272,0.896
1110,1711110,Oeiras,6252,5.837
1111,1711111,Sintra,43248,5.543
1114,1711114,Vila Franca de Xira,83167,8.486
1502,1721502,Alcochete,5467,1.488
1503,1721503,Almada,3494,6.494
1504,1721504,Barreiro,723,2.999
1506,1721506,Moita,2037,1.054
1507,1721507,Montijo,23872,1.438
1508,1721508,Palmela,40060,1.719
1510,1721510,Seixal,151,0.151
1511,1721511,Sesimbra,6537,2.510
1512,1721512,Setúbal,17709,2.852
1501,1811501,Alcácer do Sal,131188,1.451
1505,1811505,Grândola,26980,0.600
211,1810211,Odemira,118431,1.523
1509,1811509,Santiago do Cacém,76830,1.106
1513,1811513,Sines,7657,0.905
1201,1821201,Alter do Chão,40747,1.371
1202,1821202,Arronches,32994,1.259
1203,1821203,Avis,82226,1.938
1204,1821204,Campo Maior,68653,3.256
1205,1821205,Castelo de Vide,18269,0.882
1206,1821206,Crato,31912,1.232
1207,1821207,Elvas,130280,2.266
1208,1821208,Fronteira,35360,1.987
1209,1821209,Gavião,31282,3.954
1210,1821210,Marvão,15809,1.511
1211,1821211,Monforte,46283,1.226
707,1820707,Mora,62897,1.426
1212,1821212,Nisa,44143,1.724
1213,1821213,Ponte de Sor,79836,1.390
1214,1821214,Portalegre,39900,1.353
701,1830701,Alandroal,56723,1.350
702,1830702,Arraiolos,78012,1.423
703,1830703,Borba,11493,1.389
704,1830704,Estremoz,56728,1.375
705,1830705,Évora,173978,1.600
706,1830706,Montemor-o-Novo,100835,1.116
708,1830708,Mourão,19381,0.705
709,1830709,Portel,49513,1.275
710,1830710,Redondo,40033,1.465
711,1830711,Reguengos de Monsaraz,64598,1.693
1215,1831215,Sousel,62605,2.602
712,1830712,Vendas Novas,15982,0.911
713,1830713,Viana do Alentejo,33740,0.987
714,1830714,Vila Viçosa,30372,2.315
201,1840201,Aljustrel,139937,3.575
202,1840202,Almodôvar,47176,1.246
203,1840203,Alvito,25858,1.656
204,1840204,Barrancos,5773,0.416
205,1840205,Beja,274514,3.024
206,1840206,Castro Verde,59119,1.239
207,1840207,Cuba,27613,2.056
208,1840208,Ferreira do Alentejo,152538,3.139
209,1840209,Mértola,74746,0.924
210,1840210,Moura,133960,1.938
212,1840212,Ourique,51195,1.186
213,1840213,Serpa,217882,2.594
214,1840214,Vidigueira,64772,2.281
1403,1851403,Almeirim,40602,4.402
1404,1851404,Alpiarça,49366,5.106
1103,1851103,Azambuja,76931,6.798
1405,1851405,Benavente,121257,3.307
1406,1851406,Cartaxo,42287,5.237
1407,1851407,Chamusca,49592,2.241
1409,1851409,Coruche,74834,1.109
1412,1851412,Golegã,73552,13.172
1414,1851414,Rio Maior,5203,0.666
1415,1851415,Salvaterra de Magos,61450,5.404
1416,1851416,Santarém,178972,5.795
801,1500801,Albufeira,28547,5.383
802,1500802,Alcoutim,31271,2.890
803,1500803,Aljezur,14938,2.801
804,1500804,Castro Marim,28800,3.648
805,1500805,Faro,39167,7.854
806,1500806,Lagoa,4400,2.394
807,1500807,Lagos,17209,4.323
808,1500808,Loulé,80401,4.775
809,1500809,Monchique,1849,0.620
810,1500810,Olhão,30798,6.988
811,1500811,Portimão,15116,4.995
812,1500812,São Brás de Alportel,6814,3.650
813,1500813,Silves,77286,4.930
814,1500814,Tavira,52281,4.264
815,1500815,Vila do Bispo,5839,2.286
816,1500816,Vila Real de Santo António,7489,3.463
