Muni_ID,ID,Muni,fert09_N,fert09_nha
116,1160116,São João da Madeira,0,0.000
119,1160119,Vale de Cambra,5117,2.733
1701,1171701,Alijó,10773,1.249
1801,1171801,Armamar,7676,1.691
403,1170403,Carrazeda de Ansiães,12278,1.807
404,1170404,Freixo de Espada à Cinta,12550,1.745
1805,1171805,Lamego,6022,1.116
1704,1171704,Mesão Frio,39,0.036
1807,1171807,Moimenta da Beira,2188,0.518
1812,1171812,Penedono,16109,4.660
1708,1171708,Peso da Régua,4582,1.092
1710,1171710,Sabrosa,110,0.022
1711,1171711,Santa Marta de Penaguião,4074,1.137
1815,1171815,São João da Pesqueira,24898,1.900
1818,1171818,Sernancelhe,8292,1.633
1819,1171819,Tabuaço,9420,2.303
1820,1171820,Tarouca,15,0.008
409,1170409,Torre de Moncorvo,17434,1.218
410,1170410,Vila Flor,22548,2.433
914,1170914,Vila Nova de Foz Côa,20024,1.577
1714,1171714,Vila Real,1437,0.136
401,1180401,Alfândega da Fé,28970,2.463
1702,1181702,Boticas,6812,0.492
402,1180402,Bragança,100406,2.787
1703,1181703,Chaves,35092,1.801
405,1180405,Macedo de Cavaleiros,52339,2.401
406,1180406,Miranda do Douro,18717,0.858
407,1180407,Mirandela,51099,2.058
408,1180408,Mogadouro,50995,1.555
1706,1181706,Montalegre,21125,0.384
1707,1181707,Murça,3858,0.812
1712,1181712,Valpaços,80070,3.646
1713,1181713,Vila Pouca de Aguiar,7851,0.680
411,1180411,Vimioso,27155,1.872
412,1180412,Vinhais,64304,3.672
101,1610101,Águeda,4274,2.246
102,1610102,Albergaria-a-Velha,122,0.058
103,1610103,Anadia,4356,1.264
105,1610105,Aveiro,20128,8.304
108,1610108,Estarreja,13370,4.214
110,1610110,Ílhavo,583,0.709
111,1610111,Mealhada,399,0.233
112,1610112,Murtosa,7010,4.878
114,1610114,Oliveira do Bairro,8200,4.609
115,1610115,Ovar,435,0.260
117,1610117,Sever do Vouga,45,0.070
118,1610118,Vagos,13373,5.326
602,1620602,Cantanhede,13272,2.298
603,1620603,Coimbra,47247,9.100
604,1620604,Condeixa-a-Nova,10749,5.646
605,1620605,Figueira da Foz,31405,5.701
608,1620608,Mira,1379,1.288
610,1620610,Montemor-o-Velho,70039,8.292
613,1620613,Penacova,3774,4.759
615,1620615,Soure,1795,0.367
1004,1631004,Batalha,491,0.497
1009,1631009,Leiria,3471,0.713
1010,1631010,Marinha Grande,1016,6.598
1015,1631015,Pombal,1390,0.338
1016,1631016,Porto de Mós,309,0.092
1002,1641002,Alvaiázere,2659,1.855
1003,1641003,Ansião,2930,1.226
601,1640601,Arganil,4079,2.922
1007,1641007,Castanheira de Pêra,247,2.741
1008,1641008,Figueiró dos Vinhos,1452,3.801
606,1640606,Góis,11,0.067
607,1640607,Lousã,132,0.322
609,1640609,Miranda do Corvo,2301,3.330
611,1640611,Oliveira do Hospital,30,0.010
612,1640612,Pampilhosa da Serra,1340,3.033
1013,1641013,Pedrógão Grande,2157,4.421
614,1640614,Penela,3786,3.347
616,1640616,Tábua,7232,3.387
617,1640617,Vila Nova de Poiares,1092,4.185
901,1650901,Aguiar da Beira,2884,0.962
1802,1651802,Carregal do Sal,76,0.054
1803,1651803,Castro Daire,3012,0.977
1806,1651806,Mangualde,12771,3.399
1808,1651808,Mortágua,85,0.099
1809,1651809,Nelas,1995,0.721
1810,1651810,Oliveira de Frades,1,0.001
1811,1651811,Penalva do Castelo,9132,3.540
1814,1651814,Santa Comba Dão,180,0.146
1816,1651816,São Pedro do Sul,497,0.131
1817,1651817,Sátão,170,0.062
1821,1651821,Tondela,574,0.137
1822,1651822,Vila Nova de Paiva,0,0.000
1823,1651823,Viseu,16916,2.903
1824,1651824,Vouzela,51,0.025
1413,1661413,Mação,3317,2.050
506,1660506,Oleiros,0,0.000
508,1660508,Proença-a-Nova,10142,2.474
509,1660509,Sertã,2238,0.908
510,1660510,Vila de Rei,136,0.400
905,1670905,Fornos de Algodres,8848,3.123
906,1670906,Gouveia,5722,0.861
912,1670912,Seia,10207,1.878
902,1680902,Almeida,5062,0.256
903,1680903,Celorico da Beira,10460,1.256
904,1680904,Figueira de Castelo Rodrigo,32741,1.372
907,1680907,Guarda,10779,0.560
908,1680908,Manteigas,271,0.941
909,1680909,Mêda,21517,2.325
910,1680910,Pinhel,16657,0.882
911,1680911,Sabugal,7059,0.353
913,1680913,Trancoso,24402,2.193
502,1690502,Castelo Branco,41321,0.979
505,1690505,Idanha-a-Nova,76113,0.950
507,1690507,Penamacor,21369,1.768
511,1690511,Vila Velha de Ródão,12163,2.155
501,16A0501,Belmonte,10443,2.112
503,16A0503,Covilhã,22040,2.042
504,16A0504,Fundão,54040,2.097
1001,16B1001,Alcobaça,4654,0.635
1101,16B1101,Alenquer,37904,3.466
1102,16B1102,Arruda dos Vinhos,7513,2.668
1005,16B1005,Bombarral,3797,0.896
1104,16B1104,Cadaval,12179,2.440
1006,16B1006,Caldas da Rainha,2968,0.639
1108,16B1108,Lourinhã,23765,4.214
1011,16B1011,Nazaré,5649,6.003
1012,16B1012,Óbidos,7727,2.473
1014,16B1014,Peniche,22235,9.132
1112,16B1112,Sobral de Monte Agraço,8564,3.321
1113,16B1113,Torres Vedras,38981,2.682
1401,16C1401,Abrantes,41082,3.181
1402,16C1402,Alcanena,13703,3.126
1408,16C1408,Constância,7159,12.875
1410,16C1410,Entroncamento,3981,7.790
1411,16C1411,Ferreira do Zêzere,139,0.061
1421,16C1421,Ourém,183,0.042
1417,16C1417,Sardoal,4693,3.604
1418,16C1418,Tomar,7441,1.100
1419,16C1419,Torres Novas,44484,4.495
1420,16C1420,Vila Nova da Barquinha,2767,6.700
1115,1711115,Amadora,46,0.746
1105,1711105,Cascais,1107,4.669
1106,1711106,Lisboa,484,8.340
1107,1711107,Loures,14936,3.485
1109,1711109,Mafra,36487,3.929
1116,1711116,Odivelas,81,0.170
1110,1711110,Oeiras,538,5.381
1111,1711111,Sintra,27704,5.383
1114,1711114,Vila Franca de Xira,142375,10.600
1502,1721502,Alcochete,9111,2.700
1503,1721503,Almada,3232,7.622
1504,1721504,Barreiro,377,2.274
1506,1721506,Moita,1194,1.287
1507,1721507,Montijo,10063,0.672
1508,1721508,Palmela,49321,1.690
1510,1721510,Seixal,248,0.363
1511,1721511,Sesimbra,1052,0.567
1512,1721512,Setúbal,4389,1.513
1501,1811501,Alcácer do Sal,133136,1.373
1505,1811505,Grândola,10558,0.277
211,1810211,Odemira,117911,1.687
1509,1811509,Santiago do Cacém,99130,1.605
1513,1811513,Sines,12776,1.435
1201,1821201,Alter do Chão,27261,0.820
1202,1821202,Arronches,31189,1.207
1203,1821203,Avis,74392,1.598
1204,1821204,Campo Maior,65218,3.546
1205,1821205,Castelo de Vide,27263,1.347
1206,1821206,Crato,12015,0.451
1207,1821207,Elvas,109158,2.104
1208,1821208,Fronteira,48134,2.240
1209,1821209,Gavião,4813,0.338
1210,1821210,Marvão,10240,1.190
1211,1821211,Monforte,40653,1.056
707,1820707,Mora,42390,1.034
1212,1821212,Nisa,20503,0.734
1213,1821213,Ponte de Sor,41891,0.745
1214,1821214,Portalegre,18331,0.664
701,1830701,Alandroal,52821,1.206
702,1830702,Arraiolos,52857,0.911
703,1830703,Borba,18128,2.132
704,1830704,Estremoz,63228,1.653
705,1830705,Évora,159406,1.492
706,1830706,Montemor-o-Novo,71291,0.670
708,1830708,Mourão,6941,0.325
709,1830709,Portel,25547,0.621
710,1830710,Redondo,41728,1.375
711,1830711,Reguengos de Monsaraz,49766,1.712
1215,1831215,Sousel,55242,2.675
712,1830712,Vendas Novas,1411,0.090
713,1830713,Viana do Alentejo,35241,0.886
714,1830714,Vila Viçosa,17783,1.126
201,1840201,Aljustrel,143223,3.679
202,1840202,Almodôvar,28358,0.726
203,1840203,Alvito,18318,0.798
204,1840204,Barrancos,754,0.059
205,1840205,Beja,347161,3.583
206,1840206,Castro Verde,82376,1.624
207,1840207,Cuba,28226,1.939
208,1840208,Ferreira do Alentejo,186747,3.453
209,1840209,Mértola,62398,0.693
210,1840210,Moura,148787,2.038
212,1840212,Ourique,43299,0.975
213,1840213,Serpa,227565,2.629
214,1840214,Vidigueira,68943,3.007
1403,1851403,Almeirim,71581,7.424
1404,1851404,Alpiarça,47719,9.679
1103,1851103,Azambuja,50769,4.560
1405,1851405,Benavente,91522,3.179
1406,1851406,Cartaxo,33807,4.845
1407,1851407,Chamusca,99979,3.101
1409,1851409,Coruche,135125,2.420
1412,1851412,Golegã,119136,20.460
1414,1851414,Rio Maior,5379,0.583
1415,1851415,Salvaterra de Magos,65360,7.961
1416,1851416,Santarém,103234,4.474
801,1500801,Albufeira,21181,6.243
802,1500802,Alcoutim,24621,1.978
803,1500803,Aljezur,8002,1.922
804,1500804,Castro Marim,24731,3.465
805,1500805,Faro,39132,9.593
806,1500806,Lagoa,2152,1.441
807,1500807,Lagos,6865,2.930
808,1500808,Loulé,76840,5.533
809,1500809,Monchique,2077,0.990
810,1500810,Olhão,24352,9.629
811,1500811,Portimão,9548,3.928
812,1500812,São Brás de Alportel,8055,2.621
813,1500813,Silves,84322,6.944
814,1500814,Tavira,60373,5.473
815,1500815,Vila do Bispo,5283,1.090
816,1500816,Vila Real de Santo António,3521,2.939
