Muni_ID,ID,Muni,graz99_N,graz99_nha
508,1660508,Proença-a-Nova,4118,0.959683058
509,1660509,Sertã,4145,1.122089875
510,1660510,Vila de Rei,589,0.89107413
905,1670905,Fornos de Algodres,3465,0.908733281
906,1670906,Gouveia,5225,0.663829247
912,1670912,Seia,6738,0.880324014
902,1680902,Almeida,17889,0.732285399
903,1680903,Celorico da Beira,9084,0.790325387
904,1680904,Figueira de Castelo Rodrigo,14479,0.493506936
907,1680907,Guarda,20078,0.789043465
908,1680908,Manteigas,684,0.605845881
909,1680909,Mêda,5751,0.499305435
910,1680910,Pinhel,13544,0.562084993
911,1680911,Sabugal,26739,0.968418384
913,1680913,Trancoso,11276,0.847883299
502,1690502,Castelo Branco,36205,0.641534509
505,1690505,Idanha-a-Nova,51181,0.563804005
507,1690507,Penamacor,10570,0.737664875
511,1690511,Vila Velha de Ródão,4048,0.537583001
501,16A0501,Belmonte,5162,0.771138333
503,16A0503,Covilhã,11660,0.831491122
504,16A0504,Fundão,20170,0.740781548
1001,16B1001,Alcobaça,14165,1.41212242
1101,16B1101,Alenquer,8038,0.542888018
1102,16B1102,Arruda dos Vinhos,2670,0.718321227
1005,16B1005,Bombarral,1326,0.235314996
1104,16B1104,Cadaval,4234,0.651184251
1006,16B1006,Caldas da Rainha,7545,1.007881379
1108,16B1108,Lourinhã,6298,0.862857926
1011,16B1011,Nazaré,1739,1.582347589
1012,16B1012,Óbidos,1587,0.348484848
1014,16B1014,Peniche,2196,0.70092563
1112,16B1112,Sobral de Monte Agraço,5300,1.566193853
1113,16B1113,Torres Vedras,15355,0.916224118
1401,16C1401,Abrantes,8629,0.552645062
1402,16C1402,Alcanena,5405,1.394478844
1408,16C1408,Constância,712,0.678095238
1410,16C1410,Entroncamento,55,0.3125
1411,16C1411,Ferreira do Zêzere,2512,0.642948554
1421,16C1421,Ourém,5889,0.90446936
1417,16C1417,Sardoal,428,0.316334072
1418,16C1418,Tomar,6907,0.873861336
1419,16C1419,Torres Novas,6252,0.606636911
1420,16C1420,Vila Nova da Barquinha,260,0.375722543
1115,1711115,Amadora,306,1.044368601
1105,1711105,Cascais,554,1.037453184
1106,1711106,Lisboa,0,0
1107,1711107,Loures,6850,1.156899172
1109,1711109,Mafra,19030,1.89882259
1116,1711116,Odivelas,1485,4.884868421
1110,1711110,Oeiras,351,0.327731092
1111,1711111,Sintra,8867,1.136503461
1114,1711114,Vila Franca de Xira,9800,1
1502,1721502,Alcochete,4385,1.193197279
1503,1721503,Almada,999,1.856877323
1504,1721504,Barreiro,483,2.004149378
1506,1721506,Moita,12351,6.389549922
1507,1721507,Montijo,14574,0.877740304
1508,1721508,Palmela,22439,0.962923229
1510,1721510,Seixal,979,0.97997998
1511,1721511,Sesimbra,2841,1.091013825
1512,1721512,Setúbal,6723,1.082783057
1501,1811501,Alcácer do Sal,75861,0.838827029
1505,1811505,Grândola,26148,0.581415516
211,1810211,Odemira,76682,0.985946641
1509,1811509,Santiago do Cacém,58305,0.838981222
1513,1811513,Sines,9067,1.071369491
1201,1821201,Alter do Chão,34563,1.163267367
1202,1821202,Arronches,36822,1.404776438
1203,1821203,Avis,28968,0.682821045
1204,1821204,Campo Maior,12667,0.600701854
1205,1821205,Castelo de Vide,18981,0.916381017
1206,1821206,Crato,33495,1.292644335
1207,1821207,Elvas,62791,1.092283339
1208,1821208,Fronteira,16114,0.905382627
1209,1821209,Gavião,3287,0.415497409
1210,1821210,Marvão,9426,0.900802752
1211,1821211,Monforte,49415,1.309388166
707,1820707,Mora,30448,0.690102219
1212,1821212,Nisa,20902,0.816324937
1213,1821213,Ponte de Sor,27927,0.486304352
1214,1821214,Portalegre,34873,1.182255823
701,1830701,Alandroal,36861,0.877099891
702,1830702,Arraiolos,61079,1.114153335
703,1830703,Borba,8722,1.053763441
704,1830704,Estremoz,36883,0.89367837
705,1830705,Évora,104215,0.958193119
706,1830706,Montemor-o-Novo,118612,1.312369993
708,1830708,Mourão,27160,0.988211323
709,1830709,Portel,27554,0.709514613
710,1830710,Redondo,26015,0.952058554
711,1830711,Reguengos de Monsaraz,26674,0.698912616
1215,1831215,Sousel,18022,0.749168607
712,1830712,Vendas Novas,14399,0.820362352
713,1830713,Viana do Alentejo,43875,1.2835703
714,1830714,Vila Viçosa,17584,1.340141757
201,1840201,Aljustrel,26093,0.666641118
202,1840202,Almodôvar,24141,0.637638669
203,1840203,Alvito,15370,0.984309958
204,1840204,Barrancos,13437,0.967177715
205,1840205,Beja,39534,0.435569168
206,1840206,Castro Verde,35976,0.754055754
207,1840207,Cuba,26454,1.970062556
208,1840208,Ferreira do Alentejo,28304,0.582542655
209,1840209,Mértola,39325,0.486304334
210,1840210,Moura,49246,0.712491681
212,1840212,Ourique,37067,0.858748031
213,1840213,Serpa,53689,0.639230861
214,1840214,Vidigueira,14875,0.523749164
1403,1851403,Almeirim,3028,0.328274068
1404,1851404,Alpiarça,3230,0.334057297
1103,1851103,Azambuja,8838,0.781018028
1405,1851405,Benavente,34764,0.948074615
1406,1851406,Cartaxo,8520,1.055108359
1407,1851407,Chamusca,14407,0.651016719
1409,1851409,Coruche,47708,0.707162338
1412,1851412,Golegã,1002,0.179441261
1414,1851414,Rio Maior,9241,1.182015861
1415,1851415,Salvaterra de Magos,8691,0.764312725
1416,1851416,Santarém,27264,0.88273004
801,1500801,Albufeira,1454,0.274184424
802,1500802,Alcoutim,5398,0.498890943
803,1500803,Aljezur,8651,1.621859768
804,1500804,Castro Marim,4065,0.514948062
805,1500805,Faro,985,0.197513535
806,1500806,Lagoa,1041,0.566376496
807,1500807,Lagos,7113,1.786737001
808,1500808,Loulé,6104,0.362513363
809,1500809,Monchique,4399,1.474689909
810,1500810,Olhão,1096,0.248695258
811,1500811,Portimão,2753,0.90978189
812,1500812,São Brás de Alportel,806,0.431708623
813,1500813,Silves,7062,0.45046884
814,1500814,Tavira,3960,0.323001631
815,1500815,Vila do Bispo,4129,1.616046967
816,1500816,Vila Real de Santo António,767,0.354600092
