GW_ID,GW_name,HU,GW_type
42,ZONA SUL PORTUGUESA DA BACIA DO GUADIANA,Massif,Ind
43,BACIA DO TEJO-SADO INDIFERENCIADO DA BACIA DO TEJO,Tagus-Sado,Ind
44,BACIA DO TEJO-SADO / MARGEM DIREITA,Tagus-Sado,Aq
45,BACIA DO TEJO-SADO / MARGEM ESQUERDA,Tagus-Sado,Aq
46,ALUVIÕES DO TEJO,Tagus-Sado,Aq
47,LUZ - TAVIRA,Meridional,Aq
48,VEIGA DE CHAVES,Massif,Aq
49,MONTE GORDO,Meridional,Aq
50,ORLA MERIDIONAL INDIFERENCIADO DA BACIA DO GUADIANA,Meridional,Ind
51,POUSOS - CARANGUEJEIRA,Western,Aq
52,MACIÇO ANTIGO INDIFERENCIADO DO BAIXO CÁVADO/AVE,Massif,Ind
53,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO AVE,Massif,Ind
54,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO CÁVADO,Massif,Ind
55,MOURA - FICALHO,Massif,Aq
56,VIANA DO ALENTEJO - ALVITO,Massif,Aq
57,ZONA SUL PORTUGUESA DAS BACIAS DAS RIBEIRAS DO SOTAVENTO,Massif,Ind
58,ORLA MERIDIONAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO BARLAVENTO,Meridional,Ind
59,GABROS DE BEJA,Massif,Aq
60,ORLA MERIDIONAL INDIFERENCIADO DA BACIA DO ARADE,Meridional,Ind
61,ORLA MERIDIONAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO SOTAVENTO,Meridional,Ind
62,COVÕES,Meridional,Aq
63,ALPEDRIZ,Western,Aq
64,ELVAS - CAMPO MAIOR,Massif,Aq
65,QUERENÇA - SILVES,Meridional,Aq
66,SINES - ZONA NORTE,Western,Aq
67,SINES - ZONA SUL,Western,Aq
68,PERAL - MONCARAPACHO,Meridional,Aq
69,SÃO BARTOLOMEU,Meridional,Aq
70,SÃO JOÃO DA VENDA - QUELFES,Meridional,Aq
71,CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM,Meridional,Aq
72,SÃO BRÁS DE ALPORTEL,Meridional,Aq
73,MACIÇO ANTIGO INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO ALGARVE,Massif,Ind
74,OURÉM,Western,Aq
75,ALMÁDENA - ODEÁXERE,Meridional,Aq
76,ALMANSIL - MEDRONHAL,Meridional,Aq
77,MEXILHOEIRA GRANDE - PORTIMÃO,Meridional,Aq
78,MALHÃO,Meridional,Aq
79,VÁRZEA DE ALJEZUR,Massif,Ind
80,CAMPINA DE FARO - SUBSISTEMA FARO,Meridional,Aq
81,OTA - ALENQUER,Western,Aq
82,FERRAGUDO - ALBUFEIRA,Meridional,Aq
83,ALBUFEIRA - RIBEIRA DE QUARTEIRA,Meridional,Aq
84,QUARTEIRA,Meridional,Aq
85,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO TEJO,Massif,Ind
86,CESAREDA,Western,Aq
87,PISÕES - ATROZELA,Western,Aq
88,ANÇÃ - CANTANHEDE,Western,Aq
89,ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO LIS,Western,Ind
90,ELVAS - VILA BOIM,Massif,Aq
91,ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO MONDEGO,Western,Ind
92,CAMPINA DE FARO - SUBSISTEMA VALE DE LOBO,Meridional,Aq
93,ZONA SUL PORTUGUESA DA BACIA DO MIRA,Massif,Ind
