"","GW_ID","GW_name","HU","GW_type","wsurplus_L","n_load_kgN","Nc_mgNL","Nc_mgNO3L"
"19",19,"VERRIDE","Western","Aq",1744146000,8327.292,4.77442370076817,21.1257685874698
"20",20,"LOURIÇAL","Western","Aq",69447856000,100643.797,1.44919948284653,6.41238709224127
"21",21,"CRETÁCICO DE AVEIRO","Western","Aq",111934754000,60510.804,0.540589958325187,2.39199096604065
"22",22,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO VOUGA","Western","Ind",61987740000,35626.919,0.5747413762786,2.54310343486106
"23",23,"ALUVIÕES DO MONDEGO","Western","Aq",79894555000,48142.227,0.602572065142612,2.66624807585227
"24",24,"CÁRSICO DA BAIRRADA","Western","Aq",66643809000,40356.596,0.605556564151368,2.67945382367862
"25",25,"TENTÚGAL","Western","Aq",33886831000,45823.662,1.35225574796298,5.98343251311052
"26",26,"FIGUEIRA DA FOZ - GESTEIRA","Western","Aq",11195128000,22993.592,2.05389272905142,9.0880209250063
"27",27,"QUATERNÁRIO DE AVEIRO","Western","Aq",112978055000,41764.434,0.369668552003307,1.63570155753676
"28",28,"ESCUSA","Massif","Aq",230834000,3590.027,15.5524186211737,68.8160115981135
"29",29,"MACIÇO CALCÁRIO ESTREMENHO","Western","Aq",78511503000,170037.182,2.16576139167785,9.58301500742413
"30",30,"MONFORTE - ALTER DO CHÃO","Massif","Aq",512004000,17526.867,34.2318946726979,151.468560498663
"31",31,"PAÇO","Western","Aq",710249000,3025.714,4.26007498778597,18.8498893264866
"32",32,"ESTREMOZ - CANO","Massif","Aq",1531076000,68968.291,45.0456352264682,199.31697002862
"33",33,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO TEJO","Western","Ind",88805638000,275393.712,3.10108364966648,13.7216090693207
"34",34,"ORLA OCIDENTAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO OESTE","Western","Ind",189768642000,563559.542,2.96971900130897,13.140349563314
"35",35,"SICÓ - ALVAIÁZERE","Western","Aq",31685961000,83994.769,2.65085123976514,11.7294302644475
"36",36,"MACEIRA","Western","Aq",176926000,1377.174,7.78389835298373,34.4420281105475
"37",37,"TORRES VEDRAS","Western","Aq",3696145000,6487.454,1.75519466904031,7.76634809309872
"38",38,"PENELA - TOMAR","Western","Aq",37049550000,65649.098,1.77192700046289,7.84038495780041
"39",39,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO SADO","Massif","Ind",34947696000,575235.464,16.4598966409688,72.8314010662338
"40",40,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO GUADIANA","Massif","Ind",49136958000,1509688.239,30.7240883532106,135.947293598277
"41",41,"ZONA SUL PORTUGUESA DA BACIA DO SADO","Massif","Ind",14401096000,483045.577,33.5422787960027,148.417162814171
"42",42,"ZONA SUL PORTUGUESA DA BACIA DO GUADIANA","Massif","Ind",29742537000,795779.288,26.7555954624853,118.38759054197
"43",43,"BACIA DO TEJO-SADO INDIFERENCIADO DA BACIA DO TEJO","Tagus-Sado","Ind",4498845000,100869.549,22.4212101105951,99.2088942946684
"44",44,"BACIA DO TEJO-SADO / MARGEM DIREITA","Tagus-Sado","Aq",121139281000,590651.745,4.87580692343716,21.5743669178635
"45",45,"BACIA DO TEJO-SADO / MARGEM ESQUERDA","Tagus-Sado","Aq",170602878000,1219772.806,7.14977859869398,31.6361884897964
"46",46,"ALUVIÕES DO TEJO","Tagus-Sado","Aq",82446603000,487631.062,5.91450762380107,26.1703877159339
"47",47,"LUZ - TAVIRA","Meridional","Aq",298011000,11979.659,40.1987141414243,177.870416554975
"48",48,"VEIGA DE CHAVES","Massif","Aq",983600000,2376.894,2.41652501016673,10.6925885405608
"49",49,"MONTE GORDO","Meridional","Aq",0,0,NA,NA
"50",50,"ORLA MERIDIONAL INDIFERENCIADO DA BACIA DO GUADIANA","Meridional","Ind",256663000,1392.2,5.42423333320346,24.0010324478029
"51",51,"POUSOS - CARANGUEJEIRA","Western","Aq",8463798000,33468.51,3.9543134181605,17.4969620272588
"52",52,"MACIÇO ANTIGO INDIFERENCIADO DO BAIXO CÁVADO/AVE","Massif","Ind",9611324000,75748.292,7.88115060942696,34.8723478293228
"53",53,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO AVE","Massif","Ind",118407386000,220730.08,1.86415803487124,8.24848687996122
"54",54,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO CÁVADO","Massif","Ind",98146074000,164503.319,1.67610697295951,7.41640253521907
"55",55,"MOURA - FICALHO","Massif","Aq",712994000,100749.729,141.30515684564,625.244056839113
"56",56,"VIANA DO ALENTEJO - ALVITO","Massif","Aq",279303000,4205.527,15.0572210108735,66.6248717295287
"57",57,"ZONA SUL PORTUGUESA DAS BACIAS DAS RIBEIRAS DO SOTAVENTO","Massif","Ind",2492320000,36154.89,14.5065200295307,64.1881417235873
"58",58,"ORLA MERIDIONAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO BARLAVENTO","Meridional","Ind",11542827000,16783.176,1.45399181673606,6.43359210945158
"59",59,"GABROS DE BEJA","Massif","Aq",167472000,235503.428,1406.22568548772,6222.23754640585
"60",60,"ORLA MERIDIONAL INDIFERENCIADO DA BACIA DO ARADE","Meridional","Ind",3881197000,16761.803,4.31871997221476,19.1093804080299
"61",61,"ORLA MERIDIONAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO SOTAVENTO","Meridional","Ind",7530544000,127671.175,16.9537785052448,75.0167190497556
"62",62,"COVÕES","Meridional","Aq",497733000,1143.62,2.2976575794653,10.166626457811
"63",63,"ALPEDRIZ","Western","Aq",5642562000,19730.502,3.49672755035744,15.4722457980418
"64",64,"ELVAS - CAMPO MAIOR","Massif","Aq",1694355000,64545.13,38.0942187440058,168.558490017725
"65",65,"QUERENÇA - SILVES","Meridional","Aq",10092968000,120385.928,11.927703327703,52.7774483526682
"66",66,"SINES - ZONA NORTE","Western","Aq",1557627000,14122.011,9.06636248601238,40.1166481681964
"67",67,"SINES - ZONA SUL","Western","Aq",158656000,6239.936,39.3299717628076,174.026423729237
"68",68,"PERAL - MONCARAPACHO","Meridional","Aq",913731000,14863.464,16.2667831123164,71.9769164261789
"69",69,"SÃO BARTOLOMEU","Meridional","Aq",504429000,3390.572,6.72160403148907,29.7416107588012
"70",70,"SÃO JOÃO DA VENDA - QUELFES","Meridional","Aq",1607558000,56555.33,35.1808954949059,155.667679181
"71",71,"CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM","Meridional","Aq",6919000,2909.055,420.444428385605,1860.37357692745
"72",72,"SÃO BRÁS DE ALPORTEL","Meridional","Aq",226387000,9082.083,40.1175111645103,177.511111347391
"73",73,"MACIÇO ANTIGO INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO ALGARVE","Massif","Ind",1840617000,4789.111,2.60190523069166,11.5128550030605
"74",74,"OURÉM","Western","Aq",30028257000,55995.968,1.86477583430833,8.25122050578908
"75",75,"ALMÁDENA - ODEÁXERE","Meridional","Aq",4116756000,13370.978,3.24794036858148,14.371417560095
"76",76,"ALMANSIL - MEDRONHAL","Meridional","Aq",144779000,12937.568,89.3608050891359,395.401792429805
"77",77,"MEXILHOEIRA GRANDE - PORTIMÃO","Meridional","Aq",7206450000,7529.425,1.04481748988753,4.6230862384404
"78",78,"MALHÃO","Meridional","Aq",62895000,4488.556,71.3658637411559,315.778158146707
"79",79,"VÁRZEA DE ALJEZUR","Massif","Ind",215352000,199.348,0.925684460789777,4.09594894154768
"80",80,"CAMPINA DE FARO - SUBSISTEMA FARO","Meridional","Aq",81673000,15443.301,189.086981009636,836.668057564761
"81",81,"OTA - ALENQUER","Western","Aq",31544000,253.795,8.04574562515851,35.6006443591084
"82",82,"FERRAGUDO - ALBUFEIRA","Meridional","Aq",8564454000,20407.95,2.38286643842094,10.5436568071723
"83",83,"ALBUFEIRA - RIBEIRA DE QUARTEIRA","Meridional","Aq",964797000,15941.508,16.5231732685736,73.1113861441309
"84",84,"QUARTEIRA","Meridional","Aq",371759000,20488.107,55.1112602519374,243.85513385813
"85",85,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO TEJO","Massif","Ind",502375280000,1422559.859,2.83166771064054,12.5295031444272
"86",86,"CESAREDA","Western","Aq",347846000,2332.586,6.70580084290174,29.6716851455829
"87",87,"PISÕES - ATROZELA","Western","Aq",10088000,380.735,37.7413758921491,166.997238460837
"88",88,"ANÇÃ - CANTANHEDE","Western","Aq",7700897000,4579.436,0.594662673711907,2.63125076863675
"89",89,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO LIS","Western","Ind",16012309000,57354.281,3.58188697207879,15.8490573985787
"90",90,"ELVAS - VILA BOIM","Massif","Aq",772635000,38596.994,49.9550162754729,221.039895024216
"91",91,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO MONDEGO","Western","Ind",54237996000,81604.32,1.50456001361112,6.65734519296957
"92",92,"CAMPINA DE FARO - SUBSISTEMA VALE DE LOBO","Meridional","Aq",171039000,4862.478,28.4290600389385,125.79230105725
"93",93,"ZONA SUL PORTUGUESA DA BACIA DO MIRA","Massif","Ind",14890785000,120554,8.09587943147389,35.822475360504
