"","GW_ID","drainage","N.loads.mg.N.","Nc.mg.N.L.","Nc.mg.NO3.L.","HU","GW_ID.1","gw_type","recharge","sss"
"33",33,26932477179.046,614551.07,22.8182155660799,100.965555602124,"Tagus-Sado",33,"Ind",9,9
"34",34,85538522953.191,885611.376,10.3533629693914,45.8113405725281,"Tagus-Sado",34,"Ind",16,16
"35",35,20138804039.343,86255.191,4.28303442605095,18.9514797612874,"Western",35,"Aq",48,48
"36",36,244852452.414,1583.216,6.46600017435429,28.6106202405057,"Western",36,"Aq",46,46
"37",37,2334693186.294,8909.364,3.81607487112359,16.8852870403699,"Western",37,"Aq",25,25
"38",38,22978382281.538,88421.387,3.84802489211968,17.0266588146888,"Tagus-Sado",38,"Aq",48,48
"39",39,83712169187.681,744543.091,8.89408431563575,39.3543553789193,"Tagus-Sado",39,"Ind",6.3,6.3
"40",40,135010447766.865,2401223.633,17.7854652933706,78.6967490857106,"Massif",40,"Ind",5.4,5.4
"41",41,40653058133.097,703963.815,17.3163803002284,76.621151770922,"Tagus-Sado",41,"Ind",5.2,5.2
"42",42,55489634597.299,1113951.216,20.0749423578692,88.8271785746423,"Meridional",42,"Ind",5,5
"43",43,63694707824.147,161683.39,2.5384116753685,11.2319100680022,"Tagus-Sado",43,"Ind",23,23
"44",44,115384036629.414,1062455.53,9.20799411284555,40.7433367825024,"Tagus-Sado",44,"Aq",18,18
"45",45,519999776128.461,1147656.375,2.20703244056106,9.76563026796927,"Tagus-Sado",45,"Aq",26,26
"46",46,163832834576.68,607298.863,3.70682021445317,16.4018593559875,"Tagus-Sado",46,"Aq",33,33
"47",47,1490518915.551,15889.589,10.6604410277652,47.1700930432089,"Meridional",47,"Aq",25,25
"48",48,4253330776.224,2607.412,0.613028268239884,2.71251446123842,"Massif",48,"Aq",50,50
"49",49,152432678.031,0,0,0,"Meridional",49,"Aq",38,38
"50",50,363633056.731,1267.128,3.48463368922305,15.4187331381551,"Meridional",50,"Ind",20,20
"51",51,1478070886.956,38571.185,26.0956259543377,115.467371479371,"Western",51,"Aq",10.8,10.8
"52",52,5342769107.183,33779.663,6.32250099570754,27.9756681225997,"Massif",52,"Ind",7.5,7.5
"53",53,47241450702.152,410235.907,8.68381264551879,38.4239497589327,"Massif",53,"Ind",7.5,7.5
"54",54,72254661327.776,307207.866,4.25173767829846,18.8129985765419,"Massif",54,"Ind",7.5,7.5
"55",55,27640665012.292,124712.024,4.51190389032028,19.964176505842,"Massif",55,"Aq",38,38
"56",56,731536670.387,4002.473,5.47132243949247,24.2093913251879,"Massif",56,"Aq",15.6,15.6
"57",57,1166329375.389,55209.302,47.3359440008842,209.45107964993,"Meridional",57,"Ind",5,5
"58",58,2269671849.85,33496.43,14.7582700125632,65.3020797016069,"Meridional",58,"Ind",10,10
"59",59,32341068616.34,296962.691,9.1822164110546,40.6292761551088,"Massif",59,"Aq",20,20
"60",60,2714496735.158,29770.134,10.9670914738703,48.5269534242048,"Meridional",60,"Ind",20,20
"61",61,8522122678.516,205171.121,24.0751193968646,106.527076977277,"Meridional",61,"Ind",10,10
"62",62,1327307553.179,2464.343,1.85664806479683,8.21525692387976,"Meridional",62,"Aq",50,50
"63",63,4310751381.515,20962.599,4.86286430015195,21.5170986732387,"Western",63,"Aq",28,28
"64",64,7506616669.885,108910.876,14.5086502734218,64.1975675815126,"Massif",64,"Aq",10,10
"65",65,37621819297.626,206606.601,5.49166959113637,24.2994229696299,"Meridional",65,"Aq",45,45
"66",66,23965813692.323,32028.296,1.33641596363822,5.91334497185055,"Tagus-Sado",66,"Aq",50,50
"67",67,4768390186.123,3015.17,0.632324512531455,2.79789607314803,"Western",67,"Aq",50,50
"68",68,3068132940.417,24265.245,7.90879843580117,34.9946833442529,"Meridional",68,"Aq",40,40
"69",69,547848193.449,5323.296,9.71673551844167,42.9944049488569,"Meridional",69,"Aq",25,25
"70",70,6012015123.112,98742.894,16.42425908418,72.6737127618585,"Meridional",70,"Aq",20,20
"71",71,751749291.763,5104.429,6.79006825271376,30.0445497907688,"Meridional",71,"Aq",50,50
"72",72,1493748073.596,14329.759,9.59315647216402,42.4475950095753,"Meridional",72,"Aq",25,25
"73",73,791330469.47,13155.232,16.6241949571471,73.5583847661375,"Massif",73,"Ind",7,7
"74",74,6693511874.501,51110.992,7.63590069881071,33.7871712336757,"Western",74,"Aq",19,19
"75",75,5400063281.828,27544.594,5.10079096530064,22.5698715278789,"Meridional",75,"Aq",48.6,48.6
"76",76,2882299658.962,21018.525,7.2922761291133,32.2667085358996,"Meridional",76,"Aq",50,50
"77",77,2276628567.754,20130.424,8.84220829217636,39.1248154521078,"Meridional",77,"Aq",35,35
"78",78,749543467.838,5366.926,7.16025985188088,31.6825657162871,"Meridional",78,"Aq",40,40
"79",79,28517929.878,804.4,28.2068159730118,124.808920234565,"Massif",79,"Ind",5,5
"80",80,1523487565.976,26096.293,17.1293114448767,75.7934134729056,"Meridional",80,"Aq",16,16
"81",81,161987441.792,845.691,5.22071952396106,23.1005288670843,"Western",81,"Aq",58,58
"82",82,2980229514.092,38871.936,13.0432692570133,57.7135807832449,"Meridional",82,"Aq",16.2,16.2
"83",83,1987781785.127,28421.804,14.298251554903,63.2665998004558,"Meridional",83,"Aq",18,18
"84",84,4336727331.186,34587.241,7.97542440615955,35.2894885228299,"Meridional",84,"Aq",26,26
"85",85,364364906875.951,2344772.535,6.43523152408935,28.4744757703069,"Tagus-Sado",85,"Ind",9,9
"86",86,724587515.454,2707.781,3.73699648730962,16.5353826872107,"Western",86,"Aq",50,50
"87",87,324063292.176,1403.504,4.33095643315798,19.163524040522,"Western",87,"Aq",41,41
"88",88,3093779880.871,270.483,0.0874280040646752,0.386849575507412,"Western",88,"Aq",38.4,38.4
"89",89,6050164340.81,71452.255,11.8099692793525,52.2565012360729,"Western",89,"Ind",17.6,17.6
"90",90,14155249732.156,69146.403,4.88485927895164,21.6144215882816,"Massif",90,"Aq",27.3,27.3
"91",91,11223691842.158,118381.861,10.5474974424492,46.6703426657046,"Western",91,"Ind",16.5,16.5
"92",92,1373253890.025,7746.317,5.64084839392589,24.9595061678137,"Meridional",92,"Aq",28,28
"93",93,24077637557.05,263495.015,10.9435576632329,48.4228215187299,"Massif",93,"Ind",5.5,5.5
