"","GW_ID","drainage","N.loads.mg.N.","Nc.mg.N.L.","Nc.mg.NO3.L.","HU","GW_ID.1","gw_type","recharge","sss"
"69",69,381049906.01,3390.572,8.89797358960907,39.3715645557924,"Meridional",69,"Aq",25,25
"70",70,2140120916.498,56555.33,26.4262311367643,116.930226268869,"Meridional",70,"Aq",20,20
"71",71,228020252.613,2909.055,12.7578799105065,56.4507960641879,"Meridional",71,"Aq",50,50
"72",72,949294570.983,9082.083,9.56719155213903,42.332705982916,"Meridional",72,"Aq",25,25
"73",73,478344987.348,4789.111,10.0118348193662,44.3001540679921,"Massif",73,"Ind",7,7
"74",74,4209930408.83,55995.968,13.3009248520006,58.8536497876133,"Western",74,"Aq",19,19
"75",75,3215134295.879,13370.978,4.15876189593021,18.4016013094257,"Meridional",75,"Aq",48.6,48.6
"76",76,1221212821.662,12937.568,10.5940322362426,46.8762488329318,"Meridional",76,"Aq",50,50
"77",77,2406019299.228,7529.425,3.12941172268066,13.8469545251356,"Meridional",77,"Aq",35,35
"78",78,417405469.849,4488.556,10.7534671302314,47.5817129656255,"Meridional",78,"Aq",40,40
"79",79,22248957.444,199.348,8.95988050234503,39.6454889484294,"Massif",79,"Ind",5,5
"80",80,552636912.698,15443.301,27.9447511470145,123.649341358471,"Meridional",80,"Aq",16,16
"81",81,80992789.827,253.795,3.13355053631446,13.8652678597985,"Western",81,"Aq",58,58
"82",82,1905837634.671,20407.95,10.7081262478705,47.3810895923474,"Meridional",82,"Aq",16.2,16.2
"83",83,824813487.707,15941.508,19.3274094538848,85.5195108578975,"Meridional",83,"Aq",18,18
"84",84,1798238997.936,20488.107,11.3934282503694,50.4133993379177,"Meridional",84,"Aq",26,26
"85",85,217990972140.986,1422559.859,6.52577418701522,28.8751070221912,"Tagus-Sado",85,"Ind",9,9
"86",86,319491827.179,2332.586,7.30092541207051,32.304979699427,"Western",86,"Aq",50,50
"87",87,79611223.331,380.735,4.78242870878916,21.1611889769432,"Western",87,"Aq",41,41
"88",88,2234005395.078,4579.436,2.04987687589721,9.07025166326198,"Western",88,"Aq",38.4,38.4
"89",89,2389348843.97,57354.281,24.0041470481571,106.213040036093,"Western",89,"Ind",17.6,17.6
"90",90,7998544614.795,38596.994,4.82550212054912,21.3517792944651,"Massif",90,"Aq",27.3,27.3
"91",91,6105099416.716,81604.32,13.3665833150176,59.144173960255,"Western",91,"Ind",16.5,16.5
"92",92,605304188.505,4862.478,8.03311474187798,35.5447554950353,"Meridional",92,"Aq",28,28
"93",93,9928458808.28,120554,12.1422672267585,53.7268461360996,"Massif",93,"Ind",5.5,5.5
