Muni_ID,ID,Muni,leaching_mg,drainage,nloading
1511,1721511,Sesimbra,16460889375.9652,2245769182.27958,7.32973
1512,1721512,Setúbal,47235183053.0022,9006691262.38834,5.24445
1501,1811501,Alcácer do Sal,370585257090.902,81601676245.5749,4.54139
1505,1811505,Grândola,125386190812.985,47254447113.9327,2.65343
211,1810211,Odemira,267835771993.44,65752149791.3451,4.07341
1509,1811509,Santiago do Cacém,346177384571.357,69848250601.3467,4.95614
1513,1811513,Sines,17279682505.9173,7781215857.60383,2.22069
1201,1821201,Alter do Chão,184066146449.304,26122797582.6164,7.04619
1202,1821202,Arronches,86985308360.0763,12274255966.6191,7.08681
1203,1821203,Avis,234952574522.79,40797949173.5893,5.75893
1204,1821204,Campo Maior,175569232461.321,13725406672.6126,12.79155
1205,1821205,Castelo de Vide,60708768018.1226,16226795807.6073,3.74127
1206,1821206,Crato,77682045397.0612,22924511030.4578,3.3886
1207,1821207,Elvas,331736184785.736,57257434724.8605,5.79377
1208,1821208,Fronteira,95475235262.2783,17621209616.3764,5.4182
1209,1821209,Gavião,88012720658.0161,11359883001.9015,7.74768
1210,1821210,Marvão,40277485088.2486,10577918759.6809,3.80769
1211,1821211,Monforte,78348805737.0234,31818305856.9636,2.46238
707,1820707,Mora,180769082011.552,54160216716.2521,3.33767
1212,1821212,Nisa,111081219731.839,19226272916.8901,5.77757
1213,1821213,Ponte de Sor,209812186564.109,99486403697.922,2.10895
1214,1821214,Portalegre,105560716448,19108671934.3032,5.52423
701,1830701,Alandroal,148986050002.692,10147236638.9228,14.68243
702,1830702,Arraiolos,247398845142.016,19776966990.5205,12.50944
703,1830703,Borba,32835994367.2517,4550054185.73985,7.21662
704,1830704,Estremoz,180176524208.044,18864911316.9087,9.55088
705,1830705,Évora,560830874041.32,19651387837.2461,28.539
706,1830706,Montemor-o-Novo,316592977938.782,73574588525.0686,4.30302
708,1830708,Mourão,54405163021.4855,11315208536.0159,4.80814
709,1830709,Portel,187196100620.047,17174243550.4455,10.89982
710,1830710,Redondo,117629220993.599,11339424079.5007,10.37347
711,1830711,Reguengos de Monsaraz,240354945727.809,15837535858.4708,15.17628
1215,1831215,Sousel,181869374026.748,31801777230.8216,5.71884
712,1830712,Vendas Novas,54446702421.4927,31644188831.534,1.72059
713,1830713,Viana do Alentejo,109245302723.859,16916634561.4104,6.45786
714,1830714,Vila Viçosa,89983686789.2251,9111577888.22545,9.87575
201,1840201,Aljustrel,393242581707.578,49292194802.0758,7.97779
202,1840202,Almodôvar,149594070065.38,14914251041.8856,10.03028
203,1840203,Alvito,71433500922.2064,7950333311.92174,8.98497
204,1840204,Barrancos,30181943676.4908,9555353272.44382,3.15864
205,1840205,Beja,1011128625236.07,101892483737.713,9.92349
206,1840206,Castro Verde,168722915915.82,33943534052.2077,4.97069
207,1840207,Cuba,75177568870.6165,10894088797.8306,6.90077
208,1840208,Ferreira do Alentejo,422134713815.065,137081539051.932,3.07944
209,1840209,Mértola,232332503368.409,48324644071.724,4.80774
210,1840210,Moura,442878692116.612,66471939443.0199,6.66264
212,1840212,Ourique,166092793828.713,28758428589.2251,5.77545
213,1840213,Serpa,697554646811.844,105635967031.063,6.60338
214,1840214,Vidigueira,217613343525.908,22796810382.4637,9.54578
1403,1851403,Almeirim,85981568548.9918,23274515354.4008,3.69424
1404,1851404,Alpiarça,54409396795.2225,23940532108.1895,2.27269
1103,1851103,Azambuja,224711277701.917,21258790256.3423,10.57028
1405,1851405,Benavente,258600307475.366,99027166140.2539,2.61141
1406,1851406,Cartaxo,101713223418.682,16859187755.9472,6.0331
1407,1851407,Chamusca,104238381190.44,59354739442.1156,1.75619
1409,1851409,Coruche,140964373419.174,139783691573.474,1.00845
1412,1851412,Golegã,109480182404.661,13115405686.1283,8.34745
1414,1851414,Rio Maior,158277969497.768,7639612082.86228,20.71806
1415,1851415,Salvaterra de Magos,113255869563.467,16651559696.0083,6.80152
1416,1851416,Santarém,444729818328.9,38055324131.5253,11.6864
801,1500801,Albufeira,95461793733.0697,9111752868.81284,10.47678
802,1500802,Alcoutim,94107170272.7175,4100446000.81763,22.95047
803,1500803,Aljezur,41258402649.8585,1716315617.67364,24.03894
804,1500804,Castro Marim,83555359973.6511,2791975968.26397,29.92696
805,1500805,Faro,70796628087.8859,4681562540.10657,15.12244
806,1500806,Lagoa,9627887911.26286,2788610030.11885,3.45258
807,1500807,Lagos,92497701059.3571,5927919583.82298,15.60374
808,1500808,Loulé,270620636555.43,30945753814.3829,8.745
809,1500809,Monchique,20883055754.6386,1552014348.13233,13.45545
810,1500810,Olhão,51144909662.5532,9037027364.24261,5.65948
811,1500811,Portimão,48347340876.4823,6004387950.46506,8.052
812,1500812,São Brás de Alportel,24173928360.6979,2831808585.02787,8.53657
813,1500813,Silves,267865115496.932,30596106435.6059,8.75488
814,1500814,Tavira,161353764922.611,10770800958.8775,14.98067
815,1500815,Vila do Bispo,13333690085.1825,3516583968.11569,3.79166
816,1500816,Vila Real de Santo António,2161685664.54038,1479079449.86656,1.46151
