Muni_ID,ID,Muni,tot_vine
905,1670905,Fornos de Algodres,88
906,1670906,Gouveia,841
912,1670912,Seia,527
902,1680902,Almeida,522
903,1680903,Celorico da Beira,152
904,1680904,Figueira de Castelo Rodrigo,2255
907,1680907,Guarda,365
908,1680908,Manteigas,22
909,1680909,Meda,2519
910,1680910,Pinhel,3707
911,1680911,Sabugal,226
913,1680913,Trancoso,858
502,1690502,Castelo Branco,750
505,1690505,Idanha-a-Nova,157
507,1690507,Penamacor,202
511,1690511,Vila Velha de Ródão,47
501,16A0501,Belmonte,651
503,16A0503,Covilhã,705
504,16A0504,Fundão,1088
1001,16B1001,Alcobaça,242
1101,16B1101,Alenquer,4451
1102,16B1102,Arruda dos Vinhos,859
1005,16B1005,Bombarral,655
1104,16B1104,Cadaval,1279
1006,16B1006,Caldas da Rainha,567
1108,16B1108,Lourinhã,287
1011,16B1011,Nazaré,20
1012,16B1012,Óbidos,225
1014,16B1014,Peniche,40
1112,16B1112,Sobral de Monte Agraço,402
1113,16B1113,Torres Vedras,4696
1401,16C1401,Abrantes,362
1402,16C1402,Alcanena,52
1408,16C1408,Constância,7
1410,16C1410,Entroncamento,8
1411,16C1411,Ferreira do Zêzere,258
1421,16C1421,Ourém,752
1417,16C1417,Sardoal,89
1418,16C1418,Tomar,875
1419,16C1419,Torres Novas,780
1420,16C1420,Vila Nova da Barquinha,2
1115,1711115,Amadora,0
1105,1711105,Cascais,17
1106,1711106,Lisboa,4
1107,1711107,Loures,296
1109,1711109,Mafra,1191
1116,1711116,Odivelas,5
1110,1711110,Oeiras,22
1111,1711111,Sintra,99
1114,1711114,Vila Franca de Xira,306
1502,1721502,Alcochete,2
1503,1721503,Almada,4
1504,1721504,Barreiro,4
1506,1721506,Moita,4
1507,1721507,Montijo,866
1508,1721508,Palmela,6238
1510,1721510,Seixal,14
1511,1721511,Sesimbra,63
1512,1721512,Setúbal,608
1501,1811501,Alcácer do Sal,363
1505,1811505,Grândola,144
211,1810211,Odemira,60
1509,1811509,Santiago do Cacém,227
1513,1811513,Sines,3
1201,1821201,Alter do Chão,139
1202,1821202,Arronches,76
1203,1821203,Avis,314
1204,1821204,Campo Maior,78
1205,1821205,Castelo de Vide,16
1206,1821206,Crato,92
1207,1821207,Elvas,356
1208,1821208,Fronteira,115
1209,1821209,Gavião,118
1210,1821210,Marvão,77
1211,1821211,Monforte,253
707,1820707,Mora,152
1212,1821212,Nisa,111
1213,1821213,Ponte de Sor,52
1214,1821214,Portalegre,603
701,1830701,Alandroal,600
702,1830702,Arraiolos,608
703,1830703,Borba,1479
704,1830704,Estremoz,1876
705,1830705,Évora,2101
706,1830706,Montemor-o-Novo,529
708,1830708,Mourão,273
709,1830709,Portel,138
710,1830710,Redondo,2154
711,1830711,Reguengos de Monsaraz,3283
1215,1831215,Sousel,276
712,1830712,Vendas Novas,430
713,1830713,Viana do Alentejo,8
714,1830714,Vila Viçosa,337
201,1840201,Aljustrel,80
202,1840202,Almodôvar,23
203,1840203,Alvito,203
204,1840204,Barrancos,1
205,1840205,Beja,920
206,1840206,Castro Verde,3
207,1840207,Cuba,806
208,1840208,Ferreira do Alentejo,342
209,1840209,Mértola,65
210,1840210,Moura,805
212,1840212,Ourique,21
213,1840213,Serpa,445
214,1840214,Vidigueira,1840
1403,1851403,Almeirim,3339
1404,1851404,Alpiarça,1350
1103,1851103,Azambuja,1143
1405,1851405,Benavente,229
1406,1851406,Cartaxo,1083
1407,1851407,Chamusca,274
1409,1851409,Coruche,462
1412,1851412,Golegã,39
1414,1851414,Rio Maior,526
1415,1851415,Salvaterra de Magos,167
1416,1851416,Santarém,1958
801,1500801,Albufeira,141
802,1500802,Alcoutim,19
803,1500803,Aljezur,98
804,1500804,Castro Marim,74
805,1500805,Faro,30
806,1500806,Lagoa,211
807,1500807,Lagos,104
808,1500808,Loulé,55
809,1500809,Monchique,1
810,1500810,Olhão,38
811,1500811,Portimão,94
812,1500812,São Brás de Alportel,22
813,1500813,Silves,277
814,1500814,Tavira,207
815,1500815,Vila do Bispo,7
816,1500816,Vila Real de Santo António,19
