"Muni_ID","ID","Muni","extensive_pasture","intensive_pasture","total"
1007,"1641007","Castanheira de Pêra",121.33,0,121.33
1008,"1641008","Figueiró dos Vinhos",182,90,272
606,"1640606","Góis",182,210,392
607,"1640607","Lousã",46.67,450,496.67
609,"1640609","Miranda do Corvo",56,900,956
611,"1640611","Oliveira do Hospital",3164,18510,21674
612,"1640612","Pampilhosa da Serra",373.33,60,433.33
1013,"1641013","Pedrógão Grande",443.33,0,443.33
614,"1640614","Penela",924,3780,4704
616,"1640616","Tábua",1288,8340,9628
617,"1640617","Vila Nova de Poiares",116.67,750,866.67
901,"1650901","Aguiar da Beira",5268.67,0,5268.67
1802,"1651802","Carregal do Sal",695.33,3630,4325.33
1803,"1651803","Castro Daire",9436,210,9646
1806,"1651806","Mangualde",2725.33,9870,12595.33
1808,"1651808","Mortágua",471.33,660,1131.33
1809,"1651809","Nelas",1432.67,1890,3322.67
1810,"1651810","Oliveira de Frades",1624,4440,6064
1811,"1651811","Penalva do Castelo",2114,390,2504
1814,"1651814","Santa Comba Dão",1339.33,6990,8329.33
1816,"1651816","São Pedro do Sul",8591.33,5280,13871.33
1817,"1651817","Sátão",3686.67,600,4286.67
1821,"1651821","Tondela",3948,750,4698
1822,"1651822","Vila Nova de Paiva",4335.33,90,4425.33
1823,"1651823","Viseu",4186,1440,5626
1824,"1651824","Vouzela",4111.33,690,4801.33
1413,"1661413","Mação",616,0,616
506,"1660506","Oleiros",676.67,0,676.67
508,"1660508","Proença-a-Nova",4876.67,210,5086.67
509,"1660509","Sertã",1974,210,2184
510,"1660510","Vila de Rei",135.33,0,135.33
905,"1670905","Fornos de Algodres",3420.67,150,3570.67
906,"1670906","Gouveia",15829.33,4590,20419.33
912,"1670912","Seia",6155.33,810,6965.33
902,"1680902","Almeida",75810,660,76470
903,"1680903","Celorico da Beira",22115.33,4500,26615.33
904,"1680904","Figueira de Castelo Rodrigo",57283.33,1140,58423.33
907,"1680907","Guarda",71269.33,27720,98989.33
908,"1680908","Manteigas",588,0,588
909,"1680909","Mêda",11578,960,12538
910,"1680910","Pinhel",45024,1290,46314
911,"1680911","Sabugal",83729.33,5730,89459.33
913,"1680913","Trancoso",25746,3930,29676
502,"1690502","Castelo Branco",126382.67,15420,141802.67
505,"1690505","Idanha-a-Nova",300038.67,107820,407858.67
507,"1690507","Penamacor",31131.33,3690,34821.33
511,"1690511","Vila Velha de Ródão",10327.33,4650,14977.33
501,"16A0501","Belmonte",7154,3630,10784
503,"16A0503","Covilhã",15264.67,3150,18414.67
504,"16A0504","Fundão",41090,13830,54920
1001,"16B1001","Alcobaça",6132,2610,8742
1101,"16B1101","Alenquer",4111.33,4590,8701.33
1102,"16B1102","Arruda dos Vinhos",1908.67,1860,3768.67
1005,"16B1005","Bombarral",728,0,728
1104,"16B1104","Cadaval",522.67,150,672.67
1006,"16B1006","Caldas da Rainha",1246,3090,4336
1108,"16B1108","Lourinhã",1222.67,2460,3682.67
1011,"16B1011","Nazaré",368.67,690,1058.67
1012,"16B1012","Óbidos",798,360,1158
1014,"16B1014","Peniche",494.67,300,794.67
1112,"16B1112","Sobral de Monte Agraço",1376.67,540,1916.67
1113,"16B1113","Torres Vedras",2282,8130,10412
1401,"16C1401","Abrantes",33884.67,14280,48164.67
1402,"16C1402","Alcanena",8740.67,3060,11800.67
1408,"16C1408","Constância",914.67,0,914.67
1410,"16C1410","Entroncamento",373.33,0,373.33
1411,"16C1411","Ferreira do Zêzere",1731.33,960,2691.33
1421,"16C1421","Ourém",1288,810,2098
1417,"16C1417","Sardoal",793.33,1890,2683.33
1418,"16C1418","Tomar",5856.67,5700,11556.67
1419,"16C1419","Torres Novas",2394,12240,14634
1420,"16C1420","Vila Nova da Barquinha",424.67,0,424.67
1115,"1711115","Amadora",284.67,0,284.67
1105,"1711105","Cascais",266,90,356
1106,"1711106","Lisboa",42,150,192
1107,"1711107","Loures",5091.33,2160,7251.33
1109,"1711109","Mafra",5926.67,10890,16816.67
1116,"1711116","Odivelas",1894.67,0,1894.67
1110,"1711110","Oeiras",65.33,0,65.33
1111,"1711111","Sintra",7116.67,12240,19356.67
1114,"1711114","Vila Franca de Xira",17924.67,10530,28454.67
1502,"1721502","Alcochete",10294.67,7230,17524.67
1503,"1721503","Almada",392,60,452
1504,"1721504","Barreiro",471.33,210,681.33
1506,"1721506","Moita",2020.67,360,2380.67
1507,"1721507","Montijo",49247.33,1710,50957.33
1508,"1721508","Palmela",81466,14940,96406
1510,"1721510","Seixal",3061.33,0,3061.33
1511,"1721511","Sesimbra",5707.33,8040,13747.33
1512,"1721512","Setúbal",7060.67,2100,9160.67
1501,"1811501","Alcácer do Sal",335850.67,9780,345630.67
1505,"1811505","Grândola",120479.33,0,120479.33
211,"1810211","Odemira",217429.33,22800,240229.33
1509,"1811509","Santiago do Cacém",174342,9840,184182
1513,"1811513","Sines",23982,600,24582
1201,"1821201","Alter do Chão",144195.33,32550,176745.33
1202,"1821202","Arronches",103866,360,104226
1203,"1821203","Avis",170580.67,21030,191610.67
1204,"1821204","Campo Maior",40548.67,4740,45288.67
1205,"1821205","Castelo de Vide",104799.33,0,104799.33
1206,"1821206","Crato",127754.67,4380,132134.67
1207,"1821207","Elvas",184767.33,3990,188757.33
1208,"1821208","Fronteira",76580,39630,116210
1209,"1821209","Gavião",71577.33,0,71577.33
1210,"1821210","Marvão",43852.67,60,43912.67
1211,"1821211","Monforte",180338.67,3840,184178.67
707,"1820707","Mora",183661.33,11220,194881.33
1212,"1821212","Nisa",144312,2040,146352
1213,"1821213","Ponte de Sor",237001.33,32850,269851.33
1214,"1821214","Portalegre",128132.67,2700,130832.67
701,"1830701","Alandroal",179279.33,2940,182219.33
702,"1830702","Arraiolos",218054.67,26460,244514.67
703,"1830703","Borba",17938.67,810,18748.67
704,"1830704","Estremoz",96334,13170,109504
705,"1830705","Évora",408902.67,101850,510752.67
706,"1830706","Montemor-o-Novo",502250,23520,525770
708,"1830708","Mourão",89352.67,0,89352.67
709,"1830709","Portel",158629.33,12270,170899.33
710,"1830710","Redondo",109200,450,109650
711,"1830711","Reguengos de Monsaraz",90085.33,1410,91495.33
1215,"1831215","Sousel",52094,3690,55784
712,"1830712","Vendas Novas",67466,27450,94916
713,"1830713","Viana do Alentejo",182942.67,8730,191672.67
714,"1830714","Vila Viçosa",64955.33,3900,68855.33
201,"1840201","Aljustrel",36913.33,7530,44443.33
202,"1840202","Almodôvar",85008,3240,88248
203,"1840203","Alvito",103628,3330,106958
204,"1840204","Barrancos",67312,0,67312
205,"1840205","Beja",178336.67,46680,225016.67
206,"1840206","Castro Verde",86552.67,4380,90932.67
207,"1840207","Cuba",47035.33,8430,55465.33
208,"1840208","Ferreira do Alentejo",92848,11190,104038
209,"1840209","Mértola",352944.67,23250,376194.67
210,"1840210","Moura",227789.33,7440,235229.33
212,"1840212","Ourique",155306.67,12570,167876.67
213,"1840213","Serpa",185756.67,1140,186896.67
214,"1840214","Vidigueira",45635.33,9630,55265.33
1403,"1851403","Almeirim",6510,0,6510
1404,"1851404","Alpiarça",2482.67,0,2482.67
1103,"1851103","Azambuja",20827.33,3060,23887.33
1405,"1851405","Benavente",87052,39780,126832
1406,"1851406","Cartaxo",3117.33,1350,4467.33
1407,"1851407","Chamusca",125561.33,37230,162791.33
1409,"1851409","Coruche",202416.67,34380,236796.67
1412,"1851412","Golegã",774.67,11490,12264.67
1414,"1851414","Rio Maior",21261.33,10140,31401.33
1415,"1851415","Salvaterra de Magos",14826,0,14826
1416,"1851416","Santarém",16599.33,7530,24129.33
801,"1500801","Albufeira",1768.67,0,1768.67
802,"1500802","Alcoutim",14872.67,0,14872.67
803,"1500803","Aljezur",11461.33,60,11521.33
804,"1500804","Castro Marim",18746,0,18746
805,"1500805","Faro",1526,0,1526
806,"1500806","Lagoa",1106,0,1106
807,"1500807","Lagos",3733.33,150,3883.33
808,"1500808","Loulé",16716,360,17076
809,"1500809","Monchique",5418,690,6108
810,"1500810","Olhão",65.33,0,65.33
811,"1500811","Portimão",6006,0,6006
812,"1500812","São Brás de Alportel",924,0,924
813,"1500813","Silves",18228,1650,19878
814,"1500814","Tavira",8213.33,0,8213.33
815,"1500815","Vila do Bispo",16184,0,16184
816,"1500816","Vila Real de Santo António",732.67,0,732.67
